// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28961,3.181263,3.439549,9.912484,-2.307325,-1.268529,0.830402,-0.215410,-0.146075,-0.407510,0.031810,0.034437,0.099111,0.999997,-0.001077,-0.000730,-0.002038,-0.868947,-0.182980,0.271171,0.371370,33.458746,-19.594420,-52.224054
28962,3.388949,4.048685,9.392006,-1.541153,-0.958546,0.807701,-0.110078,-0.296795,-0.544412,0.033860,0.040446,0.093948,0.999995,-0.000550,-0.001484,-0.002722,-0.867656,-0.182633,0.271771,0.374110,33.515780,-19.569963,-52.594277
28963,4.003305,4.368271,8.456227,-0.451908,-1.104709,0.443599,-0.257541,-0.339500,-0.675456,0.040037,0.043656,0.084574,0.999992,-0.001288,-0.001697,-0.003377,-0.866187,-0.181737,0.272160,0.377651,33.514654,-19.524860,-53.044955
28964,4.057765,4.074333,7.944709,-0.275895,-1.291915,-0.094722,-0.175388,-0.215346,-0.755701,0.040646,0.040660,0.079455,0.999992,-0.000877,-0.001077,-0.003778,-0.864646,-0.181543,0.272086,0.381311,33.559964,-19.394316,-53.494550
28965,1.851402,5.741316,9.179474,-1.348007,1.291895,1.011674,0.353199,-0.216947,-0.600305,0.018586,0.057195,0.091916,0.999993,0.001766,-0.001085,-0.003002,-0.862909,-0.183411,0.273167,0.383573,33.880680,-19.313302,-53.865180
28966,3.190783,8.313538,8.199619,1.412407,1.990554,2.043639,0.117988,-0.448046,-0.426983,0.031901,0.083019,0.082117,0.999995,0.000590,-0.002240,-0.002135,-0.861392,-0.183589,0.274948,0.385620,34.064160,-19.395357,-54.226836
28967,3.844157,5.869705,6.724211,1.299315,0.091240,-0.182038,-0.416012,-0.232186,-0.290565,0.038449,0.058781,0.067165,0.999996,-0.002080,-0.001161,-0.001453,-0.860919,-0.181688,0.274893,0.387609,33.894425,-19.418995,-54.446416
28968,3.463825,4.212227,6.137648,0.522558,-0.605219,-1.641255,-0.105395,-0.055852,-0.266780,0.034677,0.042108,0.061364,0.999999,-0.000527,-0.000279,-0.001334,-0.860447,-0.181438,0.274700,0.388909,33.879202,-19.366195,-54.594422
28969,2.229044,5.735917,7.167094,0.076485,1.186894,-0.441352,0.342026,0.072892,-0.180096,0.022368,0.057216,0.071761,0.999998,0.001710,0.000364,-0.000900,-0.859914,-0.183239,0.274904,0.389101,34.090887,-19.280358,-54.654758
28970,1.636352,6.938233,7.655737,0.117277,2.328437,0.384940,0.231062,0.008213,-0.051825,0.016385,0.069290,0.076637,0.999999,0.001155,0.000041,-0.000259,-0.859639,-0.184265,0.275284,0.388955,34.225182,-19.265676,-54.672592
28971,2.217124,5.852555,6.696041,0.403862,1.289107,-0.747363,-0.038329,0.047915,-0.001670,0.022188,0.058538,0.066944,1.000000,-0.000192,0.000240,-0.000008,-0.859765,-0.184138,0.275018,0.388925,34.192197,-19.248718,-54.651595
28972,2.076456,4.558092,6.421110,-0.230268,0.608631,-1.695110,-0.047430,0.145935,-0.023148,0.020817,0.045594,0.064185,1.000000,-0.000237,0.000730,-0.000116,-0.859991,-0.184195,0.274291,0.388912,34.146724,-19.177973,-54.608089
28973,1.943811,3.942749,6.189738,-0.500693,0.337573,-2.244871,0.043240,0.206391,-0.105667,0.019523,0.039404,0.061886,0.999999,0.000216,0.001032,-0.000528,-0.860055,-0.184871,0.273405,0.389072,34.160054,-19.052294,-54.585409
28974,1.872520,4.047167,6.128618,-0.434173,0.442966,-2.258812,0.130300,0.319793,-0.220185,0.018868,0.040411,0.061282,0.999998,0.000652,0.001599,-0.001101,-0.859969,-0.186300,0.272093,0.389501,34.229455,-18.835726,-54.581477
28975,0.797753,4.312101,6.573399,-1.136378,1.355870,-2.111369,0.199116,0.399601,-0.299892,0.008173,0.043043,0.065761,0.999996,0.000996,0.001998,-0.001499,-0.859768,-0.188286,0.270497,0.390101,34.342161,-18.555855,-54.589783
28976,0.318924,5.195362,6.896959,-1.083974,2.200969,-1.527634,0.159112,0.333902,-0.388378,0.003405,0.051892,0.069005,0.999996,0.000796,0.001670,-0.001942,-0.859337,-0.190091,0.269020,0.391196,34.452809,-18.278190,-54.664051
28977,0.670833,4.395422,6.604089,-1.144613,1.432177,-2.065281,-0.181590,0.283222,-0.529235,0.006918,0.043996,0.065991,0.999995,-0.000908,0.001416,-0.002646,-0.858879,-0.190522,0.266956,0.393400,34.394927,-17.978713,-54.825377
28978,1.004213,3.021911,5.919164,-1.301787,0.378145,-3.229443,-0.184630,0.315096,-0.738815,0.010247,0.030236,0.059148,0.999992,-0.000923,0.001575,-0.003694,-0.858042,-0.191279,0.264548,0.396472,34.362915,-17.596588,-55.079895
28979,-0.763289,3.598241,6.949307,-2.533996,1.950885,-2.629691,0.275583,0.352955,-0.836704,-0.007360,0.035918,0.069556,0.999989,0.001378,0.001765,-0.004184,-0.856606,-0.194212,0.262788,0.399313,34.602969,-17.164072,-55.368683
