// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
09299,-9.731861,-1.190512,-1.204134,0.041948,0.008119,0.065296,0.022438,0.016978,-0.018908,-0.097321,-0.011895,-0.012034,1.000000,0.000112,0.000085,-0.000095,0.572806,0.291348,0.690663,-0.331654,-134.872597,79.894159,172.632690
09300,-9.672571,-1.168724,-1.261298,0.015852,0.068111,0.011290,0.025336,0.016569,-0.019105,-0.096728,-0.011676,-0.012606,1.000000,0.000127,0.000083,-0.000096,0.572721,0.291405,0.690664,-0.331748,-134.862022,79.886483,172.629250
09301,-9.630487,-1.131935,-1.244387,0.048604,0.078458,-0.036823,0.024124,0.010740,-0.018927,-0.096307,-0.011309,-0.012440,1.000000,0.000121,0.000054,-0.000095,0.572658,0.291447,0.690652,-0.331846,-134.839135,79.881181,172.639173
09302,-9.603311,-1.199122,-1.266508,-0.020546,0.055960,-0.052464,0.015980,0.018229,-0.023756,-0.096036,-0.011979,-0.012657,1.000000,0.000080,0.000091,-0.000119,0.572573,0.291464,0.690680,-0.331918,-134.827198,79.870946,172.642562
09303,-9.599666,-1.332531,-1.256533,-0.118035,-0.032863,-0.040631,0.026726,0.014294,-0.021803,-0.095999,-0.013313,-0.012560,1.000000,0.000134,0.000071,-0.000109,0.572489,0.291511,0.690677,-0.332029,-134.804157,79.863029,172.650908
09304,-9.536588,-1.306713,-1.264913,-0.112435,-0.008608,-0.104891,0.041749,0.017561,-0.018956,-0.095368,-0.013055,-0.012643,1.000000,0.000209,0.000088,-0.000095,0.572376,0.291616,0.690654,-0.332179,-134.786812,79.855015,172.644792
09305,-9.540887,-1.327607,-1.214689,-0.096667,-0.060630,-0.104262,0.062218,0.016471,-0.019043,-0.095411,-0.013263,-0.012143,1.000000,0.000311,0.000082,-0.000095,0.572238,0.291777,0.690594,-0.332400,-134.754775,79.847325,172.641839
09306,-9.504657,-1.237080,-1.201908,-0.023086,-0.014006,-0.152836,0.077050,0.017991,-0.017483,-0.095049,-0.012358,-0.012015,1.000000,0.000385,0.000090,-0.000087,0.572075,0.291989,0.690511,-0.332666,-134.721531,79.839738,172.631327
09307,-9.435013,-1.191069,-1.236716,-0.018547,0.044295,-0.222835,0.088451,0.014613,-0.019550,-0.094352,-0.011896,-0.012366,1.000000,0.000442,0.000073,-0.000098,0.571902,0.292224,0.690401,-0.332985,-134.669048,79.832673,172.633179
09308,-9.458548,-1.112968,-1.291620,0.015484,0.136296,-0.202677,0.092045,0.011434,-0.018455,-0.094587,-0.011115,-0.012916,1.000000,0.000460,0.000057,-0.000092,0.571738,0.292465,0.690276,-0.333316,-134.610191,79.827333,172.639960
09309,-9.440075,-1.143117,-1.241641,0.019946,0.080313,-0.223289,0.088181,0.016234,-0.026199,-0.094403,-0.011413,-0.012414,1.000000,0.000441,0.000081,-0.000131,0.571551,0.292671,0.690184,-0.333644,-134.547025,79.816764,172.654079
09310,-9.448035,-1.169212,-1.239607,0.004048,0.064030,-0.212431,0.066129,0.017842,-0.024714,-0.094483,-0.011676,-0.012391,1.000000,0.000331,0.000089,-0.000124,0.571392,0.292827,0.690129,-0.333893,-134.503657,79.806290,172.660209
