// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
14563,-5.615537,7.457839,1.190193,-0.186438,-0.031869,-0.403418,-0.218592,-0.065176,0.195775,-0.056232,0.074536,0.011802,0.999999,-0.001093,-0.000326,0.000979,-0.749964,-0.564906,-0.338068,0.064380,80.591923,35.437558,20.504248
14564,-5.674500,7.490419,1.135096,-0.263782,0.020642,-0.350937,-0.170262,-0.050673,0.178712,-0.056815,0.074863,0.011273,0.999999,-0.000851,-0.000253,0.000894,-0.750607,-0.564561,-0.337376,0.063542,80.483097,35.325443,20.486537
14565,-5.674504,7.564289,1.070263,-0.278049,0.110255,-0.300883,-0.125941,-0.050648,0.163084,-0.056809,0.075603,0.010641,0.999999,-0.000630,-0.000253,0.000815,-0.751114,-0.564361,-0.336712,0.062840,80.399564,35.222141,20.467214
14566,-5.668276,7.550204,1.071562,-0.298150,0.109385,-0.316251,-0.086919,-0.048763,0.144505,-0.056740,0.075466,0.010669,1.000000,-0.000435,-0.000244,0.000723,-0.751506,-0.564270,-0.336097,0.062264,80.337238,35.129467,20.447439
14567,-5.601254,7.503345,0.979025,-0.325040,0.195364,-0.405834,-0.045222,-0.043516,0.126603,-0.056062,0.075000,0.009761,1.000000,-0.000226,-0.000218,0.000633,-0.751761,-0.564313,-0.335538,0.061815,80.300544,35.047422,20.429057
14568,-5.597246,7.405363,0.910603,-0.410646,0.220563,-0.497084,0.016724,-0.036520,0.111212,-0.056015,0.074022,0.009102,1.000000,0.000084,-0.000183,0.000556,-0.751828,-0.564559,-0.335030,0.061504,80.300376,34.974666,20.413891
14569,-5.601857,7.367965,0.889503,-0.449645,0.218735,-0.527813,0.080652,-0.022587,0.082810,-0.056050,0.073653,0.008918,1.000000,0.000403,-0.000113,0.000414,-0.751678,-0.565008,-0.334633,0.061371,80.341169,34.919372,20.404812
14570,-5.626736,7.440082,0.937033,-0.418941,0.185897,-0.448770,0.123194,-0.019345,0.056694,-0.056289,0.074379,0.009411,1.000000,0.000616,-0.000097,0.000283,-0.751398,-0.565569,-0.334309,0.061397,80.405187,34.879123,20.394698
14571,-5.576037,7.431790,0.925443,-0.390523,0.197576,-0.485920,0.131669,-0.004800,0.033034,-0.055773,0.074303,0.009302,1.000000,0.000658,-0.000024,0.000165,-0.751059,-0.566131,-0.334105,0.061486,80.478848,34.853661,20.391962
14572,-5.541568,7.443208,1.000936,-0.325854,0.134144,-0.485951,0.121931,0.006042,0.021987,-0.055424,0.074420,0.010056,1.000000,0.000610,0.000030,0.000110,-0.750728,-0.566638,-0.333974,0.061570,80.549895,34.835489,20.395039
