// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
16695,-4.571592,1.028544,8.634839,0.076074,-0.049588,0.011240,0.028911,0.020065,-0.011638,-0.045707,0.010276,0.086354,1.000000,0.000145,0.000100,-0.000058,-0.914989,0.023958,-0.247289,-0.317913,7.370825,27.889372,40.152186
16696,-4.636592,1.067493,8.702972,0.041735,-0.042237,0.105767,0.039290,0.026072,-0.018683,-0.046354,0.010662,0.087038,1.000000,0.000196,0.000130,-0.000093,-0.914981,0.023862,-0.247441,-0.317825,7.386789,27.902981,40.147506
16697,-4.681509,1.017497,8.664764,0.027225,-0.115995,0.087604,0.035474,0.014756,-0.013911,-0.046808,0.010163,0.086653,1.000000,0.000177,0.000074,-0.000070,-0.914979,0.023759,-0.247539,-0.317764,7.401654,27.910029,40.144991
16698,-4.601872,1.111679,8.697478,0.042452,0.009808,0.089700,0.046939,0.021877,-0.011637,-0.046009,0.011099,0.086982,1.000000,0.000235,0.000109,-0.000058,-0.914966,0.023612,-0.247685,-0.317699,7.423957,27.920738,40.144493
16699,-4.686323,1.181275,8.697453,-0.053077,0.016119,0.137169,0.028140,0.013258,-0.010489,-0.046857,0.011803,0.086979,1.000000,0.000141,0.000066,-0.000052,-0.914959,0.023536,-0.247764,-0.317663,7.435593,27.926683,40.144057
16700,-4.583661,1.079721,8.690798,0.075097,-0.008403,0.071644,0.021415,0.008072,-0.006906,-0.045833,0.010789,0.086911,1.000000,0.000107,0.000040,-0.000035,-0.914952,0.023479,-0.247808,-0.317652,7.444158,27.929197,40.145454
16701,-4.615737,1.096851,8.688205,0.043923,-0.014330,0.086347,0.030216,0.016007,-0.005888,-0.046150,0.010957,0.086887,1.000000,0.000151,0.000080,-0.000029,-0.914935,0.023392,-0.247903,-0.317634,7.458478,27.936362,40.148209
16702,-4.583931,1.051840,8.699763,0.100040,-0.030754,0.076383,0.039017,0.023945,-0.004870,-0.045829,0.010503,0.087005,1.000000,0.000195,0.000120,-0.000024,-0.914907,0.023276,-0.248047,-0.317609,7.478367,27.947742,40.152253
16703,-4.579317,1.036241,8.748837,0.137772,-0.031469,0.115359,0.042087,0.032122,-0.013610,-0.045778,0.010347,0.087498,1.000000,0.000210,0.000161,-0.000068,-0.914883,0.023171,-0.248235,-0.317540,7.497803,27.964637,40.151410
16704,-4.630760,0.974197,8.669701,0.111032,-0.126821,0.062954,0.070559,0.058699,-0.005953,-0.046282,0.009713,0.086714,1.000000,0.000353,0.000293,-0.000030,-0.914818,0.022967,-0.248588,-0.317467,7.536828,27.995834,40.157718
16705,-4.641321,1.046772,8.643731,0.058606,-0.082357,0.053490,0.102684,0.063198,0.002732,-0.046386,0.010423,0.086457,1.000000,0.000513,0.000316,0.000014,-0.914736,0.022613,-0.249015,-0.317393,7.597179,28.029146,40.170071
16706,-4.590547,1.168975,8.638666,0.027789,0.039968,0.039409,0.084265,0.056099,0.007615,-0.045882,0.011652,0.086404,1.000000,0.000421,0.000280,0.000038,-0.914654,0.022326,-0.249379,-0.317365,7.648089,28.057827,40.184952
16707,-4.631256,1.256647,8.610932,-0.055345,0.078503,0.044625,0.080160,0.050367,0.005451,-0.046291,0.012531,0.086126,1.000000,0.000401,0.000252,0.000027,-0.914580,0.022052,-0.249713,-0.317332,7.695883,28.083626,40.198018
16708,-4.699672,1.252351,8.648955,-0.076024,0.041960,0.109620,0.033879,0.032090,0.006961,-0.046983,0.012507,0.086499,1.000000,0.000169,0.000160,0.000035,-0.914523,0.021958,-0.249887,-0.317367,7.716779,28.098706,40.210442
16709,-4.663687,1.240635,8.543257,-0.088566,0.031044,-0.001082,0.026251,0.013228,0.007904,-0.046632,0.012393,0.085437,1.000000,0.000131,0.000066,0.000040,-0.914486,0.021867,-0.249965,-0.317417,7.732922,28.103219,40.221875
16710,-4.648015,1.323936,8.617151,-0.093650,0.120372,0.066021,-0.001610,0.002067,0.004544,-0.046480,0.013239,0.086172,1.000000,-0.000008,0.000010,0.000023,-0.914467,0.021891,-0.249946,-0.317489,7.731527,28.101436,40.230127
16711,-4.621526,1.221340,8.635568,-0.008481,0.057770,0.057459,-0.021539,-0.011153,-0.005552,-0.046220,0.012224,0.086352,1.000000,-0.000108,-0.000056,-0.000028,-0.914476,0.021998,-0.249835,-0.317540,7.715206,28.093142,40.230772
16712,-4.610138,1.161212,8.625371,0.027713,0.015644,0.036059,-0.025417,-0.002976,-0.007164,-0.046102,0.011625,0.086252,1.000000,-0.000127,-0.000015,-0.000036,-0.914479,0.022137,-0.249753,-0.317588,7.696416,28.089400,40.231056
16713,-4.607091,1.126812,8.637082,0.053208,-0.006634,0.040805,-0.008535,-0.009494,-0.009706,-0.046074,0.011274,0.086368,1.000000,-0.000043,-0.000047,-0.000049,-0.914495,0.022192,-0.249670,-0.317603,7.686357,28.082367,40.229176
