// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
38216,1.056188,5.391596,7.869786,0.461207,0.137326,-0.226926,0.026245,0.004671,-0.031610,0.010572,0.053904,0.078705,1.000000,0.000131,0.000023,-0.000158,0.005813,-0.080838,-0.301179,-0.950117,35.349048,-9.039400,177.815343
38217,1.189834,5.506773,7.899287,0.339575,0.066368,-0.116334,0.009399,-0.001706,-0.038037,0.011908,0.055062,0.078996,1.000000,0.000047,-0.000009,-0.000190,0.005683,-0.080824,-0.301204,-0.950111,35.353025,-9.033208,177.801287
38218,1.251269,5.498465,7.941571,0.283118,0.099524,-0.077325,-0.005402,0.007072,-0.044481,0.012528,0.054984,0.079414,1.000000,-0.000027,0.000035,-0.000222,0.005530,-0.080752,-0.301154,-0.950134,35.347578,-9.020090,177.787457
38219,1.385648,5.543876,7.983500,0.157366,0.090672,0.003517,-0.007717,0.006777,-0.044234,0.013871,0.055439,0.079832,1.000000,-0.000039,0.000034,-0.000221,0.005376,-0.080688,-0.301100,-0.950157,35.341756,-9.007880,177.773315
38220,1.650712,5.642209,8.008333,-0.097166,0.033097,0.121206,-0.013741,0.017909,-0.034197,0.016524,0.056425,0.080078,1.000000,-0.000069,0.000090,-0.000171,0.005286,-0.080580,-0.301006,-0.950197,35.330153,-8.993077,177.768119
38221,1.691579,5.725023,8.086640,-0.123744,0.009657,0.237967,-0.018104,0.033281,-0.022571,0.016936,0.057256,0.080858,1.000000,-0.000091,0.000166,-0.000113,0.005271,-0.080423,-0.300894,-0.950246,35.315384,-8.975659,177.773116
38222,1.682683,5.708866,8.107372,-0.115785,0.031249,0.244036,-0.025484,0.040635,-0.001339,0.016844,0.057099,0.081063,1.000000,-0.000127,0.000203,-0.000007,0.005367,-0.080257,-0.300730,-0.950311,35.293458,-8.961193,177.791192
38223,1.629959,5.620089,8.123729,-0.068991,0.107543,0.198347,-0.027249,0.048489,0.012910,0.016316,0.056213,0.081226,1.000000,-0.000136,0.000242,0.000065,0.005539,-0.080081,-0.300559,-0.950379,35.270045,-8.948401,177.818071
38224,1.542634,5.522324,8.092243,0.004224,0.162043,0.103658,-0.030885,0.049031,0.013738,0.015442,0.055237,0.080910,1.000000,-0.000154,0.000245,0.000069,0.005713,-0.079898,-0.300363,-0.950455,35.243517,-8.934894,177.845587
38225,1.336136,5.378744,8.117368,0.201065,0.283144,0.010103,-0.012532,0.039881,0.004729,0.013376,0.053793,0.081168,1.000000,-0.000063,0.000199,0.000024,0.005840,-0.079751,-0.300266,-0.950498,35.229599,-8.923405,177.865698
38226,1.159082,5.449815,8.156412,0.383823,0.239225,0.054757,0.002962,0.023511,-0.011209,0.011603,0.054496,0.081564,1.000000,0.000015,0.000118,-0.000056,0.005872,-0.079651,-0.300241,-0.950514,35.225620,-8.913618,177.873005
38227,1.240350,5.578627,8.185535,0.314489,0.151905,0.164314,-0.020068,-0.005632,-0.030867,0.012410,0.055793,0.081850,1.000000,-0.000100,-0.000028,-0.000154,0.005758,-0.079667,-0.300124,-0.950550,35.212362,-8.911664,177.861023
38228,1.482239,5.511381,8.172174,0.068959,0.205391,0.152744,-0.033023,-0.014371,-0.053685,0.014831,0.055123,0.081714,1.000000,-0.000165,-0.000072,-0.000268,0.005519,-0.079684,-0.299946,-0.950606,35.192800,-8.905564,177.835742
38229,1.605577,5.549135,8.175071,-0.051598,0.178535,0.195710,-0.014843,-0.012469,-0.068340,0.016070,0.055492,0.081748,1.000000,-0.000074,-0.000062,-0.000342,0.005219,-0.079676,-0.299868,-0.950633,35.185635,-8.894445,177.803714
38230,1.683381,5.746795,8.193342,-0.116758,0.028772,0.335012,-0.010210,-0.006043,-0.072549,0.016852,0.057466,0.081931,1.000000,-0.000051,-0.000030,-0.000363,0.004910,-0.079624,-0.299806,-0.950659,35.180094,-8.878226,177.772166
