// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737B
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
10223,-4.087618,1.628807,8.603093,-0.010125,0.016336,-0.149640,-0.006924,0.006174,-0.006415,-0.040873,0.016292,0.086032,1.000000,-0.000035,0.000031,-0.000032,-0.592201,-0.225264,-0.062781,0.771112,10.805232,24.946054,-102.555801
10224,-4.073662,1.614827,8.617498,-0.029315,0.002006,-0.145072,-0.004641,0.003869,-0.004796,-0.040735,0.016151,0.086175,1.000000,-0.000023,0.000019,-0.000024,-0.592190,-0.225262,-0.062824,0.771117,10.800694,24.949130,-102.557922
10225,-4.086676,1.646416,8.618155,0.003321,0.003323,-0.133629,-0.003186,0.005660,-0.007315,-0.040864,0.016467,0.086182,1.000000,-0.000016,0.000028,-0.000037,-0.592165,-0.225271,-0.062869,0.771130,10.796493,24.953605,-102.561620
10226,-4.098225,1.568165,8.598852,-0.062551,0.042570,-0.159236,-0.000672,0.005579,-0.001026,-0.040980,0.015682,0.085990,1.000000,-0.000003,0.000028,-0.000005,-0.592164,-0.225288,-0.062898,0.771123,10.795302,24.957239,-102.561200
10227,-4.087860,1.646269,8.617621,0.003522,0.003118,-0.133629,0.006889,0.008346,-0.002803,-0.040875,0.016460,0.086178,1.000000,0.000034,0.000042,-0.000014,-0.592147,-0.225339,-0.062908,0.771121,10.798178,24.962780,-102.561434
10228,-4.088453,1.646388,8.617317,0.003630,0.003028,-0.133629,-0.000826,0.004097,-0.004139,-0.040882,0.016465,0.086174,1.000000,-0.000004,0.000020,-0.000021,-0.592134,-0.225349,-0.062937,0.771125,10.796008,24.965913,-102.563122
10229,-4.105422,1.640750,8.587239,0.009767,0.029964,-0.154207,0.003910,0.007074,-0.000851,-0.041051,0.016406,0.085874,1.000000,0.000020,0.000035,-0.000004,-0.592129,-0.225388,-0.062953,0.771117,10.797641,24.970567,-102.562191
10230,-4.091407,1.627506,8.601538,-0.009422,0.015632,-0.149638,-0.001592,0.002830,-0.003658,-0.040913,0.016276,0.086016,1.000000,-0.000008,0.000014,-0.000018,-0.592119,-0.225391,-0.062980,0.771121,10.795096,24.972936,-102.563730
10231,-4.089572,1.646248,8.616813,0.003926,0.002710,-0.133629,-0.000077,-0.000741,-0.001556,-0.040896,0.016463,0.086168,1.000000,-0.000000,-0.000004,-0.000008,-0.592117,-0.225386,-0.062989,0.771123,10.793819,24.973179,-102.564271
10232,-4.111118,1.619375,8.613796,-0.016157,0.030566,-0.131781,0.000689,0.000525,-0.002038,-0.041111,0.016194,0.086138,1.000000,0.000003,0.000003,-0.000010,-0.592112,-0.225388,-0.062998,0.771126,10.792890,24.974076,-102.565077
10233,-4.093662,1.608359,8.586141,-0.022369,0.028159,-0.165646,0.001456,0.001792,-0.002519,-0.040936,0.016083,0.085862,1.000000,0.000007,0.000009,-0.000013,-0.592096,-0.225397,-0.063006,0.771135,10.792412,24.975753,-102.567163
10234,-4.106361,1.640663,8.586807,0.010284,0.029496,-0.154206,0.003057,0.002014,-0.000394,-0.041063,0.016405,0.085869,1.000000,0.000015,0.000010,-0.000002,-0.592094,-0.225412,-0.063009,0.771132,10.793345,24.977312,-102.566773
10235,-4.106302,1.640764,8.586816,0.010378,0.029385,-0.154206,0.002663,-0.004746,-0.006644,-0.041065,0.016408,0.085867,1.000000,0.000013,-0.000024,-0.000033,-0.592070,-0.225399,-0.063001,0.771154,10.792127,24.975879,-102.571050
10236,-4.036202,1.649106,8.606596,-0.000972,-0.042269,-0.164776,0.003057,0.002014,-0.000394,-0.040361,0.016490,0.086067,1.000000,0.000015,0.000010,-0.000002,-0.592068,-0.225413,-0.063004,0.771151,10.793060,24.977438,-102.570659
10237,-4.097022,1.606712,8.628027,-0.034967,0.015836,-0.127209,0.003057,0.002014,-0.000394,-0.040969,0.016066,0.086281,1.000000,0.000015,0.000010,-0.000002,-0.592056,-0.225431,-0.063004,0.771156,10.794164,24.979113,-102.571737
10238,-4.126223,1.633652,8.598779,0.003730,0.044232,-0.136347,0.007638,0.003509,-0.000219,-0.041261,0.016333,0.085989,1.000000,0.000038,0.000018,-0.000001,-0.592049,-0.225465,-0.062993,0.771152,10.797843,24.981494,-102.571060
10239,-4.072799,1.636961,8.588504,-0.001604,-0.000395,-0.167495,0.009844,0.000463,-0.000155,-0.040728,0.016365,0.085886,1.000000,0.000049,0.000002,-0.000001,-0.592038,-0.225496,-0.062965,0.771154,10.802784,24.982370,-102.571024
10240,-4.085340,1.669727,8.589149,0.031049,0.000944,-0.156057,0.003815,0.000229,0.000657,-0.040853,0.016695,0.085892,1.000000,0.000019,0.000001,0.000003,-0.592039,-0.225506,-0.062959,0.771150,10.804337,24.982811,-102.570192
