// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28024,-9.538487,0.177574,-1.671857,0.102517,-0.207308,-0.129925,0.003255,-0.021986,0.011000,-0.095383,0.001771,-0.016729,1.000000,0.000016,-0.000110,0.000055,-0.599905,-0.273568,-0.722581,0.207729,171.776230,78.700359,131.779888
28025,-9.556088,0.161963,-1.673287,0.090205,-0.220994,-0.112792,-0.006422,-0.019448,0.015628,-0.095559,0.001612,-0.016742,1.000000,-0.000032,-0.000097,0.000078,-0.600036,-0.273608,-0.722478,0.207655,171.687607,78.712729,131.694671
28026,-9.529983,0.144095,-1.707332,0.044383,-0.209873,-0.132279,-0.014196,-0.021207,0.020175,-0.095298,0.001430,-0.017084,1.000000,-0.000071,-0.000106,0.000101,-0.600244,-0.273649,-0.722327,0.207524,171.550543,78.731807,131.566126
28027,-9.523294,0.104808,-1.710683,0.011740,-0.237526,-0.139322,-0.010163,-0.018899,0.019105,-0.095231,0.001038,-0.017116,1.000000,-0.000051,-0.000094,0.000096,-0.600382,-0.273691,-0.722225,0.207425,171.449630,78.743503,131.470574
28028,-9.521475,0.111534,-1.743073,-0.013735,-0.212429,-0.134675,0.007894,-0.017794,0.022715,-0.095213,0.001105,-0.017439,1.000000,0.000039,-0.000089,0.000114,-0.600550,-0.273810,-0.722059,0.207362,171.319236,78.760313,131.335920
28029,-9.490066,0.215545,-1.707797,0.072023,-0.151335,-0.169229,0.017067,-0.020239,0.025493,-0.094899,0.002145,-0.017087,1.000000,0.000085,-0.000101,0.000127,-0.600662,-0.273955,-0.721916,0.207344,171.214641,78.772137,131.220716
28030,-9.538130,0.193724,-1.694757,0.068711,-0.183893,-0.125215,0.022890,-0.018832,0.025249,-0.095380,0.001927,-0.016956,1.000000,0.000114,-0.000094,0.000126,-0.600815,-0.274127,-0.721727,0.207329,171.084901,78.789178,131.077969
28031,-9.532218,0.227332,-1.705524,0.077512,-0.151312,-0.127917,0.020006,-0.023562,0.027031,-0.095320,0.002262,-0.017066,1.000000,0.000100,-0.000118,0.000135,-0.600937,-0.274283,-0.721569,0.207322,170.975543,78.802652,130.956205
28032,-9.521453,0.215142,-1.687281,0.076356,-0.171222,-0.142313,0.008882,-0.021463,0.028563,-0.095213,0.002139,-0.016883,1.000000,0.000044,-0.000107,0.000143,-0.601122,-0.274422,-0.721382,0.207251,170.826709,78.820741,130.802177
28033,-9.549445,0.142757,-1.697295,0.021247,-0.225484,-0.115173,0.008950,-0.020657,0.032332,-0.095493,0.001413,-0.016983,1.000000,0.000045,-0.000103,0.000162,-0.601253,-0.274567,-0.721237,0.207183,170.696539,78.831973,130.665669
28034,-9.549142,0.055400,-1.777194,-0.101480,-0.242849,-0.102985,0.015803,-0.027128,0.033248,-0.095489,0.000540,-0.017785,1.000000,0.000079,-0.000136,0.000166,-0.601454,-0.274737,-0.721020,0.207131,170.535123,78.852661,130.494777
28035,-9.528074,0.101919,-1.749994,-0.058465,-0.222320,-0.127430,0.035877,-0.024894,0.036314,-0.095279,0.001005,-0.017512,1.000000,0.000179,-0.000124,0.000182,-0.601567,-0.274973,-0.720828,0.207155,170.406223,78.865776,130.343855
28036,-9.492336,0.233453,-1.692757,0.058852,-0.153453,-0.169173,0.048956,-0.030507,0.038475,-0.094921,0.002320,-0.016941,1.000000,0.000245,-0.000153,0.000192,-0.601739,-0.275258,-0.720560,0.207211,170.246667,78.887666,130.155501
28037,-9.526510,0.370560,-1.656205,0.173971,-0.077731,-0.138060,0.049127,-0.033107,0.041344,-0.095263,0.003690,-0.016577,1.000000,0.000246,-0.000166,0.000207,-0.601869,-0.275543,-0.720323,0.207279,170.105950,78.904776,129.984818
28038,-9.542631,0.451780,-1.608774,0.257552,-0.048777,-0.128403,0.031932,-0.030617,0.036510,-0.095425,0.004503,-0.016102,1.000000,0.000160,-0.000153,0.000183,-0.602062,-0.275769,-0.720075,0.207280,169.941257,78.926706,129.801185
28039,-9.565322,0.466093,-1.727843,0.174921,0.033263,-0.083023,0.015816,-0.031351,0.028613,-0.095651,0.004649,-0.017293,1.000000,0.000079,-0.000157,0.000143,-0.602218,-0.275910,-0.719895,0.207264,169.818022,78.943937,129.667786
28040,-9.506281,0.404652,-1.712580,0.133290,-0.014537,-0.145833,0.016379,-0.030649,0.024971,-0.095061,0.004036,-0.017140,1.000000,0.000082,-0.000153,0.000125,-0.602421,-0.276048,-0.719678,0.207244,169.676600,78.966864,129.516967
28041,-9.541485,0.372843,-1.716139,0.109667,-0.041538,-0.111640,0.010811,-0.034209,0.019186,-0.095412,0.003720,-0.017178,1.000000,0.000054,-0.000171,0.000096,-0.602584,-0.276136,-0.719508,0.207242,169.575364,78.986563,129.408920
28042,-9.526942,0.368860,-1.764972,0.062632,-0.010707,-0.116824,0.020874,-0.037321,0.016040,-0.095266,0.003683,-0.017667,1.000000,0.000104,-0.000187,0.000080,-0.602795,-0.276248,-0.719279,0.207274,169.457934,79.014025,129.279934
