// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
60211,-6.020692,2.441278,7.491847,-0.048971,-0.045202,0.103557,-0.001517,-0.058395,-0.011321,-0.060227,0.024417,0.074901,1.000000,-0.000008,-0.000292,-0.000057,0.936684,0.119967,0.326595,0.039595,18.297125,37.037067,11.016393
60212,-5.900461,2.538134,7.575731,0.093546,0.052939,0.118965,-0.053473,-0.012895,-0.013737,-0.059008,0.025406,0.075747,1.000000,-0.000267,-0.000064,-0.000069,0.936746,0.119685,0.326510,0.039677,18.259770,37.028786,11.011900
60213,-5.987468,2.451495,8.044582,0.314602,-0.130362,0.505206,-0.085426,0.003732,-0.031069,-0.059869,0.024559,0.080436,1.000000,-0.000427,0.000019,-0.000155,0.936804,0.119220,0.326506,0.039741,18.199043,37.032576,10.999169
60214,-6.178963,2.618921,8.650171,0.540385,-0.102195,1.121721,-0.130222,-0.011833,-0.145873,-0.061776,0.026291,0.086481,1.000000,-0.000651,-0.000059,-0.000729,0.936935,0.118362,0.326490,0.039330,18.063575,37.048425,10.904801
60215,-8.123478,1.151627,8.741823,-0.939032,-1.820965,1.999971,0.148762,-0.134507,-0.258922,-0.081279,0.011556,0.087372,0.999999,0.000744,-0.000673,-0.001295,0.937123,0.118649,0.326019,0.037862,18.024839,37.017276,10.705803
60216,-7.865454,2.380049,6.339853,-2.230685,-0.141518,0.322770,1.130091,-0.324624,-0.215605,-0.078732,0.023527,0.063404,0.999982,0.005650,-0.001623,-0.001078,0.937013,0.123640,0.324812,0.034883,18.540888,36.875689,10.493789
60217,-7.247360,3.210547,8.602854,-0.349712,0.209336,1.878088,0.934327,-0.299013,-0.014929,-0.072600,0.031709,0.086069,0.999988,0.004672,-0.001495,-0.000075,0.936919,0.128030,0.323558,0.033177,19.029211,36.712495,10.422303
60218,-6.938461,1.559208,6.330232,-1.561408,-0.931861,-0.467207,1.385767,-0.427338,0.121703,-0.069529,0.015111,0.063260,0.999974,0.006929,-0.002137,0.000609,0.936686,0.134773,0.321677,0.031299,19.812122,36.454540,10.410446
60219,-5.975057,3.624266,8.549503,0.584127,0.579138,1.198808,1.078930,-0.463551,0.096588,-0.059966,0.035752,0.085550,0.999983,0.005395,-0.002318,0.000483,0.936680,0.140037,0.319583,0.029769,20.401541,36.182301,10.369006
60220,-5.967290,2.161001,6.796006,-0.555760,-0.482179,-0.543258,0.947898,-0.459748,0.061810,-0.059836,0.021270,0.067924,0.999986,0.004739,-0.002299,0.000309,0.936737,0.144629,0.317500,0.028289,20.901535,35.919336,10.302563
60221,-5.101532,5.314651,8.615954,1.328968,2.107586,1.246090,1.101456,-0.402988,0.171565,-0.051234,0.052627,0.086347,0.999982,0.005507,-0.002015,0.000858,0.936547,0.150100,0.315617,0.027118,21.538455,35.664589,10.319743
60222,-5.874118,2.215765,7.764682,0.036020,-0.815351,0.139135,0.522564,-0.436634,0.101871,-0.058922,0.021925,0.077576,0.999994,0.002613,-0.002183,0.000509,0.936833,0.152753,0.313541,0.026509,21.810864,35.406453,10.280191
60223,-5.357077,2.618249,7.606963,0.333412,-0.366040,-0.160029,0.793349,-0.584270,-0.072286,-0.053783,0.025900,0.076016,0.999988,0.003967,-0.002921,-0.000361,0.937149,0.156417,0.310938,0.024546,22.149651,35.107449,10.086859
60224,-4.369375,3.799856,7.490612,1.080926,0.885942,-0.448600,0.525124,-0.608125,-0.226718,-0.043878,0.037852,0.074872,0.999991,0.002626,-0.003041,-0.001134,0.937712,0.158585,0.308304,0.022258,22.274432,34.829832,9.786608
60225,-4.360256,3.087209,6.794018,0.608419,0.394801,-1.200181,0.207813,-0.507334,-0.373210,-0.043717,0.030883,0.067861,0.999995,0.001039,-0.002537,-0.001866,0.938375,0.159025,0.306219,0.019851,22.179909,34.637471,9.419012
60226,-4.202998,1.751920,6.957785,0.723131,-0.873791,-1.575058,-0.222152,-0.447131,-0.646324,-0.042128,0.017732,0.069464,0.999992,-0.001111,-0.002236,-0.003232,0.939301,0.157022,0.304586,0.016869,21.749849,34.534266,8.892688
60227,-2.773340,-0.206884,4.608728,0.383550,-1.841892,-4.769401,-0.412656,-0.316213,-0.819448,-0.027814,-0.001860,0.046047,0.999988,-0.002063,-0.001581,-0.004097,0.940174,0.153846,0.303682,0.013467,21.166958,34.533261,8.288881
60228,-1.753131,2.634435,4.303175,1.233142,1.102652,-4.733861,-0.193794,0.038443,-0.711486,-0.017429,0.026448,0.043010,0.999993,-0.000969,0.000192,-0.003557,0.940315,0.151837,0.304372,0.010512,20.798796,34.695781,7.843299
60229,-1.043411,6.776577,3.960309,1.935399,5.252176,-4.212381,-0.299391,0.423580,-0.380221,-0.010221,0.067845,0.039523,0.999995,-0.001497,0.002118,-0.001901,0.939923,0.149812,0.306610,0.009567,20.544894,34.995623,7.706457
60230,-0.551154,5.866500,6.096963,3.529661,3.926538,-3.178371,-1.644741,0.948622,-0.481841,-0.005082,0.059176,0.060509,0.999952,-0.008224,0.004743,-0.002409,0.939687,0.141277,0.311313,0.010601,19.551119,35.596920,7.624445
60231,-5.980579,1.286265,10.883491,1.735458,-2.091852,2.372414,-2.158500,1.024905,-0.745034,-0.059196,0.014260,0.108990,0.999922,-0.010792,0.005124,-0.003725,0.939592,0.129899,0.316490,0.011250,18.159692,36.286358,7.367467
60232,-10.298924,-0.729954,10.645567,-1.899131,-4.170825,4.291241,-1.769599,0.088939,-0.659185,-0.102963,-0.006018,0.106558,0.999955,-0.008848,0.000445,-0.003296,0.940604,0.120518,0.317201,0.011078,16.892483,36.445034,6.947037
60233,-7.340703,3.012551,7.346134,-1.305484,0.637381,0.902530,-0.546044,-0.343603,-0.494948,-0.073458,0.030507,0.073252,0.999992,-0.002730,-0.001718,-0.002475,0.941507,0.117170,0.315826,0.009475,16.338322,36.333540,6.547130
60234,-9.441534,4.807863,7.300123,-2.952182,2.287519,2.499940,-0.937573,-0.263004,-0.143058,-0.094476,0.048487,0.072650,0.999988,-0.004688,-0.001315,-0.000715,0.942475,0.112528,0.314603,0.010196,15.713444,36.207848,6.405687
60235,-10.641752,-1.314384,6.253751,-4.898734,-3.491734,1.045193,-1.018496,-0.464231,-0.000643,-0.106562,-0.012826,0.062356,0.999984,-0.005092,-0.002321,-0.000003,0.943771,0.107736,0.312337,0.011601,15.078818,35.947878,6.325704
60236,-8.351872,-1.470140,6.065907,-3.227045,-3.373024,-0.489661,-0.003517,-0.655561,0.163596,-0.083705,-0.014769,0.060385,0.999994,-0.000018,-0.003278,0.000818,0.944789,0.107999,0.309133,0.012093,15.072229,35.557436,6.324740
60237,-6.067556,2.665406,7.911439,-0.186492,0.491193,0.494294,0.064707,-0.711982,0.363712,-0.061005,0.026518,0.078906,0.999992,0.000324,-0.003560,0.001819,0.945832,0.108892,0.305555,0.013393,15.176676,35.106038,6.448566
60238,-5.309082,0.766777,7.843207,0.234787,-1.296910,-0.402448,-0.119347,-0.747024,0.451998,-0.053400,0.007594,0.078228,0.999990,-0.000597,-0.003735,0.002260,0.947006,0.109053,0.301745,0.015374,15.204724,34.621726,6.624272
