// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
00596,-9.629765,0.386260,-0.776498,-0.021983,0.404115,-0.152422,-0.017980,0.018030,0.035169,-0.096299,0.003845,-0.007757,1.000000,-0.000090,0.000090,0.000176,0.190321,-0.696073,0.263012,0.640379,146.195473,82.574648,-71.279079
00597,-9.632840,0.390242,-0.878909,0.057815,0.343452,-0.138232,-0.053687,0.022387,0.028026,-0.096330,0.003887,-0.008779,1.000000,-0.000268,0.000112,0.000140,0.189948,-0.696156,0.262903,0.640443,146.084477,82.556740,-71.349152
00598,-9.638770,0.274006,-0.905242,0.150670,0.424419,-0.138102,-0.073854,0.023920,0.027138,-0.096389,0.002724,-0.009042,1.000000,-0.000369,0.000120,0.000136,0.189541,-0.696237,0.262811,0.640515,145.948748,82.535963,-71.442479
00599,-9.610837,0.127017,-1.034020,0.344238,0.463743,-0.162818,-0.059446,0.026935,0.027693,-0.096110,0.001254,-0.010328,1.000000,-0.000297,0.000135,0.000138,0.189173,-0.696328,0.262717,0.640563,145.847330,82.516120,-71.504763
00600,-9.601300,0.067230,-1.073034,0.412773,0.490993,-0.172697,-0.041512,0.029318,0.026204,-0.096015,0.000657,-0.010716,1.000000,-0.000208,0.000147,0.000131,0.188874,-0.696396,0.262730,0.640572,145.747840,82.493040,-71.580239
00601,-9.635070,0.029479,-1.063334,0.426891,0.534915,-0.143264,-0.010484,0.031403,0.029714,-0.096352,0.000280,-0.010618,1.000000,-0.000052,0.000157,0.000149,0.188689,-0.696442,0.262831,0.640534,145.679508,82.470370,-71.641962
00602,-9.684204,0.122066,-1.004512,0.322479,0.507503,-0.094344,0.012112,0.026357,0.028237,-0.096844,0.001208,-0.010032,1.000000,0.000061,0.000132,0.000141,0.188574,-0.696448,0.263020,0.640485,145.597194,82.448007,-71.731111
00603,-9.634032,0.293002,-0.942070,0.171150,0.406922,-0.138338,0.007063,0.026953,0.020549,-0.096342,0.002920,-0.009408,1.000000,0.000035,0.000135,0.000103,0.188441,-0.696494,0.263094,0.640444,145.561069,82.430281,-71.762556
00604,-9.605540,0.397784,-0.820763,0.012283,0.397255,-0.172131,-0.006220,0.037472,0.022207,-0.096057,0.003967,-0.008190,1.000000,-0.000031,0.000187,0.000111,0.188267,-0.696559,0.263214,0.640374,145.517506,82.404603,-71.802025
00605,-9.595703,0.485649,-0.805990,-0.053100,0.339261,-0.177073,-0.030187,0.036041,0.021875,-0.095959,0.004845,-0.008043,1.000000,-0.000151,0.000180,0.000109,0.187965,-0.696677,0.263157,0.640358,145.477930,82.382172,-71.811371
