// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
05919,-1.227552,2.061860,9.614939,-0.016038,-0.020882,0.097132,-0.009855,0.055719,-0.022584,-0.012246,0.020625,0.096152,1.000000,-0.000049,0.000279,-0.000113,0.992221,0.104344,0.064046,0.022552,12.212828,7.029988,3.357152
05920,-1.230954,2.054756,9.638097,-0.010856,-0.030498,0.118533,-0.012569,0.055094,-0.026624,-0.012280,0.020555,0.096383,1.000000,-0.000063,0.000275,-0.000133,0.992217,0.104231,0.064310,0.022494,12.200621,7.061252,3.352970
05921,-1.234271,2.047451,9.661309,-0.005695,-0.040220,0.139936,-0.013770,0.053271,-0.023579,-0.012315,0.020483,0.096615,1.000000,-0.000069,0.000266,-0.000118,0.992213,0.104118,0.064563,0.022451,12.188528,7.090966,3.350544
05922,-1.243887,2.075327,9.643191,-0.013439,-0.007486,0.129401,-0.011002,0.053135,-0.024018,-0.012411,0.020760,0.096434,1.000000,-0.000055,0.000266,-0.000120,0.992209,0.104014,0.064816,0.022404,12.177366,7.120815,3.347580
05923,-1.277879,2.101211,9.626977,-0.044897,0.021270,0.123322,-0.011206,0.056073,-0.023753,-0.012749,0.021019,0.096272,1.000000,-0.000056,0.000280,-0.000119,0.992203,0.103914,0.065083,0.022362,12.166768,7.152118,3.345386
05924,-1.256955,2.095749,9.648297,-0.016030,0.015526,0.140263,-0.020476,0.051432,-0.027037,-0.012542,0.020969,0.096484,1.000000,-0.000102,0.000257,-0.000135,0.992204,0.103762,0.065329,0.022302,12.149942,7.181380,3.340501
05925,-1.306216,2.018592,9.634132,-0.059400,-0.057105,0.116593,-0.013683,0.052538,-0.028026,-0.013034,0.020194,0.096343,1.000000,-0.000068,0.000263,-0.000140,0.992200,0.103648,0.065580,0.022237,12.137564,7.211218,3.335449
05926,-1.291651,2.048348,9.614111,-0.043458,-0.020513,0.101590,-0.015155,0.054089,-0.027658,-0.012888,0.020493,0.096143,1.000000,-0.000076,0.000270,-0.000138,0.992198,0.103522,0.065840,0.022173,12.123779,7.242044,3.330523
05927,-1.294980,2.040649,9.637374,-0.038298,-0.030230,0.122996,-0.017726,0.051778,-0.030364,-0.012922,0.020417,0.096375,1.000000,-0.000089,0.000259,-0.000152,0.992197,0.103388,0.066088,0.022098,12.108899,7.271734,3.324043
05928,-1.274373,2.017003,9.629324,-0.013603,-0.047519,0.107684,-0.020027,0.046412,-0.022974,-0.012719,0.020181,0.096294,1.000000,-0.000100,0.000232,-0.000115,0.992199,0.103240,0.066307,0.022055,12.092535,7.297699,3.320819
05929,-1.297301,1.977816,9.672239,-0.024897,-0.093177,0.144102,-0.013237,0.047519,-0.023959,-0.012948,0.019786,0.096724,1.000000,-0.000066,0.000238,-0.000120,0.992196,0.103131,0.066531,0.022008,12.080613,7.324231,3.317425
05930,-1.283635,2.031356,9.658273,-0.010491,-0.034765,0.139953,-0.014451,0.045684,-0.020928,-0.012812,0.020322,0.096584,1.000000,-0.000072,0.000228,-0.000105,0.992195,0.103011,0.066746,0.021973,12.067572,7.349543,3.315253
05931,-1.293642,2.023164,9.581270,-0.026611,-0.025282,0.064868,-0.018422,0.043993,-0.017450,-0.012914,0.020242,0.095814,1.000000,-0.000092,0.000220,-0.000087,0.992195,0.102878,0.066948,0.021958,12.053092,7.373319,3.315099
05932,-1.344167,2.011094,9.608389,-0.068803,-0.042651,0.095182,-0.018067,0.039380,-0.016363,-0.013421,0.020121,0.096085,1.000000,-0.000090,0.000197,-0.000082,0.992198,0.102743,0.067129,0.021944,12.038210,7.394554,3.314736
05933,-1.297311,2.007701,9.628205,-0.016264,-0.044594,0.107693,-0.017710,0.034442,-0.022706,-0.012954,0.020087,0.096283,1.000000,-0.000089,0.000172,-0.000114,0.992201,0.102613,0.067287,0.021898,12.023606,7.413605,3.310449
05934,-1.327312,2.009407,9.606339,-0.046172,-0.037586,0.090731,-0.015919,0.029066,-0.017469,-0.013257,0.020103,0.096064,1.000000,-0.000080,0.000145,-0.000087,0.992206,0.102490,0.067418,0.021872,12.009712,7.429195,3.308206
05935,-1.313514,2.086563,9.598640,-0.033357,0.042535,0.097410,-0.013024,0.026910,-0.024006,-0.013120,0.020873,0.095987,1.000000,-0.000065,0.000135,-0.000120,0.992210,0.102383,0.067540,0.021814,11.997576,7.444178,3.302269
05936,-1.285902,2.052053,9.638054,0.002759,0.004766,0.124944,-0.012762,0.023527,-0.021340,-0.012845,0.020528,0.096381,1.000000,-0.000064,0.000118,-0.000107,0.992215,0.102275,0.067645,0.021765,11.985127,7.457128,3.297177
05937,-1.327966,1.945813,9.641489,-0.033268,-0.099986,0.111873,-0.013977,0.021362,-0.025747,-0.013267,0.019467,0.096415,1.000000,-0.000070,0.000107,-0.000129,0.992221,0.102164,0.067740,0.021696,11.972227,7.469205,3.289584
05938,-1.311931,1.999936,9.627840,-0.018892,-0.041572,0.107702,-0.001559,0.020482,-0.026294,-0.013107,0.020002,0.096280,1.000000,-0.000008,0.000102,-0.000131,0.992222,0.102109,0.067834,0.021617,11.965782,7.481039,3.281333
05939,-1.312622,1.975709,9.621695,-0.017879,-0.062851,0.096861,-0.004182,0.018936,-0.024514,-0.013115,0.019761,0.096218,1.000000,-0.000021,0.000095,-0.000123,0.992224,0.102047,0.067918,0.021550,11.958544,7.491608,3.274143
05940,-1.314476,1.992809,9.651075,-0.014247,-0.050620,0.129124,-0.004305,0.020635,-0.025838,-0.013132,0.019932,0.096512,1.000000,-0.000022,0.000103,-0.000129,0.992227,0.101979,0.068012,0.021474,11.950550,7.503465,3.266125
05941,-1.316863,1.992015,9.650914,-0.014788,-0.050079,0.129126,-0.005533,0.018785,-0.022824,-0.013157,0.019924,0.096510,1.000000,-0.000028,0.000094,-0.000114,0.992229,0.101912,0.068094,0.021415,11.942657,7.513748,3.259869
05942,-1.321300,1.997471,9.627070,-0.021002,-0.039199,0.107707,0.004111,0.018368,-0.015502,-0.013203,0.019974,0.096272,1.000000,0.000021,0.000092,-0.000078,0.992227,0.101889,0.068172,0.021387,11.940215,7.523111,3.257445
05943,-1.322881,2.015057,9.656391,-0.017405,-0.027068,0.139967,-0.004041,0.017252,-0.023171,-0.013218,0.020154,0.096565,1.000000,-0.000020,0.000086,-0.000116,0.992229,0.101829,0.068247,0.021325,11.933125,7.532574,3.250808
05944,-1.323455,1.991111,9.650198,-0.016356,-0.048242,0.129133,0.002411,0.022842,-0.014883,-0.013222,0.019911,0.096504,1.000000,0.000012,0.000114,-0.000074,0.992226,0.101797,0.068347,0.021303,11.929828,7.544379,3.249293
05945,-1.329986,2.020333,9.632216,-0.024162,-0.015652,0.118544,-0.001736,0.023291,-0.015670,-0.013287,0.020205,0.096324,1.000000,-0.000009,0.000116,-0.000078,0.992224,0.101750,0.068448,0.021280,11.924708,7.556337,3.247616
05946,-1.334381,2.043475,9.637894,-0.026249,0.006818,0.129376,-0.003162,0.024057,-0.019817,-0.013330,0.020438,0.096380,1.000000,-0.000016,0.000120,-0.000099,0.992224,0.101690,0.068556,0.021236,11.917859,7.569399,3.243399
05947,-1.310597,2.039428,9.659493,0.002593,0.001043,0.146365,-0.001706,0.022985,-0.023080,-0.013093,0.020397,0.096596,1.000000,-0.000009,0.000115,-0.000115,0.992223,0.101640,0.068659,0.021177,11.912197,7.582063,3.237492
05948,-1.358458,1.987246,9.650794,-0.042152,-0.049776,0.133575,-0.000593,0.026544,-0.027408,-0.013569,0.019875,0.096510,1.000000,-0.000003,0.000133,-0.000137,0.992221,0.101590,0.068784,0.021095,11.906300,7.597417,3.229295
05949,-1.343284,2.042338,9.636898,-0.027856,0.008543,0.129370,0.004612,0.030433,-0.026439,-0.013415,0.020423,0.096371,1.000000,0.000023,0.000152,-0.000132,0.992215,0.101570,0.068927,0.021021,11.904121,7.614652,3.222374
05950,-1.321932,2.062409,9.664267,-0.000568,0.024707,0.157191,0.003659,0.025029,-0.038520,-0.013203,0.020625,0.096645,1.000000,0.000018,0.000125,-0.000193,0.992213,0.101536,0.069050,0.020882,11.899803,7.630476,3.207729
05951,-1.320181,1.973447,9.616509,-0.000484,-0.051836,0.092459,0.000911,0.025178,-0.038068,-0.013186,0.019737,0.096167,1.000000,0.000005,0.000126,-0.000190,0.992211,0.101494,0.069172,0.020748,11.894542,7.646138,3.193601
05952,-1.345818,1.965129,9.641402,-0.018983,-0.065323,0.118323,0.004380,0.034007,-0.039391,-0.013438,0.019652,0.096417,1.000000,0.000022,0.000170,-0.000197,0.992206,0.101463,0.069340,0.020610,11.890704,7.667098,3.179543
