// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
15258,-4.379526,3.411805,8.116951,0.007544,0.049374,0.021084,0.002829,-0.013681,-0.017910,-0.043798,0.034121,0.081167,1.000000,0.000014,-0.000068,-0.000090,-0.736843,-0.286378,-0.062623,0.609204,22.659688,26.181156,-73.831201
15259,-4.294689,3.301229,8.162937,-0.085897,-0.057084,-0.016496,0.005354,0.001748,-0.013730,-0.042944,0.033013,0.081631,1.000000,0.000027,0.000009,-0.000069,-0.736792,-0.286402,-0.062637,0.609252,22.659424,26.185774,-73.838591
15260,-4.363664,3.164452,8.193574,-0.238920,-0.026633,-0.007985,0.011017,0.006217,-0.002461,-0.043634,0.031641,0.081939,1.000000,0.000055,0.000031,-0.000012,-0.736765,-0.286466,-0.062637,0.609254,22.665854,26.190646,-73.838281
15261,-4.274888,3.310212,8.217266,-0.088748,-0.102333,0.022824,0.035359,0.002231,0.006648,-0.042749,0.033086,0.082179,1.000000,0.000177,0.000011,0.000033,-0.736734,-0.286608,-0.062534,0.609236,22.688120,26.191023,-73.833556
15262,-4.342383,3.314824,8.187178,-0.097219,-0.030048,0.029258,0.042094,0.006927,0.011251,-0.043423,0.033129,0.081880,1.000000,0.000210,0.000035,0.000056,-0.736704,-0.286793,-0.062422,0.609197,22.715999,26.193238,-73.824990
15263,-4.350586,3.465412,8.085363,0.063357,0.040578,0.000779,0.043049,0.002054,0.013611,-0.043507,0.034634,0.080862,1.000000,0.000215,0.000010,0.000068,-0.736683,-0.286965,-0.062284,0.609156,22.744455,26.191975,-73.816214
15264,-4.334595,3.485463,8.172443,0.060060,-0.015738,0.072763,0.029730,0.001750,0.007733,-0.043347,0.034841,0.081730,1.000000,0.000149,0.000009,0.000039,-0.736661,-0.287088,-0.062196,0.609133,22.763773,26.192227,-73.810996
15265,-4.352269,3.447401,8.108269,0.034343,0.027454,0.014261,0.018673,-0.002880,0.004782,-0.043525,0.034465,0.081085,1.000000,0.000093,-0.000014,0.000024,-0.736649,-0.287153,-0.062127,0.609123,22.775434,26.190312,-73.808633
15266,-4.316952,3.437700,8.171125,0.015889,-0.035410,0.047314,0.020615,-0.003716,0.009232,-0.043173,0.034367,0.081714,1.000000,0.000103,-0.000019,0.000046,-0.736647,-0.287225,-0.062044,0.609100,22.789321,26.187342,-73.803884
15267,-4.356116,3.461216,8.139879,0.033988,0.015989,0.046926,0.022798,-0.004868,0.001323,-0.043563,0.034603,0.081402,1.000000,0.000114,-0.000024,0.000007,-0.736620,-0.287298,-0.061960,0.609107,22.802232,26.185146,-73.804049
15268,-4.320292,3.439617,8.097132,0.032368,0.004384,-0.011750,0.009120,-0.005031,0.004197,-0.043206,0.034392,0.080972,1.000000,0.000046,-0.000025,0.000021,-0.736619,-0.287323,-0.061915,0.609101,22.808082,26.182597,-73.802590
15269,-4.288871,3.427713,8.087446,0.030317,-0.018336,-0.037762,0.018048,-0.017564,-0.000349,-0.042896,0.034270,0.080874,1.000000,0.000090,-0.000088,-0.000002,-0.736598,-0.287339,-0.061801,0.609131,22.816453,26.174069,-73.806879
15270,-4.254785,3.588713,8.098507,0.185074,-0.037701,0.012393,0.009798,-0.008663,-0.006075,-0.042550,0.035884,0.080985,1.000000,0.000049,-0.000043,-0.000030,-0.736566,-0.287352,-0.061755,0.609168,22.819627,26.171885,-73.812365
15271,-4.350977,3.488145,8.114984,0.063192,0.028254,0.033446,-0.007525,-0.012395,-0.011813,-0.043513,0.034887,0.081146,1.000000,-0.000038,-0.000062,-0.000059,-0.736544,-0.287286,-0.061755,0.609225,22.810943,26.168632,-73.822115
15272,-4.292208,3.493943,8.104191,0.087736,-0.015476,0.000602,-0.017196,-0.014719,-0.016005,-0.042925,0.034950,0.081036,1.000000,-0.000086,-0.000074,-0.000080,-0.736523,-0.287179,-0.061783,0.609299,22.795414,26.165452,-73.834942
15273,-4.206195,3.531008,8.197374,0.122019,-0.131358,0.052651,-0.018225,-0.017173,-0.023507,-0.042065,0.035322,0.081967,1.000000,-0.000091,-0.000086,-0.000118,-0.736483,-0.287055,-0.061814,0.609403,22.777051,26.162268,-73.852749
15274,-4.228553,3.440562,8.185350,0.038155,-0.113905,0.021114,-0.024105,-0.001924,-0.028396,-0.042281,0.034421,0.081849,1.000000,-0.000121,-0.000010,-0.000142,-0.736430,-0.286957,-0.061929,0.609501,22.755742,26.168588,-73.869706
15275,-4.283000,3.420323,8.165061,0.014090,-0.059281,0.021295,-0.014914,0.005305,-0.031711,-0.042822,0.034216,0.081649,1.000000,-0.000075,0.000027,-0.000159,-0.736352,-0.286912,-0.062044,0.609604,22.739595,26.179080,-73.886789
15276,-4.354176,3.394648,8.161964,-0.023461,0.000161,0.041225,-0.025304,0.008194,-0.031049,-0.043533,0.033964,0.081617,1.000000,-0.000127,0.000041,-0.000155,-0.736290,-0.286839,-0.062203,0.609698,22.718002,26.191325,-73.902820
15277,-4.322469,3.344946,8.145060,-0.054174,-0.024215,-0.003972,-0.018717,0.003814,-0.029782,-0.043218,0.033464,0.081448,1.000000,-0.000094,0.000019,-0.000149,-0.736224,-0.286776,-0.062322,0.609794,22.700004,26.200592,-73.919146
15278,-4.344167,3.484442,8.135952,0.076496,0.011153,0.046362,-0.026367,0.002407,-0.031335,-0.043435,0.034862,0.081355,1.000000,-0.000132,0.000012,-0.000157,-0.736164,-0.286682,-0.062464,0.609897,22.677088,26.209830,-73.936784
15279,-4.386584,3.421157,8.148721,0.007776,0.035209,0.053761,-0.035722,0.002173,-0.030116,-0.043860,0.034233,0.081482,1.000000,-0.000179,0.000011,-0.000151,-0.736122,-0.286551,-0.062629,0.609992,22.649073,26.218294,-73.953721
15280,-4.376172,3.432074,8.165328,0.020897,0.018968,0.066675,-0.038489,-0.002445,-0.027628,-0.043758,0.034343,0.081646,1.000000,-0.000192,-0.000012,-0.000138,-0.736092,-0.286399,-0.062784,0.610084,22.619640,26.224134,-73.970378
15281,-4.385507,3.378447,8.143932,-0.020823,0.033262,0.034579,-0.054391,0.000112,-0.022264,-0.043851,0.033812,0.081430,1.000000,-0.000272,0.000001,-0.000111,-0.736102,-0.286195,-0.062987,0.610147,22.582744,26.229765,-73.983202
15282,-4.374613,3.388356,8.161209,-0.007702,0.017020,0.047494,-0.050610,-0.007294,-0.023930,-0.043745,0.033909,0.081602,1.000000,-0.000253,-0.000036,-0.000120,-0.736102,-0.285984,-0.063156,0.610228,22.546799,26.232209,-73.998876
15283,-4.299469,3.338983,8.151409,-0.027408,-0.046024,-0.010808,-0.054175,-0.008465,-0.014778,-0.042996,0.033415,0.081503,1.000000,-0.000271,-0.000042,-0.000074,-0.736137,-0.285758,-0.063317,0.610276,22.511045,26.231647,-74.009392
