// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36839,-4.655041,-0.471425,9.620594,0.508392,-0.797939,0.843405,-0.066325,0.089008,0.023490,-0.046507,-0.004688,0.096228,1.000000,-0.000332,0.000445,0.000117,0.656163,-0.139317,0.121324,0.731657,-0.325504,21.289535,96.166203
36840,-3.786096,-0.327507,9.351342,0.286792,-0.102538,0.276743,-0.000562,-0.018303,-0.012315,-0.037870,-0.003272,0.093510,1.000000,-0.000003,-0.000092,-0.000062,0.656186,-0.139266,0.121221,0.731663,-0.330923,21.277093,96.163707
36841,-3.497454,-0.258028,9.146386,0.198559,0.082700,-0.019380,0.028176,0.012777,-0.021066,-0.034969,-0.002589,0.091466,1.000000,0.000141,0.000064,-0.000105,0.656242,-0.139228,0.121321,0.731603,-0.320776,21.281581,96.156029
36842,-3.275386,0.421979,9.046041,-0.494072,0.179957,-0.197045,0.023512,0.031234,-0.022491,-0.032739,0.004213,0.090466,1.000000,0.000118,0.000156,-0.000112,0.656289,-0.139286,0.121462,0.731527,-0.314736,21.297489,96.147104
36843,-3.226393,0.327718,9.167778,-0.412811,0.284286,-0.101152,-0.043211,0.081260,-0.006704,-0.032227,0.003298,0.091690,1.000000,-0.000216,0.000406,-0.000034,0.656200,-0.139724,0.121535,0.731510,-0.342361,21.341257,96.148207
36844,-4.001137,-0.009243,9.342871,-0.014525,-0.326197,0.345650,-0.064901,0.078380,0.012379,-0.039975,-0.000065,0.093444,1.000000,-0.000325,0.000392,0.000062,0.656029,-0.140223,0.121531,0.731569,-0.379247,21.384297,96.160534
36845,-3.533106,-0.168304,9.128599,0.101445,0.051415,-0.023431,-0.040427,0.028917,0.009310,-0.035318,-0.001666,0.091291,1.000000,-0.000202,0.000145,0.000047,0.655917,-0.140451,0.121455,0.731639,-0.401573,21.398145,96.171436
36846,-3.130724,-0.112998,8.978286,0.009323,0.367919,-0.310668,-0.029346,0.079749,0.005042,-0.031271,-0.001118,0.089796,1.000000,-0.000147,0.000399,0.000025,0.655797,-0.140842,0.121580,0.731651,-0.419740,21.441950,96.179207
36847,-3.399013,-0.006478,9.044800,-0.076463,0.140666,-0.151626,-0.029052,0.117214,0.003494,-0.033937,-0.000052,0.090468,1.000000,-0.000145,0.000586,0.000017,0.655659,-0.141359,0.121830,0.731632,-0.437037,21.506332,96.186195
36848,-3.653758,-0.133494,9.158451,0.065989,-0.028327,0.048338,-0.025701,0.127618,0.006331,-0.036479,-0.001324,0.091608,1.000000,-0.000129,0.000638,0.000032,0.655507,-0.141913,0.122127,0.731612,-0.452901,21.577573,96.194510
36849,-3.546840,-0.145957,9.210200,0.062169,0.102304,0.057208,-0.009488,0.120835,-0.001573,-0.035413,-0.001455,0.092123,1.000000,-0.000047,0.000604,-0.000008,0.655400,-0.142382,0.122457,0.731562,-0.460149,21.644010,96.198250
36850,-3.832123,-0.145610,9.295631,0.085013,-0.119005,0.241850,0.011805,0.110044,0.009577,-0.038270,-0.001463,0.092977,1.000000,0.000059,0.000550,0.000048,0.655273,-0.142746,0.122835,0.731541,-0.453738,21.705198,96.208644
36851,-3.715993,-0.142315,9.156707,0.078018,-0.053498,0.069882,0.035648,0.087132,0.009933,-0.037120,-0.001441,0.091583,1.000000,0.000178,0.000436,0.000050,0.655176,-0.142938,0.123228,0.731525,-0.432448,21.752395,96.219741
36852,-3.554033,-0.114265,9.117682,0.037961,0.087931,-0.026618,0.036707,0.103438,0.008899,-0.035493,-0.001161,0.091195,1.000000,0.000184,0.000517,0.000044,0.655073,-0.143197,0.123675,0.731491,-0.411877,21.809789,96.229794
36853,-3.703125,-0.124315,9.138731,0.064888,-0.030515,0.048339,0.051561,0.107805,0.003590,-0.036982,-0.001267,0.091407,1.000000,0.000258,0.000539,0.000018,0.654997,-0.143415,0.124189,0.731429,-0.382952,21.868801,96.236862
36854,-3.780009,-0.041815,9.236199,-0.010979,-0.063811,0.166961,0.046596,0.108319,-0.003515,-0.037750,-0.000439,0.092382,1.000000,0.000233,0.000542,-0.000018,0.654943,-0.143667,0.124679,0.731344,-0.359539,21.928938,96.239293
36855,-3.901824,-0.070869,9.207001,0.034252,-0.173381,0.185657,0.046695,0.101651,-0.009828,-0.038971,-0.000728,0.092090,1.000000,0.000233,0.000508,-0.000049,0.654917,-0.143888,0.125145,0.731245,-0.336474,21.984394,96.238198
36856,-3.737973,0.059116,9.214822,-0.109323,-0.024142,0.130971,0.049201,0.092902,-0.017524,-0.037337,0.000572,0.092166,1.000000,0.000246,0.000465,-0.000088,0.654925,-0.144084,0.125585,0.731123,-0.314768,22.035650,96.232080
36857,-3.743782,0.124478,9.165302,-0.169180,-0.046108,0.086979,0.037182,0.092753,-0.011580,-0.037395,0.001230,0.091671,1.000000,0.000186,0.000464,-0.000058,0.654903,-0.144304,0.125986,0.731031,-0.297539,22.086030,96.229954
36858,-3.909568,-0.138242,9.403771,0.099063,-0.071713,0.371603,0.027755,0.090851,-0.000313,-0.039053,-0.001395,0.094055,1.000000,0.000139,0.000454,-0.000002,0.654834,-0.144552,0.126352,0.730980,-0.284111,22.136165,96.234515
36859,-4.293275,-0.275318,9.329710,0.281407,-0.431244,0.448225,0.075308,0.033910,0.008262,-0.042917,-0.002790,0.093303,1.000000,0.000377,0.000170,0.000041,0.654804,-0.144420,0.126714,0.730971,-0.240333,22.152915,96.244952
36860,-3.565295,-0.051177,9.159490,0.000414,0.153412,0.015164,0.092628,0.013345,0.005712,-0.035647,-0.000555,0.091597,1.000000,0.000463,0.000067,0.000029,0.654809,-0.144168,0.127069,0.730955,-0.188230,22.158649,96.253493
36861,-3.709159,0.015784,9.189673,-0.045136,0.027818,0.097175,0.082895,0.037334,0.009272,-0.037074,0.000118,0.091904,1.000000,0.000414,0.000187,0.000046,0.654777,-0.144024,0.127470,0.730942,-0.139896,22.177381,96.264653
36862,-3.686757,0.077189,9.145833,-0.099737,0.029198,0.048022,0.077651,0.033647,0.000777,-0.036852,0.000736,0.091465,1.000000,0.000388,0.000168,0.000004,0.654776,-0.143899,0.127833,0.730904,-0.097529,22.194728,96.270127
36863,-3.661931,0.119509,9.206634,-0.140902,0.074306,0.094924,0.064838,0.044194,0.005086,-0.036599,0.001164,0.092075,1.000000,0.000324,0.000221,0.000025,0.654742,-0.143841,0.128188,0.730883,-0.060488,22.217385,96.278670
36864,-3.800150,0.012838,9.149364,-0.013155,-0.058630,0.094308,0.065067,0.032366,0.001726,-0.037987,0.000098,0.091500,1.000000,0.000325,0.000162,0.000009,0.654729,-0.143752,0.128501,0.730858,-0.025096,22.233993,96.284758
36865,-3.695013,0.023222,9.134676,-0.027838,0.035019,0.040940,0.068712,0.036404,0.005002,-0.036934,0.000200,0.091354,1.000000,0.000344,0.000182,0.000025,0.654705,-0.143653,0.128844,0.730838,0.014137,22.252145,96.293093
36866,-3.775353,0.035449,9.136173,-0.026306,-0.035669,0.072768,0.070452,0.038316,-0.004292,-0.037736,0.000323,0.091369,1.000000,0.000352,0.000192,-0.000021,0.654714,-0.143571,0.129192,0.730785,0.051217,22.272156,96.295482
36867,-3.832614,0.094617,9.252899,-0.078491,-0.046592,0.202585,0.065027,0.042980,0.002570,-0.038306,0.000916,0.092538,1.000000,0.000325,0.000215,0.000013,0.654690,-0.143510,0.129542,0.730757,0.087797,22.294106,96.302548
36868,-3.754125,0.083457,9.195434,-0.067816,0.009036,0.119671,0.065488,0.029853,-0.003178,-0.037528,0.000805,0.091960,1.000000,0.000327,0.000149,-0.000016,0.654696,-0.143413,0.129844,0.730716,0.122304,22.309264,96.305645
36869,-3.962152,-0.005994,9.285307,0.044316,-0.135554,0.281631,0.064130,0.027042,0.010371,-0.039609,-0.000092,0.092858,1.000000,0.000321,0.000135,0.000052,0.654654,-0.143292,0.130144,0.730725,0.160212,22.322067,96.317512
36870,-3.774387,0.019815,9.129930,0.011721,-0.022155,0.066654,0.073680,0.011558,0.007054,-0.037739,0.000163,0.091302,1.000000,0.000368,0.000058,0.000035,0.654640,-0.143094,0.130424,0.730725,0.201815,22.326721,96.326934
36871,-3.631949,0.117055,9.078293,-0.090848,0.081245,-0.034891,0.076960,0.034306,0.004692,-0.036304,0.001135,0.090790,1.000000,0.000385,0.000172,0.000023,0.654624,-0.142961,0.130791,0.730701,0.245747,22.343703,96.335187
36872,-3.683136,0.211704,9.075555,-0.174509,0.027126,-0.017545,0.053330,0.047123,-0.005313,-0.036810,0.002094,0.090765,1.000000,0.000267,0.000236,-0.000027,0.654618,-0.142968,0.131105,0.730649,0.272823,22.368754,96.337055
36873,-3.658684,0.297895,9.069527,-0.259898,0.043207,-0.032012,0.029076,0.062159,-0.017209,-0.036558,0.002969,0.090707,1.000000,0.000145,0.000311,-0.000086,0.654628,-0.143108,0.131372,0.730564,0.284198,22.401737,96.331851
36874,-3.721938,0.290318,9.231564,-0.252622,0.053827,0.141818,-0.005391,0.075434,-0.020372,-0.037184,0.002909,0.092330,1.000000,-0.000027,0.000377,-0.000102,0.654616,-0.143421,0.131552,0.730480,0.274108,22.443050,96.324482
36875,-4.071448,0.051000,9.225304,0.018786,-0.238008,0.268410,-0.011618,0.051902,-0.015618,-0.040691,0.000519,0.092264,1.000000,-0.000058,0.000260,-0.000078,0.654600,-0.143655,0.131639,0.730434,0.262575,22.470154,96.320105
36876,-3.693227,0.038320,9.105710,-0.004313,0.069429,0.013325,0.005690,0.041899,-0.017140,-0.036913,0.000384,0.091065,1.000000,0.000028,0.000209,-0.000086,0.654606,-0.143806,0.131753,0.730378,0.259550,22.492242,96.314628
36877,-3.786751,0.084787,9.107796,-0.041498,-0.016636,0.051218,0.010406,0.049982,-0.009907,-0.037845,0.000845,0.091087,1.000000,0.000052,0.000250,-0.000050,0.654584,-0.143958,0.131917,0.730338,0.261962,22.518260,96.313991
36878,-3.773677,0.033501,9.051538,0.010043,-0.016012,-0.005968,0.011414,0.048554,-0.009743,-0.037715,0.000332,0.090525,1.000000,0.000057,0.000243,-0.000049,0.654563,-0.144110,0.132079,0.730298,0.263977,22.544142,96.313120
36879,-3.840897,-0.017374,9.155727,0.063950,-0.027740,0.115820,0.020311,0.054715,-0.007144,-0.038384,-0.000182,0.091568,1.000000,0.000102,0.000274,-0.000036,0.654534,-0.144245,0.132297,0.730258,0.272705,22.572868,96.314313
36880,-3.943297,0.013392,9.171757,0.044709,-0.114284,0.170089,0.034305,0.041389,0.001489,-0.039414,0.000118,0.091726,1.000000,0.000172,0.000207,0.000007,0.654493,-0.144289,0.132527,0.730244,0.290507,22.594613,96.320400
36881,-3.815603,0.013341,9.161588,0.035278,0.002650,0.111649,0.039910,0.033647,0.013367,-0.038141,0.000113,0.091622,1.000000,0.000200,0.000168,0.000067,0.654420,-0.144269,0.132763,0.730271,0.315336,22.611223,96.333903
36882,-3.825409,-0.040459,9.082651,0.096945,-0.027354,0.042250,0.056036,0.031854,0.017881,-0.038240,-0.000433,0.090832,1.000000,0.000280,0.000159,0.000089,0.654341,-0.144196,0.133053,0.730303,0.349501,22.627445,96.350151
36883,-3.692376,0.006536,9.130973,0.040990,0.111811,0.035874,0.072752,0.038427,0.025131,-0.036906,0.000028,0.091317,1.000000,0.000364,0.000192,0.000126,0.654244,-0.144079,0.133432,0.730344,0.395961,22.646752,96.371161
36884,-3.768094,0.008927,9.078509,0.055552,0.026860,0.016561,0.082858,0.050748,0.032333,-0.037658,0.000046,0.090795,1.000000,0.000414,0.000254,0.000162,0.654119,-0.143977,0.133892,0.730392,0.449007,22.673716,96.396501
36885,-3.771117,0.033264,9.095926,0.039892,0.033796,0.033913,0.099261,0.053170,0.038180,-0.037687,0.000280,0.090969,1.000000,0.000496,0.000266,0.000191,0.653982,-0.143818,0.134426,0.730447,0.513819,22.701370,96.425817
36886,-3.882114,-0.063453,9.186005,0.155418,-0.017005,0.158925,0.122253,0.046448,0.056082,-0.038800,-0.000702,0.091869,1.000000,0.000611,0.000232,0.000280,0.653802,-0.143557,0.135033,0.730549,0.595174,22.725684,96.465959
36887,-3.734353,0.074811,9.014549,0.021530,0.043094,-0.055089,0.142684,0.048298,0.044534,-0.037322,0.000675,0.090155,1.000000,0.000713,0.000241,0.000223,0.653676,-0.143234,0.135714,0.730598,0.686406,22.750437,96.499260
36888,-3.773662,0.414623,9.104120,-0.302702,0.011632,0.046606,0.121091,0.070543,0.029512,-0.037705,0.004086,0.091057,1.000000,0.000605,0.000353,0.000148,0.653574,-0.143081,0.136376,0.730596,0.760852,22.788638,96.523176
36889,-3.722177,0.518124,8.961939,-0.398419,0.000228,-0.102865,0.060981,0.074427,0.019489,-0.037189,0.005150,0.089635,1.000000,0.000305,0.000372,0.000097,0.653463,-0.143138,0.136826,0.730600,0.799408,22.828477,96.541197
36890,-3.507552,0.548401,8.795319,-0.443860,0.137524,-0.339284,0.007279,0.105666,-0.000808,-0.035029,0.005481,0.087972,1.000000,0.000036,0.000528,-0.000004,0.653367,-0.143506,0.137165,0.730550,0.801501,22.887013,96.546639
36891,-3.389822,0.764614,8.642256,-0.671134,0.174303,-0.523807,-0.064189,0.166987,-0.038279,-0.033825,0.007680,0.086448,1.000000,-0.000321,0.000835,-0.000191,0.653315,-0.144348,0.137419,0.730383,0.754750,22.980314,96.529318
36892,-3.805834,0.688391,9.395873,-0.590715,0.112604,0.330240,-0.177327,0.223329,-0.064797,-0.037951,0.006980,0.093995,0.999999,-0.000887,0.001117,-0.000324,0.653236,-0.145794,0.137422,0.730166,0.635799,23.106715,96.495700
36893,-4.706851,-0.185703,9.158178,0.358213,-0.693301,0.456301,-0.186114,0.134115,-0.064867,-0.047008,-0.001757,0.091615,0.999999,-0.000931,0.000671,-0.000324,0.653213,-0.146931,0.137104,0.730018,0.512491,23.181263,96.461439
36894,-3.550240,0.041176,8.967504,0.000988,0.275035,-0.171819,-0.130458,0.140492,-0.071906,-0.035439,0.000483,0.089700,0.999999,-0.000652,0.000702,-0.000360,0.653250,-0.147925,0.137002,0.729803,0.418151,23.260112,96.422374
36895,-3.932000,0.160814,9.071001,-0.100087,-0.032348,0.074599,-0.157737,0.181631,-0.076558,-0.039237,0.001695,0.090744,0.999999,-0.000789,0.000908,-0.000383,0.653254,-0.149152,0.136934,0.729563,0.308019,23.361862,96.380828
36896,-3.941135,0.145257,9.030544,-0.102956,-0.039563,0.040847,-0.178376,0.181079,-0.100081,-0.039329,0.001553,0.090340,0.999999,-0.000892,0.000905,-0.000500,0.653329,-0.150470,0.136768,0.729256,0.179002,23.463894,96.323889
36897,-3.753031,0.394666,8.988809,-0.391748,0.103823,-0.072289,-0.206507,0.195396,-0.119583,-0.037440,0.004062,0.089921,0.999999,-0.001033,0.000977,-0.000598,0.653442,-0.151935,0.136535,0.728895,0.029859,23.573413,96.254786
36898,-3.957112,0.471097,9.039399,-0.478742,-0.053798,0.054389,-0.280561,0.210073,-0.135935,-0.039473,0.004865,0.090429,0.999998,-0.001403,0.001050,-0.000680,0.653547,-0.153715,0.136063,0.728515,-0.167185,23.691747,96.174702
36899,-4.017067,0.288993,9.114886,-0.331455,-0.042209,0.146715,-0.344834,0.204525,-0.145985,-0.040075,0.003076,0.091185,0.999998,-0.001724,0.001023,-0.000730,0.653638,-0.155683,0.135334,0.728151,-0.402861,23.805970,96.088472
36900,-4.259781,-0.086877,9.127207,0.024147,-0.202204,0.257941,-0.373250,0.188807,-0.144239,-0.042512,-0.000668,0.091314,0.999998,-0.001866,0.000944,-0.000721,0.653710,-0.157693,0.134448,0.727818,-0.655831,23.911482,96.002131
36901,-4.353627,-0.519242,9.503258,0.401855,-0.076113,0.645237,-0.340105,0.159273,-0.124672,-0.043464,-0.005004,0.095076,0.999998,-0.001701,0.000796,-0.000623,0.653753,-0.159465,0.133604,0.727550,-0.883974,23.999288,95.928425
36902,-4.814640,-1.243754,9.241550,1.149491,-0.512413,0.606045,-0.189300,0.075112,-0.075603,-0.048116,-0.012332,0.092445,0.999999,-0.000947,0.000376,-0.000378,0.653793,-0.160413,0.133069,0.727403,-1.014155,24.039736,95.885363
36903,-4.176544,-0.904716,9.249528,0.739163,0.037053,0.349402,-0.025359,0.032568,-0.036720,-0.041752,-0.009028,0.092503,1.000000,-0.000127,0.000163,-0.000184,0.653852,-0.160637,0.133026,0.727309,-1.039351,24.055611,95.867369
36904,-4.139767,-0.546585,9.138283,0.386877,-0.012025,0.226975,0.065910,0.007613,-0.006031,-0.041394,-0.005495,0.091383,1.000000,0.000330,0.000038,-0.000030,0.653888,-0.160459,0.133254,0.727273,-1.005260,24.058053,95.868640
36905,-4.034149,-0.224800,9.145645,0.063697,0.052305,0.185359,0.087306,-0.000936,0.013284,-0.040342,-0.002291,0.091455,1.000000,0.000437,-0.000005,0.000066,0.653876,-0.160160,0.133550,0.727296,-0.953072,24.055262,95.882557
36906,-4.033123,-0.196236,9.041331,0.050420,0.008229,0.089213,0.104673,-0.007326,0.021952,-0.040334,-0.002014,0.090411,1.000000,0.000523,-0.000037,0.000110,0.653852,-0.159783,0.133893,0.727337,-0.889554,24.049401,95.901538
36907,-3.944562,0.091734,9.075573,-0.236621,0.071398,0.080387,0.088227,0.001337,0.023239,-0.039445,0.000873,0.090756,1.000000,0.000441,0.000007,0.000116,0.653805,-0.159481,0.134208,0.727388,-0.834307,24.047973,95.921346
36908,-3.986493,0.176370,9.020765,-0.307092,0.002785,0.046477,0.052022,0.007515,0.009607,-0.039862,0.001738,0.090210,1.000000,0.000260,0.000038,0.000048,0.653773,-0.159338,0.134398,0.727412,-0.804172,24.050482,95.932438
36909,-3.995144,0.175593,9.053762,-0.304690,0.009142,0.080224,0.008736,0.011358,-0.000186,-0.039946,0.001752,0.090540,1.000000,0.000044,0.000057,-0.000001,0.653738,-0.159350,0.134438,0.727434,-0.800449,24.054625,95.937943
36910,-4.131607,-0.000467,9.037887,-0.116746,-0.101499,0.123592,-0.015077,0.007698,-0.006924,-0.041313,0.000004,0.090380,1.000000,-0.000075,0.000038,-0.000035,0.653713,-0.159438,0.134372,0.727449,-0.812985,24.057103,95.938663
36911,-4.115144,-0.100149,9.048562,-0.020977,-0.071648,0.127904,-0.002020,-0.002581,-0.004179,-0.041153,-0.001000,0.090485,1.000000,-0.000010,-0.000013,-0.000021,0.653696,-0.159436,0.134324,0.727474,-0.816365,24.053211,95.941450
36912,-4.104862,-0.188713,9.112590,0.061639,-0.027559,0.183324,-0.007287,-0.004712,-0.003601,-0.041051,-0.001883,0.091125,1.000000,-0.000036,-0.000024,-0.000018,0.653673,-0.159451,0.134248,0.727505,-0.823544,24.048607,95.944365
36913,-4.057932,-0.184709,9.017123,0.059173,-0.025128,0.076969,0.021395,-0.012495,0.002767,-0.040585,-0.001857,0.090168,1.000000,0.000107,-0.000062,0.000014,0.653655,-0.159332,0.134258,0.727546,-0.811733,24.039114,95.951773
36914,-4.024437,-0.037487,8.969937,-0.085929,-0.030944,0.018332,0.019871,-0.006680,0.001330,-0.040247,-0.000384,0.089698,1.000000,0.000099,-0.000033,0.000007,0.653637,-0.159248,0.134279,0.727577,-0.802085,24.033422,95.957797
36915,-4.046242,-0.148772,9.023897,0.025130,-0.018041,0.077913,0.009961,-0.013208,0.004408,-0.040468,-0.001493,0.090236,1.000000,0.000050,-0.000066,0.000022,0.653604,-0.159163,0.134247,0.727631,-0.796400,24.023537,95.966139
36916,-4.082600,-0.248140,9.040197,0.128199,-0.035141,0.108839,0.027907,-0.014888,0.006019,-0.040833,-0.002495,0.090399,1.000000,0.000140,-0.000074,0.000030,0.653581,-0.159020,0.134273,0.727678,-0.780924,24.013178,95.975172
36917,-3.979295,-0.108366,9.026204,-0.016407,0.036119,0.052266,0.041384,-0.017064,0.004765,-0.039801,-0.001103,0.090258,1.000000,0.000207,-0.000085,0.000024,0.653575,-0.158818,0.134343,0.727714,-0.757153,24.001092,95.983710
36918,-4.036182,-0.049000,9.019389,-0.066190,-0.026247,0.068480,0.034992,-0.012565,0.002186,-0.040367,-0.000506,0.090191,1.000000,0.000175,-0.000063,0.000011,0.653571,-0.158662,0.134400,0.727742,-0.738610,23.992029,95.990311
36919,-3.968171,-0.084173,9.013488,-0.034934,0.035855,0.035862,0.020141,-0.007955,-0.001089,-0.039685,-0.000851,0.090133,1.000000,0.000101,-0.000040,-0.000005,0.653562,-0.158567,0.134417,0.727767,-0.728568,23.985107,95.995152
36920,-4.058163,-0.171223,9.054291,0.060093,-0.020982,0.110727,0.033217,-0.010945,-0.000627,-0.040587,-0.001727,0.090540,1.000000,0.000166,-0.000055,-0.000003,0.653565,-0.158425,0.134471,0.727786,-0.711769,23.976949,95.999970
36921,-4.048497,-0.149510,9.040923,0.041871,-0.020883,0.094319,0.047065,-0.006821,0.000162,-0.040488,-0.001516,0.090407,1.000000,0.000235,-0.000034,0.000001,0.653573,-0.158245,0.134591,0.727795,-0.685977,23.970703,96.005587
36922,-4.007772,-0.015010,9.064743,-0.092880,0.010080,0.098080,0.048858,-0.013907,-0.000815,-0.040084,-0.000172,0.090645,1.000000,0.000244,-0.000070,-0.000004,0.653591,-0.158041,0.134691,0.727805,-0.660260,23.960844,96.010301
36923,-3.990317,0.010453,9.017851,-0.113633,0.003363,0.047914,0.037227,-0.004274,-0.005076,-0.039905,0.000089,0.090178,1.000000,0.000186,-0.000021,-0.000025,0.653608,-0.157906,0.134780,0.727803,-0.641462,23.956025,96.012632
36924,-4.018270,0.045828,9.086269,-0.147773,0.001122,0.121447,0.019559,-0.003893,-0.009071,-0.040184,0.000451,0.090862,1.000000,0.000098,-0.000019,-0.000045,0.653626,-0.157840,0.134800,0.727797,-0.634665,23.951847,96.012094
36925,-4.112717,-0.099678,9.048683,0.009608,-0.084990,0.126917,0.026844,-0.011922,-0.006989,-0.041133,-0.001007,0.090484,1.000000,0.000134,-0.000060,-0.000035,0.653648,-0.157712,0.134825,0.727800,-0.622271,23.942628,96.013121
36926,-4.012075,0.010010,8.994684,-0.104102,-0.028405,0.035640,0.029537,-0.009802,-0.006947,-0.040125,0.000088,0.089945,1.000000,0.000148,-0.000049,-0.000035,0.653670,-0.157591,0.134863,0.727800,-0.609201,23.935078,96.013952
36927,-4.032846,-0.086359,9.068642,-0.008635,-0.008088,0.112605,0.013893,-0.006838,-0.006763,-0.040332,-0.000869,0.090685,1.000000,0.000069,-0.000034,-0.000034,0.653677,-0.157524,0.134857,0.727809,-0.604189,23.928790,96.015188
