// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
14797,-9.431286,-1.665223,-1.493426,-0.780734,-0.880228,-0.191457,-0.148765,0.006399,-0.201030,-0.094330,-0.016569,-0.014919,0.999999,-0.000744,0.000032,-0.001005,0.609570,0.232062,0.721626,-0.232010,-160.807231,80.910744,160.754289
14798,-9.478938,-1.905227,-1.418407,-0.852139,-1.107574,-0.141124,-0.120852,0.014466,-0.175896,-0.094807,-0.018977,-0.014166,0.999999,-0.000604,0.000072,-0.000879,0.609489,0.231103,0.721983,-0.232068,-160.327375,80.874751,161.310757
14799,-9.610314,-1.697470,-1.323908,-0.620233,-1.001591,-0.034938,-0.116049,0.025270,-0.146807,-0.096117,-0.016912,-0.013217,1.000000,-0.000580,0.000126,-0.000734,0.609394,0.230276,0.722336,-0.232041,-159.959622,80.837652,161.750963
14800,-9.646399,-1.323656,-1.236591,-0.307311,-0.757162,-0.031763,-0.093534,0.031067,-0.125498,-0.096474,-0.013182,-0.012345,1.000000,-0.000468,0.000155,-0.000627,0.609279,0.229600,0.722653,-0.232025,-159.659335,80.801525,162.109826
14801,-9.577832,-1.019436,-1.211608,-0.102952,-0.525613,-0.119637,-0.136671,0.035116,-0.099933,-0.095786,-0.010155,-0.012092,1.000000,-0.000683,0.000176,-0.000500,0.609227,0.228890,0.723004,-0.231769,-159.476407,80.767815,162.374848
14802,-9.469648,-1.256793,-1.087068,-0.160856,-0.782693,-0.231612,-0.169516,0.051416,-0.074644,-0.094704,-0.012542,-0.010836,1.000000,-0.000848,0.000257,-0.000373,0.609183,0.228190,0.723413,-0.231299,-159.416317,80.730637,162.534544
14803,-9.471933,-1.796650,-1.356993,-0.692177,-1.046172,-0.157984,-0.179374,0.073275,-0.047453,-0.094729,-0.017956,-0.013519,1.000000,-0.000897,0.000366,-0.000237,0.609101,0.227584,0.723869,-0.230685,-159.479478,80.686922,162.575056
14804,-9.535098,-1.686503,-1.432301,-0.665926,-0.921853,-0.090517,-0.118776,0.083898,-0.021516,-0.095359,-0.016863,-0.014273,1.000000,-0.000594,0.000419,-0.000108,0.608943,0.227267,0.724256,-0.230200,-159.604264,80.642984,162.517997
14805,-9.535827,-1.259435,-1.388232,-0.364478,-0.618373,-0.120932,-0.122232,0.094413,-0.000092,-0.095365,-0.012603,-0.013830,1.000000,-0.000611,0.000472,-0.000000,0.608773,0.227031,0.724655,-0.229624,-159.813370,80.597350,162.377413
14806,-9.434772,-1.181920,-1.315439,-0.270016,-0.605706,-0.236548,-0.146213,0.109784,0.015488,-0.094354,-0.011836,-0.013094,1.000000,-0.000731,0.000549,0.000077,0.608594,0.226793,0.725110,-0.228897,-160.101787,80.546670,162.170428
