// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
39374,-8.595813,-2.400541,-1.910309,-0.195792,0.349033,-0.694589,-0.242314,-0.022948,-0.032615,-0.085960,-0.024015,-0.019084,0.999999,-0.001212,-0.000115,-0.000163,-0.246711,-0.622481,-0.454638,0.587330,-129.696942,72.848974,110.506311
39375,-8.552195,-2.506727,-2.076502,-0.211311,0.548724,-0.680884,-0.239061,-0.023113,-0.029848,-0.085523,-0.025079,-0.020745,0.999999,-0.001195,-0.000116,-0.000149,-0.247467,-0.622055,-0.455370,0.586895,-129.770927,72.850831,110.573170
39376,-8.475181,-2.378695,-2.190823,-0.056092,0.605859,-0.761920,-0.202100,-0.019313,-0.027656,-0.084753,-0.023797,-0.021892,0.999999,-0.001011,-0.000097,-0.000138,-0.248057,-0.621729,-0.455939,0.586550,-129.832032,72.852227,110.621849
39377,-8.474654,-2.156671,-2.277973,0.174140,0.575407,-0.796106,-0.186247,0.006477,-0.032043,-0.084751,-0.021574,-0.022757,1.000000,-0.000931,0.000032,-0.000160,-0.248575,-0.621450,-0.456558,0.586145,-129.915324,72.842297,110.647299
39378,-8.666312,-1.797884,-2.353613,0.536073,0.418411,-0.679539,-0.175895,0.025270,-0.033926,-0.086669,-0.017985,-0.023509,1.000000,-0.000879,0.000126,-0.000170,-0.248961,-0.621273,-0.457122,0.585728,-130.017229,72.824600,110.637136
39379,-8.832209,-1.565028,-2.273810,0.709525,0.195199,-0.588485,-0.221404,0.017299,-0.044478,-0.088328,-0.015656,-0.022713,0.999999,-0.001107,0.000086,-0.000222,-0.249526,-0.620952,-0.457896,0.585224,-130.121117,72.805252,110.662117
39380,-8.935338,-1.780386,-2.329756,0.559136,0.308839,-0.430269,-0.272270,0.001882,-0.065042,-0.089359,-0.017806,-0.023272,0.999999,-0.001361,0.000009,-0.000325,-0.250173,-0.620515,-0.458808,0.584697,-130.208101,72.782586,110.725343
39381,-9.062046,-2.186419,-2.502669,0.303522,0.597612,-0.183815,-0.225098,0.077661,-0.065890,-0.090637,-0.021862,-0.024967,0.999999,-0.001125,0.000388,-0.000329,-0.250548,-0.620314,-0.459733,0.584022,-130.373385,72.731544,110.688263
39382,-9.614326,-2.595236,-2.649405,0.075007,0.743945,0.464996,-0.188883,0.060246,-0.041121,-0.096157,-0.025958,-0.026441,0.999999,-0.000944,0.000301,-0.000206,-0.250872,-0.620205,-0.460400,0.583473,-130.523040,72.697702,110.635924
39383,-9.735331,-2.746237,-2.299861,-0.221510,0.474448,0.547509,-0.142553,0.050274,-0.015003,-0.097361,-0.027471,-0.022955,1.000000,-0.000713,0.000251,-0.000075,-0.251202,-0.620145,-0.460891,0.583008,-130.662654,72.678953,110.576178
