// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11479,-3.646156,0.412104,9.546233,0.178342,-0.285559,0.408931,-0.000653,0.130004,-0.064058,-0.036398,0.004133,0.095486,1.000000,-0.000003,0.000650,-0.000320,-0.743458,0.087395,-0.148168,-0.646281,3.744106,19.467761,82.642690
11480,-3.909443,0.664341,9.508977,-0.107301,-0.495236,0.477549,-0.002996,0.078875,-0.050003,-0.039055,0.006655,0.095105,1.000000,-0.000015,0.000394,-0.000250,-0.743517,0.087705,-0.148398,-0.646117,3.731617,19.512263,82.623195
11481,-3.566917,0.661779,9.390239,-0.076925,-0.206971,0.251540,0.008152,0.049735,-0.057435,-0.035644,0.006624,0.093912,1.000000,0.000041,0.000249,-0.000287,-0.743629,0.087883,-0.148559,-0.645928,3.724208,19.540823,82.597781
11482,-3.164766,0.551513,9.134777,0.052072,0.075047,-0.129933,-0.000686,0.051865,-0.066094,-0.031622,0.005526,0.091356,1.000000,-0.000003,0.000259,-0.000330,-0.743761,0.088109,-0.148690,-0.645715,3.709389,19.570473,82.567433
11483,-3.235153,0.688134,9.195847,-0.086338,0.055972,-0.040649,-0.002698,0.071920,-0.070721,-0.032316,0.006894,0.091970,1.000000,-0.000013,0.000360,-0.000354,-0.743893,0.088409,-0.148893,-0.645475,3.693311,19.612202,82.534803
11484,-3.319655,0.635109,9.290717,-0.036498,0.007600,0.073642,-0.014667,0.079149,-0.075934,-0.033157,0.006371,0.092920,1.000000,-0.000073,0.000396,-0.000380,-0.744030,0.088783,-0.149075,-0.645223,3.668780,19.657796,82.499513
11485,-3.356307,0.804544,9.195512,-0.222458,-0.023532,0.006655,-0.039097,0.072760,-0.081516,-0.033526,0.008077,0.091966,1.000000,-0.000195,0.000364,-0.000408,-0.744181,0.089229,-0.149158,-0.644969,3.629587,19.700365,82.460304
11486,-3.311242,0.787474,9.168238,-0.207862,0.015997,-0.035287,-0.033439,0.092183,-0.074620,-0.033067,0.007902,0.091696,1.000000,-0.000167,0.000461,-0.000373,-0.744295,0.089713,-0.149329,-0.644730,3.594660,19.753325,82.426234
11487,-2.900370,0.825232,9.111721,-0.206108,0.397297,-0.225390,-0.077403,0.106852,-0.069536,-0.028952,0.008298,0.091129,1.000000,-0.000387,0.000534,-0.000348,-0.744363,0.090403,-0.149421,-0.644534,3.536340,19.814909,82.395502
11488,-4.061463,0.592213,9.790155,-0.054142,-0.487268,0.791696,-0.028223,0.112884,-0.035932,-0.040558,0.005943,0.097924,1.000000,-0.000141,0.000564,-0.000180,-0.744340,0.090905,-0.149703,-0.644425,3.512545,19.878296,82.385616
11489,-3.806649,0.488337,9.262387,0.019903,-0.430806,0.204042,-0.060041,0.032248,-0.031605,-0.038051,0.004917,0.092629,1.000000,-0.000300,0.000161,-0.000158,-0.744349,0.091261,-0.149591,-0.644390,3.470999,19.895856,82.375079
11490,-3.165726,0.460255,9.290242,0.126336,0.176263,0.010510,-0.015830,0.058956,-0.034182,-0.031629,0.004615,0.092911,1.000000,-0.000079,0.000295,-0.000171,-0.744365,0.091543,-0.149713,-0.644303,3.453954,19.928329,82.364197
11491,-3.266281,0.435071,9.238280,0.130591,0.068050,-0.005445,-0.028536,0.066801,-0.045740,-0.032631,0.004371,0.092393,1.000000,-0.000143,0.000334,-0.000229,-0.744408,0.091903,-0.149824,-0.644176,3.427924,19.966137,82.346305
11492,-3.978688,0.543128,9.591832,-0.030718,-0.455837,0.575742,-0.005589,0.058697,-0.045423,-0.039757,0.005443,0.095930,1.000000,-0.000028,0.000293,-0.000227,-0.744466,0.092154,-0.149973,-0.644039,3.414383,19.998840,82.328543
11493,-3.418217,0.786725,9.228023,-0.241682,-0.012567,0.056506,-0.031477,0.014506,-0.044513,-0.034174,0.007889,0.092281,1.000000,-0.000157,0.000073,-0.000223,-0.744542,0.092357,-0.149881,-0.643943,3.386234,20.006699,82.309473
11494,-3.285025,0.847169,9.228095,-0.288124,0.123900,0.014237,-0.021564,0.042154,-0.032733,-0.032829,0.008487,0.092287,1.000000,-0.000108,0.000211,-0.000164,-0.744564,0.092604,-0.149922,-0.643873,3.365960,20.029498,82.298810
11495,-3.341833,0.825464,9.095747,-0.291971,0.028627,-0.091794,-0.060637,0.045533,-0.033044,-0.033396,0.008288,0.090963,1.000000,-0.000303,0.000228,-0.000165,-0.744567,0.093007,-0.149857,-0.643827,3.323884,20.054698,82.287811
11496,-3.110327,0.863548,9.080338,-0.309153,0.251033,-0.183887,-0.086709,0.066169,-0.034549,-0.031072,0.008680,0.090810,1.000000,-0.000434,0.000331,-0.000173,-0.744546,0.093575,-0.149777,-0.643788,3.266171,20.091280,82.276845
11497,-3.321037,0.656759,9.306572,-0.117648,0.107899,0.089202,-0.110026,0.105830,-0.042250,-0.033160,0.006626,0.093080,1.000000,-0.000550,0.000529,-0.000211,-0.744510,0.094362,-0.149773,-0.643715,3.194576,20.151235,82.262249
11498,-3.786360,0.812334,9.328384,-0.338939,-0.283383,0.277900,-0.126056,0.076402,-0.034469,-0.037827,0.008189,0.093293,1.000000,-0.000630,0.000382,-0.000172,-0.744461,0.095110,-0.149605,-0.643700,3.114401,20.193644,82.251573
11499,-2.967141,0.784138,8.828070,-0.270357,0.316962,-0.475663,-0.156586,0.099621,-0.035025,-0.029626,0.007916,0.088289,1.000000,-0.000783,0.000498,-0.000175,-0.744383,0.096044,-0.149431,-0.643692,3.017509,20.249795,82.240985
11500,-2.451140,1.184995,8.534079,-0.645807,0.773888,-0.911744,-0.229491,0.181647,-0.043592,-0.024431,0.011953,0.085349,0.999999,-0.001147,0.000908,-0.000218,-0.744234,0.097522,-0.149317,-0.643668,2.877205,20.352656,82.227877
11501,-2.324854,0.800254,9.136563,-0.213074,1.060697,-0.413138,-0.300599,0.302449,-0.038576,-0.023109,0.008144,0.091388,0.999998,-0.001503,0.001512,-0.000193,-0.743943,0.099647,-0.149432,-0.643653,2.699059,20.524879,82.220851
11502,-6.169934,0.779153,10.430234,-0.577664,-2.041394,2.144063,-0.193238,0.199471,0.029555,-0.061596,0.007883,0.104356,0.999999,-0.000966,0.000997,0.000148,-0.743559,0.100993,-0.149536,-0.643862,2.595152,20.635941,82.252367
11503,-3.233773,0.169616,8.746281,0.221364,0.029501,-0.488870,-0.271536,0.069374,0.030940,-0.032308,0.001810,0.087472,0.999999,-0.001358,0.000347,0.000155,-0.743229,0.102207,-0.148912,-0.644197,2.446145,20.673019,82.280713
11504,-2.631708,0.588449,9.179442,-0.098630,0.812969,-0.280447,-0.246597,0.172863,0.033619,-0.026239,0.005993,0.091810,0.999999,-0.001233,0.000864,0.000168,-0.742822,0.103661,-0.148747,-0.644472,2.312192,20.768889,82.313514
11505,-3.616434,-0.021962,9.120084,0.357832,-0.190823,-0.010112,-0.230532,0.182263,0.028113,-0.036081,-0.000120,0.091234,0.999999,-0.001153,0.000911,0.000141,-0.742435,0.105088,-0.148673,-0.644705,2.187044,20.870739,82.342688
11506,-3.552697,-0.312298,9.237581,0.646991,-0.112659,0.067633,-0.197237,0.192587,0.034090,-0.035437,-0.003038,0.092413,0.999999,-0.000986,0.000963,0.000170,-0.742034,0.106422,-0.148739,-0.644931,2.081605,20.978022,82.375834
11507,-3.564763,0.164549,9.231161,0.162885,-0.036937,0.082817,-0.121795,0.174269,0.049774,-0.035568,0.001693,0.092342,0.999999,-0.000609,0.000871,0.000249,-0.741637,0.107404,-0.148996,-0.645166,2.023380,21.074949,82.417794
11508,-3.239983,0.439958,9.025825,-0.092388,0.250080,-0.216571,-0.103862,0.208247,0.062070,-0.032307,0.004436,0.090290,0.999999,-0.000519,0.001041,0.000310,-0.741182,0.108421,-0.149437,-0.645416,1.977786,21.190711,82.468229
11509,-3.251321,0.678663,8.703126,-0.364843,0.181335,-0.506237,-0.187924,0.237437,0.024263,-0.032411,0.006864,0.087063,0.999999,-0.000940,0.001187,0.000121,-0.740782,0.109870,-0.149700,-0.645570,1.876559,21.324369,82.495743
11510,-1.897965,0.581884,8.348843,-0.148953,1.319029,-1.334368,-0.276953,0.355266,-0.030668,-0.018830,0.005937,0.083514,0.999997,-0.001385,0.001776,-0.000153,-0.740418,0.112072,-0.150075,-0.645522,1.712099,21.526158,82.491613
11511,-4.110730,-0.786981,9.722958,1.028488,-0.380962,0.715857,-0.165860,0.434865,-0.000713,-0.040896,-0.007789,0.097325,0.999997,-0.000829,0.002174,-0.000004,-0.739957,0.114093,-0.151125,-0.645451,1.619136,21.773346,82.506651
11512,-4.909434,-0.124366,9.658805,0.263882,-1.005968,0.972896,-0.106483,0.297955,0.021354,-0.048950,-0.001197,0.096662,0.999999,-0.000532,0.001490,0.000107,-0.739558,0.115439,-0.151867,-0.645495,1.563614,21.941469,82.532858
11513,-4.672236,-0.262384,9.728668,0.432059,-0.751949,0.948049,-0.043631,0.243070,0.009823,-0.046604,-0.002605,0.097344,0.999999,-0.000218,0.001215,0.000049,-0.739274,0.116382,-0.152607,-0.645477,1.541741,22.078724,82.550734
11514,-4.316536,-0.268154,9.412192,0.456935,-0.522084,0.522319,-0.009440,0.148778,-0.007920,-0.043095,-0.002675,0.094154,1.000000,-0.000047,0.000744,-0.000040,-0.739137,0.116909,-0.153092,-0.645424,1.534140,22.161878,82.556245
11515,-3.738796,0.179155,9.047444,0.056468,-0.050599,-0.021816,-0.006595,0.125054,-0.023432,-0.037331,0.001799,0.090498,1.000000,-0.000033,0.000625,-0.000117,-0.739071,0.117360,-0.153496,-0.645322,1.524956,22.232111,82.551510
11516,-3.218696,0.450172,8.912833,-0.158582,0.428195,-0.336785,0.003734,0.165149,-0.010511,-0.032113,0.004502,0.089155,1.000000,0.000019,0.000826,-0.000053,-0.738936,0.117894,-0.154083,-0.645238,1.524405,22.324682,82.555673
11517,-3.339683,0.957072,8.851229,-0.678112,0.382113,-0.335987,-0.019243,0.205151,0.002254,-0.033306,0.009579,0.088546,0.999999,-0.000096,0.001026,0.000011,-0.738716,0.118630,-0.154757,-0.645194,1.514523,22.440378,82.568348
11518,-2.537978,0.833472,8.399213,-0.495663,0.951475,-1.064445,-0.085970,0.271748,0.011766,-0.025266,0.008369,0.084023,0.999999,-0.000430,0.001359,0.000059,-0.738373,0.119821,-0.155461,-0.645198,1.468522,22.593675,82.587994
11519,-3.348338,0.627951,8.969338,-0.347192,0.425434,-0.233905,-0.056338,0.368007,0.058839,-0.033320,0.006295,0.089753,0.999998,-0.000282,0.001840,0.000294,-0.737820,0.121174,-0.156650,-0.645290,1.452026,22.801778,82.638067
11520,-4.178088,0.812876,8.919609,-0.634705,-0.292756,0.045708,-0.147420,0.338492,0.050127,-0.041632,0.008184,0.089261,0.999998,-0.000737,0.001692,0.000251,-0.737259,0.122777,-0.157424,-0.645440,1.380552,22.992785,82.682427
11521,-3.058974,-0.090055,8.681444,0.366071,0.549867,-0.631380,-0.161098,0.403648,0.039613,-0.030414,-0.000837,0.086877,0.999998,-0.000805,0.002018,0.000198,-0.736670,0.124645,-0.158394,-0.645517,1.299795,23.221643,82.720829
11522,-4.868154,0.003300,9.497386,0.121145,-0.729781,0.833996,-0.045860,0.402724,0.101158,-0.048490,0.000030,0.095072,0.999998,-0.000229,0.002014,0.000506,-0.735951,0.126040,-0.159763,-0.645729,1.299682,23.448863,82.797654
11523,-4.627061,-0.015136,9.192445,0.149972,-0.595712,0.460264,-0.068660,0.307191,0.118340,-0.046129,-0.000147,0.091995,0.999999,-0.000343,0.001536,0.000592,-0.735236,0.127193,-0.160723,-0.646079,1.291199,23.621472,82.884001
11524,-3.872461,0.162312,9.041839,0.056511,0.083425,0.024331,0.022060,0.292574,0.162568,-0.038594,0.001582,0.090475,0.999999,0.000110,0.001463,0.000813,-0.734445,0.127932,-0.161944,-0.646528,1.345379,23.784765,82.997953
11525,-3.755255,0.233552,9.009103,0.010181,0.213897,-0.051822,0.046600,0.316217,0.195036,-0.037412,0.002278,0.090151,0.999998,0.000233,0.001581,0.000975,-0.733545,0.128628,-0.163359,-0.647055,1.423075,23.961397,83.132605
11526,-4.872167,0.218318,9.417324,-0.055404,-0.608989,0.774930,-0.035578,0.295273,0.151537,-0.048584,0.002163,0.094245,0.999999,-0.000178,0.001476,0.000758,-0.732746,0.129596,-0.164395,-0.647505,1.442317,24.126185,83.240337
11527,-4.381501,-0.505212,9.188732,0.708046,-0.322310,0.350005,0.042323,0.241913,0.116490,-0.043701,-0.005097,0.091939,0.999999,0.000212,0.001210,0.000582,-0.732153,0.130132,-0.165471,-0.647794,1.497820,24.261234,83.325471
11528,-5.449462,0.019885,9.697231,0.122030,-0.995052,1.265591,0.025275,0.192540,0.069742,-0.054401,0.000168,0.097025,0.999999,0.000126,0.000963,0.000349,-0.731740,0.130610,-0.166275,-0.647959,1.530722,24.368279,83.380575
11529,-4.975295,-0.315971,9.373758,0.487596,-0.727093,0.768159,0.033169,0.060909,0.008722,-0.049724,-0.003177,0.093752,1.000000,0.000166,0.000305,0.000044,-0.731640,0.130683,-0.166589,-0.647977,1.552049,24.401253,83.395000
11530,-4.718294,0.111578,9.359830,0.092090,-0.442624,0.659980,0.025328,0.021307,-0.033147,-0.047173,0.001112,0.093603,1.000000,0.000127,0.000107,-0.000166,-0.731702,0.130692,-0.166699,-0.647876,1.557165,24.411789,83.382591
11531,-4.262512,0.321474,9.054822,-0.090695,-0.128605,0.199176,0.026174,-0.029193,-0.057515,-0.042637,0.003215,0.090542,1.000000,0.000131,-0.000146,-0.000288,-0.731887,0.130554,-0.166617,-0.647716,1.556610,24.394263,83.353806
11532,-3.780573,0.456549,8.797233,-0.193886,0.217705,-0.231065,0.014467,-0.008758,-0.053233,-0.037808,0.004569,0.087971,1.000000,0.000072,-0.000044,-0.000266,-0.732032,0.130522,-0.166569,-0.647571,1.550078,24.387891,83.328254
11533,-3.764917,0.469716,8.746772,-0.209780,0.213379,-0.283169,0.008164,0.016812,-0.035187,-0.037641,0.004700,0.087471,1.000000,0.000041,0.000084,-0.000176,-0.732095,0.130580,-0.166612,-0.647477,1.545344,24.396356,83.314313
11534,-3.880199,0.140883,8.843925,0.111759,0.109832,-0.155242,0.017615,0.054489,-0.013789,-0.038778,0.001404,0.088450,1.000000,0.000088,0.000272,-0.000069,-0.732061,0.130709,-0.166831,-0.647432,1.551305,24.425596,83.314643
11535,-3.912170,0.201727,8.884575,0.054259,0.110145,-0.103601,0.045349,0.059497,0.003349,-0.039095,0.001996,0.088858,1.000000,0.000227,0.000297,0.000017,-0.731988,0.130737,-0.167175,-0.647421,1.578200,24.457890,83.325673
11536,-3.579343,0.140326,8.724621,0.142592,0.344567,-0.388711,0.037316,0.096045,-0.006229,-0.035751,0.001388,0.087264,1.000000,0.000187,0.000480,-0.000031,-0.731908,0.130922,-0.167615,-0.647360,1.597730,24.510810,83.331507
11537,-3.611943,-0.164062,8.877327,0.459034,0.349120,-0.244648,0.081610,0.145066,0.005211,-0.036055,-0.001678,0.088799,1.000000,0.000408,0.000725,0.000026,-0.731780,0.131092,-0.168391,-0.647269,1.646549,24.592045,83.345286
11538,-4.587323,0.327579,9.318589,-0.087207,-0.275431,0.574972,0.100893,0.139812,0.008199,-0.045808,0.003227,0.093220,1.000000,0.000504,0.000699,0.000041,-0.731658,0.131174,-0.169206,-0.647178,1.706685,24.669781,83.361115
11539,-4.970319,0.103939,9.211071,0.094771,-0.684309,0.631519,0.074055,0.070101,-0.029479,-0.049671,0.001013,0.092129,1.000000,0.000370,0.000351,-0.000147,-0.731699,0.131159,-0.169660,-0.647015,1.741527,24.708645,83.351800
11540,-3.977901,0.198269,8.824638,0.079920,0.069796,-0.131469,0.058858,0.055070,-0.067330,-0.039754,0.001970,0.088258,1.000000,0.000294,0.000275,-0.000337,-0.731865,0.131184,-0.169980,-0.646739,1.757053,24.739153,83.318498
11541,-3.982897,0.675029,8.844162,-0.388244,0.141153,-0.098385,0.060055,0.081251,-0.064369,-0.039791,0.006737,0.088460,1.000000,0.000300,0.000406,-0.000322,-0.732001,0.131286,-0.170407,-0.646452,1.774730,24.785055,83.287367
11542,-3.882506,1.093278,8.716161,-0.799724,0.241969,-0.244905,0.021756,0.106595,-0.037491,-0.038777,0.010931,0.087183,1.000000,0.000109,0.000533,-0.000187,-0.732002,0.131587,-0.170814,-0.646282,1.777271,24.844555,83.273891
11543,-3.655949,1.064662,8.580387,-0.757056,0.398110,-0.464379,-0.018120,0.151112,0.009444,-0.036495,0.010653,0.085830,1.000000,-0.000091,0.000756,0.000047,-0.731787,0.132138,-0.171293,-0.646286,1.770332,24.929141,83.290743
11544,-3.609497,0.875997,8.603506,-0.563807,0.441060,-0.469042,-0.064438,0.207068,0.054289,-0.036008,0.008778,0.086070,0.999999,-0.000322,0.001035,0.000271,-0.731348,0.133001,-0.171850,-0.646459,1.748754,25.044562,83.337168
11545,-3.331574,0.180101,8.292807,0.128835,0.493577,-0.888440,-0.085591,0.275432,0.058039,-0.033202,0.001827,0.082973,0.999999,-0.000428,0.001377,0.000290,-0.730823,0.134157,-0.172597,-0.646614,1.717338,25.199479,83.387076
11546,-2.329963,0.050180,7.858979,0.326695,1.223649,-1.713882,-0.064467,0.397125,0.054754,-0.023144,0.000521,0.078636,0.999998,-0.000322,0.001986,0.000274,-0.730215,0.135634,-0.173848,-0.646658,1.697645,25.423777,83.437392
11547,-1.890560,-0.739101,8.107024,1.176817,1.662737,-1.707471,-0.017567,0.591459,0.061995,-0.018663,-0.007390,0.081126,0.999996,-0.000088,0.002957,0.000310,-0.729442,0.137558,-0.175969,-0.646550,1.709268,25.759549,83.495939
11548,-5.200971,-1.081074,10.269138,1.366950,-0.358346,1.662354,0.169254,0.626485,0.103985,-0.051682,-0.010925,0.102844,0.999995,0.000846,0.003132,0.000520,-0.728624,0.138879,-0.178844,-0.646402,1.839919,26.114270,83.582688
11549,-9.858042,-0.524864,10.885864,0.426188,-4.126078,4.285263,0.185852,0.251802,-0.000100,-0.098443,-0.005350,0.108978,0.999999,0.000929,0.001259,-0.000000,-0.728484,0.139018,-0.180338,-0.646114,1.948540,26.256457,83.596016
11550,-4.785349,0.808072,8.376387,-0.577011,-0.514324,-0.162873,0.187377,0.001996,-0.046947,-0.047851,0.008013,0.083772,1.000000,0.000937,0.000010,-0.000235,-0.728720,0.138388,-0.180890,-0.645829,2.042009,26.256297,83.574267
11551,-3.777073,1.661484,9.191587,-1.241429,0.853078,0.149400,0.073785,0.123096,0.012739,-0.037715,0.016579,0.091945,1.000000,0.000369,0.000615,0.000064,-0.728575,0.138509,-0.181564,-0.645777,2.088953,26.324709,83.593264
11552,-4.631341,0.811140,8.652751,-0.526654,-0.241280,0.017967,-0.031583,0.099102,0.001891,-0.046271,0.008125,0.086549,1.000000,-0.000158,0.000496,0.000009,-0.728414,0.138947,-0.181796,-0.645800,2.071779,26.379163,83.604956
11553,-4.172455,0.437467,8.598460,-0.118453,0.106139,-0.246656,-0.067873,0.110288,-0.021479,-0.041677,0.004408,0.086006,1.000000,-0.000339,0.000551,-0.000107,-0.728293,0.139572,-0.181942,-0.645760,2.027827,26.440923,83.601778
