// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
19631,-9.510483,1.129015,-1.700197,0.087692,-0.094352,-0.086535,-0.158077,0.025837,-0.072618,-0.095103,0.011311,-0.016999,1.000000,-0.000790,0.000129,-0.000363,0.597245,-0.184506,0.744449,0.234630,143.847747,77.374232,178.544643
19632,-9.479606,1.091258,-1.629374,0.156530,-0.082657,-0.133984,-0.157970,0.013562,-0.067231,-0.094793,0.010932,-0.016296,1.000000,-0.000790,0.000068,-0.000336,0.597139,-0.185204,0.744230,0.235045,143.885476,77.390417,178.676834
19633,-9.462421,0.955909,-1.700086,0.169503,-0.232223,-0.155627,-0.170985,0.023397,-0.067167,-0.094623,0.009576,-0.016998,1.000000,-0.000855,0.000117,-0.000336,0.596978,-0.185953,0.744027,0.235506,143.929923,77.401175,178.824275
19634,-9.623760,0.811152,-1.815362,0.192095,-0.415347,0.003668,-0.156579,0.029976,-0.064658,-0.096238,0.008128,-0.018146,1.000000,-0.000783,0.000150,-0.000323,0.596808,-0.186657,0.743859,0.235909,143.988293,77.408865,178.977072
19635,-9.573943,0.847217,-1.701672,0.251008,-0.317785,-0.060259,-0.124359,0.019815,-0.065664,-0.095738,0.008493,-0.017013,1.000000,-0.000622,0.000099,-0.000328,0.596701,-0.187257,0.743700,0.236204,144.051251,77.420715,179.116096
19636,-9.483809,0.838038,-1.812575,0.146460,-0.386119,-0.129722,-0.123310,0.022606,-0.062490,-0.094838,0.008399,-0.018120,1.000000,-0.000617,0.000113,-0.000312,0.596585,-0.187854,0.743548,0.236503,144.113406,77.431077,179.254463
19637,-9.477438,0.979764,-1.695585,0.157630,-0.200296,-0.138401,-0.079849,0.017735,-0.057190,-0.094773,0.009818,-0.016951,1.000000,-0.000399,0.000089,-0.000286,0.596517,-0.188287,0.743444,0.236659,144.181432,77.440982,179.372541
19638,-9.432377,1.201779,-1.674539,0.038035,-0.004054,-0.157812,-0.062825,0.014130,-0.054091,-0.094322,0.012038,-0.016743,1.000000,-0.000314,0.000071,-0.000270,0.596478,-0.188662,0.743346,0.236767,144.248411,77.452364,179.480363
19639,-9.414839,1.213859,-1.574292,0.105905,0.065751,-0.191071,-0.042368,0.011441,-0.039605,-0.094147,0.012154,-0.015740,1.000000,-0.000212,0.000057,-0.000198,0.596447,-0.188910,0.743283,0.236842,144.291971,77.459257,179.551367
19640,-9.470287,1.241609,-1.670347,0.024373,0.034582,-0.116493,-0.054473,0.012959,-0.043184,-0.094701,0.012432,-0.016701,1.000000,-0.000272,0.000065,-0.000216,0.596409,-0.189215,0.743202,0.236949,144.339466,77.467499,179.633825
19641,-9.429721,1.246336,-1.567169,0.093872,0.100013,-0.173694,-0.057591,0.015565,-0.045934,-0.094296,0.012481,-0.015668,1.000000,-0.000288,0.000078,-0.000230,0.596356,-0.189537,0.743128,0.237058,144.393899,77.474559,179.724898
19642,-9.439879,1.248167,-1.678772,0.004501,0.038564,-0.143872,-0.089017,0.009443,-0.047029,-0.094397,0.012496,-0.016789,1.000000,-0.000445,0.000047,-0.000235,0.596303,-0.189951,0.742993,0.237282,144.424654,77.485701,179.809774
19643,-9.422896,1.045400,-1.716283,0.084169,-0.147391,-0.179378,-0.084374,0.012521,-0.041812,-0.094228,0.010466,-0.017161,1.000000,-0.000422,0.000063,-0.000209,0.596231,-0.190334,0.742881,0.237505,144.450685,77.492781,179.887465
19644,-9.458638,1.012387,-1.918592,-0.051218,-0.290539,-0.112959,-0.085353,0.017630,-0.040098,-0.094586,0.010135,-0.019182,1.000000,-0.000427,0.000088,-0.000200,0.596141,-0.190729,0.742779,0.237735,144.481209,77.497794,179.971316
19645,-9.481431,0.969716,-1.844565,0.036202,-0.280742,-0.109070,-0.052606,0.018277,-0.043449,-0.094814,0.009713,-0.018440,1.000000,-0.000263,0.000091,-0.000217,0.596080,-0.191030,0.742720,0.237830,144.537633,77.502713,-179.938507
19646,-9.440728,0.974820,-1.741606,0.105555,-0.215231,-0.166272,-0.034064,0.010235,-0.028721,-0.094407,0.009759,-0.017413,1.000000,-0.000170,0.000051,-0.000144,0.596053,-0.191215,0.742670,0.237905,144.562906,77.507354,-179.891140
19647,-9.508597,1.016884,-1.707522,0.123041,-0.160297,-0.100723,-0.024415,0.011334,-0.023922,-0.095086,0.010178,-0.017071,1.000000,-0.000122,0.000057,-0.000120,0.596022,-0.191352,0.742642,0.237961,144.584007,77.509007,-179.853690
19648,-9.528034,1.134816,-1.658015,0.099149,-0.034602,-0.075684,-0.026513,0.012008,-0.026414,-0.095280,0.011359,-0.016576,1.000000,-0.000133,0.000060,-0.000132,0.595994,-0.191504,0.742609,0.238009,144.611622,77.512030,-179.808918
19649,-9.454031,1.244293,-1.552717,0.104106,0.116650,-0.152799,-0.035097,0.012153,-0.028985,-0.094539,0.012454,-0.015524,1.000000,-0.000175,0.000061,-0.000145,0.595955,-0.191692,0.742567,0.238089,144.638531,77.514973,-179.759251
19650,-9.429787,1.256578,-1.506647,0.127955,0.154201,-0.183061,-0.068458,0.016232,-0.026652,-0.094297,0.012573,-0.015063,1.000000,-0.000342,0.000081,-0.000133,0.595872,-0.191977,0.742495,0.238289,144.648895,77.516093,-179.707396
19651,-9.493906,1.196856,-1.558214,0.134953,0.075804,-0.118835,-0.088274,0.018135,-0.022206,-0.094939,0.011972,-0.015579,1.000000,-0.000441,0.000091,-0.000111,0.595752,-0.192305,0.742414,0.238580,144.639999,77.513989,-179.663196
19652,-9.489785,1.151862,-1.700782,0.046704,-0.043745,-0.103342,-0.085611,0.019670,-0.029835,-0.094898,0.011525,-0.017003,1.000000,-0.000428,0.000098,-0.000149,0.595643,-0.192657,0.742329,0.238832,144.652342,77.514579,-179.599227
19653,-9.452069,1.162717,-1.762978,-0.017061,-0.070933,-0.127839,-0.063562,0.012570,-0.028131,-0.094520,0.011635,-0.017628,1.000000,-0.000318,0.000063,-0.000141,0.595574,-0.192927,0.742254,0.239019,144.661783,77.517038,-179.550748
19654,-9.406633,1.135673,-1.779616,-0.024882,-0.102266,-0.172644,-0.044896,0.014816,-0.022458,-0.094066,0.011363,-0.017792,1.000000,-0.000224,0.000074,-0.000112,0.595512,-0.193126,0.742210,0.239148,144.674587,77.517442,-179.509750
19655,-9.454277,1.069014,-1.774574,0.027627,-0.152683,-0.135333,-0.024409,0.014495,-0.021954,-0.094543,0.010698,-0.017740,1.000000,-0.000122,0.000072,-0.000110,0.595466,-0.193259,0.742194,0.239206,144.696305,77.516950,-179.471673
19656,-9.506270,1.152284,-1.761211,0.001609,-0.076403,-0.076520,-0.024470,0.011295,-0.023952,-0.095062,0.011532,-0.017608,1.000000,-0.000122,0.000056,-0.000120,0.595438,-0.193404,0.742160,0.239262,144.718663,77.519489,-179.432224
19657,-9.466144,1.205616,-1.735517,-0.017764,-0.017508,-0.113574,-0.023509,0.006159,-0.025702,-0.094660,0.012066,-0.017354,1.000000,-0.000118,0.000031,-0.000129,0.595428,-0.193538,0.742117,0.239314,144.736368,77.524130,-179.398786
19658,-9.394069,1.235205,-1.617012,0.042630,0.075968,-0.201163,-0.030201,0.003037,-0.018405,-0.093940,0.012358,-0.016171,1.000000,-0.000151,0.000015,-0.000092,0.595420,-0.193663,0.742059,0.239410,144.731544,77.528670,-179.384763
19659,-9.456830,1.196926,-1.624786,0.071833,0.040551,-0.143283,-0.050319,0.017082,-0.019327,-0.094569,0.011974,-0.016243,1.000000,-0.000252,0.000085,-0.000097,0.595336,-0.193866,0.742022,0.239570,144.736761,77.526091,-179.348384
19660,-9.505934,1.157198,-1.741591,0.013129,-0.059535,-0.079686,-0.065594,0.021137,-0.025689,-0.095060,0.011578,-0.017410,1.000000,-0.000328,0.000106,-0.000128,0.595234,-0.194149,0.741968,0.239762,144.754007,77.524590,-179.290330
19661,-9.489593,1.149171,-1.685561,0.058813,-0.032690,-0.106527,-0.066062,0.018242,-0.024986,-0.094896,0.011498,-0.016851,1.000000,-0.000330,0.000091,-0.000125,0.595138,-0.194422,0.741910,0.239962,144.763889,77.523336,-179.239935
19662,-9.520829,1.075829,-1.623696,0.156687,-0.055065,-0.096083,-0.067103,0.020156,-0.025245,-0.095209,0.010765,-0.016231,1.000000,-0.000336,0.000101,-0.000126,0.595037,-0.194706,0.741851,0.240161,144.777883,77.522128,-179.184491
19663,-9.516553,0.972280,-1.711342,0.146376,-0.189548,-0.097676,-0.053752,0.019336,-0.028776,-0.095166,0.009732,-0.017107,1.000000,-0.000269,0.000097,-0.000144,0.594953,-0.194957,0.741807,0.240303,144.804456,77.521608,-179.124222
19664,-9.468964,1.035774,-1.718447,0.094077,-0.141401,-0.134964,-0.038664,0.019763,-0.026093,-0.094690,0.010367,-0.017177,1.000000,-0.000193,0.000099,-0.000130,0.594883,-0.195157,0.741781,0.240393,144.836030,77.520844,-179.067750
19665,-9.452287,0.979169,-1.585073,0.228635,-0.107874,-0.181849,-0.025263,0.015080,-0.016552,-0.094523,0.009798,-0.015845,1.000000,-0.000126,0.000075,-0.000083,0.594827,-0.195273,0.741770,0.240470,144.846700,77.518273,-179.040486
19666,-9.482954,1.023725,-1.634876,0.170958,-0.100522,-0.137569,-0.012613,0.019704,-0.011638,-0.094831,0.010242,-0.016340,1.000000,-0.000063,0.000099,-0.000058,0.594767,-0.195338,0.741791,0.240502,144.862661,77.512777,-179.015945
19667,-9.397046,1.052656,-1.626169,0.143731,-0.071703,-0.219399,-0.008615,0.021251,-0.011321,-0.093972,0.010531,-0.016252,1.000000,-0.000043,0.000106,-0.000057,0.594699,-0.195392,0.741824,0.240527,144.880958,77.505587,-178.990639
19668,-9.378534,1.194608,-1.615679,0.067005,0.049510,-0.221678,-0.009962,0.012623,-0.009188,-0.093786,0.011950,-0.016151,1.000000,-0.000050,0.000063,-0.000046,0.594662,-0.195440,0.741826,0.240571,144.882544,77.502630,-178.981089
19669,-9.516193,1.141763,-1.480004,0.235207,0.087466,-0.117896,0.001663,0.019183,-0.004515,-0.095163,0.011420,-0.014791,1.000000,0.000008,0.000096,-0.000023,0.594603,-0.195436,0.741872,0.240579,144.889238,77.494165,-178.973698
19670,-9.503289,1.119139,-1.634189,0.125282,-0.021421,-0.106020,-0.003340,0.021158,-0.004082,-0.095034,0.011193,-0.016332,1.000000,-0.000017,0.000106,-0.000020,0.594535,-0.195456,0.741912,0.240606,144.896418,77.485536,-178.962132
19671,-9.414937,1.004134,-1.800429,0.043173,-0.211961,-0.177125,0.003426,0.029083,-0.008363,-0.094152,0.010046,-0.017990,1.000000,0.000017,0.000145,-0.000042,0.594445,-0.195473,0.741986,0.240587,144.926903,77.473696,-178.931406
