// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11204,-8.713405,3.457742,-1.259363,-0.074027,-0.104651,-0.354942,-0.163958,-0.074049,-0.094989,-0.087113,0.034608,-0.012654,0.999999,-0.000820,-0.000370,-0.000475,-0.300366,-0.752468,-0.079143,0.580783,111.925191,67.158877,-36.296895
11205,-8.816921,3.104634,-1.401413,-0.141732,0.281869,-0.365928,-0.122235,-0.047560,-0.096531,-0.088151,0.031080,-0.014054,1.000000,-0.000611,-0.000238,-0.000483,-0.300601,-0.752092,-0.079739,0.581066,111.829695,67.215867,-36.324230
11206,-8.954462,3.493557,-1.387269,-0.002234,-0.009758,-0.101265,-0.070802,-0.062524,-0.110072,-0.089521,0.034980,-0.013913,1.000000,-0.000354,-0.000313,-0.000550,-0.300606,-0.751745,-0.080216,0.581447,111.751923,67.283472,-36.364405
11207,-8.948628,3.610115,-1.425018,0.098778,-0.085514,-0.059510,-0.204063,-0.045155,-0.112221,-0.089463,0.036137,-0.014307,0.999999,-0.001020,-0.000226,-0.000561,-0.301101,-0.751246,-0.081113,0.581711,111.619958,67.348285,-36.380430
11208,-8.957489,3.621637,-1.428987,0.118867,-0.089741,-0.046794,-0.257456,-0.025576,-0.114860,-0.089552,0.036249,-0.014348,0.999999,-0.001287,-0.000128,-0.000574,-0.301779,-0.750722,-0.082206,0.581883,111.484001,67.410600,-36.367743
11209,-8.988986,3.720079,-1.207207,-0.012965,-0.282378,-0.013796,-0.271702,-0.013270,-0.112686,-0.089868,0.037235,-0.012129,0.999999,-0.001359,-0.000066,-0.000563,-0.302513,-0.750211,-0.083349,0.581999,111.353636,67.468950,-36.340058
11210,-9.012596,3.830187,-1.320439,0.140226,-0.301596,0.063047,-0.314129,-0.015341,-0.121006,-0.090102,0.038336,-0.013271,0.999999,-0.001571,-0.000077,-0.000605,-0.303380,-0.749625,-0.084645,0.582116,111.200833,67.532441,-36.310469
11211,-9.021791,3.712785,-1.399870,0.162424,-0.159458,0.040499,-0.348853,-0.011951,-0.136634,-0.090192,0.037165,-0.014069,0.999998,-0.001744,-0.000060,-0.000683,-0.304331,-0.748986,-0.086104,0.582227,111.039327,67.603356,-36.268670
11212,-9.025877,3.566996,-1.358352,0.073575,-0.064075,-0.013428,-0.311802,-0.026217,-0.148849,-0.090230,0.035716,-0.013651,0.999998,-0.001559,-0.000131,-0.000744,-0.305111,-0.748356,-0.087480,0.582425,110.886934,67.684034,-36.240110
11213,-9.045417,3.450629,-1.315236,-0.007414,0.008729,-0.042523,-0.289896,-0.026527,-0.151264,-0.090426,0.034556,-0.013214,0.999999,-0.001449,-0.000133,-0.000756,-0.305803,-0.747754,-0.088799,0.582635,110.746804,67.765825,-36.211763
