// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
18439,-3.997060,1.432065,8.988528,-0.006692,0.003354,0.128181,0.051698,0.021634,-0.027293,-0.039959,0.014303,0.089893,1.000000,0.000258,0.000108,-0.000136,-0.304140,-0.219107,0.006257,0.927066,9.105969,23.731326,-141.757028
18440,-3.937435,1.408033,8.897726,-0.028788,0.001467,0.018623,0.031352,0.013009,-0.018313,-0.039367,0.014070,0.088982,1.000000,0.000157,0.000065,-0.000092,-0.304094,-0.219191,0.006347,0.927061,9.119003,23.737490,-141.758666
18441,-3.943079,1.554476,8.976940,0.023758,-0.122785,0.113746,0.018272,0.008848,-0.016009,-0.039426,0.015540,0.089773,1.000000,0.000091,0.000044,-0.000080,-0.304083,-0.219202,0.006420,0.927061,9.127624,23.736026,-141.758174
18442,-3.936002,1.527062,8.936855,0.019915,-0.099984,0.070684,-0.010978,-0.001688,-0.016264,-0.039360,0.015279,0.089367,1.000000,-0.000055,-0.000008,-0.000081,-0.304093,-0.219154,0.006339,0.927070,9.116327,23.733690,-141.760003
18443,-3.957882,1.475672,8.877101,0.033159,-0.038672,0.018018,-0.009329,-0.002453,-0.017428,-0.039579,0.014764,0.088770,1.000000,-0.000047,-0.000012,-0.000087,-0.304105,-0.219071,0.006300,0.927086,9.108330,23.726008,-141.761510
18444,-4.002529,1.505335,8.937139,0.059017,-0.046013,0.094538,-0.015070,-0.006330,-0.018948,-0.040027,0.015064,0.089369,1.000000,-0.000075,-0.000032,-0.000095,-0.304107,-0.218994,0.006204,0.927104,9.093837,23.721289,-141.765456
18445,-3.890983,1.358705,8.937598,-0.101557,0.009762,0.028861,-0.009579,-0.000634,-0.022950,-0.038909,0.013596,0.089375,1.000000,-0.000048,-0.000003,-0.000115,-0.304094,-0.218920,0.006154,0.927126,9.084385,23.715201,-141.770202
18446,-3.995429,1.343706,8.956886,-0.042367,0.077729,0.086149,0.008601,0.010608,-0.024741,-0.039948,0.013438,0.089572,1.000000,0.000043,0.000053,-0.000124,-0.304043,-0.218959,0.006136,0.927134,9.082689,23.720588,-141.776053
18447,-3.917548,1.511646,8.947145,-0.000203,-0.101831,0.070293,0.008544,0.006886,-0.020386,-0.039171,0.015117,0.089473,1.000000,0.000043,0.000034,-0.000102,-0.304023,-0.218947,0.006161,0.927143,9.084498,23.718575,-141.778493
18448,-3.977545,1.465368,8.906564,0.033587,-0.026318,0.051045,-0.008546,0.011624,-0.019616,-0.039769,0.014661,0.089067,1.000000,-0.000043,0.000058,-0.000098,-0.304014,-0.218964,0.006067,0.927142,9.074292,23.724073,-141.781077
