// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44587,-4.193592,0.186278,8.993162,0.025928,-0.006708,0.111886,0.026694,0.003400,-0.001730,-0.041934,0.001851,0.089933,1.000000,0.000133,0.000017,-0.000009,0.568043,-0.169129,0.134270,0.794163,1.334217,24.908718,109.144444
44588,-4.143012,0.207401,8.988205,-0.006730,0.028661,0.086531,0.026679,0.006108,-0.004883,-0.041427,0.002063,0.089884,1.000000,0.000133,0.000031,-0.000024,0.568040,-0.169083,0.134357,0.794160,1.346398,24.910252,109.147280
44589,-4.170053,0.240672,8.951287,-0.023944,-0.018976,0.065160,0.033734,0.007437,-0.003503,-0.041697,0.002392,0.089515,1.000000,0.000169,0.000037,-0.000018,0.568036,-0.169023,0.134479,0.794155,1.362957,24.912845,109.151044
44590,-4.170086,0.276105,8.961762,-0.056584,-0.024969,0.075447,0.028424,0.005713,-0.002715,-0.041698,0.002749,0.089619,1.000000,0.000142,0.000029,-0.000014,0.568025,-0.168969,0.134575,0.794158,1.376712,24.914123,109.155245
44591,-4.171057,0.245563,8.950686,-0.024277,-0.019783,0.065158,0.026427,0.003120,-0.007636,-0.041709,0.002445,0.089508,1.000000,0.000132,0.000016,-0.000038,0.568034,-0.168915,0.134652,0.794149,1.387964,24.914298,109.156335
44592,-4.158916,0.272580,8.929892,-0.049195,-0.025953,0.041792,0.028186,0.000020,-0.002315,-0.041589,0.002714,0.089299,1.000000,0.000141,0.000000,-0.000012,0.568026,-0.168839,0.134731,0.794158,1.401652,24.912307,109.160701
44593,-4.121252,0.387152,9.028943,-0.178288,0.010658,0.118300,0.028929,0.003685,-0.001854,-0.041211,0.003859,0.090291,1.000000,0.000145,0.000018,-0.000009,0.568014,-0.168777,0.134824,0.794164,1.415884,24.912723,109.165455
44594,-4.167624,0.297453,8.921129,-0.066019,-0.044380,0.038088,0.003558,-0.005890,-0.007616,-0.041679,0.002975,0.089210,1.000000,0.000018,-0.000029,-0.000038,0.568010,-0.168750,0.134784,0.794180,1.414012,24.907421,109.166380
44595,-4.164945,0.250558,9.010001,-0.032160,0.008411,0.116490,0.015426,-0.000808,-0.007871,-0.041650,0.002500,0.090100,1.000000,0.000077,-0.000004,-0.000039,0.568013,-0.168713,0.134806,0.794182,1.418892,24.905344,109.167269
44596,-4.148839,0.321894,8.960086,-0.098327,-0.021137,0.066053,0.005662,-0.003098,-0.006803,-0.041490,0.003218,0.089600,1.000000,0.000028,-0.000015,-0.000034,0.568006,-0.168691,0.134783,0.794195,1.418460,24.901630,109.168751
