// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
34407,-3.822160,-0.077048,9.139223,-0.045960,0.004776,0.093780,0.072190,0.023229,0.046494,-0.038211,-0.000812,0.091396,1.000000,0.000361,0.000116,0.000232,0.774581,-0.125291,0.151450,0.601157,-0.745473,22.659880,75.481112
34408,-3.818491,-0.035346,9.144990,-0.076880,0.020214,0.097239,0.070865,0.018609,0.043812,-0.038176,-0.000394,0.091453,1.000000,0.000354,0.000093,0.000219,0.774452,-0.125049,0.151735,0.601301,-0.696225,22.668981,75.513501
34409,-3.802931,-0.078987,9.119620,-0.025326,0.013642,0.068363,0.067482,0.022688,0.043496,-0.038019,-0.000829,0.091200,1.000000,0.000337,0.000113,0.000217,0.774320,-0.124835,0.152022,0.601443,-0.649458,22.680356,75.545415
34410,-3.823349,-0.033398,9.123225,-0.066222,0.008020,0.079122,0.068082,0.023475,0.037260,-0.038223,-0.000372,0.091237,1.000000,0.000340,0.000117,0.000186,0.774205,-0.124623,0.152313,0.601562,-0.603367,22.692155,75.573723
34411,-3.806233,-0.049913,9.138135,-0.037562,0.024864,0.086473,0.066596,0.019925,0.037226,-0.038053,-0.000537,0.091385,1.000000,0.000333,0.000100,0.000186,0.774093,-0.124408,0.152584,0.601682,-0.558582,22.701863,75.601785
34412,-3.846333,0.005793,9.105898,-0.096096,-0.009557,0.071763,0.067994,0.021511,0.036355,-0.038454,0.000020,0.091063,1.000000,0.000340,0.000108,0.000182,0.773982,-0.124191,0.152866,0.601797,-0.512735,22.712490,75.629569
34413,-3.828347,0.002931,9.140936,-0.078892,0.018987,0.097226,0.062918,0.021099,0.037823,-0.038274,-0.000007,0.091413,1.000000,0.000315,0.000105,0.000189,0.773865,-0.123994,0.153130,0.601922,-0.469899,22.722833,75.658016
34414,-3.821605,0.035293,9.092538,-0.106030,0.014970,0.049801,0.059935,0.025012,0.033090,-0.038205,0.000319,0.090930,1.000000,0.000300,0.000125,0.000165,0.773756,-0.123821,0.153400,0.602029,-0.429438,22.735413,75.683778
34415,-3.851574,0.040309,9.123379,-0.108762,0.001393,0.089861,0.052598,0.020214,0.029207,-0.038507,0.000373,0.091238,1.000000,0.000263,0.000101,0.000146,0.773659,-0.123668,0.153624,0.602128,-0.394565,22.745178,75.706897
34416,-3.840080,-0.011516,9.132026,-0.049460,0.002572,0.093764,0.047756,0.020715,0.028900,-0.038391,-0.000143,0.091324,1.000000,0.000239,0.000104,0.000145,0.773558,-0.123533,0.153838,0.602230,-0.362062,22.755251,75.730096
34417,-3.813332,0.008865,9.119536,-0.059048,0.027356,0.071809,0.044554,0.023699,0.025962,-0.038123,0.000063,0.091200,1.000000,0.000223,0.000118,0.000130,0.773463,-0.123423,0.154050,0.602321,-0.332570,22.766977,75.751201
34418,-3.863246,0.022736,9.114450,-0.079319,-0.015028,0.086397,0.042182,0.022409,0.024068,-0.038622,0.000203,0.091149,1.000000,0.000211,0.000112,0.000120,0.773372,-0.123318,0.154250,0.602408,-0.304410,22.777983,75.771408
34419,-3.846139,0.003325,9.129482,-0.050673,0.001831,0.093758,0.038006,0.019719,0.027440,-0.038452,0.000011,0.091299,1.000000,0.000190,0.000099,0.000137,0.773271,-0.123221,0.154427,0.602512,-0.278295,22.787414,75.793460
