// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
46943,2.512058,1.667922,9.419732,-0.098129,0.102098,0.076887,-0.004844,-0.067155,-0.151823,0.025102,0.016662,0.094205,1.000000,-0.000024,-0.000336,-0.000759,-0.707467,0.028706,0.158828,0.688069,10.632579,-15.321469,-89.841472
46944,2.515762,1.716806,9.378549,-0.045825,0.094393,0.047467,0.008734,-0.060710,-0.153572,0.025142,0.017145,0.093794,1.000000,0.000044,-0.000304,-0.000768,-0.706918,0.028807,0.159081,0.688571,10.657645,-15.342331,-89.933118
46945,2.526942,1.976161,9.453262,0.190160,0.120381,0.167500,0.040740,-0.070160,-0.108208,0.025247,0.019729,0.094545,1.000000,0.000204,-0.000351,-0.000541,-0.706521,0.028861,0.159470,0.688886,10.694414,-15.373022,-89.999424
46946,2.722408,2.228040,9.263394,0.467783,-0.100201,0.084649,0.040785,-0.051285,-0.035367,0.027204,0.022257,0.092645,1.000000,0.000204,-0.000256,-0.000177,-0.706390,0.028911,0.159783,0.688946,10.719352,-15.401065,-90.021056
46947,2.859391,2.213058,9.121680,0.477257,-0.267039,-0.015764,0.018685,-0.000287,0.029944,0.028590,0.022126,0.091219,1.000000,0.000093,-0.000001,0.000150,-0.706521,0.028913,0.159829,0.688801,10.720076,-15.407095,-89.999003
46948,2.700190,2.027927,9.198112,0.282049,-0.103727,-0.018890,0.017492,0.057783,0.085864,0.027020,0.020283,0.091975,1.000000,0.000087,0.000289,0.000429,-0.706892,0.028765,0.159659,0.688466,10.709678,-15.386647,-89.937799
46949,2.523886,1.924256,9.353859,0.153274,0.097277,0.063267,0.016213,0.085313,0.119193,0.025267,0.019250,0.093529,1.000000,0.000081,0.000427,0.000596,-0.707398,0.028553,0.159381,0.688019,10.692694,-15.353980,-89.854185
46950,2.464414,1.783705,9.424169,0.004945,0.160161,0.089041,0.007835,0.084090,0.113422,0.024674,0.017847,0.094232,1.000000,0.000039,0.000420,0.000567,-0.707882,0.028371,0.159081,0.687598,10.671810,-15.321613,-89.774024
46951,2.419870,1.632958,9.408380,-0.136873,0.185411,0.035502,-0.007759,0.076802,0.074713,0.024229,0.016342,0.094074,1.000000,-0.000039,0.000384,0.000374,-0.708224,0.028237,0.158757,0.687326,10.648300,-15.288963,-89.717363
46952,2.361106,1.585648,9.433745,-0.185151,0.240202,0.035798,-0.007817,0.073307,0.028018,0.023643,0.015863,0.094328,1.000000,-0.000039,0.000367,0.000140,-0.708404,0.028080,0.158453,0.687218,10.631992,-15.253576,-89.688287
