// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
49760,-5.784143,8.256154,-0.794603,-0.226607,-0.138614,0.295785,0.064128,0.023102,-0.016619,-0.057835,0.082569,-0.007913,1.000000,0.000321,0.000116,-0.000083,0.036530,0.469168,-0.567343,-0.675773,95.985696,36.345452,-133.760677
49761,-5.811049,8.224903,-0.813752,-0.187329,-0.121908,0.288281,0.043715,0.025445,-0.001732,-0.058111,0.082251,-0.008112,1.000000,0.000219,0.000127,-0.000009,0.036489,0.469198,-0.567522,-0.675604,96.018251,36.339387,-133.751558
49762,-5.822437,8.237375,-0.869790,-0.151234,-0.157454,0.309762,0.026189,0.021024,-0.003853,-0.058224,0.082376,-0.008681,1.000000,0.000131,0.000105,-0.000019,0.036491,0.469231,-0.567622,-0.675496,96.038724,36.334801,-133.742062
49763,-5.794394,8.190565,-0.866941,-0.147025,-0.153190,0.255423,0.002162,0.021853,-0.003722,-0.057943,0.081907,-0.008662,1.000000,0.000011,0.000109,-0.000019,0.036532,0.469248,-0.567656,-0.675454,96.046034,36.330083,-133.735105
49764,-5.764619,8.067024,-0.871080,-0.101286,-0.128826,0.139179,-0.001549,0.025110,-0.006985,-0.057644,0.080672,-0.008704,1.000000,-0.000008,0.000126,-0.000035,0.036599,0.469299,-0.567654,-0.675416,96.052462,36.327032,-133.722488
49765,-5.752490,8.027731,-0.942836,-0.041079,-0.173019,0.106634,0.003910,0.036012,-0.003278,-0.057525,0.080278,-0.009416,1.000000,0.000020,0.000180,-0.000016,0.036676,0.469361,-0.567694,-0.675336,96.066699,36.321184,-133.705902
49766,-5.774367,7.896809,-0.962473,0.046558,-0.125382,0.016421,0.029948,0.036123,0.006119,-0.057748,0.078968,-0.009602,1.000000,0.000150,0.000181,0.000031,0.036745,0.469418,-0.567828,-0.675180,96.095196,36.309993,-133.686489
49767,-5.775600,7.867743,-0.986593,0.075322,-0.126652,-0.003988,0.068086,0.033877,0.015668,-0.057764,0.078676,-0.009829,1.000000,0.000340,0.000169,0.000078,0.036729,0.469431,-0.568129,-0.674919,96.144448,36.293463,-133.672817
49768,-5.767019,7.849785,-0.966367,0.062208,-0.102905,-0.025092,0.095269,0.030153,0.024294,-0.057681,0.078495,-0.009618,1.000000,0.000476,0.000151,0.000121,0.036690,0.469428,-0.568526,-0.674588,96.207024,36.272261,-133.659043
49769,-5.729182,7.891572,-0.916731,-0.017029,-0.093742,-0.018212,0.120721,0.033898,0.028988,-0.057305,0.078913,-0.009110,1.000000,0.000604,0.000169,0.000145,0.036597,0.469413,-0.569035,-0.674175,96.285789,36.248117,-133.646264
49770,-5.769486,7.895749,-0.895303,-0.015984,-0.045048,0.007144,0.123531,0.038879,0.036880,-0.057711,0.078952,-0.008893,1.000000,0.000618,0.000194,0.000184,0.036558,0.469408,-0.569555,-0.673740,96.367562,36.219167,-133.627393
49771,-5.744190,7.921705,-0.917605,-0.032359,-0.073458,0.015063,0.128542,0.038079,0.043021,-0.057461,0.079211,-0.009114,1.000000,0.000643,0.000190,0.000215,0.036506,0.469369,-0.570121,-0.673292,96.451813,36.186735,-133.612693
49772,-5.726948,7.886842,-0.872477,-0.059579,-0.026296,-0.027128,0.123858,0.034030,0.049398,-0.057290,0.078860,-0.008666,1.000000,0.000619,0.000170,0.000247,0.036495,0.469313,-0.570672,-0.672865,96.531076,36.150929,-133.598365
49773,-5.727146,7.883115,-0.907247,-0.037662,-0.038454,-0.026785,0.110742,0.042480,0.051911,-0.057294,0.078821,-0.009017,1.000000,0.000554,0.000212,0.000260,0.036528,0.469259,-0.571198,-0.672454,96.606441,36.113104,-133.581458
49774,-5.798984,7.876545,-0.926276,0.015818,0.003077,0.012071,0.088660,0.043397,0.049614,-0.058011,0.078755,-0.009215,1.000000,0.000443,0.000217,0.000248,0.036626,0.469226,-0.571629,-0.672105,96.669323,36.076526,-133.560677
49775,-5.740137,7.915388,-0.903840,-0.052966,-0.018163,0.006494,0.078100,0.045490,0.042768,-0.057420,0.079145,-0.008994,1.000000,0.000390,0.000227,0.000214,0.036715,0.469204,-0.572022,-0.671782,96.727570,36.043675,-133.540747
49776,-5.748035,7.876410,-0.976268,0.017702,-0.044570,-0.013272,0.054716,0.043993,0.037593,-0.057497,0.078756,-0.009728,1.000000,0.000274,0.000220,0.000188,0.036855,0.469201,-0.572310,-0.671530,96.771758,36.013863,-133.518652
49777,-5.736028,7.836330,-0.948679,0.011395,-0.009927,-0.055134,0.047373,0.041211,0.039725,-0.057378,0.078354,-0.009456,1.000000,0.000237,0.000206,0.000199,0.036993,0.469168,-0.572593,-0.671305,96.810710,35.983004,-133.501525
49778,-5.710972,7.809724,-0.977943,0.029638,-0.029172,-0.088407,0.060938,0.037352,0.043211,-0.057128,0.078088,-0.009745,1.000000,0.000305,0.000187,0.000216,0.037118,0.469128,-0.572916,-0.671050,96.855383,35.950423,-133.484642
49779,-5.707415,7.758629,-0.997775,0.065204,-0.019622,-0.129619,0.070362,0.039235,0.050805,-0.057096,0.077575,-0.009939,1.000000,0.000352,0.000196,0.000254,0.037230,0.469056,-0.573305,-0.670762,96.906120,35.913342,-133.470613
49780,-5.705446,7.731474,-1.023550,0.093958,-0.020975,-0.150070,0.079704,0.032895,0.054997,-0.057077,0.077303,-0.010195,1.000000,0.000399,0.000164,0.000275,0.037338,0.468971,-0.573720,-0.670461,96.959052,35.874342,-133.457951
49781,-5.718175,7.714952,-0.998551,0.091338,0.020695,-0.158344,0.094365,0.031259,0.059217,-0.057206,0.077137,-0.009940,1.000000,0.000472,0.000156,0.000296,0.037401,0.468854,-0.574209,-0.670120,97.019741,35.833020,-133.450044
49782,-5.714491,7.847206,-0.987950,0.016296,-0.008176,-0.055139,0.082356,0.034859,0.049044,-0.057166,0.078462,-0.009837,1.000000,0.000412,0.000174,0.000245,0.037488,0.468792,-0.574618,-0.669808,97.075223,35.797247,-133.435597
49783,-5.688250,7.873830,-1.006405,-0.000109,-0.036571,-0.047192,0.077159,0.032365,0.050932,-0.056904,0.078728,-0.010024,1.000000,0.000386,0.000162,0.000255,0.037566,0.468699,-0.575030,-0.669515,97.126863,35.760535,-133.426401
49784,-5.652509,7.965167,-0.965267,-0.092952,-0.049042,0.001355,0.065917,0.032617,0.047625,-0.056546,0.079641,-0.009617,1.000000,0.000330,0.000163,0.000238,0.037681,0.468630,-0.575381,-0.669255,97.172013,35.725708,-133.413492
49785,-5.703129,7.930564,-1.002645,-0.022202,-0.027152,0.006864,0.033392,0.034493,0.050556,-0.057053,0.079293,-0.010003,1.000000,0.000167,0.000172,0.000253,0.037886,0.468554,-0.575629,-0.669083,97.199242,35.689181,-133.399477
49786,-5.680137,7.874793,-1.047697,0.023760,-0.048120,-0.046874,0.037375,0.032683,0.046016,-0.056821,0.078737,-0.010453,1.000000,0.000187,0.000163,0.000230,0.038062,0.468485,-0.575880,-0.668905,97.228101,35.655252,-133.386439
49787,-5.661473,7.817559,-0.989461,0.003324,0.009933,-0.109831,0.044470,0.028028,0.050249,-0.056636,0.078164,-0.009869,1.000000,0.000222,0.000140,0.000251,0.038200,0.468371,-0.576183,-0.668717,97.259189,35.619204,-133.380687
49788,-5.664217,7.784728,-1.035459,0.052992,-0.004005,-0.129987,0.039036,0.031406,0.051464,-0.056664,0.077835,-0.010331,1.000000,0.000195,0.000157,0.000257,0.038386,0.468282,-0.576453,-0.668536,97.288152,35.582260,-133.369083
49789,-5.611754,7.788891,-1.050239,0.032832,-0.039447,-0.155619,0.049431,0.033355,0.057872,-0.056142,0.077875,-0.010474,1.000000,0.000247,0.000167,0.000289,0.038556,0.468167,-0.576787,-0.668319,97.323792,35.541495,-133.359984
49790,-5.616688,7.857028,-1.095921,0.034274,-0.084232,-0.092973,0.049911,0.031833,0.062374,-0.056193,0.078555,-0.010931,1.000000,0.000250,0.000159,0.000312,0.038755,0.468050,-0.577118,-0.668103,97.358538,35.498309,-133.349128
49791,-5.629962,7.918343,-1.062154,-0.009711,-0.062531,-0.039214,0.065591,0.034363,0.067114,-0.056328,0.079168,-0.010586,1.000000,0.000328,0.000172,0.000336,0.038921,0.467915,-0.577527,-0.667835,97.403289,35.452212,-133.340042
49792,-5.672041,7.920094,-1.059788,0.012402,-0.026396,-0.013594,0.067121,0.030925,0.070653,-0.056750,0.079184,-0.010563,1.000000,0.000336,0.000155,0.000353,0.039105,0.467774,-0.577935,-0.667570,97.447027,35.404376,-133.330661
49793,-5.644761,7.894523,-1.089574,0.030536,-0.045650,-0.046881,0.067936,0.041025,0.070453,-0.056478,0.078929,-0.010857,1.000000,0.000340,0.000205,0.000352,0.039293,0.467649,-0.578360,-0.667278,97.495586,35.355848,-133.317862
49794,-5.659355,7.849543,-1.081430,0.055721,-0.005730,-0.075646,0.074150,0.037522,0.065910,-0.056621,0.078481,-0.010775,1.000000,0.000371,0.000188,0.000330,0.039464,0.467545,-0.578779,-0.666978,97.546183,35.310200,-133.303561
49795,-5.618416,7.889168,-1.157126,0.063748,-0.088032,-0.059088,0.084457,0.040442,0.060201,-0.056210,0.078880,-0.011527,1.000000,0.000422,0.000202,0.000301,0.039599,0.467470,-0.579218,-0.666641,97.604249,35.267668,-133.286674
49796,-5.664686,7.937534,-1.168370,0.072249,-0.073591,0.008085,0.092882,0.041347,0.057101,-0.056672,0.079365,-0.011635,1.000000,0.000464,0.000207,0.000286,0.039707,0.467408,-0.579677,-0.666279,97.667497,35.226707,-133.269020
49797,-5.639642,7.992718,-1.067635,-0.038217,-0.021168,0.027385,0.102300,0.036173,0.051369,-0.056419,0.079918,-0.010625,1.000000,0.000512,0.000181,0.000257,0.039738,0.467328,-0.580172,-0.665902,97.734637,35.189337,-133.257958
49798,-5.635217,7.994565,-1.077130,-0.037229,-0.020828,0.027390,0.085845,0.033899,0.049936,-0.056374,0.079936,-0.010727,1.000000,0.000429,0.000169,0.000250,0.039817,0.467260,-0.580592,-0.665579,97.791172,35.152988,-133.244926
49799,-5.606390,7.919997,-1.096230,-0.005502,-0.018420,-0.047478,0.075586,0.034156,0.045419,-0.056084,0.079191,-0.010923,1.000000,0.000378,0.000171,0.000227,0.039886,0.467187,-0.580983,-0.665285,97.842441,35.119134,-133.234605
49800,-5.623374,7.873577,-1.087773,0.019685,0.021482,-0.076263,0.069172,0.036461,0.035914,-0.056250,0.078729,-0.010840,1.000000,0.000346,0.000182,0.000180,0.039965,0.467165,-0.581314,-0.665007,97.891154,35.090523,-133.218543
49801,-5.629109,7.862839,-1.141052,0.062474,-0.003330,-0.075686,0.053561,0.031989,0.031392,-0.056305,0.078623,-0.011380,1.000000,0.000268,0.000160,0.000157,0.040033,0.467120,-0.581600,-0.664784,97.929666,35.064779,-133.208497
49802,-5.592056,7.852776,-1.099250,0.017833,0.015117,-0.109853,0.048789,0.032994,0.027350,-0.055933,0.078523,-0.010964,1.000000,0.000244,0.000165,0.000137,0.040121,0.467107,-0.581844,-0.664575,97.965749,35.041284,-133.194069
49803,-5.532687,7.867063,-1.067139,-0.044240,0.004878,-0.136009,0.040832,0.024526,0.033518,-0.055341,0.078664,-0.010649,1.000000,0.000204,0.000123,0.000168,0.040202,0.467028,-0.582094,-0.664406,97.993850,35.014910,-133.189586
49804,-5.561236,7.909453,-1.101396,-0.025367,-0.011152,-0.081342,0.029338,0.021439,0.038263,-0.055629,0.079085,-0.010996,1.000000,0.000147,0.000107,0.000191,0.040338,0.466940,-0.582301,-0.664278,98.013557,34.986134,-133.184261
49805,-5.607059,7.856890,-1.107000,0.031311,0.034064,-0.097074,0.022675,0.020424,0.036833,-0.056086,0.078560,-0.011055,1.000000,0.000113,0.000102,0.000184,0.040461,0.466834,-0.582499,-0.664171,98.029420,34.958201,-133.183015
49806,-5.604513,7.935749,-1.103350,-0.009034,0.014507,-0.034969,0.003986,0.019792,0.035397,-0.056060,0.079348,-0.011026,1.000000,0.000020,0.000099,0.000177,0.040642,0.466744,-0.582616,-0.664121,98.034092,34.931180,-133.178571
49807,-5.580341,7.908494,-1.126630,0.009025,-0.004787,-0.068270,0.001767,0.015376,0.033970,-0.055818,0.079076,-0.011261,1.000000,0.000009,0.000077,0.000170,0.040788,0.466625,-0.582740,-0.664088,98.036134,34.905268,-133.180727
49808,-5.544836,7.922922,-1.085262,-0.042428,0.002858,-0.081609,-0.011499,0.017491,0.032772,-0.055462,0.079220,-0.010852,1.000000,-0.000057,0.000087,0.000164,0.040990,0.466532,-0.582799,-0.664088,98.031165,34.879921,-133.177622
