// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
47956,-4.306345,2.677237,8.487814,0.013915,-0.040215,0.074344,-0.046035,-0.009943,-0.029359,-0.043064,0.026798,0.084870,1.000000,-0.000230,-0.000050,-0.000147,0.157644,0.245480,-0.099313,-0.951328,17.213207,25.833139,-157.206156
47957,-4.336207,2.709322,8.500342,0.043236,-0.063115,0.106641,-0.041766,-0.008857,-0.025894,-0.043362,0.027117,0.084996,1.000000,-0.000209,-0.000044,-0.000129,0.157616,0.245392,-0.099067,-0.951381,17.179379,25.829469,-157.218912
47958,-4.286137,2.668501,8.541739,-0.026434,-0.042882,0.109542,-0.048580,-0.009782,-0.030341,-0.042861,0.026712,0.085409,1.000000,-0.000243,-0.000049,-0.000152,0.157573,0.245296,-0.098788,-0.951442,17.140888,25.825880,-157.234796
47959,-4.306202,2.661974,8.492686,0.015870,-0.040479,0.074340,-0.046000,-0.009965,-0.029343,-0.043062,0.026646,0.084919,1.000000,-0.000230,-0.000050,-0.000147,0.157534,0.245202,-0.098518,-0.951501,17.103634,25.822170,-157.249852
47960,-4.290700,2.631624,8.512354,-0.011527,-0.020492,0.076457,-0.047694,-0.010524,-0.028069,-0.042908,0.026343,0.085115,1.000000,-0.000238,-0.000053,-0.000140,0.157501,0.245102,-0.098246,-0.951560,17.066183,25.817758,-157.264221
47961,-4.291037,2.633309,8.490454,0.002830,-0.029242,0.058192,-0.040863,-0.008968,-0.028376,-0.042910,0.026357,0.084897,1.000000,-0.000204,-0.000045,-0.000142,0.157461,0.245016,-0.098001,-0.951614,17.032214,25.814414,-157.278496
47962,-4.286318,2.654984,8.524664,-0.010120,-0.051833,0.091280,-0.040010,-0.008339,-0.027138,-0.042863,0.026573,0.085240,1.000000,-0.000200,-0.000042,-0.000136,0.157410,0.244930,-0.097769,-0.951668,16.999600,25.811070,-157.293691
47963,-4.291068,2.624055,8.493303,0.004119,-0.029399,0.058191,-0.041724,-0.007538,-0.026892,-0.042910,0.026264,0.084926,1.000000,-0.000209,-0.000038,-0.000134,0.157378,0.244849,-0.097521,-0.951720,16.965651,25.808247,-157.306792
47964,-4.275392,2.587856,8.535963,-0.037003,-0.000797,0.078585,-0.034938,-0.003899,-0.024494,-0.042752,0.025899,0.085354,1.000000,-0.000175,-0.000019,-0.000122,0.157332,0.244788,-0.097314,-0.951765,16.936998,25.806889,-157.320018
47965,-4.290556,2.602435,8.542598,-0.022006,-0.012303,0.094729,-0.031466,-0.006877,-0.023949,-0.042905,0.026043,0.085420,1.000000,-0.000157,-0.000034,-0.000120,0.157302,0.244717,-0.097117,-0.951808,16.909762,25.803925,-157.331202
