// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
29248,-4.532693,1.056020,8.730946,-0.070632,0.008638,0.080989,0.026156,0.010411,-0.003831,-0.045322,0.010550,0.087313,1.000000,0.000131,0.000052,-0.000019,0.313599,0.244377,0.022659,-0.917291,7.237946,27.551219,-140.474620
29249,-4.544450,1.073413,8.714403,-0.046961,0.005548,0.073810,0.022574,0.013487,0.003126,-0.045439,0.010724,0.087148,1.000000,0.000113,0.000067,0.000016,0.313633,0.244447,0.022592,-0.917262,7.250366,27.555944,-140.466372
29250,-4.565942,1.103447,8.716380,-0.017565,-0.005880,0.088846,0.025289,0.015876,0.002607,-0.045653,0.011023,0.087169,1.000000,0.000126,0.000079,0.000013,0.313661,0.244534,0.022517,-0.917231,7.264308,27.562391,-140.458224
29251,-4.546593,1.035840,8.709110,-0.069492,0.039838,0.065908,0.024624,0.016754,0.005616,-0.045459,0.010346,0.087096,1.000000,0.000123,0.000084,0.000028,0.313703,0.244623,0.022442,-0.917195,7.278766,27.568788,-140.448110
29252,-4.539908,1.152651,8.699421,-0.003999,-0.054403,0.067410,0.036514,0.017047,0.005324,-0.045392,0.011509,0.087000,1.000000,0.000183,0.000085,0.000027,0.313729,0.244733,0.022314,-0.917159,7.299995,27.575699,-140.438120
29253,-4.522020,1.211788,8.702140,0.014847,-0.111266,0.068190,0.019955,0.016201,0.003507,-0.045213,0.012108,0.087026,1.000000,0.000100,0.000081,0.000018,0.313768,0.244812,0.022262,-0.917127,7.311135,27.581930,-140.429397
29254,-4.543134,1.116923,8.659862,-0.009191,-0.014941,0.030101,0.003600,0.010763,-0.001737,-0.045427,0.011168,0.086601,1.000000,0.000018,0.000054,-0.000009,0.313803,0.244841,0.022283,-0.917106,7.311173,27.585781,-140.424448
29255,-4.603586,1.198379,8.702291,0.060731,-0.054375,0.104588,0.014653,0.008729,-0.002995,-0.046032,0.011978,0.087026,1.000000,0.000073,0.000044,-0.000015,0.313819,0.244876,0.022252,-0.917092,7.317064,27.588239,-140.420506
29256,-4.574042,1.034193,8.636146,-0.026930,0.073138,0.014232,-0.010131,0.002611,-0.007368,-0.045739,0.010348,0.086362,1.000000,-0.000051,0.000013,-0.000037,0.313846,0.244846,0.022331,-0.917089,7.307252,27.587867,-140.419837
29257,-4.533067,1.099634,8.709024,-0.048037,-0.016812,0.066705,0.016108,0.004131,-0.002845,-0.045329,0.010990,0.087092,1.000000,0.000081,0.000021,-0.000014,0.313861,0.244862,0.022285,-0.917081,7.313846,27.587704,-140.416178
29258,-4.533465,1.100465,8.708712,-0.047530,-0.016780,0.066708,0.005762,0.004338,-0.002542,-0.045333,0.011003,0.087088,1.000000,0.000029,0.000022,-0.000013,0.313890,0.244866,0.022288,-0.917070,7.314640,27.587962,-140.412273
29259,-4.573433,1.072351,8.707474,-0.036392,0.028773,0.080956,0.011063,0.004962,-0.005502,-0.045732,0.010720,0.087076,1.000000,0.000055,0.000025,-0.000028,0.313899,0.244877,0.022270,-0.917064,7.317586,27.588464,-140.410248
29260,-4.573904,1.073227,8.707118,-0.035890,0.028806,0.080957,0.014525,0.004578,-0.004918,-0.045737,0.010727,0.087073,1.000000,0.000073,0.000023,-0.000025,0.313907,0.244895,0.022236,-0.917057,7.322703,27.589031,-140.407847
29261,-4.515063,1.117433,8.708138,-0.051206,-0.039365,0.059594,0.017987,0.004194,-0.004334,-0.045149,0.011167,0.087083,1.000000,0.000090,0.000021,-0.000022,0.313913,0.244914,0.022184,-0.917051,7.329932,27.589012,-140.405138
