// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
06485,-0.977322,2.254746,10.355857,-0.241769,-0.630125,0.809332,0.065928,-0.136501,-0.189521,-0.009823,0.022523,0.103559,0.999999,0.000330,-0.000683,-0.000948,-0.859016,-0.146577,0.008129,0.490450,15.189636,7.458679,-58.452014
06486,-0.697632,2.417494,10.326814,0.035733,-0.776621,0.787767,0.076512,-0.120973,-0.210458,-0.007013,0.024143,0.103273,0.999999,0.000383,-0.000605,-0.001052,-0.858467,-0.146573,0.008680,0.491401,15.211613,7.420438,-58.582868
06487,-0.796766,2.844514,10.303372,0.340003,-0.482072,0.889535,0.064592,-0.092195,-0.213229,-0.007985,0.028420,0.103039,0.999999,0.000323,-0.000461,-0.001066,-0.857921,-0.146591,0.009080,0.492342,15.227674,7.398260,-58.710800
06488,-1.091103,3.025421,10.255772,0.345749,-0.133018,0.929160,0.006655,-0.084919,-0.200294,-0.010924,0.030262,0.102554,0.999999,0.000033,-0.000425,-0.001001,-0.857448,-0.146375,0.009312,0.493224,15.211161,7.378402,-58.830512
06489,-1.428856,2.839009,10.132111,0.035148,0.102393,0.805671,-0.012571,-0.115299,-0.156531,-0.014325,0.028408,0.101311,1.000000,-0.000063,-0.000576,-0.000783,-0.857095,-0.146002,0.009663,0.493941,15.186729,7.334888,-58.930310
06490,-1.705803,2.783946,9.854101,-0.110777,0.390181,0.560301,0.003460,-0.167460,-0.110211,-0.017125,0.027847,0.098527,0.999999,0.000017,-0.000837,-0.000551,-0.856841,-0.145564,0.010307,0.494497,15.173392,7.255777,-59.012243
06491,-1.800552,2.700541,9.614660,-0.197641,0.505151,0.320541,0.008414,-0.225900,-0.078838,-0.018103,0.027008,0.096127,0.999999,0.000042,-0.001129,-0.000394,-0.856658,-0.145004,0.011240,0.494960,15.164598,7.139401,-59.085391
06492,-1.825516,2.539530,9.195973,-0.287470,0.571026,-0.120480,0.003222,-0.276324,-0.073949,-0.018373,0.025401,0.091935,0.999999,0.000016,-0.001382,-0.000370,-0.856485,-0.144294,0.012376,0.495438,15.151933,6.994662,-59.163481
06493,-1.648088,2.363582,8.935295,-0.312243,0.421643,-0.438954,-0.016424,-0.284683,-0.092678,-0.016597,0.023651,0.089327,0.999999,-0.000082,-0.001423,-0.000463,-0.856278,-0.143482,0.013490,0.496002,15.127273,6.847809,-59.253097
06494,-1.596552,2.036011,8.595825,-0.514234,0.325414,-0.856563,-0.014187,-0.262009,-0.117822,-0.016066,0.020376,0.085936,0.999999,-0.000071,-0.001310,-0.000589,-0.856007,-0.142735,0.014489,0.496657,15.102406,6.717535,-59.353318
06495,-1.352648,2.015190,8.430674,-0.387736,0.162927,-1.049697,0.022750,-0.225302,-0.158690,-0.013605,0.020153,0.084294,0.999999,0.000114,-0.001127,-0.000793,-0.855609,-0.142242,0.015399,0.497456,15.097375,6.613321,-59.470625
06496,-0.913364,2.179779,8.413499,-0.028766,-0.121291,-1.074433,0.015208,-0.140956,-0.196101,-0.009172,0.021800,0.084130,0.999999,0.000076,-0.000705,-0.000981,-0.855129,-0.141927,0.015897,0.498356,15.086762,6.561688,-59.596171
06497,-0.729153,2.342025,8.546267,0.178151,-0.231039,-0.926163,0.021583,-0.033005,-0.222546,-0.007280,0.023419,0.085464,0.999999,0.000108,-0.000165,-0.001113,-0.854585,-0.141913,0.015935,0.499291,15.080501,6.573343,-59.720124
06498,-0.863803,2.563635,8.721898,0.273344,-0.058556,-0.685161,0.011786,0.071205,-0.228304,-0.008578,0.025641,0.087224,0.999999,0.000059,0.000356,-0.001142,-0.854041,-0.142114,0.015496,0.500177,15.069480,6.643826,-59.831766
06499,-1.277147,2.648208,8.799589,0.133944,0.306299,-0.540951,0.014527,0.125421,-0.207190,-0.012689,0.026489,0.088006,0.999999,0.000073,0.000627,-0.001036,-0.853552,-0.142464,0.014851,0.500932,15.062670,6.740808,-59.923444
06500,-1.641501,2.797357,8.905775,0.070397,0.650203,-0.357275,0.025435,0.124992,-0.163746,-0.016336,0.027976,0.089072,0.999999,0.000127,0.000625,-0.000819,-0.853162,-0.142854,0.014261,0.501502,15.064348,6.831411,-59.991103
06501,-1.843184,2.802598,8.873143,-0.013132,0.822224,-0.362380,0.023923,0.089144,-0.118582,-0.018376,0.028026,0.088743,1.000000,0.000120,0.000446,-0.000593,-0.852883,-0.143145,0.013858,0.501904,15.067895,6.895126,-60.038877
06502,-1.998452,2.701686,8.723190,-0.146488,0.937657,-0.512886,0.010939,0.038675,-0.083890,-0.019956,0.027020,0.087237,1.000000,0.000055,0.000193,-0.000419,-0.852697,-0.143251,0.013657,0.502196,15.064956,6.926138,-60.074996
06503,-1.459528,2.641989,8.587207,0.095262,0.475968,-0.723417,-0.003724,0.000681,-0.083311,-0.014584,0.026428,0.085872,1.000000,-0.000019,0.000003,-0.000417,-0.852520,-0.143201,0.013587,0.502512,15.053377,6.935652,-60.116392
06504,-0.672342,2.560833,8.668963,0.407623,-0.259469,-0.761315,-0.052067,0.067047,-0.101650,-0.006681,0.025634,0.086685,1.000000,-0.000260,0.000335,-0.000508,-0.852336,-0.143111,0.013094,0.502863,15.013653,6.985037,-60.158186
06505,-0.566310,2.484137,8.861393,0.374212,-0.437808,-0.610286,-0.059793,0.170685,-0.113228,-0.005573,0.024871,0.088611,0.999999,-0.000299,0.000853,-0.000566,-0.852134,-0.143251,0.012136,0.503189,14.970935,7.093027,-60.190897
06506,-0.639414,2.806316,9.080142,0.595303,-0.295659,-0.310510,-0.083895,0.278872,-0.113592,-0.006252,0.028105,0.090798,0.999999,-0.000419,0.001394,-0.000568,-0.851954,-0.143559,0.010653,0.503440,14.915932,7.261324,-60.207902
06507,-1.053181,2.900795,9.410248,0.442547,0.004026,0.080775,-0.104997,0.337739,-0.100324,-0.010358,0.029063,0.094105,0.999998,-0.000525,0.001689,-0.000502,-0.851823,-0.143925,0.008879,0.503591,14.851202,7.459857,-60.208849
06508,-1.415748,2.963773,9.612645,0.312158,0.272312,0.337167,-0.106143,0.340295,-0.068363,-0.013984,0.029694,0.096135,0.999998,-0.000531,0.001701,-0.000342,-0.851771,-0.144290,0.007111,0.503603,14.787845,7.655473,-60.191875
