// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
60758,-2.347220,0.788077,9.554721,-0.015131,0.011078,0.057614,0.005131,-0.005175,-0.008550,-0.023474,0.007879,0.095547,1.000000,0.000026,-0.000026,-0.000043,0.223194,0.126428,-0.012953,-0.966454,4.812529,13.803468,-153.409171
60759,-2.394184,0.802460,9.608810,0.019026,0.017728,0.122332,0.019893,-0.010040,-0.006093,-0.023946,0.008016,0.096088,1.000000,0.000099,-0.000050,-0.000030,0.223197,0.126378,-0.013027,-0.966458,4.819583,13.795875,-153.408436
60760,-2.353655,0.811232,9.564825,-0.000674,-0.005197,0.070816,0.010124,-0.008041,-0.006958,-0.023540,0.008108,0.095648,1.000000,0.000051,-0.000040,-0.000035,0.223200,0.126328,-0.013054,-0.966464,4.821220,13.789498,-153.408323
60761,-2.334736,0.805416,9.593590,-0.025818,-0.008170,0.093671,0.014285,-0.011401,-0.010401,-0.023352,0.008049,0.095935,1.000000,0.000071,-0.000057,-0.000052,0.223178,0.126264,-0.013100,-0.966477,4.824424,13.781251,-153.411072
60762,-2.364393,0.822360,9.595948,0.007540,-0.009593,0.104404,0.012783,-0.009312,-0.013299,-0.023648,0.008219,0.095959,1.000000,0.000064,-0.000047,-0.000066,0.223149,0.126211,-0.013137,-0.966490,4.826681,13.774455,-153.414751
60763,-2.337703,0.795481,9.614767,-0.030938,0.003063,0.114065,0.009590,-0.007768,-0.014965,-0.023380,0.007952,0.096147,1.000000,0.000048,-0.000039,-0.000075,0.223109,0.126161,-0.013155,-0.966505,4.826654,13.768571,-153.419832
60764,-2.382377,0.786267,9.599463,0.008570,0.031795,0.109134,0.010572,-0.006890,-0.011416,-0.023827,0.007859,0.095994,1.000000,0.000053,-0.000034,-0.000057,0.223091,0.126117,-0.013179,-0.966515,4.827937,13.763067,-153.422284
60765,-2.319559,0.799263,9.563132,-0.030592,-0.005692,0.060088,0.007379,-0.005347,-0.013081,-0.023198,0.007991,0.095631,1.000000,0.000037,-0.000027,-0.000065,0.223073,0.126077,-0.013183,-0.966524,4.826921,13.758545,-153.424810
60766,-2.349378,0.815573,9.565507,0.002767,-0.007104,0.070815,0.005869,-0.011874,-0.006879,-0.023499,0.008154,0.095654,1.000000,0.000029,-0.000059,-0.000034,0.223079,0.126003,-0.013193,-0.966532,4.826085,13.749976,-153.424842
60767,-2.372283,0.766679,9.589976,-0.003042,0.046447,0.095945,0.003957,-0.008687,-0.007967,-0.023727,0.007666,0.095899,1.000000,0.000020,-0.000043,-0.000040,0.223079,0.125941,-0.013188,-0.966540,4.823770,13.743221,-153.425579
60768,-2.306921,0.814279,9.602208,-0.041284,-0.024926,0.096147,0.003658,-0.009453,-0.004995,-0.023074,0.008142,0.096021,1.000000,0.000018,-0.000047,-0.000025,0.223096,0.125877,-0.013186,-0.966545,4.821959,13.735944,-153.424383
60769,-2.374114,0.799729,9.579297,0.017695,0.018313,0.088740,0.004680,-0.006325,-0.004094,-0.023744,0.007996,0.095792,1.000000,0.000023,-0.000032,-0.000020,0.223121,0.125828,-0.013184,-0.966546,4.820635,13.730404,-153.421946
60770,-2.343070,0.784159,9.577152,-0.014549,0.019111,0.078023,0.004569,-0.004458,-0.005255,-0.023433,0.007840,0.095771,1.000000,0.000023,-0.000022,-0.000026,0.223136,0.125788,-0.013181,-0.966547,4.819368,13.725991,-153.420655
60771,-2.332577,0.798662,9.615748,-0.026351,0.000483,0.114079,0.005702,-0.003196,-0.003192,-0.023327,0.007984,0.096157,1.000000,0.000029,-0.000016,-0.000016,0.223153,0.125755,-0.013182,-0.966548,4.818823,13.722135,-153.418928
60772,-2.339203,0.752308,9.588238,-0.033015,0.045963,0.085239,0.002099,-0.000555,-0.003045,-0.023392,0.007522,0.095882,1.000000,0.000010,-0.000003,-0.000015,0.223181,0.125732,-0.013164,-0.966545,4.816494,13.719844,-153.416145
60773,-2.350633,0.806189,9.587063,0.000540,0.002507,0.091210,0.009845,0.002506,-0.004434,-0.023505,0.008058,0.095871,1.000000,0.000049,0.000013,-0.000022,0.223199,0.125730,-0.013176,-0.966540,4.818110,13.719268,-153.413797
60774,-2.316945,0.758457,9.595735,-0.051320,0.030774,0.087719,0.006055,0.002515,-0.000154,-0.023168,0.007582,0.095958,1.000000,0.000030,0.000013,-0.000001,0.223238,0.125726,-0.013176,-0.966532,4.818487,13.718591,-153.409163
60775,-2.328704,0.812305,9.594476,-0.017761,-0.012675,0.093684,0.004441,0.006468,-0.004215,-0.023284,0.008121,0.095946,1.000000,0.000022,0.000032,-0.000021,0.223261,0.125738,-0.013158,-0.966526,4.817115,13.720292,-153.406561
60776,-2.356675,0.796354,9.607487,-0.004010,0.013418,0.111612,0.012038,0.009146,-0.004117,-0.023562,0.007958,0.096076,1.000000,0.000060,0.000046,-0.000021,0.223277,0.125772,-0.013176,-0.966517,4.820446,13.723591,-153.403927
60777,-2.344982,0.788055,9.576364,-0.010528,0.016848,0.078032,0.006817,0.007127,0.001072,-0.023446,0.007877,0.095765,1.000000,0.000034,0.000036,0.000005,0.223326,0.125791,-0.013173,-0.966503,4.821271,13.725525,-153.397882
60778,-2.322951,0.793700,9.583847,-0.029421,0.002001,0.080508,0.007077,0.005644,0.000747,-0.023227,0.007934,0.095839,1.000000,0.000035,0.000028,0.000004,0.223369,0.125803,-0.013174,-0.966492,4.822396,13.726590,-153.392563
60779,-2.338145,0.768678,9.566068,-0.022743,0.031827,0.064858,0.008319,0.005041,0.003971,-0.023379,0.007682,0.095662,1.000000,0.000042,0.000025,0.000020,0.223429,0.125812,-0.013182,-0.966477,4.824408,13.727112,-153.385162
60780,-2.351256,0.778815,9.596691,-0.015091,0.027756,0.098440,0.008782,0.008888,0.008169,-0.023509,0.007783,0.095968,1.000000,0.000044,0.000044,0.000041,0.223507,0.125841,-0.013193,-0.966455,4.827584,13.729671,-153.375320
60781,-2.347467,0.791615,9.575462,-0.008248,0.015568,0.078036,0.010174,0.008668,0.009906,-0.023471,0.007910,0.095756,1.000000,0.000051,0.000043,0.000050,0.223597,0.125869,-0.013209,-0.966430,4.831557,13.732021,-153.363941
60782,-2.325626,0.797680,9.582868,-0.027135,0.000714,0.080515,0.008931,0.009271,0.006682,-0.023252,0.007972,0.095830,1.000000,0.000045,0.000046,0.000033,0.223668,0.125900,-0.013219,-0.966409,4.834616,13.734869,-153.354953
60783,-2.376253,0.777424,9.588128,0.006063,0.041329,0.095966,0.015356,0.008437,0.007366,-0.023759,0.007766,0.095883,1.000000,0.000077,0.000042,0.000037,0.223745,0.125934,-0.013259,-0.966387,4.841192,13.737223,-153.344769
60784,-2.353048,0.828018,9.563536,0.013083,-0.012834,0.070801,0.010842,0.006085,0.007771,-0.023528,0.008274,0.095637,1.000000,0.000054,0.000030,0.000039,0.223820,0.125952,-0.013282,-0.966367,4.845461,13.738199,-153.335299
60785,-2.380875,0.812652,9.576531,0.026845,0.013238,0.088727,0.012982,0.007776,0.002079,-0.023805,0.008120,0.095767,1.000000,0.000065,0.000039,0.000010,0.223863,0.125980,-0.013309,-0.966353,4.849941,13.740359,-153.329406
60786,-2.350793,0.797915,9.574123,-0.005409,0.013993,0.078040,0.010529,0.002619,0.002089,-0.023507,0.007974,0.095742,1.000000,0.000053,0.000013,0.000010,0.223910,0.125980,-0.013331,-0.966341,4.853197,13.739630,-153.323448
60787,-2.366900,0.840862,9.593727,0.021916,-0.017556,0.104372,0.013611,0.002944,0.002593,-0.023668,0.008402,0.095938,1.000000,0.000068,0.000015,0.000013,0.223949,0.125986,-0.013369,-0.966331,4.858142,13.739068,-153.318242
60788,-2.347916,0.767894,9.584873,-0.023925,0.040822,0.085288,0.011920,0.002400,0.003827,-0.023478,0.007673,0.095849,1.000000,0.000060,0.000012,0.000019,0.224004,0.125987,-0.013399,-0.966318,4.862435,13.738128,-153.311274
60789,-2.321998,0.853393,9.608800,-0.015791,-0.047321,0.109334,0.013720,0.001079,0.003755,-0.023220,0.008527,0.096089,1.000000,0.000069,0.000005,0.000019,0.224057,0.125983,-0.013437,-0.966306,4.867446,13.736350,-153.304467
60790,-2.317764,0.754496,9.582392,-0.055592,0.041225,0.074615,0.010568,0.004867,-0.000561,-0.023175,0.007540,0.095825,1.000000,0.000053,0.000024,-0.000003,0.224091,0.125995,-0.013456,-0.966296,4.870382,13.737031,-153.299954
60791,-2.364309,0.813303,9.604191,0.004599,0.008623,0.111617,0.012698,-0.002050,0.002856,-0.023644,0.008127,0.096042,1.000000,0.000063,-0.000010,0.000014,0.224140,0.125974,-0.013492,-0.966287,4.874617,13.733473,-153.293876
60792,-2.348181,0.772761,9.584417,-0.021616,0.039541,0.085299,0.011566,-0.003314,0.000795,-0.023483,0.007722,0.095844,1.000000,0.000058,-0.000017,0.000004,0.224180,0.125947,-0.013525,-0.966280,4.878216,13.729417,-153.288977
60793,-2.341330,0.820476,9.611783,-0.013676,-0.006580,0.114102,0.009546,0.001737,-0.001461,-0.023412,0.008200,0.096118,1.000000,0.000048,0.000009,-0.000007,0.224204,0.125942,-0.013541,-0.966275,4.880167,13.728282,-153.285913
60794,-2.340209,0.865675,9.579605,0.012811,-0.046155,0.086429,0.013447,-0.000142,-0.004576,-0.023402,0.008651,0.095797,1.000000,0.000067,-0.000001,-0.000023,0.224217,0.125933,-0.013576,-0.966273,4.884132,13.726299,-153.284011
