// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
26880,-9.198582,-2.256326,-1.803031,-0.124980,-0.033298,-0.172195,0.002412,0.001469,-0.005031,-0.091987,-0.022561,-0.018030,1.000000,0.000012,0.000007,-0.000025,-0.321162,0.742833,-0.211801,-0.547901,-128.270254,71.812788,6.856799
26881,-9.176942,-2.358600,-1.836322,-0.026947,0.016027,-0.161245,-0.005177,0.001730,-0.005888,-0.091770,-0.023584,-0.018362,1.000000,-0.000026,0.000009,-0.000029,-0.321132,0.742827,-0.211795,-0.547928,-128.273271,71.816075,6.857284
26882,-9.134523,-2.382175,-1.810604,-0.015026,0.052500,-0.200737,0.000084,0.001395,-0.008975,-0.091346,-0.023818,-0.018105,1.000000,0.000000,0.000007,-0.000045,-0.321123,0.742817,-0.211785,-0.547951,-128.269789,71.818439,6.862520
26883,-9.131484,-2.466342,-1.912033,0.111414,0.039707,-0.163401,0.005781,-0.002213,-0.005089,-0.091315,-0.024661,-0.019122,1.000000,0.000029,-0.000011,-0.000025,-0.321135,0.742783,-0.211806,-0.547983,-128.261988,71.823485,6.867783
26884,-9.120089,-2.493556,-1.930719,0.146593,0.045816,-0.163960,0.019719,0.004425,-0.002943,-0.091202,-0.024932,-0.019308,1.000000,0.000099,0.000022,-0.000015,-0.321175,0.742744,-0.211871,-0.547986,-128.257790,71.827564,6.862910
26885,-9.131222,-2.467799,-1.911408,0.113622,0.040415,-0.163429,0.043026,0.003529,-0.002458,-0.091313,-0.024673,-0.019118,1.000000,0.000215,0.000018,-0.000012,-0.321312,0.742662,-0.212012,-0.547962,-128.239357,71.831757,6.856903
26886,-9.174553,-2.392102,-1.886678,0.034051,0.001946,-0.145580,0.065775,0.000965,0.000202,-0.091746,-0.023915,-0.018874,1.000000,0.000329,0.000005,0.000001,-0.321520,0.742537,-0.212218,-0.547930,-128.209101,71.838429,6.850841
26887,-9.132610,-2.313669,-1.813786,-0.052909,-0.001928,-0.218697,0.095519,-0.007073,0.006067,-0.091325,-0.023131,-0.018152,1.000000,0.000478,-0.000035,0.000030,-0.321840,0.742333,-0.212518,-0.547902,-128.155229,71.850219,6.850479
26888,-9.188896,-2.387024,-1.806104,-0.024382,0.050502,-0.148704,0.075647,-0.010257,-0.003362,-0.091888,-0.023862,-0.018075,1.000000,0.000378,-0.000051,-0.000017,-0.322103,0.742166,-0.212722,-0.547895,-128.101407,71.859325,6.863437
26889,-9.240901,-2.597949,-1.695979,0.028297,0.271642,-0.068697,0.094716,-0.016378,-0.003696,-0.092408,-0.025970,-0.016980,1.000000,0.000474,-0.000082,-0.000018,-0.322456,0.741948,-0.212968,-0.547887,-128.024577,71.869998,6.887717
26890,-9.259354,-2.684018,-1.551637,-0.014488,0.429447,-0.057559,0.161295,-0.013726,-0.002273,-0.092593,-0.026827,-0.015544,1.000000,0.000806,-0.000069,-0.000011,-0.323045,0.741629,-0.213406,-0.547802,-127.916046,71.880576,6.905694
26891,-9.274005,-2.703293,-1.467378,-0.059594,0.496234,-0.054698,0.230787,-0.007665,0.000828,-0.092739,-0.027016,-0.014709,0.999999,0.001154,-0.000038,0.000004,-0.323881,0.741209,-0.214055,-0.547623,-127.778013,71.890204,6.912337
26892,-9.281220,-2.486028,-1.461876,-0.208071,0.340902,-0.101923,0.270408,-0.006042,-0.001314,-0.092812,-0.024840,-0.014655,0.999999,0.001352,-0.000030,-0.000007,-0.324860,0.740732,-0.214808,-0.547393,-127.618992,71.898644,6.917909
26893,-9.318272,-2.328031,-1.550115,-0.263370,0.157939,-0.088570,0.258762,-0.023806,-0.007784,-0.093182,-0.023257,-0.015542,0.999999,0.001294,-0.000119,-0.000039,-0.325840,0.740230,-0.215475,-0.547228,-127.433117,71.909980,6.958020
26894,-9.198659,-2.261755,-1.764852,-0.124096,-0.046796,-0.177960,0.225428,-0.033426,-0.012480,-0.091985,-0.022592,-0.017689,0.999999,0.001127,-0.000167,-0.000062,-0.326713,0.739760,-0.216013,-0.547130,-127.248126,71.922760,7.018160
26895,-9.112850,-2.116022,-1.924869,-0.087002,-0.268800,-0.265600,0.212464,-0.028197,-0.022825,-0.091128,-0.021129,-0.019284,0.999999,0.001062,-0.000141,-0.000114,-0.327567,0.739336,-0.216490,-0.547005,-127.066412,71.928668,7.081794
26896,-9.133318,-1.970790,-1.893212,-0.211756,-0.354972,-0.288250,0.135505,-0.021590,-0.027420,-0.091334,-0.019683,-0.018955,1.000000,0.000678,-0.000108,-0.000137,-0.328135,0.739060,-0.216747,-0.546935,-126.933455,71.930436,7.141345
26897,-9.150671,-2.013242,-2.006905,-0.112291,-0.413924,-0.240245,0.045168,-0.018086,-0.036385,-0.091509,-0.020111,-0.020082,1.000000,0.000226,-0.000090,-0.000182,-0.328396,0.738951,-0.216733,-0.546931,-126.847408,71.926560,7.205174
26898,-9.127165,-2.149995,-2.086930,0.041308,-0.380455,-0.213915,0.000519,-0.026760,-0.036193,-0.091273,-0.021483,-0.020882,1.000000,0.000003,-0.000134,-0.000181,-0.328493,0.738893,-0.216579,-0.547013,-126.776085,71.926082,7.281546
26899,-9.103724,-2.286080,-2.167098,0.194854,-0.347046,-0.187624,-0.017333,-0.029528,-0.036155,-0.091038,-0.022846,-0.021682,1.000000,-0.000087,-0.000148,-0.000181,-0.328534,0.738856,-0.216376,-0.547119,-126.710031,71.926183,7.362014
26900,-9.051786,-2.435313,-2.145666,0.298534,-0.229750,-0.203965,-0.001333,-0.026538,-0.033337,-0.090519,-0.024338,-0.021469,1.000000,-0.000007,-0.000133,-0.000167,-0.328613,0.738799,-0.216228,-0.547206,-126.643896,71.926940,7.434387
26901,-9.008052,-2.515498,-2.165448,0.380260,-0.190508,-0.222015,0.027242,-0.022153,-0.027373,-0.090082,-0.025140,-0.021668,1.000000,0.000136,-0.000111,-0.000137,-0.328787,0.738699,-0.216191,-0.547252,-126.571886,71.928501,7.494255
26902,-9.047322,-2.497599,-1.990470,0.240440,-0.081753,-0.221571,0.044229,-0.022495,-0.019641,-0.090473,-0.024963,-0.019920,1.000000,0.000221,-0.000112,-0.000098,-0.329010,0.738559,-0.216243,-0.547286,-126.498989,71.933681,7.542945
26903,-9.102087,-2.395943,-1.947030,0.126819,-0.126093,-0.202928,0.066312,-0.008772,-0.010338,-0.091021,-0.023948,-0.019482,1.000000,0.000332,-0.000044,-0.000052,-0.329268,0.738412,-0.216398,-0.547268,-126.441245,71.938489,7.564258
26904,-9.247938,-2.357611,-1.834242,-0.017951,-0.079346,-0.094636,0.052161,-0.006233,-0.007431,-0.092480,-0.023568,-0.018351,1.000000,0.000261,-0.000031,-0.000037,-0.329446,0.738297,-0.216519,-0.547268,-126.399974,71.944275,7.579287
26905,-9.262147,-2.374086,-1.754343,-0.063059,-0.012580,-0.091718,0.027494,-0.008681,-0.006918,-0.092622,-0.023735,-0.017551,1.000000,0.000137,-0.000043,-0.000035,-0.329551,0.738211,-0.216580,-0.547297,-126.368132,71.950620,7.596748
26906,-9.250815,-2.402294,-1.771241,-0.027899,-0.006487,-0.092345,0.021735,-0.010399,-0.010523,-0.092508,-0.024016,-0.017720,1.000000,0.000109,-0.000052,-0.000053,-0.329641,0.738134,-0.216606,-0.547336,-126.333630,71.956113,7.621266
26907,-9.249934,-2.354807,-1.775668,-0.055721,-0.043680,-0.104218,0.004921,-0.011188,-0.005862,-0.092499,-0.023545,-0.017762,1.000000,0.000025,-0.000056,-0.000029,-0.329662,0.738077,-0.216606,-0.547401,-126.312235,71.963790,7.641341
26908,-9.249509,-2.331039,-1.777853,-0.069082,-0.062062,-0.110147,-0.004461,-0.003586,-0.004272,-0.092495,-0.023309,-0.017780,1.000000,-0.000022,-0.000018,-0.000021,-0.329635,0.738054,-0.216603,-0.547449,-126.309594,71.969723,7.647028
