// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
35193,-2.918376,0.909049,9.376480,0.030140,0.182104,0.047718,-0.008359,0.052304,-0.030904,-0.029158,0.009099,0.093772,1.000000,-0.000042,0.000262,-0.000155,0.411330,-0.119179,0.113890,0.896456,6.404727,17.900874,131.714603
35194,-2.972785,0.875860,9.362919,0.087305,0.163823,0.048061,0.008924,0.060798,-0.026229,-0.029698,0.008758,0.093639,1.000000,0.000045,0.000304,-0.000131,0.411362,-0.119441,0.114007,0.896391,6.404304,17.934424,131.709934
35195,-2.986983,0.951199,9.390700,0.031633,0.118866,0.086654,0.016168,0.064787,-0.020980,-0.029838,0.009508,0.093917,1.000000,0.000081,0.000324,-0.000105,0.411374,-0.119701,0.114165,0.896331,6.408681,17.969628,131.708547
35196,-2.915075,0.840278,9.372320,0.069907,0.240642,0.035222,0.027477,0.073567,-0.015267,-0.029116,0.008392,0.093735,1.000000,0.000137,0.000368,-0.000076,0.411361,-0.119976,0.114398,0.896271,6.421176,18.009748,131.711304
35197,-3.021961,0.958044,9.413188,0.039451,0.109484,0.119315,0.034908,0.084252,-0.008629,-0.030180,0.009565,0.094146,1.000000,0.000175,0.000421,-0.000043,0.411316,-0.120278,0.114686,0.896214,6.438979,18.055236,131.718639
35198,-2.988740,0.955735,9.355339,0.024080,0.125266,0.054029,0.039385,0.092665,-0.008110,-0.029844,0.009540,0.093569,1.000000,0.000197,0.000463,-0.000041,0.411267,-0.120609,0.115017,0.896150,6.460040,18.105767,131.727002
35199,-2.928425,0.896994,9.389375,0.023864,0.225043,0.060985,0.051111,0.096913,-0.000628,-0.029239,0.008946,0.093910,1.000000,0.000256,0.000485,-0.000003,0.411190,-0.120930,0.115408,0.896091,6.488907,18.157937,131.740028
35200,-3.007875,0.872856,9.401060,0.088763,0.198633,0.093966,0.063327,0.113010,0.008958,-0.030026,0.008697,0.094030,1.000000,0.000317,0.000565,0.000045,0.411067,-0.121293,0.115898,0.896036,6.527345,18.218933,131.760069
35201,-3.095691,1.017140,9.389110,0.033413,0.053192,0.125587,0.069574,0.109762,0.010381,-0.030906,0.010137,0.093912,1.000000,0.000348,0.000549,0.000052,0.410943,-0.121627,0.116405,0.895981,6.569170,18.277675,131.780652
35202,-3.007543,0.883701,9.365851,0.081133,0.205615,0.061346,0.074123,0.110114,0.016375,-0.030025,0.008800,0.093678,1.000000,0.000371,0.000551,0.000082,0.410795,-0.121950,0.116942,0.895936,6.615201,18.336507,131.805046
