// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
43182,-1.562814,1.882493,9.734016,0.320396,0.744066,0.191358,-0.020276,-0.145251,-0.741784,-0.015629,0.018893,0.097327,0.999993,-0.000101,-0.000726,-0.003709,0.187708,0.071983,-0.111240,-0.973247,14.166404,5.644331,-157.465137
43183,-1.687466,2.134959,9.752692,0.528045,0.558183,0.283361,0.050912,-0.233846,-0.710409,-0.016913,0.021385,0.097513,0.999993,0.000255,-0.001169,-0.003552,0.184162,0.071264,-0.111430,-0.973955,14.150798,5.611002,-157.888050
43184,-1.546754,2.567612,9.657438,0.575277,0.095748,0.282413,0.126372,-0.308027,-0.647333,-0.015533,0.025665,0.096567,0.999993,0.000632,-0.001540,-0.003237,0.180853,0.070214,-0.112070,-0.974578,14.180547,5.527362,-158.286284
43185,-1.017350,3.043358,9.498121,0.286653,-0.553748,0.193436,0.128992,-0.344377,-0.570655,-0.010250,0.030401,0.094983,0.999994,0.000645,-0.001722,-0.002853,0.177894,0.068949,-0.112787,-0.975130,14.216763,5.413392,-158.646743
43186,-0.604864,3.176928,9.259568,0.002076,-0.860943,-0.042473,0.094546,-0.309149,-0.479193,-0.006116,0.031740,0.092601,0.999996,0.000473,-0.001546,-0.002396,0.175411,0.067769,-0.113330,-0.975600,14.238477,5.305880,-158.951295
43187,-0.479071,3.296057,9.115382,-0.041207,-1.034324,-0.163223,0.066046,-0.248191,-0.376122,-0.004842,0.032940,0.091159,0.999997,0.000330,-0.001241,-0.001881,0.173474,0.066807,-0.113721,-0.975967,14.251229,5.218175,-159.189599
43188,-0.228878,3.282897,9.046806,-0.259001,-1.118497,-0.254634,0.033782,-0.176115,-0.267094,-0.002325,0.032817,0.090472,0.999999,0.000169,-0.000881,-0.001335,0.172120,0.066102,-0.113921,-0.976231,14.251442,5.154750,-159.357001
43189,-0.045137,3.127552,8.956961,-0.461000,-1.055139,-0.395420,0.027803,-0.071697,-0.148952,-0.000460,0.031263,0.089574,1.000000,0.000139,-0.000358,-0.000745,0.171404,0.065839,-0.114049,-0.976360,14.256502,5.132972,-159.443586
43190,-0.112741,3.144112,8.918810,-0.387746,-1.051994,-0.421932,0.043679,0.036201,-0.029574,-0.001107,0.031422,0.089195,1.000000,0.000218,0.000181,-0.000148,0.171327,0.066043,-0.114194,-0.976343,14.277081,5.153951,-159.448470
43191,-0.330679,3.146791,9.069825,-0.216207,-0.946265,-0.255952,0.050184,0.126889,0.072394,-0.003261,0.031444,0.090708,1.000000,0.000251,0.000634,0.000362,0.171797,0.066641,-0.114335,-0.976203,14.308713,5.211068,-159.383442
