// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
31110,-3.979827,1.017607,8.740075,-0.310650,-1.083909,-0.221440,-0.024685,-0.230369,-0.444272,-0.039876,0.010275,0.087354,0.999997,-0.000123,-0.001152,-0.002221,0.257474,0.247144,0.055299,-0.932507,1.585730,29.301335,-148.714761
31111,-4.567562,1.257053,8.555042,0.356124,-0.987926,-0.090102,0.001894,-0.263126,-0.406244,-0.045762,0.012663,0.085490,0.999997,0.000009,-0.001316,-0.002031,0.255703,0.245781,0.055475,-0.933343,1.452648,29.154548,-148.980045
31112,-5.063056,1.449493,8.452998,0.894930,-0.911277,0.064426,0.039238,-0.259560,-0.351479,-0.050715,0.014567,0.084467,0.999998,0.000196,-0.001298,-0.001757,0.254139,0.244499,0.055414,-0.934111,1.359419,29.008747,-149.208728
31113,-5.414334,1.164467,8.253206,1.127793,-0.463554,0.051366,0.022841,-0.257340,-0.294577,-0.054232,0.011715,0.082464,0.999998,0.000114,-0.001287,-0.001473,0.252859,0.243219,0.055362,-0.934795,1.275613,28.862990,-149.399479
31114,-5.642994,1.179596,8.219504,1.346761,-0.366824,0.129481,0.053316,-0.228916,-0.249215,-0.056509,0.011844,0.082134,0.999999,0.000267,-0.001145,-0.001246,0.251746,0.242123,0.055148,-0.935393,1.224373,28.732920,-149.559799
31115,-5.840950,0.946113,8.218550,1.402394,-0.074557,0.216474,0.042914,-0.204694,-0.210293,-0.058484,0.009505,0.082128,0.999999,0.000215,-0.001023,-0.001051,0.250820,0.241137,0.054966,-0.935907,1.180004,28.615995,-149.693985
31116,-5.733650,0.982315,8.160781,1.384544,-0.139881,0.112103,0.004948,-0.196121,-0.190677,-0.057407,0.009876,0.081552,0.999999,0.000025,-0.000981,-0.000953,0.250028,0.240150,0.054949,-0.936373,1.120391,28.503793,-149.815074
31117,-5.377768,0.548847,7.987179,0.991770,0.116961,-0.220016,-0.004681,-0.138828,-0.175969,-0.053828,0.005538,0.079834,0.999999,-0.000023,-0.000694,-0.000880,0.249301,0.239421,0.055030,-0.936749,1.060512,28.424030,-149.925554
31118,-5.409761,0.529272,8.353736,0.865866,0.063154,0.115899,0.002827,-0.082593,-0.176127,-0.054127,0.005339,0.083515,1.000000,0.000014,-0.000413,-0.000881,0.248548,0.238966,0.055147,-0.937058,1.005332,28.376497,-150.035391
31119,-5.372232,0.131601,8.551039,0.570526,0.345894,0.264679,0.019542,-0.097118,-0.169292,-0.053763,0.001353,0.085484,1.000000,0.000098,-0.000486,-0.000846,0.247811,0.238465,0.055159,-0.937380,0.961964,28.320405,-150.140774
