// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
50508,-4.120612,1.404607,8.798457,-0.108716,-0.030453,0.003242,0.012763,-0.001934,0.003359,-0.041207,0.014040,0.087985,1.000000,0.000064,-0.000010,0.000017,-0.205506,-0.231771,0.025896,0.950462,9.208784,25.463513,-153.514130
50509,-4.118847,1.499375,8.855270,-0.099572,-0.118411,0.066832,0.020799,0.002463,0.007324,-0.041188,0.014983,0.088555,1.000000,0.000104,0.000012,0.000037,-0.205572,-0.231750,0.026000,0.950451,9.222376,25.457682,-153.503622
50510,-4.144447,1.523872,8.860412,-0.072380,-0.129263,0.085978,0.014372,0.003476,0.004567,-0.041443,0.015231,0.088606,1.000000,0.000072,0.000017,0.000023,-0.205625,-0.231757,0.026048,0.950436,9.229973,25.456670,-153.495416
50511,-4.170879,1.501091,8.837169,-0.048734,-0.095378,0.073343,0.006228,0.001142,0.002866,-0.041709,0.015008,0.088372,1.000000,0.000031,0.000006,0.000014,-0.205686,-0.231715,0.026079,0.950432,9.233940,25.450429,-153.487942
50512,-4.189739,1.403163,8.831556,-0.067744,0.002653,0.062259,0.008694,-0.003101,0.002509,-0.041899,0.014027,0.088316,1.000000,0.000043,-0.000016,0.000013,-0.205736,-0.231685,0.026105,0.950428,9.237439,25.445886,-153.481696
50513,-4.166700,1.430137,8.830367,-0.074853,-0.029706,0.055219,0.012658,0.000130,0.005623,-0.041667,0.014295,0.088305,1.000000,0.000063,0.000001,0.000028,-0.205801,-0.231644,0.026171,0.950422,9.245743,25.438796,-153.472832
50514,-4.156722,1.308404,8.843205,-0.134950,0.078414,0.044704,0.017061,-0.000010,0.011808,-0.041568,0.013074,0.088433,1.000000,0.000085,-0.000000,0.000059,-0.205885,-0.231636,0.026244,0.950404,9.256672,25.435144,-153.460449
50515,-4.135226,1.361616,8.843801,-0.132845,0.024265,0.043715,0.039499,0.005889,0.015917,-0.041351,0.013595,0.088442,1.000000,0.000197,0.000029,0.000080,-0.205971,-0.231650,0.026443,0.950376,9.283411,25.430545,-153.444203
50516,-4.130718,1.339933,8.864897,-0.155966,0.045287,0.057382,0.046124,0.004694,0.022985,-0.041307,0.013374,0.088653,1.000000,0.000231,0.000023,0.000115,-0.206076,-0.231693,0.026662,0.950337,9.314200,25.428507,-153.424343
50517,-4.134505,1.347521,8.839792,-0.140537,0.046342,0.037691,0.056140,0.011223,0.029067,-0.041342,0.013444,0.088404,1.000000,0.000281,0.000056,0.000145,-0.206206,-0.231748,0.026948,0.950287,9.354113,25.425682,-153.399281
50518,-4.184689,1.375471,8.847235,-0.095932,0.046548,0.069911,0.068593,0.012562,0.031507,-0.041843,0.013718,0.088480,1.000000,0.000343,0.000063,0.000158,-0.206326,-0.231850,0.027276,0.950227,9.400413,25.427273,-153.373278
