// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
16922,-9.160742,-1.326737,-2.179395,0.079818,-0.212995,-0.305982,0.022224,0.011870,-0.019200,-0.091610,-0.013256,-0.021790,1.000000,0.000111,0.000059,-0.000096,-0.112322,0.779945,-0.012274,-0.615563,-143.572118,74.358838,26.223772
16923,-9.291792,-1.358474,-2.056691,-0.064617,-0.175105,-0.201340,-0.018642,0.001552,-0.018029,-0.092919,-0.013578,-0.020565,1.000000,-0.000093,0.000008,-0.000090,-0.112265,0.779945,-0.012176,-0.615577,-143.565828,74.358067,26.242839
16924,-9.277211,-1.549230,-2.127164,0.036133,-0.000825,-0.169540,-0.029034,0.007696,-0.010926,-0.092774,-0.015490,-0.021266,1.000000,-0.000145,0.000038,-0.000055,-0.112158,0.779967,-0.012083,-0.615570,-143.581886,74.356620,26.243192
16925,-9.387866,-1.677719,-2.161800,0.062169,0.105090,-0.034894,-0.012749,0.009006,-0.011658,-0.093881,-0.016773,-0.021613,1.000000,-0.000064,0.000045,-0.000058,-0.112111,0.779985,-0.012040,-0.615557,-143.591501,74.354653,26.240941
16926,-9.375206,-1.749233,-2.147467,0.062370,0.179001,-0.038743,0.014257,0.010122,-0.007854,-0.093754,-0.017487,-0.021471,1.000000,0.000071,0.000051,-0.000039,-0.112163,0.779990,-0.012093,-0.615540,-143.590756,74.353132,26.232985
16927,-9.382972,-1.644650,-2.043952,-0.055178,0.095888,-0.070483,0.037661,0.013471,-0.000563,-0.093831,-0.016442,-0.020436,1.000000,0.000188,0.000067,-0.000003,-0.112277,0.779992,-0.012250,-0.615513,-143.595194,74.352885,26.206245
16928,-9.436566,-1.534741,-2.075367,-0.055677,-0.023445,-0.029656,0.050318,0.019946,0.003129,-0.094367,-0.015344,-0.020748,1.000000,0.000252,0.000100,0.000016,-0.112436,0.780007,-0.012463,-0.615461,-143.603793,74.350568,26.167128
16929,-9.426269,-1.388632,-2.029842,-0.120140,-0.155707,-0.072850,0.050360,0.014087,0.001258,-0.094264,-0.013882,-0.020295,1.000000,0.000252,0.000070,0.000006,-0.112595,0.780004,-0.012666,-0.615432,-143.604193,74.350587,26.136958
16930,-9.403208,-1.254924,-2.051099,-0.115690,-0.287363,-0.111852,0.036450,0.015956,-0.003151,-0.094034,-0.012544,-0.020506,1.000000,0.000182,0.000080,-0.000016,-0.112720,0.780014,-0.012809,-0.615393,-143.605551,74.347973,26.113613
16931,-9.379220,-1.258985,-2.046995,-0.113628,-0.279564,-0.135192,0.012242,0.012245,-0.004206,-0.093794,-0.012587,-0.020465,1.000000,0.000061,0.000061,-0.000021,-0.112749,0.780027,-0.012876,-0.615370,-143.616631,74.347031,26.094694
16932,-9.341356,-1.334932,-2.152134,0.007648,-0.220969,-0.136646,-0.008009,0.013071,-0.009764,-0.093416,-0.013346,-0.021515,1.000000,-0.000040,0.000065,-0.000049,-0.112720,0.780054,-0.012855,-0.615342,-143.629070,74.343499,26.086296
16933,-9.309228,-1.522610,-2.184511,0.075312,-0.039964,-0.130494,-0.011412,0.015760,-0.007725,-0.093095,-0.015224,-0.021837,1.000000,-0.000057,0.000079,-0.000039,-0.112660,0.780092,-0.012830,-0.615305,-143.652984,74.339764,26.069267
16934,-9.325592,-1.546516,-2.238587,0.125929,-0.029030,-0.099143,0.018396,0.016580,-0.013331,-0.093259,-0.015457,-0.022380,1.000000,0.000092,0.000083,-0.000067,-0.112745,0.780114,-0.012878,-0.615259,-143.648661,74.333401,26.062564
16935,-9.289516,-1.602010,-2.204859,0.110698,0.035182,-0.132323,0.033912,0.011679,-0.009680,-0.092897,-0.016012,-0.022046,1.000000,0.000170,0.000058,-0.000048,-0.112875,0.780114,-0.012990,-0.615234,-143.638028,74.330902,26.053355
16936,-9.284849,-1.490739,-2.154097,0.045269,-0.064103,-0.165682,0.055544,0.015509,-0.013754,-0.092851,-0.014895,-0.021538,1.000000,0.000278,0.000078,-0.000069,-0.113106,0.780113,-0.013150,-0.615190,-143.610434,74.324890,26.048714
16937,-9.285087,-1.374884,-2.194071,0.065123,-0.185838,-0.175348,0.043104,0.002808,-0.008103,-0.092852,-0.013740,-0.021942,1.000000,0.000216,0.000014,-0.000041,-0.113263,0.780080,-0.013285,-0.615200,-143.586542,74.326977,26.048667
16938,-9.278973,-1.440489,-2.145384,0.030854,-0.112300,-0.181309,0.029714,0.011087,-0.002337,-0.092791,-0.014401,-0.021451,1.000000,0.000149,0.000055,-0.000012,-0.113358,0.780079,-0.013408,-0.615181,-143.587165,74.326888,26.030091
16939,-9.259992,-1.518073,-2.163678,0.065525,-0.037919,-0.183161,0.042224,0.009790,0.000470,-0.092601,-0.015176,-0.021635,1.000000,0.000211,0.000049,0.000002,-0.113491,0.780067,-0.013586,-0.615168,-143.586208,74.328759,26.005624
16940,-9.229481,-1.626402,-2.138041,0.066126,0.075993,-0.200738,0.051941,0.011079,0.000514,-0.092296,-0.016259,-0.021380,1.000000,0.000260,0.000055,0.000003,-0.113664,0.780053,-0.013788,-0.615149,-143.578775,74.329644,25.982188
16941,-9.231168,-1.527939,-2.067719,-0.017028,-0.006792,-0.230193,0.065057,0.009679,-0.001474,-0.092313,-0.015272,-0.020678,1.000000,0.000325,0.000048,-0.000007,-0.113882,0.780028,-0.014017,-0.615134,-143.561685,74.330791,25.962555
16942,-9.203531,-1.399101,-1.997557,-0.097936,-0.115934,-0.292726,0.065025,0.012615,-0.000544,-0.092037,-0.013984,-0.019974,1.000000,0.000325,0.000063,-0.000003,-0.114110,0.780011,-0.014257,-0.615108,-143.546882,74.330610,25.938989
16943,-9.209858,-1.296074,-2.019134,-0.095805,-0.221310,-0.298485,0.042544,0.018036,-0.000098,-0.092100,-0.012956,-0.020186,1.000000,0.000213,0.000090,-0.000000,-0.114232,0.780026,-0.014422,-0.615063,-143.555091,74.328301,25.907158
16944,-9.280634,-1.189330,-2.090138,-0.063142,-0.347150,-0.232038,0.007238,0.015041,-0.002363,-0.092808,-0.011891,-0.020895,1.000000,0.000036,0.000075,-0.000012,-0.114240,0.780049,-0.014478,-0.615031,-143.573347,74.326382,25.883643
