// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
21523,-4.352564,8.673797,-0.161749,-0.103101,-0.053363,-0.107418,-0.013873,0.022346,-0.010227,-0.043521,0.086740,-0.001619,1.000000,-0.000069,0.000112,-0.000051,0.312535,0.577042,-0.424391,-0.623888,91.683829,27.048566,-98.958630
21524,-4.350166,8.726306,-0.218416,-0.052803,-0.087871,-0.060274,0.006523,0.009868,-0.001805,-0.043501,0.087264,-0.002179,1.000000,0.000033,0.000049,-0.000009,0.312556,0.577043,-0.424429,-0.623851,91.688134,27.043224,-98.956341
21525,-4.305747,8.678674,0.001916,-0.272821,-0.067196,-0.128686,0.029937,0.007269,0.005924,-0.043060,0.086785,0.000034,1.000000,0.000150,0.000036,0.000030,0.312519,0.577063,-0.424565,-0.623758,91.705806,27.034418,-98.955606
21526,-4.313097,8.660941,-0.123516,-0.148297,-0.072357,-0.137837,0.014070,0.018449,-0.000615,-0.043131,0.086610,-0.001225,1.000000,0.000070,0.000092,-0.000003,0.312539,0.577098,-0.424619,-0.623679,91.716804,27.028128,-98.948256
21527,-4.369784,8.678496,-0.207327,-0.061594,-0.043622,-0.094221,0.019031,0.020998,-0.008827,-0.043694,0.086787,-0.002060,1.000000,0.000095,0.000105,-0.000044,0.312517,0.577175,-0.424657,-0.623593,91.732366,27.027532,-98.938414
21528,-4.369151,8.771692,-0.059496,-0.219508,-0.059685,-0.015552,0.041814,0.008364,-0.005067,-0.043689,0.087718,-0.000575,1.000000,0.000209,0.000042,-0.000025,0.312420,0.577229,-0.424803,-0.623493,91.756217,27.023935,-98.937948
21529,-4.342423,8.837041,0.042375,-0.333074,-0.094139,0.027634,0.023666,0.007863,-0.006498,-0.043421,0.088372,0.000436,1.000000,0.000118,0.000039,-0.000032,0.312364,0.577267,-0.424882,-0.623431,91.770575,27.022231,-98.936597
21530,-4.302549,8.855953,-0.129088,-0.172520,-0.166446,0.031043,-0.004182,0.013185,-0.015558,-0.043019,0.088563,-0.001290,1.000000,-0.000021,0.000066,-0.000078,0.312378,0.577289,-0.424844,-0.623430,91.769700,27.024694,-98.932316
21531,-4.334810,8.774914,-0.110755,-0.177959,-0.099641,-0.026966,-0.004360,0.010316,-0.016693,-0.043341,0.087753,-0.001107,1.000000,-0.000022,0.000052,-0.000083,0.312377,0.577313,-0.424803,-0.623436,91.768809,27.028785,-98.929186
21532,-4.342674,8.741739,-0.003768,-0.278612,-0.060678,-0.055868,-0.005943,0.006786,-0.019973,-0.043418,0.087422,-0.000039,1.000000,-0.000030,0.000034,-0.000100,0.312367,0.577320,-0.424758,-0.623465,91.765040,27.033840,-98.929334
21533,-4.343151,8.664814,-0.137123,-0.138338,-0.050134,-0.120468,-0.029087,0.013676,-0.026011,-0.043420,0.086654,-0.001381,1.000000,-0.000145,0.000068,-0.000130,0.312415,0.577335,-0.424608,-0.623529,91.751048,27.043209,-98.923860
21534,-4.339344,8.661109,-0.170377,-0.104945,-0.058936,-0.124589,0.004483,0.005325,-0.023862,-0.043383,0.086616,-0.001701,1.000000,0.000022,0.000027,-0.000119,0.312361,0.577363,-0.424585,-0.623546,91.752815,27.050561,-98.924648
21535,-4.319249,8.690484,-0.099054,-0.181415,-0.078726,-0.109537,0.003230,0.001842,-0.018748,-0.043184,0.086909,-0.000989,1.000000,0.000016,0.000009,-0.000094,0.312314,0.577376,-0.424575,-0.623564,91.753813,27.055979,-98.926927
21536,-4.317603,8.669312,-0.150375,-0.129499,-0.080208,-0.127746,0.010706,0.005205,-0.021248,-0.043167,0.086698,-0.001498,1.000000,0.000054,0.000026,-0.000106,0.312248,0.577408,-0.424582,-0.623564,91.759259,27.061769,-98.928048
21537,-4.348413,8.678514,-0.122525,-0.155089,-0.053737,-0.106330,0.016981,0.006984,-0.027880,-0.043472,0.086791,-0.001216,1.000000,0.000085,0.000035,-0.000139,0.312144,0.577478,-0.424581,-0.623552,91.769724,27.072325,-98.926838
21538,-4.347572,8.656908,-0.174052,-0.103147,-0.055250,-0.124548,-0.003623,0.010882,-0.031335,-0.043462,0.086576,-0.001740,1.000000,-0.000018,0.000054,-0.000157,0.312100,0.577525,-0.424504,-0.623583,91.768521,27.083888,-98.924235
21539,-4.376490,8.683431,-0.129124,-0.147278,-0.036071,-0.089040,0.019282,0.005397,-0.033117,-0.043751,0.086842,-0.001282,1.000000,0.000096,0.000027,-0.000166,0.311968,0.577605,-0.424497,-0.623579,91.779887,27.097471,-98.923940
21540,-4.371676,8.769878,-0.153069,-0.134036,-0.085125,-0.013681,-0.003279,0.003809,-0.039001,-0.043700,0.087707,-0.001531,1.000000,-0.000016,0.000019,-0.000195,0.311884,0.577646,-0.424412,-0.623641,91.776897,27.113421,-98.925970
21541,-4.337891,8.772949,-0.199245,-0.093422,-0.126993,-0.025105,-0.007048,-0.000487,-0.039597,-0.043362,0.087738,-0.001996,1.000000,-0.000035,-0.000002,-0.000198,0.311796,0.577680,-0.424313,-0.623720,91.771510,27.130819,-98.929332
21542,-4.345116,8.756484,-0.075519,-0.212612,-0.095283,-0.039896,0.005925,-0.004916,-0.040897,-0.043433,0.087574,-0.000754,1.000000,0.000030,-0.000025,-0.000204,0.311661,0.577713,-0.424264,-0.623791,91.771282,27.148017,-98.936737
21543,-4.378587,8.671086,-0.196229,-0.079756,-0.051960,-0.097277,-0.029601,0.003602,-0.051601,-0.043764,0.086722,-0.001974,1.000000,-0.000148,0.000018,-0.000258,0.311610,0.577750,-0.424054,-0.623925,91.754279,27.172217,-98.937234
21544,-4.374852,8.648811,-0.139612,-0.133277,-0.039884,-0.120350,0.007005,0.001403,-0.053265,-0.043725,0.086500,-0.001393,1.000000,0.000035,0.000007,-0.000266,0.311453,0.577836,-0.423956,-0.623990,91.756769,27.196441,-98.939018
