// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44944,-4.084707,4.890763,7.547269,-0.158349,-0.049185,0.063453,0.106324,0.015050,0.040305,-0.040851,0.048859,0.075502,1.000000,0.000532,0.000075,0.000202,0.445841,-0.075152,0.330878,0.828310,32.007466,24.805273,130.635234
44945,-4.095859,4.857472,7.600171,-0.107894,-0.005719,0.092968,0.095939,0.019333,0.033330,-0.040959,0.048531,0.076029,1.000000,0.000480,0.000097,0.000167,0.445678,-0.074952,0.331298,0.828248,32.069905,24.800602,130.662540
44946,-4.132075,4.773689,7.632681,-0.006633,0.026637,0.092827,0.095826,0.007364,0.033782,-0.041326,0.047693,0.076351,1.000000,0.000479,0.000037,0.000169,0.445531,-0.074697,0.331687,0.828194,32.130495,24.789210,130.686090
44947,-4.062537,4.689578,7.595397,0.019932,0.088368,-0.005639,0.087675,0.007065,0.025788,-0.040629,0.046857,0.075976,1.000000,0.000438,0.000035,0.000129,0.445417,-0.074477,0.332042,0.828134,32.184768,24.780836,130.705230
44948,-4.120992,4.816127,7.604387,-0.036615,0.009407,0.086955,0.082813,0.003797,0.012110,-0.041211,0.048127,0.076065,1.000000,0.000414,0.000019,0.000061,0.445362,-0.074272,0.332361,0.828054,32.232520,24.774239,130.715794
44949,-4.115134,4.928839,7.566480,-0.129466,-0.049197,0.110024,0.072705,0.001507,0.006206,-0.041152,0.049260,0.075683,1.000000,0.000364,0.000008,0.000031,0.445332,-0.074095,0.332634,0.827976,32.273042,24.769132,130.722596
44950,-4.119165,5.013854,7.548149,-0.191962,-0.092420,0.138966,0.063725,0.007796,0.010644,-0.041191,0.050112,0.075499,1.000000,0.000319,0.000039,0.000053,0.445267,-0.073952,0.332883,0.827924,32.310134,24.764941,130.734085
44951,-4.139893,5.012471,7.556320,-0.172643,-0.097731,0.153364,0.055577,0.014341,0.013620,-0.041397,0.050101,0.075580,1.000000,0.000278,0.000072,0.000068,0.445178,-0.073854,0.333116,0.827886,32.344308,24.763767,130.749163
44952,-4.145897,4.910599,7.587394,-0.079491,-0.040828,0.130300,0.046259,0.015173,0.017389,-0.041457,0.049085,0.075888,1.000000,0.000231,0.000076,0.000087,0.445069,-0.073769,0.333311,0.827874,32.373955,24.761075,130.766470
44953,-4.123535,4.826438,7.627279,-0.015850,0.033937,0.110620,0.044801,0.012009,0.017233,-0.041235,0.048244,0.076286,1.000000,0.000224,0.000060,0.000086,0.444965,-0.073679,0.333497,0.827863,32.402429,24.757649,130.782682
44954,-4.117701,4.766153,7.600148,0.026977,0.046599,0.058028,0.040329,0.017155,0.019370,-0.041175,0.047642,0.076015,1.000000,0.000202,0.000086,0.000097,0.444839,-0.073612,0.333672,0.827866,32.429439,24.755300,130.802008
44955,-4.089872,4.788095,7.605851,-0.002343,0.063532,0.061412,0.045855,0.013618,0.012565,-0.040897,0.047861,0.076072,1.000000,0.000229,0.000068,0.000063,0.444753,-0.073535,0.333864,0.827842,32.457701,24.754073,130.816275
44956,-4.142069,4.800105,7.618415,0.025157,0.033611,0.098732,0.048797,0.016085,0.017082,-0.041419,0.047979,0.076199,1.000000,0.000244,0.000080,0.000085,0.444644,-0.073448,0.334071,0.827825,32.488861,24.751888,130.833726
44957,-4.153137,4.824983,7.607658,0.014201,0.012791,0.107248,0.047650,0.014378,0.017736,-0.041530,0.048228,0.076091,1.000000,0.000238,0.000072,0.000089,0.444535,-0.073361,0.334274,0.827809,32.519410,24.749422,130.851000
44958,-4.122034,4.815394,7.600875,0.006265,0.036401,0.084339,0.052215,0.013361,0.019498,-0.041220,0.048130,0.076024,1.000000,0.000261,0.000067,0.000097,0.444420,-0.073252,0.334490,0.827793,32.552688,24.745172,130.869001
