// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
47601,-8.840441,3.887296,-1.252798,0.060512,-0.001347,-0.074602,0.009730,0.007504,-0.007476,-0.088403,0.038877,-0.012523,1.000000,0.000049,0.000038,-0.000037,-0.383392,0.380016,-0.648163,-0.537105,107.680046,64.852822,-169.041504
47602,-8.768519,3.880894,-1.265400,0.035389,-0.020027,-0.140674,0.010430,0.006258,-0.005737,-0.087684,0.038812,-0.012649,1.000000,0.000052,0.000031,-0.000029,-0.383398,0.379988,-0.648196,-0.537081,107.684671,64.850746,-169.042256
47603,-8.799233,3.902974,-1.312200,0.023994,-0.060646,-0.097888,0.004252,0.004140,-0.014098,-0.087990,0.039036,-0.013119,1.000000,0.000021,0.000021,-0.000070,-0.383420,0.379994,-0.648190,-0.537069,107.685559,64.853482,-169.042679
47604,-8.780342,3.905257,-1.298097,0.015296,-0.047783,-0.115885,0.000455,0.009669,-0.004435,-0.087803,0.039055,-0.012977,1.000000,0.000002,0.000048,-0.000022,-0.383393,0.379991,-0.648205,-0.537073,107.688023,64.850222,-169.039382
47605,-8.793653,3.878096,-1.316385,0.044195,-0.068323,-0.112470,-0.003983,0.008401,-0.007943,-0.087936,0.038784,-0.013161,1.000000,-0.000020,0.000042,-0.000040,-0.383369,0.380004,-0.648197,-0.537091,107.686866,64.848856,-169.036853
47606,-8.827649,3.889321,-1.275839,0.051972,-0.023936,-0.082389,-0.005977,0.010647,-0.009563,-0.088275,0.038897,-0.012755,1.000000,-0.000030,0.000053,-0.000048,-0.383340,0.380032,-0.648186,-0.537104,107.688630,64.848181,-169.030303
47607,-8.860229,3.858767,-1.308904,0.090386,-0.057976,-0.060999,-0.004685,0.009647,-0.009680,-0.088601,0.038592,-0.013086,1.000000,-0.000023,0.000048,-0.000048,-0.383315,0.380056,-0.648175,-0.537119,107.689163,64.847546,-169.025462
47608,-8.855350,3.855061,-1.275456,0.094445,-0.025776,-0.071234,0.000853,0.004970,-0.014489,-0.088551,0.038557,-0.012752,1.000000,0.000004,0.000025,-0.000072,-0.383330,0.380072,-0.648163,-0.537111,107.690239,64.850504,-169.024069
47609,-8.850596,3.851107,-1.241907,0.098543,0.006357,-0.081466,0.000852,0.004970,-0.014488,-0.088503,0.038518,-0.012417,1.000000,0.000004,0.000025,-0.000072,-0.383344,0.380087,-0.648149,-0.537107,107.690290,64.853307,-169.023265
47610,-8.822470,3.840729,-1.317569,0.089153,-0.072100,-0.101353,0.003069,0.003650,-0.010382,-0.088223,0.038412,-0.013173,1.000000,0.000015,0.000018,-0.000052,-0.383357,0.380082,-0.648147,-0.537103,107.689458,64.854329,-169.025283
47611,-8.770583,3.851922,-1.307585,0.058233,-0.065105,-0.145082,0.007170,0.001577,-0.008249,-0.087704,0.038523,-0.013074,1.000000,0.000036,0.000008,-0.000041,-0.383377,0.380057,-0.648156,-0.537097,107.686868,64.854318,-169.031394
47612,-8.788824,3.921560,-1.300141,0.003501,-0.046636,-0.101341,0.015823,0.007101,-0.008414,-0.087887,0.039220,-0.012995,1.000000,0.000079,0.000036,-0.000042,-0.383397,0.380030,-0.648200,-0.537049,107.696693,64.853584,-169.029815
47613,-8.783075,3.897154,-1.303950,0.022881,-0.053681,-0.115930,0.010203,0.005339,-0.008213,-0.087829,0.038976,-0.013035,1.000000,0.000051,0.000027,-0.000041,-0.383411,0.380008,-0.648223,-0.537026,107.700202,64.852899,-169.031108
47614,-8.803266,3.913930,-1.282848,0.017920,-0.028588,-0.093588,0.007394,0.006412,-0.010463,-0.088031,0.039144,-0.012824,1.000000,0.000037,0.000032,-0.000052,-0.383423,0.380004,-0.648239,-0.537001,107.705643,64.853490,-169.028985
47615,-8.825332,3.878002,-1.248004,0.062803,0.003004,-0.092659,0.004919,0.006919,-0.006636,-0.088252,0.038783,-0.012476,1.000000,0.000025,0.000035,-0.000033,-0.383417,0.379992,-0.648255,-0.536996,107.707376,64.851669,-169.028896
47616,-8.810904,3.862212,-1.304506,0.066133,-0.056123,-0.104808,-0.003029,0.004056,-0.009434,-0.088107,0.038626,-0.013044,1.000000,-0.000015,0.000020,-0.000047,-0.383414,0.379998,-0.648239,-0.537012,107.703237,64.852173,-169.030632
47617,-8.819944,3.852853,-1.251507,0.082980,-0.004666,-0.107263,0.004840,0.000479,-0.011242,-0.088197,0.038534,-0.012514,1.000000,0.000024,0.000002,-0.000056,-0.383441,0.379983,-0.648233,-0.537010,107.699148,64.853988,-169.036925
47618,-8.826285,3.875426,-1.249269,0.065301,0.001054,-0.092675,0.002109,0.007992,-0.008885,-0.088262,0.038758,-0.012489,1.000000,0.000011,0.000040,-0.000044,-0.383435,0.379985,-0.648240,-0.537004,107.702070,64.853350,-169.034283
47619,-8.793446,3.883702,-1.254266,0.043881,-0.005434,-0.118407,-0.000701,0.005155,-0.006436,-0.087934,0.038840,-0.012541,1.000000,-0.000004,0.000026,-0.000032,-0.383423,0.379978,-0.648238,-0.537020,107.698459,64.851727,-169.036541
47620,-8.801562,3.853717,-1.238409,0.075955,0.006907,-0.125249,0.002109,0.007992,-0.008884,-0.088014,0.038541,-0.012380,1.000000,0.000011,0.000040,-0.000044,-0.383416,0.379983,-0.648245,-0.537013,107.701725,64.851176,-169.033455
47621,-8.812989,3.879208,-1.270384,0.055083,-0.020246,-0.100455,-0.001180,0.007326,-0.005689,-0.088129,0.038795,-0.012701,1.000000,-0.000006,0.000037,-0.000028,-0.383395,0.379980,-0.648247,-0.537029,107.700086,64.848767,-169.033230
