// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
19796,-9.837053,0.944942,-0.588915,-0.334467,-0.420708,0.072577,0.088607,-0.000146,0.152657,-0.098378,0.009377,-0.005885,1.000000,0.000443,-0.000001,0.000763,0.293016,-0.640832,0.335304,0.625337,136.515867,86.350078,-96.268754
19797,-9.853679,1.703555,-0.450654,-1.010451,-0.759109,0.117213,0.031566,-0.008011,0.122110,-0.098547,0.016976,-0.004508,1.000000,0.000158,-0.000040,0.000611,0.292723,-0.640520,0.335802,0.625527,135.591277,86.303356,-97.212685
19798,-9.325876,1.601888,-0.602579,-0.829051,-0.845203,-0.405276,-0.092533,-0.007460,0.156671,-0.093271,0.015943,-0.006037,1.000000,-0.000463,-0.000037,0.000783,0.291932,-0.640326,0.336014,0.625982,134.400176,86.243054,-98.352315
19799,-9.118279,0.735623,-0.987291,0.107370,-0.629856,-0.633874,-0.106941,0.031174,0.231713,-0.091193,0.007245,-0.009863,0.999999,-0.000535,0.000156,0.001159,0.290786,-0.640153,0.336487,0.626438,133.051840,86.133010,-99.641546
19800,-9.328409,0.050758,-0.878483,0.606325,-0.099396,-0.463037,-0.005770,0.037703,0.259252,-0.093286,0.000386,-0.008767,0.999999,-0.000029,0.000189,0.001296,0.289873,-0.639800,0.337364,0.626750,131.711318,86.008374,-100.980900
19801,-9.263359,0.129491,-0.711346,0.459054,-0.001749,-0.532503,0.122035,0.036208,0.250298,-0.092636,0.001183,-0.007096,0.999999,0.000610,0.000181,0.001251,0.289392,-0.639277,0.338620,0.626828,130.574061,85.884662,-102.190419
19802,-9.262914,0.909943,-0.487526,-0.281799,-0.277538,-0.500825,0.178061,0.052359,0.242934,-0.092641,0.008991,-0.004843,0.999999,0.000890,0.000262,0.001215,0.289093,-0.638729,0.340042,0.626755,129.659300,85.758232,-103.209153
19803,-9.458979,1.700109,-0.372859,-0.963357,-0.628627,-0.263949,0.126527,0.059975,0.229684,-0.094610,0.016895,-0.003690,0.999999,0.000633,0.000300,0.001148,0.288649,-0.638306,0.341278,0.626718,128.888856,85.632324,-104.053790
19804,-9.755656,1.951778,-0.341260,-1.164161,-0.714704,0.047972,0.000025,0.062197,0.201537,-0.097577,0.019419,-0.003382,0.999999,0.000000,0.000311,0.001008,0.287893,-0.638114,0.342024,0.626856,128.220680,85.518848,-104.723129
19805,-10.076676,1.351075,-0.206689,-0.747709,-0.208554,0.326590,-0.137029,0.046874,0.141336,-0.100777,0.013438,-0.002052,0.999999,-0.000685,0.000234,0.000707,0.286907,-0.638179,0.342133,0.627182,127.695536,85.436049,-105.170469
