// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472E6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
57958,-3.712254,1.315705,9.202558,-0.056548,0.024110,0.197068,0.012178,0.015467,0.014179,-0.037116,0.013149,0.092029,1.000000,0.000061,0.000077,0.000071,-0.699869,-0.181576,-0.085335,0.685515,8.484256,21.616562,-87.190211
57959,-3.731516,1.317944,9.231192,-0.061046,0.030583,0.230790,0.014870,0.010879,0.017538,-0.037311,0.013169,0.092315,1.000000,0.000074,0.000054,0.000088,-0.699887,-0.181672,-0.085276,0.685480,8.498635,21.618920,-87.182832
57960,-3.751123,1.330455,9.218698,-0.050497,0.052706,0.228234,0.019223,0.013202,0.017904,-0.037506,0.013292,0.092191,1.000000,0.000096,0.000066,0.000090,-0.699901,-0.181792,-0.085208,0.685441,8.515878,21.622524,-87.174788
57961,-3.727204,1.405496,9.191653,0.025589,0.039637,0.204884,0.022235,0.006836,0.016476,-0.037270,0.014042,0.091919,1.000000,0.000111,0.000034,0.000082,-0.699910,-0.181900,-0.085110,0.685415,8.534104,21.622678,-87.168424
57962,-3.748599,1.424181,9.238804,0.034258,0.041875,0.258701,0.014697,0.004545,0.020117,-0.037485,0.014231,0.092390,1.000000,0.000073,0.000023,0.000101,-0.699941,-0.181975,-0.085026,0.685375,8.548959,21.621186,-87.159823
57963,-3.718081,1.466619,9.175539,0.083940,0.037260,0.195168,0.008498,-0.002596,0.014627,-0.037183,0.014660,0.091756,1.000000,0.000042,-0.000013,0.000073,-0.699960,-0.182002,-0.084943,0.685359,8.558580,21.616151,-87.155450
57964,-3.732387,1.442443,9.227721,0.051113,0.032340,0.245073,0.003358,-0.006789,0.015110,-0.037328,0.014420,0.092276,1.000000,0.000017,-0.000034,0.000076,-0.699988,-0.181997,-0.084863,0.685341,8.565432,21.608663,-87.150939
57965,-3.703821,1.375595,9.225894,-0.014714,0.008103,0.223617,0.004952,-0.006806,0.013105,-0.037042,0.013751,0.092258,1.000000,0.000025,-0.000034,0.000066,-0.700007,-0.181996,-0.084779,0.685333,8.572535,21.601372,-87.147882
57966,-3.705942,1.392402,9.244372,-0.001823,0.004262,0.243713,0.004147,-0.004918,0.014258,-0.037063,0.013919,0.092443,1.000000,0.000021,-0.000025,0.000071,-0.700031,-0.181999,-0.084703,0.685317,8.579709,21.595017,-87.143720
57967,-3.689888,1.408777,9.233509,0.015333,-0.005672,0.230089,0.005740,-0.004935,0.012252,-0.036902,0.014083,0.092335,1.000000,0.000029,-0.000025,0.000061,-0.700045,-0.182007,-0.084624,0.685310,8.587134,21.588858,-87.141013
