// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
24152,-10.612000,2.138817,-0.891824,1.630896,-0.084377,0.925910,0.867643,-0.157199,0.174408,-0.106132,0.021334,-0.008909,0.999990,0.004338,-0.000786,0.000872,0.607512,0.290101,0.720274,-0.167257,151.556183,76.456884,113.543446
24153,-10.423842,4.169563,0.565825,4.006736,0.650089,0.669931,0.819876,-0.166657,0.104221,-0.104265,0.041618,0.005742,0.999991,0.004099,-0.000833,0.000521,0.607062,0.292830,0.718876,-0.170126,151.588422,76.517589,113.094769
24154,-9.429362,4.549693,1.126657,4.589060,0.808719,-0.369784,0.119882,-0.063848,-0.035504,-0.094289,0.045507,0.011264,1.000000,0.000599,-0.000319,-0.000178,0.607120,0.293035,0.718601,-0.170728,151.629521,76.559772,113.067815
24155,-9.354065,3.270083,0.672280,3.425238,0.124988,-0.490884,-0.571186,0.049564,-0.132630,-0.093517,0.032782,0.006652,0.999996,-0.002856,0.000248,-0.000663,0.607728,0.290874,0.719375,-0.168993,151.603059,76.576335,113.378638
24156,-9.806018,0.254467,-0.904979,0.364570,-1.351607,-0.061689,-0.814525,0.084133,-0.153604,-0.098062,0.002583,-0.009019,0.999991,-0.004073,0.000421,-0.000768,0.608509,0.287939,0.720505,-0.166376,151.527032,76.576175,113.781686
24157,-9.911215,-2.152986,-2.561147,-2.397499,-2.276277,0.111905,-0.550940,0.033845,-0.105777,-0.099128,-0.021548,-0.025535,0.999996,-0.002755,0.000169,-0.000529,0.609158,0.285917,0.721157,-0.164652,151.436104,76.593842,114.014354
24158,-9.500046,-2.067740,-3.065396,-2.775909,-1.831645,-0.176169,0.015192,-0.027219,-0.028386,-0.094999,-0.020662,-0.030668,1.000000,0.000076,-0.000136,-0.000142,0.609245,0.285862,0.721071,-0.164801,151.443652,76.615624,114.014579
24159,-9.363171,-0.671019,-2.881528,-1.790111,-0.809943,-0.191776,0.408244,-0.041112,0.034890,-0.093625,-0.006668,-0.028848,0.999998,0.002041,-0.000206,0.000174,0.608902,0.287201,0.720504,-0.166218,151.523285,76.632738,113.857419
24160,-9.431866,0.990289,-2.226159,-0.246482,0.092516,-0.074759,0.526423,-0.056259,0.052400,-0.094315,0.009937,-0.022262,0.999996,0.002632,-0.000281,0.000262,0.608424,0.288969,0.719786,-0.168005,151.619214,76.647116,113.647421
24161,-9.531594,1.977294,-1.683240,0.800830,0.519472,0.020068,0.414090,-0.053705,0.031411,-0.095315,0.019793,-0.016817,0.999998,0.002070,-0.000269,0.000157,0.608107,0.290299,0.719175,-0.169471,151.696193,76.671540,113.484057
