// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
50817,-4.209227,1.638929,8.763436,-0.120794,0.081986,0.045312,-0.148180,0.001202,-0.065159,-0.042086,0.016468,0.087622,1.000000,-0.000741,0.000006,-0.000326,0.807714,-0.058592,0.227083,0.540924,9.630461,25.481774,69.802694
50818,-4.159619,1.652331,8.757943,-0.134665,0.133526,0.020837,-0.170874,0.005870,-0.068265,-0.041588,0.016612,0.087566,1.000000,-0.000854,0.000029,-0.000341,0.807812,-0.059343,0.226579,0.540907,9.516190,25.484376,69.768797
50819,-4.167775,1.630794,8.784096,-0.127629,0.134475,0.044075,-0.194297,0.005101,-0.072348,-0.041670,0.016408,0.087826,0.999999,-0.000971,0.000026,-0.000362,0.807912,-0.060230,0.226025,0.540892,9.384700,25.491139,69.731437
50820,-4.378917,1.303343,8.973918,0.139821,-0.105555,0.255783,-0.187320,0.005592,-0.075657,-0.043782,0.013134,0.089728,0.999999,-0.000937,0.000028,-0.000378,0.808024,-0.061055,0.225472,0.540863,9.259010,25.494161,69.692852
50821,-4.261384,1.084759,8.883647,0.330891,-0.120254,0.093438,-0.119687,-0.019582,-0.059708,-0.042619,0.010913,0.088826,1.000000,-0.000598,-0.000098,-0.000299,0.808138,-0.061560,0.225023,0.540821,9.172582,25.485665,69.660871
50822,-4.251302,1.421715,8.852361,0.009338,0.017192,0.109950,-0.091709,-0.011140,-0.051567,-0.042514,0.014269,0.088515,1.000000,-0.000459,-0.000056,-0.000258,0.808233,-0.061927,0.224669,0.540785,9.107331,25.476975,69.635641
50823,-4.171269,1.319717,8.865516,0.120147,0.050959,0.072730,-0.095726,-0.008259,-0.047140,-0.041713,0.013249,0.088647,1.000000,-0.000479,-0.000041,-0.000236,0.808308,-0.062351,0.224334,0.540764,9.038527,25.473678,69.612698
50824,-4.197169,1.332356,8.862427,0.090232,0.035490,0.082999,-0.083390,-0.003558,-0.043118,-0.041970,0.013370,0.088618,1.000000,-0.000417,-0.000018,-0.000216,0.808373,-0.062696,0.224036,0.540750,8.980614,25.468500,69.593518
50825,-4.202226,1.371702,8.868150,0.046043,0.052207,0.095870,-0.078666,-0.005424,-0.045123,-0.042022,0.013761,0.088675,1.000000,-0.000393,-0.000027,-0.000226,0.808444,-0.063057,0.223759,0.540717,8.922255,25.466584,69.572128
50826,-4.243629,1.437649,8.815957,-0.050246,0.028246,0.076347,-0.078097,-0.002265,-0.042368,-0.042434,0.014420,0.088153,1.000000,-0.000390,-0.000011,-0.000212,0.808507,-0.063384,0.223480,0.540699,8.867594,25.462067,69.553536
