// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
03269,-6.645133,-3.591530,-1.233036,-0.172606,0.164973,-2.162847,-0.091989,-0.177028,0.595652,-0.066333,-0.036119,-0.012373,0.999995,-0.000460,-0.000885,0.002978,-0.189515,-0.551876,-0.521522,0.622521,-109.180487,62.224547,133.204963
03270,-7.065189,-3.276033,-1.652016,0.381891,0.291462,-1.866152,-0.105766,-0.099307,0.643662,-0.070538,-0.032996,-0.016538,0.999995,-0.000529,-0.000497,0.003218,-0.192117,-0.553149,-0.519943,0.621913,-109.368498,62.598261,133.061291
03271,-7.695222,-2.321337,-1.542197,1.255135,-0.352368,-1.732862,-0.181998,-0.085482,0.717327,-0.076862,-0.023503,-0.015434,0.999993,-0.000910,-0.000427,0.003587,-0.195124,-0.554579,-0.518409,0.620984,-109.648967,63.008878,132.864120
03272,-7.498330,-1.518742,-1.329142,1.693798,-0.751752,-2.271881,-0.289733,-0.030775,0.736967,-0.074925,-0.015483,-0.013281,0.999992,-0.001449,-0.000154,0.003685,-0.198343,-0.556113,-0.517196,0.619602,-110.063483,63.418842,132.585823
03273,-7.821262,-0.891553,-1.476867,2.318260,-0.949652,-2.205353,-0.871325,0.030250,0.746022,-0.078181,-0.009271,-0.014717,0.999984,-0.004357,0.000151,0.003730,-0.203047,-0.557272,-0.517812,0.616515,-110.896183,63.820165,132.214546
03274,-7.575140,-2.552898,-2.686962,1.368435,0.825935,-1.532332,-1.077789,0.085709,0.744316,-0.075667,-0.025955,-0.026698,0.999978,-0.005389,0.000429,0.003722,-0.208167,-0.558364,-0.519101,0.612724,-111.924421,64.206133,131.757730
03275,-8.016764,-7.187009,-0.035111,-3.715772,0.096690,0.292024,-1.153852,0.177332,0.748439,-0.079898,-0.072170,0.000136,0.999976,-0.005769,0.000887,0.003742,-0.213269,-0.559645,-0.520686,0.608440,-113.123861,64.570399,131.161768
03276,-8.901222,-16.519281,-7.780542,-8.013707,9.848130,6.043971,-2.317858,0.028602,0.367873,-0.088718,-0.166243,-0.075870,0.999931,-0.011589,0.000143,0.001839,-0.220833,-0.558187,-0.526667,0.601898,-114.661974,64.763380,130.929422
03277,-16.043014,-20.888514,-6.325679,-10.548832,7.556244,13.964255,-0.394837,0.434303,-0.674094,-0.161270,-0.208466,-0.062495,0.999990,-0.001974,0.002172,-0.003370,-0.218810,-0.557287,-0.530181,0.600384,-115.021942,64.314970,130.782235
03278,-9.585789,-0.069397,1.682029,1.929184,-4.593122,-1.451898,2.829473,-0.269040,-0.571732,-0.095882,-0.000657,0.016682,0.999895,0.014147,-0.001345,-0.002859,-0.209948,-0.558009,-0.522895,0.609202,-112.832633,64.084978,131.413353
03279,-2.689984,8.405452,2.556246,6.626447,-6.214766,-11.186704,1.054932,-0.157574,0.591687,-0.027168,0.083838,0.025984,0.999981,0.005275,-0.000788,0.002958,-0.209262,-0.560181,-0.517827,0.611769,-112.324650,64.439009,131.307073
03280,-5.465585,-2.287654,-0.653450,-0.077962,-0.342712,-3.862126,-0.916895,0.060029,0.759364,-0.054570,-0.023113,-0.006413,0.999982,-0.004584,0.000300,0.003797,-0.214043,-0.561369,-0.518523,0.608428,-113.270323,64.833669,130.841992
03281,-12.957063,-6.144109,0.295940,-1.727208,-2.149281,4.262837,-0.084959,0.087036,0.208060,-0.129505,-0.061575,0.003042,0.999999,-0.000425,0.000435,0.001040,-0.214737,-0.562090,-0.518259,0.607741,-113.517168,64.929924,130.623925
03282,-14.094908,-6.192617,0.985066,-1.781260,-3.100304,5.193994,-0.190110,-0.089525,-0.104010,-0.140986,-0.061843,0.009846,0.999999,-0.000951,-0.000448,-0.000520,-0.215236,-0.561352,-0.518997,0.607618,-113.472815,64.902623,130.793246
03283,-8.234707,-2.949880,1.458912,-0.868689,-2.824420,-1.451551,-0.084550,-0.253260,-0.098567,-0.082380,-0.029452,0.014497,0.999999,-0.000423,-0.001266,-0.000493,-0.215879,-0.560243,-0.519226,0.608217,-113.188041,64.914934,131.161778
03284,-5.566571,-0.140712,0.950496,1.005537,-2.553836,-4.875405,-0.522726,-0.149329,-0.070488,-0.055673,-0.001363,0.009467,0.999996,-0.002614,-0.000747,-0.000352,-0.217564,-0.559047,-0.520814,0.607359,-113.283447,64.918475,131.387206
03285,-6.543298,-2.706258,-1.163589,0.057640,-0.087110,-2.637623,-1.204306,-0.147710,0.006857,-0.065424,-0.027134,-0.011521,0.999982,-0.006021,-0.000739,0.000034,-0.221381,-0.557305,-0.524248,0.604620,-113.809788,64.962727,131.568368
03286,-8.246712,-7.410209,-3.267133,-2.587396,2.854811,1.084492,-1.066599,-0.129764,0.050483,-0.082427,-0.074296,-0.032329,0.999986,-0.005333,-0.000649,0.000252,-0.224891,-0.555864,-0.527145,0.602127,-114.298733,65.026356,131.703257
03287,-9.244771,-7.959003,-3.472445,-2.733100,2.887265,2.231532,-0.322479,-0.134430,0.053695,-0.092403,-0.079671,-0.034658,0.999998,-0.001612,-0.000672,0.000268,-0.226352,-0.555246,-0.527782,0.601592,-114.358923,65.092857,131.841120
