// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36904,-4.308523,2.544670,8.602555,-0.141133,-0.234593,0.135564,-0.173788,0.060916,0.018134,-0.043061,0.025518,0.086017,1.000000,-0.000869,0.000305,0.000091,0.706396,-0.053620,0.241086,0.663331,15.535962,24.314131,89.764878
36905,-3.702828,2.814406,8.440273,-0.458724,0.289682,-0.191063,-0.207136,0.079292,-0.010823,-0.036993,0.028233,0.084388,0.999999,-0.001036,0.000396,-0.000054,0.706251,-0.054632,0.240642,0.663564,15.417859,24.356338,89.776790
36906,-3.914444,2.561271,8.793691,-0.141728,0.218223,0.144432,-0.252408,0.134639,-0.036662,-0.039081,0.025731,0.087931,0.999999,-0.001262,0.000673,-0.000183,0.706108,-0.056009,0.240241,0.663746,15.272452,24.432647,89.782757
36907,-4.657942,2.169324,9.093876,0.294634,-0.371782,0.621675,-0.142053,0.094332,-0.026602,-0.046534,0.021764,0.090945,1.000000,-0.000710,0.000472,-0.000133,0.706014,-0.056860,0.240061,0.663839,15.188646,24.485590,89.787385
36908,-4.656321,1.529037,9.174990,0.924167,-0.404586,0.540184,-0.050848,0.005591,-0.019523,-0.046559,0.015318,0.091747,1.000000,-0.000254,0.000028,-0.000098,0.706025,-0.057077,0.239877,0.663875,15.154106,24.487983,89.782291
36909,-4.838083,1.188840,9.254648,1.278080,-0.580684,0.603559,0.193248,-0.075627,0.000519,-0.048416,0.011799,0.092540,0.999999,0.000966,-0.000378,0.000003,0.706139,-0.056148,0.240218,0.663710,15.257606,24.442882,89.775307
36910,-4.428940,1.722525,9.001703,0.722993,-0.262583,0.337262,0.377378,-0.159930,0.021550,-0.044363,0.017051,0.090014,0.999998,0.001887,-0.000800,0.000108,0.706332,-0.054255,0.240881,0.663421,15.467155,24.347680,89.767445
36911,-3.658350,2.297692,8.482791,0.067189,0.283284,-0.297660,0.410899,-0.130666,0.048811,-0.036645,0.022794,0.084851,0.999998,0.002054,-0.000653,0.000244,0.706408,-0.052316,0.241762,0.663176,15.703456,24.264812,89.780090
36912,-3.716114,2.981979,8.531172,-0.541536,0.318079,-0.061378,0.383107,-0.040325,0.092362,-0.037192,0.029639,0.085361,0.999998,0.001916,-0.000202,0.000462,0.706218,-0.050715,0.242883,0.663093,15.941883,24.224555,89.834667
36913,-4.004444,2.922389,8.703109,-0.407622,0.110326,0.194393,0.205046,-0.007691,0.118523,-0.040065,0.029111,0.087059,0.999999,0.001025,-0.000038,0.000593,0.705857,-0.049826,0.243531,0.663307,16.085942,24.198310,89.910030
36914,-4.011002,2.259647,8.611079,0.224488,-0.013324,-0.050812,0.168134,-0.019733,0.113597,-0.040131,0.022501,0.086126,0.999999,0.000841,-0.000099,0.000568,0.705514,-0.049025,0.244018,0.663553,16.207826,24.165690,89.980760
36915,-4.293817,2.129992,8.853610,0.437574,-0.196738,0.243649,0.209027,-0.025944,0.115744,-0.042962,0.021183,0.088553,0.999999,0.001045,-0.000130,0.000579,0.705183,-0.048065,0.244614,0.663755,16.352018,24.129534,90.051062
36916,-4.050970,2.287883,8.664317,0.258129,-0.039435,0.018229,0.269458,-0.063673,0.114531,-0.040550,0.022739,0.086661,0.999999,0.001347,-0.000318,0.000573,0.704913,-0.046760,0.245280,0.663889,16.528753,24.072308,90.114286
36917,-3.930506,2.575541,8.545277,-0.024416,0.047839,-0.060708,0.268307,-0.050023,0.105988,-0.039340,0.025620,0.085477,0.999999,0.001342,-0.000250,0.000530,0.704656,-0.045522,0.245985,0.663987,16.702532,24.024154,90.174115
36918,-3.822910,2.855846,8.403671,-0.308738,0.115609,-0.154352,0.228200,-0.033974,0.089647,-0.038256,0.028445,0.084063,0.999999,0.001141,-0.000170,0.000448,0.704420,-0.044492,0.246612,0.664075,16.851439,23.987020,90.227349
36919,-3.595274,3.134201,8.533272,-0.519138,0.401517,-0.058960,0.162139,-0.005845,0.059825,-0.035965,0.031262,0.085357,1.000000,0.000811,-0.000029,0.000299,0.704236,-0.043832,0.247109,0.664130,16.956218,23.970501,90.267239
36920,-4.343765,2.823523,8.760227,-0.138794,-0.231957,0.361254,0.108823,-0.005389,0.044080,-0.043446,0.028178,0.087616,1.000000,0.000544,-0.000027,0.000220,0.704088,-0.043373,0.247430,0.664197,17.027699,23.956419,90.298275
36921,-4.219585,2.498227,8.647386,0.148851,-0.204850,0.125078,0.093824,-0.073423,0.023744,-0.042231,0.024937,0.086470,1.000000,0.000469,-0.000367,0.000119,0.704091,-0.042774,0.247454,0.664223,17.079470,23.908851,90.304057
36922,-3.737481,2.645782,8.437311,-0.047227,0.163432,-0.214345,0.117640,-0.072398,-0.013876,-0.037404,0.026411,0.084375,1.000000,0.000588,-0.000362,-0.000069,0.704221,-0.042133,0.247556,0.664089,17.136889,23.867819,90.287941
36923,-3.852024,3.152394,8.485575,-0.509517,0.129652,0.010970,0.095508,-0.061430,-0.038542,-0.038540,0.031491,0.084859,1.000000,0.000478,-0.000307,-0.000193,0.704416,-0.041644,0.247614,0.663891,17.175398,23.837334,90.258559
36924,-3.543512,3.332595,8.419335,-0.701825,0.403042,-0.122854,-0.021975,-0.049156,-0.068114,-0.035444,0.033347,0.084181,1.000000,-0.000110,-0.000246,-0.000341,0.704667,-0.041639,0.247324,0.663733,17.141481,23.818205,90.214242
36925,-4.317648,2.826914,9.077120,-0.030484,-0.110472,0.628313,-0.071215,-0.015758,-0.067348,-0.043174,0.028316,0.090758,1.000000,-0.000356,-0.000079,-0.000337,0.704866,-0.041925,0.246983,0.663630,17.080931,23.817565,90.176067
36926,-4.909311,2.200458,9.407722,0.661536,-0.605295,0.987524,0.028499,-0.167786,-0.023207,-0.049169,0.021997,0.094039,1.000000,0.000142,-0.000839,-0.000116,0.705125,-0.041293,0.246451,0.663593,17.078062,23.725821,90.136925
36927,-4.714278,1.887038,9.354362,0.952214,-0.504870,0.776352,0.192234,-0.225708,0.006201,-0.047249,0.018779,0.093508,0.999999,0.000961,-0.001129,0.000031,0.705392,-0.039863,0.246259,0.663467,17.170696,23.597821,90.104094
36928,-5.279008,2.097753,9.491225,0.811870,-0.978910,1.175226,0.300365,-0.373930,0.021949,-0.052970,0.020829,0.094845,0.999997,0.001502,-0.001870,0.000110,0.705807,-0.037533,0.245910,0.663292,17.319088,23.385798,90.053412
36929,-3.956875,2.272290,8.535427,0.381050,-0.152174,-0.142883,0.289217,-0.505898,-0.027555,-0.039781,0.022605,0.085287,0.999996,0.001446,-0.002529,-0.000138,0.706543,-0.034872,0.245043,0.662974,17.438775,23.110501,89.947787
36930,-3.336116,2.980581,8.428231,-0.307083,0.421963,-0.285037,0.324232,-0.420696,-0.138819,-0.033518,0.029692,0.084260,0.999996,0.001621,-0.002103,-0.000694,0.707542,-0.032501,0.244575,0.662201,17.560101,22.900919,89.791998
36931,-3.511947,3.127510,8.410571,-0.441296,0.239101,-0.189756,0.173105,-0.408739,-0.208104,-0.035259,0.031239,0.084061,0.999997,0.000866,-0.002044,-0.001041,0.708729,-0.030794,0.243633,0.661361,17.579358,22.710245,89.596971
36932,-3.271439,3.423326,8.572225,-0.671616,0.528986,-0.056993,0.104924,-0.367624,-0.259895,-0.032827,0.034231,0.085680,0.999997,0.000525,-0.001838,-0.001299,0.710020,-0.029521,0.242606,0.660411,17.552325,22.550721,89.379685
36933,-4.084417,3.443290,9.280367,-0.491622,0.011364,0.884135,-0.008821,-0.356392,-0.248336,-0.040967,0.034488,0.092729,0.999998,-0.000044,-0.001782,-0.001242,0.711241,-0.028681,0.241239,0.659635,17.463295,22.395391,89.171326
36934,-5.638598,3.649044,9.916849,-0.541936,-1.208609,2.091029,-0.210015,-0.489737,-0.167216,-0.056598,0.036642,0.098992,0.999996,-0.001050,-0.002449,-0.000836,0.712319,-0.028012,0.238749,0.659405,17.269791,22.152509,88.987423
