// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44708,-9.521066,1.107867,-1.473808,0.001688,-0.015946,-0.114754,-0.010064,0.006903,-0.014624,-0.095210,0.011085,-0.014735,1.000000,-0.000050,0.000035,-0.000073,0.231266,-0.673590,0.348691,0.609268,143.039429,79.135077,-85.614343
44709,-9.518703,1.107402,-1.498710,0.018319,-0.034506,-0.113375,-0.007728,0.008117,-0.012283,-0.095187,0.011079,-0.014984,1.000000,-0.000039,0.000041,-0.000061,0.231242,-0.673610,0.348662,0.609272,143.044181,79.134782,-85.604850
44710,-9.532448,1.062744,-1.550949,0.086157,-0.041386,-0.097066,-0.006191,0.005284,-0.010075,-0.095324,0.010632,-0.015507,1.000000,-0.000031,0.000026,-0.000050,0.231223,-0.673614,0.348642,0.609286,143.038893,79.135196,-85.606699
44711,-9.483103,1.064135,-1.497427,0.050493,-0.012232,-0.153432,0.007143,0.005496,-0.011653,-0.094831,0.010647,-0.014971,1.000000,0.000036,0.000027,-0.000058,0.231252,-0.673607,0.348658,0.609273,143.045959,79.135885,-85.603526
44712,-9.510385,1.070849,-1.451669,0.014478,0.022214,-0.132771,0.021086,0.009322,-0.010912,-0.095104,0.010715,-0.014511,1.000000,0.000105,0.000047,-0.000055,0.231323,-0.673591,0.348727,0.609224,143.064907,79.134758,-85.597192
44713,-9.487946,1.060157,-1.450528,0.021636,0.025740,-0.156189,0.017764,0.003621,-0.011202,-0.094879,0.010608,-0.014503,1.000000,0.000089,0.000018,-0.000056,0.231389,-0.673566,0.348774,0.609200,143.073621,79.136149,-85.598538
44714,-9.534440,1.132918,-1.478299,-0.015581,-0.033227,-0.098107,0.019154,0.006399,-0.005563,-0.095345,0.011333,-0.014779,1.000000,0.000096,0.000032,-0.000028,0.231436,-0.673539,0.348845,0.609171,143.074443,79.134344,-85.608279
44715,-9.545644,1.184303,-1.405035,-0.102819,-0.010449,-0.092331,0.011391,0.004740,-0.011472,-0.095456,0.011849,-0.014047,1.000000,0.000057,0.000024,-0.000057,0.231480,-0.673525,0.348873,0.609154,143.082158,79.135316,-85.606924
44716,-9.543356,1.183747,-1.429528,-0.086185,-0.029006,-0.090950,0.003422,-0.002233,-0.012009,-0.095433,0.011843,-0.014296,1.000000,0.000017,-0.000011,-0.000060,0.231506,-0.673502,0.348863,0.609175,143.074027,79.139646,-85.616397
44717,-9.528703,1.095573,-1.405991,-0.035018,0.042335,-0.118861,-0.009496,0.004461,-0.013556,-0.095287,0.010962,-0.014058,1.000000,-0.000047,0.000022,-0.000068,0.231487,-0.673515,0.348820,0.609192,143.074251,79.141463,-85.610484
44718,-9.510699,1.064035,-1.454622,0.021049,0.023509,-0.132786,-0.010043,0.008047,-0.010192,-0.095107,0.010644,-0.014543,1.000000,-0.000050,0.000040,-0.000051,0.231450,-0.673533,0.348791,0.609203,143.072191,79.140644,-85.606680
44719,-9.489869,1.108801,-1.476142,0.002008,-0.025539,-0.144937,-0.017634,0.001934,-0.015097,-0.094898,0.011094,-0.014761,1.000000,-0.000088,0.000010,-0.000075,0.231411,-0.673551,0.348715,0.609242,143.066897,79.144149,-85.601637
44720,-9.504028,1.083897,-1.429245,-0.010127,0.027498,-0.140911,-0.010840,0.003997,-0.010325,-0.095040,0.010843,-0.014291,1.000000,-0.000054,0.000020,-0.000052,0.231375,-0.673559,0.348677,0.609268,143.057382,79.145027,-85.604416
44721,-9.517298,1.114914,-1.430099,-0.032918,0.009176,-0.124240,-0.001546,0.006551,-0.009829,-0.095173,0.011154,-0.014298,1.000000,-0.000008,0.000033,-0.000049,0.231367,-0.673563,0.348673,0.609269,143.057012,79.144604,-85.603745
44722,-9.513299,1.059536,-1.431916,0.009863,0.043176,-0.134160,0.005226,0.007455,-0.009490,-0.095133,0.010600,-0.014315,1.000000,0.000026,0.000037,-0.000047,0.231373,-0.673566,0.348684,0.609258,143.062221,79.143673,-85.600089
44723,-9.535791,1.067940,-1.434445,0.004915,0.040096,-0.110739,0.005398,0.003004,-0.008487,-0.095358,0.010684,-0.014343,1.000000,0.000027,0.000015,-0.000042,0.231390,-0.673549,0.348702,0.609260,143.056257,79.144412,-85.609166
44724,-9.558304,1.076353,-1.436844,-0.000027,0.037002,-0.087316,0.012170,0.003909,-0.008148,-0.095583,0.010768,-0.014366,1.000000,0.000061,0.000020,-0.000041,0.231426,-0.673527,0.348740,0.609249,143.054960,79.144714,-85.617054
44725,-9.529074,1.088048,-1.409320,-0.026271,0.044065,-0.118842,0.011187,-0.000571,-0.006097,-0.095290,0.010884,-0.014093,1.000000,0.000056,-0.000003,-0.000030,0.231462,-0.673487,0.348779,0.609256,143.040182,79.146266,-85.638481
44726,-9.519897,1.109651,-1.408182,-0.042997,0.029025,-0.125580,0.012755,0.006362,-0.010265,-0.095199,0.011102,-0.014078,1.000000,0.000064,0.000032,-0.000051,0.231506,-0.673473,0.348818,0.609233,143.048069,79.146208,-85.637976
44727,-9.558094,1.149211,-1.386751,-0.087341,0.026195,-0.086815,0.005969,0.000576,-0.007416,-0.095581,0.011496,-0.013867,1.000000,0.000030,0.000003,-0.000037,0.231526,-0.673446,0.348839,0.609244,143.035506,79.147689,-85.654104
44728,-9.517576,1.108475,-1.433252,-0.025245,0.010671,-0.124218,0.002702,0.005799,-0.009648,-0.095176,0.011090,-0.014330,1.000000,0.000014,0.000029,-0.000048,0.231535,-0.673440,0.348850,0.609241,143.034820,79.147630,-85.656559
44729,-9.474708,1.163897,-1.354496,-0.118265,0.024823,-0.171899,-0.007524,0.009686,-0.010037,-0.094747,0.011643,-0.013541,1.000000,-0.000038,0.000048,-0.000050,0.231501,-0.673461,0.348831,0.609241,143.037156,79.145843,-85.649645
44730,-9.514798,1.183047,-1.407870,-0.098103,-0.019145,-0.122327,-0.009649,0.010057,-0.010128,-0.095148,0.011835,-0.014074,1.000000,-0.000048,0.000050,-0.000051,0.231467,-0.673480,0.348812,0.609244,143.037627,79.144106,-85.644450
44731,-9.524006,1.159627,-1.410182,-0.079164,-0.003682,-0.115587,-0.013140,0.008806,-0.011423,-0.095240,0.011601,-0.014098,1.000000,-0.000066,0.000044,-0.000057,0.231421,-0.673507,0.348770,0.609256,143.038471,79.143200,-85.635781
44732,-9.537566,1.114961,-1.462634,-0.011275,-0.010613,-0.099431,-0.010618,0.010456,-0.011264,-0.095376,0.011154,-0.014622,1.000000,-0.000053,0.000052,-0.000056,0.231387,-0.673530,0.348743,0.609258,143.042440,79.141847,-85.626445
44733,-9.515051,1.104660,-1.461625,-0.004166,-0.007098,-0.122860,-0.006941,0.012135,-0.012152,-0.095151,0.011052,-0.014611,1.000000,-0.000035,0.000061,-0.000061,0.231358,-0.673561,0.348722,0.609247,143.054549,79.139668,-85.609921
44734,-9.526655,1.080318,-1.439954,-0.000732,0.027151,-0.117483,0.001558,0.010647,-0.011786,-0.095267,0.010809,-0.014394,1.000000,0.000008,0.000053,-0.000059,0.231358,-0.673577,0.348725,0.609228,143.067211,79.138047,-85.597698
44735,-9.512594,1.102994,-1.487816,0.013575,-0.025443,-0.121516,0.000953,0.007030,-0.014103,-0.095126,0.011037,-0.014875,1.000000,0.000005,0.000035,-0.000071,0.231371,-0.673587,0.348715,0.609218,143.079334,79.138877,-85.585765
44736,-9.483383,1.114283,-1.460719,-0.012697,-0.018395,-0.153009,0.007536,0.007507,-0.011578,-0.094834,0.011149,-0.014603,1.000000,0.000038,0.000038,-0.000058,0.231397,-0.673586,0.348734,0.609198,143.089622,79.138710,-85.579465
44737,-9.505889,1.122305,-1.463551,-0.017612,-0.021466,-0.129573,0.001349,0.009050,-0.014036,-0.095059,0.011230,-0.014631,1.000000,0.000007,0.000045,-0.000070,0.231407,-0.673601,0.348728,0.609181,143.105436,79.138590,-85.564005
44738,-9.535149,1.108508,-1.492164,0.010868,-0.028099,-0.098084,-0.005610,0.007709,-0.012195,-0.095351,0.011090,-0.014918,1.000000,-0.000028,0.000039,-0.000061,0.231388,-0.673618,0.348702,0.609184,143.110363,79.138528,-85.555186
44739,-9.535235,1.107381,-1.492456,0.011962,-0.027878,-0.098085,-0.008162,0.000016,-0.013601,-0.095352,0.011080,-0.014925,1.000000,-0.000041,0.000000,-0.000068,0.231381,-0.673616,0.348658,0.609214,143.103493,79.142397,-85.557274
44740,-9.512906,1.096947,-1.490288,0.019077,-0.024384,-0.121522,-0.014933,-0.000896,-0.013943,-0.095128,0.010975,-0.014904,1.000000,-0.000075,-0.000004,-0.000070,0.231354,-0.673618,0.348592,0.609259,143.091207,79.146911,-85.561087
44741,-9.564789,1.092596,-1.519867,0.041571,-0.034292,-0.066609,-0.013965,-0.001298,-0.012806,-0.095647,0.010931,-0.015200,1.000000,-0.000070,-0.000006,-0.000064,0.231327,-0.673618,0.348531,0.609305,143.076741,79.151109,-85.567524
44742,-9.502355,1.062422,-1.465014,0.029614,0.013400,-0.139596,-0.012028,-0.002100,-0.010531,-0.095023,0.010628,-0.014652,1.000000,-0.000060,-0.000010,-0.000053,0.231298,-0.673608,0.348484,0.609354,143.055340,79.154743,-85.581922
44743,-9.514126,1.038287,-1.441950,0.033034,0.047648,-0.134232,-0.003528,-0.003581,-0.010164,-0.095140,0.010387,-0.014421,1.000000,-0.000018,-0.000018,-0.000051,0.231302,-0.673584,0.348461,0.609392,143.036416,79.159074,-85.598987
44744,-9.502665,1.060650,-1.464290,0.031791,0.013817,-0.139603,-0.005653,-0.003211,-0.010256,-0.095026,0.010611,-0.014645,1.000000,-0.000028,-0.000016,-0.000051,0.231297,-0.673565,0.348429,0.609434,143.017329,79.163409,-85.614529
44745,-9.518552,1.090888,-1.440247,-0.006494,0.014305,-0.124192,-0.000613,0.000096,-0.009937,-0.095185,0.010914,-0.014402,1.000000,-0.000003,0.000000,-0.000050,0.231304,-0.673548,0.348420,0.609455,143.006128,79.165978,-85.625430
44746,-9.505365,1.058172,-1.439592,0.018477,0.033043,-0.140940,0.004785,-0.005490,-0.007615,-0.095053,0.010586,-0.014398,1.000000,0.000024,-0.000027,-0.000038,0.231332,-0.673502,0.348431,0.609488,142.981304,79.170346,-85.653638
44747,-9.537024,1.119624,-1.391604,-0.059177,0.033803,-0.110095,0.006731,-0.001413,-0.008525,-0.095370,0.011201,-0.013916,1.000000,0.000034,-0.000007,-0.000043,0.231362,-0.673470,0.348448,0.609503,142.968197,79.173117,-85.670765
44748,-9.566377,1.106165,-1.419274,-0.030638,0.027174,-0.078632,0.007305,-0.003837,-0.007456,-0.095663,0.011066,-0.014194,1.000000,0.000037,-0.000019,-0.000037,0.231395,-0.673426,0.348468,0.609527,142.947714,79.176719,-85.695873
44749,-9.498878,1.153103,-1.361865,-0.102252,0.025837,-0.148223,0.002481,-0.000676,-0.008708,-0.094988,0.011535,-0.013619,1.000000,0.000012,-0.000003,-0.000044,0.231410,-0.673401,0.348472,0.609547,142.933922,79.179214,-85.711216
44750,-9.539806,1.116308,-1.367059,-0.071367,0.053217,-0.111401,0.004032,0.001378,-0.009686,-0.095398,0.011168,-0.013670,1.000000,0.000020,0.000007,-0.000048,0.231433,-0.673379,0.348483,0.609556,142.926192,79.181315,-85.721909
44751,-9.534868,1.192240,-1.364861,-0.129846,0.004451,-0.107992,0.001152,0.008616,-0.011850,-0.095349,0.011928,-0.013644,1.000000,0.000006,0.000043,-0.000059,0.231437,-0.673390,0.348483,0.609543,142.935939,79.180647,-85.712512
44752,-9.521584,1.159490,-1.364845,-0.104906,0.023170,-0.124744,-0.007177,0.000770,-0.008028,-0.095215,0.011598,-0.013649,1.000000,-0.000036,0.000004,-0.000040,0.231414,-0.673379,0.348460,0.609577,142.917281,79.182378,-85.727048
44753,-9.494253,1.150673,-1.411879,-0.066794,-0.010911,-0.145541,-0.011413,0.011257,-0.014581,-0.094942,0.011513,-0.014114,1.000000,-0.000057,0.000056,-0.000073,0.231379,-0.673417,0.348416,0.609574,142.931140,79.181446,-85.706135
44754,-9.535061,1.113798,-1.417835,-0.035888,0.016508,-0.108738,-0.018559,0.009480,-0.010558,-0.095351,0.011142,-0.014175,1.000000,-0.000093,0.000047,-0.000053,0.231310,-0.673449,0.348362,0.609594,142.927033,79.179907,-85.699367
44755,-9.510104,1.104443,-1.440825,-0.013309,0.001217,-0.130866,-0.017403,0.009508,-0.011603,-0.095101,0.011049,-0.014405,1.000000,-0.000087,0.000048,-0.000058,0.231249,-0.673484,0.348307,0.609611,142.927168,79.178746,-85.688932
44756,-9.482734,1.095732,-1.487894,0.024813,-0.032894,-0.151683,-0.013940,0.004722,-0.011555,-0.094827,0.010962,-0.014877,1.000000,-0.000070,0.000024,-0.000058,0.231210,-0.673498,0.348259,0.609638,142.919947,79.179910,-85.688229
44757,-9.514447,1.081485,-1.491754,0.037824,-0.020717,-0.121569,-0.007564,0.003617,-0.011280,-0.095144,0.010820,-0.014916,1.000000,-0.000038,0.000018,-0.000056,0.231191,-0.673502,0.348228,0.609658,142.914302,79.181329,-85.689419
44758,-9.536995,1.089744,-1.494191,0.032988,-0.023797,-0.098123,-0.000400,0.006561,-0.010868,-0.095370,0.010903,-0.014939,1.000000,-0.000002,0.000033,-0.000054,0.231192,-0.673504,0.348226,0.609656,142.916459,79.181410,-85.687129
44759,-9.510313,1.100449,-1.442499,-0.008902,0.002057,-0.130861,0.000157,0.002973,-0.014233,-0.095103,0.011011,-0.014424,1.000000,0.000001,0.000015,-0.000071,0.231209,-0.673503,0.348208,0.609661,142.921136,79.184145,-85.682314
44760,-9.485459,1.090739,-1.465005,0.013671,-0.013265,-0.153002,0.006158,0.001012,-0.009592,-0.094854,0.010912,-0.014649,1.000000,0.000031,0.000005,-0.000048,0.231237,-0.673480,0.348222,0.609669,142.914325,79.186328,-85.692725
44761,-9.499560,1.065706,-1.418377,0.001585,0.039780,-0.148963,0.011196,0.004323,-0.009272,-0.094995,0.010662,-0.014181,1.000000,0.000056,0.000022,-0.000046,0.231274,-0.673461,0.348257,0.609656,142.915899,79.186731,-85.697508
44762,-9.515433,1.095831,-1.394933,-0.036647,0.040276,-0.133473,0.011772,0.001901,-0.008203,-0.095154,0.010963,-0.013948,1.000000,0.000059,0.000010,-0.000041,0.231314,-0.673431,0.348294,0.609652,142.910152,79.187953,-85.710172
44763,-9.503924,1.118039,-1.417983,-0.037910,0.006470,-0.138817,0.008864,0.003094,-0.011614,-0.095039,0.011187,-0.014178,1.000000,0.000044,0.000015,-0.000058,0.231352,-0.673416,0.348312,0.609644,142.913770,79.189728,-85.711515
44764,-9.533829,1.123987,-1.347828,-0.089331,0.059790,-0.119271,0.008887,0.009132,-0.010365,-0.095338,0.011245,-0.013473,1.000000,0.000044,0.000046,-0.000052,0.231375,-0.673417,0.348339,0.609619,142.925340,79.188400,-85.704371
44765,-9.508869,1.114358,-1.370977,-0.066780,0.044491,-0.141415,0.006368,0.007475,-0.010525,-0.095089,0.011149,-0.013706,1.000000,0.000032,0.000037,-0.000053,0.231394,-0.673416,0.348358,0.609602,142.932847,79.187795,-85.700299
44766,-9.531410,1.122438,-1.373714,-0.071618,0.041388,-0.117952,-0.002340,0.007347,-0.013144,-0.095314,0.011230,-0.013734,1.000000,-0.000012,0.000037,-0.000066,0.231395,-0.673428,0.348341,0.609599,142.941533,79.188468,-85.690144
44767,-9.497305,1.135584,-1.395239,-0.066958,0.010853,-0.146745,-0.009464,0.011608,-0.007874,-0.094973,0.011359,-0.013947,1.000000,-0.000047,0.000058,-0.000039,0.231345,-0.673453,0.348325,0.609599,142.941095,79.185059,-85.684925
44768,-9.535538,1.099523,-1.425743,-0.020458,0.019424,-0.108699,-0.011214,0.012828,-0.012332,-0.095356,0.011000,-0.014252,1.000000,-0.000056,0.000064,-0.000062,0.231308,-0.673486,0.348296,0.609592,142.951545,79.182929,-85.668632
44769,-9.522093,1.066689,-1.426416,0.004444,0.038148,-0.125517,-0.011215,0.012826,-0.012331,-0.095221,0.010672,-0.014259,1.000000,-0.000056,0.000064,-0.000062,0.231264,-0.673525,0.348262,0.609586,142.962962,79.180501,-85.650321
44770,-9.519562,1.066542,-1.451761,0.021074,0.019571,-0.124222,-0.010434,0.012000,-0.009011,-0.095196,0.010669,-0.014512,1.000000,-0.000052,0.000060,-0.000045,0.231212,-0.673555,0.348238,0.609587,142.964982,79.177320,-85.641604
44771,-9.559577,1.085493,-1.505522,0.041384,-0.024343,-0.074716,-0.007541,0.014511,-0.013214,-0.095596,0.010861,-0.015049,1.000000,-0.000038,0.000073,-0.000066,0.231180,-0.673596,0.348213,0.609567,142.983642,79.174425,-85.618062
