// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737B
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
40817,-5.381996,4.603330,6.545078,-0.039717,0.042517,-0.169494,-0.128913,0.120276,0.145194,-0.053814,0.046036,0.065453,0.999999,-0.000645,0.000601,0.000726,-0.395263,-0.387955,0.106514,0.825780,35.511740,33.816139,-117.724340
40818,-5.408087,4.643756,6.518409,0.012250,0.036976,-0.153494,-0.129213,0.122016,0.148421,-0.054076,0.046440,0.065187,0.999999,-0.000646,0.000610,0.000742,-0.396198,-0.388125,0.106018,0.825316,35.510588,33.824004,-117.591340
40819,-5.406016,4.592925,6.549665,-0.040867,0.063826,-0.158033,-0.125871,0.119641,0.147098,-0.054055,0.045931,0.065500,0.999999,-0.000629,0.000598,0.000735,-0.397118,-0.388292,0.105537,0.824857,35.510316,33.831242,-117.460158
40820,-5.416777,4.602962,6.529649,-0.016714,0.066591,-0.160728,-0.136225,0.116189,0.148297,-0.054164,0.046034,0.065297,0.999999,-0.000681,0.000581,0.000741,-0.398062,-0.388422,0.105023,0.824406,35.503846,33.836439,-117.329541
40821,-5.427292,4.612778,6.509990,0.007451,0.069344,-0.163422,-0.132474,0.112183,0.143884,-0.054270,0.046132,0.065100,0.999999,-0.000662,0.000561,0.000719,-0.398978,-0.388546,0.104523,0.823969,35.497151,33.841287,-117.203137
40822,-5.379437,4.610847,6.485246,0.006342,0.037376,-0.207729,-0.131560,0.113876,0.139666,-0.053790,0.046114,0.064853,0.999999,-0.000658,0.000569,0.000698,-0.399875,-0.388680,0.104015,0.823535,35.490167,33.848302,-117.078279
40823,-5.411946,4.611310,6.471088,0.029229,0.061651,-0.198964,-0.130968,0.116993,0.142670,-0.054115,0.046117,0.064712,0.999999,-0.000655,0.000585,0.000713,-0.400784,-0.388825,0.103509,0.823088,35.485063,33.855823,-116.950613
40824,-5.432195,4.632196,6.431531,0.077477,0.067287,-0.204355,-0.130351,0.115279,0.143853,-0.054318,0.046325,0.064316,0.999999,-0.000652,0.000576,0.000719,-0.401695,-0.388964,0.103012,0.822640,35.480432,33.862120,-116.822822
40825,-5.408314,4.561466,6.410706,0.042286,0.097819,-0.265823,-0.126639,0.116089,0.141246,-0.054078,0.045617,0.064110,0.999999,-0.000633,0.000580,0.000706,-0.402588,-0.389115,0.102523,0.822193,35.477198,33.869711,-116.696299
40826,-5.435937,4.543226,6.382241,0.061437,0.133279,-0.278445,-0.109460,0.118700,0.137676,-0.054353,0.045430,0.063830,0.999999,-0.000547,0.000594,0.000688,-0.403435,-0.389312,0.102092,0.821738,35.483408,33.879663,-116.570585
40827,-5.464624,4.583212,6.445902,0.047299,0.118313,-0.200125,-0.099286,0.119088,0.138050,-0.054639,0.045826,0.064469,0.999999,-0.000496,0.000595,0.000690,-0.404262,-0.389531,0.101702,0.821276,35.495566,33.889701,-116.444628
40828,-5.456584,4.573614,6.463344,0.023263,0.115349,-0.197427,-0.090800,0.120929,0.135032,-0.054558,0.045729,0.064646,0.999999,-0.000454,0.000605,0.000675,-0.405061,-0.389775,0.101339,0.820811,35.512194,33.901528,-116.319471
