// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
07389,-9.165209,-1.454649,-2.840390,-0.121989,-0.205006,-0.110730,-0.014962,-0.003888,-0.007460,-0.091652,-0.014545,-0.028405,1.000000,-0.000075,-0.000019,-0.000037,0.599556,-0.073457,0.796519,-0.026341,-155.062451,72.035200,-151.196559
07390,-9.154929,-1.385072,-2.764830,-0.058669,-0.134847,-0.150709,0.014233,0.004360,-0.003807,-0.091550,-0.013847,-0.027647,1.000000,0.000071,0.000022,-0.000019,0.599565,-0.073396,0.796517,-0.026369,-155.064879,72.037187,-151.206341
07391,-9.204592,-1.302922,-2.843138,-0.127720,-0.050045,-0.092259,0.028353,0.004249,-0.003045,-0.092047,-0.013024,-0.028431,1.000000,0.000142,0.000021,-0.000015,0.599581,-0.073290,0.796512,-0.026450,-155.060595,72.039561,-151.217398
07392,-9.182533,-1.300412,-2.754484,-0.049368,-0.046981,-0.138364,0.017216,0.001224,-0.000864,-0.091826,-0.013001,-0.027545,1.000000,0.000086,0.000006,-0.000004,0.599602,-0.073208,0.796502,-0.026483,-155.063595,72.043721,-151.229887
07393,-9.157751,-1.226335,-2.850676,-0.155302,0.017759,-0.144688,0.027710,0.000296,-0.000504,-0.091578,-0.012259,-0.028508,1.000000,0.000139,0.000001,-0.000003,0.599634,-0.073095,0.796487,-0.026553,-155.060812,72.048763,-151.242134
07394,-9.157784,-1.198989,-2.797515,-0.107514,0.046962,-0.163080,0.028841,-0.001860,-0.000259,-0.091578,-0.011986,-0.027978,1.000000,0.000144,-0.000009,-0.000001,0.599673,-0.072977,0.796466,-0.026627,-155.055958,72.054791,-151.253063
07395,-9.173156,-1.206342,-2.725706,-0.034860,0.044907,-0.167570,0.018947,-0.002573,-0.002404,-0.091731,-0.012060,-0.027259,1.000000,0.000095,-0.000013,-0.000012,0.599712,-0.072898,0.796442,-0.026666,-155.053011,72.060864,-151.259860
07396,-9.135093,-1.251518,-2.712869,-0.029907,-0.005046,-0.201498,0.014981,-0.001184,-0.004413,-0.091351,-0.012511,-0.027130,1.000000,0.000075,-0.000006,-0.000022,0.599744,-0.072832,0.796423,-0.026703,-155.049317,72.065622,-151.264602
07397,-9.165619,-1.350158,-2.728227,-0.028789,-0.098813,-0.155352,0.018266,0.001847,-0.005614,-0.091657,-0.013497,-0.027283,1.000000,0.000091,0.000009,-0.000028,0.599765,-0.072767,0.796412,-0.026751,-155.044910,72.068624,-151.269453
07398,-9.203557,-1.278732,-2.687930,0.013581,-0.020669,-0.139789,0.034878,0.004724,-0.004690,-0.092037,-0.012780,-0.026879,1.000000,0.000174,0.000024,-0.000023,0.599780,-0.072648,0.796407,-0.026864,-155.034359,72.070274,-151.278003
07399,-9.183011,-1.196238,-2.642342,0.044241,0.060256,-0.182783,0.021240,0.000359,-0.011480,-0.091831,-0.011954,-0.026425,1.000000,0.000106,0.000002,-0.000057,0.599807,-0.072598,0.796389,-0.026941,-155.017718,72.072630,-151.271787
07400,-9.177701,-1.204878,-2.683726,0.003372,0.049496,-0.175165,0.010335,0.004623,-0.009633,-0.091778,-0.012043,-0.026836,1.000000,0.000052,0.000023,-0.000048,0.599812,-0.072569,0.796386,-0.026975,-155.012936,72.073043,-151.272136
07401,-9.162174,-1.171425,-2.702549,-0.021955,0.079690,-0.189039,0.008103,0.002208,-0.013181,-0.091623,-0.011707,-0.027025,1.000000,0.000041,0.000011,-0.000066,0.599827,-0.072565,0.796375,-0.027005,-155.002470,72.074026,-151.264500
07402,-9.161131,-1.198822,-2.654946,0.025586,0.054871,-0.199750,-0.008468,0.004926,-0.014864,-0.091613,-0.011983,-0.026547,1.000000,-0.000042,0.000025,-0.000074,0.599823,-0.072616,0.796374,-0.026978,-155.000582,72.072867,-151.256257
07403,-9.176053,-1.262962,-2.689633,0.001808,-0.007678,-0.167529,-0.014736,0.005028,-0.016607,-0.091762,-0.012624,-0.026893,1.000000,-0.000074,0.000025,-0.000083,0.599818,-0.072693,0.796373,-0.026928,-154.999814,72.071556,-151.245060
07404,-9.196914,-1.293753,-2.730748,-0.029435,-0.036651,-0.132202,-0.020252,-0.000418,-0.018953,-0.091970,-0.012932,-0.027306,1.000000,-0.000101,-0.000002,-0.000095,0.599830,-0.072798,0.796356,-0.026863,-154.994326,72.072206,-151.225587
07405,-9.211898,-1.329470,-2.712682,-0.004999,-0.068959,-0.118337,-0.013298,0.007394,-0.011696,-0.092121,-0.013291,-0.027123,1.000000,-0.000066,0.000037,-0.000058,0.599816,-0.072851,0.796363,-0.026805,-155.002389,72.070855,-151.224537
07406,-9.227717,-1.310815,-2.689871,0.019738,-0.047191,-0.112079,-0.002391,0.003136,-0.013542,-0.092278,-0.013102,-0.026897,1.000000,-0.000012,0.000016,-0.000068,0.599822,-0.072880,0.796357,-0.026795,-154.997982,72.071064,-151.216927
07407,-9.185074,-1.309160,-2.714201,-0.015457,-0.052851,-0.146078,-0.004694,0.001851,-0.013276,-0.091852,-0.013086,-0.027141,1.000000,-0.000023,0.000009,-0.000066,0.599834,-0.072915,0.796345,-0.026774,-154.994430,72.072209,-151.208851
07408,-9.137368,-1.286407,-2.727188,-0.042842,-0.038003,-0.190805,0.003274,0.004680,-0.010013,-0.091375,-0.012859,-0.027270,1.000000,0.000016,0.000023,-0.000050,0.599836,-0.072917,0.796343,-0.026773,-154.993990,72.072557,-151.208104
07409,-9.143126,-1.225835,-2.681423,-0.002570,0.024765,-0.205980,-0.004505,0.003547,-0.012851,-0.091433,-0.012253,-0.026812,1.000000,-0.000023,0.000018,-0.000064,0.599841,-0.072948,0.796337,-0.026752,-154.992280,72.072924,-151.202078
07410,-9.169119,-1.249336,-2.681180,0.006609,0.005527,-0.178257,-0.013606,0.002875,-0.016359,-0.091693,-0.012488,-0.026810,1.000000,-0.000068,0.000014,-0.000082,0.599844,-0.073022,0.796330,-0.026706,-154.989533,72.072565,-151.189556
07411,-9.195874,-1.246670,-2.728976,-0.032192,0.010055,-0.139816,-0.010585,0.005343,-0.014169,-0.091960,-0.012462,-0.027287,1.000000,-0.000053,0.000027,-0.000071,0.599839,-0.073077,0.796330,-0.026666,-154.990537,72.071679,-151.182720
07412,-9.184675,-1.231858,-2.658830,0.030895,0.026260,-0.171969,-0.022177,0.001691,-0.017836,-0.091848,-0.012313,-0.026586,1.000000,-0.000111,0.000008,-0.000089,0.599843,-0.073180,0.796320,-0.026593,-154.989151,72.071604,-151.166888
07413,-9.226681,-1.263574,-2.688223,0.016966,-0.000484,-0.119674,-0.034671,0.005842,-0.013267,-0.092268,-0.012634,-0.026877,1.000000,-0.000173,0.000029,-0.000066,0.599828,-0.073304,0.796325,-0.026454,-155.005776,72.070679,-151.161966
07414,-9.184021,-1.261227,-2.712901,-0.018171,-0.006103,-0.153681,-0.016170,0.001029,-0.012701,-0.091841,-0.012609,-0.027128,1.000000,-0.000081,0.000005,-0.000064,0.599836,-0.073373,0.796314,-0.026385,-155.009267,72.072111,-151.154035
07415,-9.204931,-1.263434,-2.701511,-0.001246,-0.004871,-0.136678,-0.023728,0.007194,-0.015867,-0.092051,-0.012630,-0.027010,1.000000,-0.000119,0.000036,-0.000079,0.599819,-0.073475,0.796321,-0.026298,-155.016460,72.069855,-151.145790
07416,-9.199457,-1.271383,-2.743570,-0.042091,-0.015675,-0.129114,-0.023762,0.001595,-0.015113,-0.091996,-0.012710,-0.027433,1.000000,-0.000119,0.000008,-0.000076,0.599823,-0.073576,0.796312,-0.026206,-155.020804,72.070429,-151.134241
