// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
52517,-9.435410,0.777998,-2.044242,0.253297,-0.343513,-0.136480,-0.157305,0.130437,-0.038438,-0.094366,0.007782,-0.020387,0.999999,-0.000787,0.000652,-0.000192,0.241279,-0.684279,0.340588,0.597951,155.408226,79.322361,-73.408169
52518,-9.372134,0.671963,-2.064482,0.343399,-0.292737,-0.202958,-0.113699,0.114991,-0.036896,-0.093732,0.006725,-0.020595,1.000000,-0.000568,0.000575,-0.000184,0.240785,-0.684788,0.340286,0.597740,155.554494,79.272062,-73.192878
52519,-9.335615,0.498331,-2.140754,0.519219,-0.234583,-0.238751,-0.072248,0.123906,-0.033383,-0.093369,0.004991,-0.021352,1.000000,-0.000361,0.000620,-0.000167,0.240405,-0.685268,0.340131,0.597432,155.723485,79.215994,-72.978482
52520,-9.335450,0.387328,-2.211707,0.641605,-0.206799,-0.234699,-0.003732,0.116932,-0.024745,-0.093367,0.003884,-0.022063,1.000000,-0.000019,0.000585,-0.000124,0.240238,-0.685634,0.340192,0.597043,155.898696,79.161468,-72.796173
52521,-9.356395,0.365292,-2.155755,0.612606,-0.140575,-0.224790,0.057763,0.108298,-0.013087,-0.093575,0.003665,-0.021506,1.000000,0.000289,0.000541,-0.000065,0.240270,-0.685876,0.340476,0.596591,156.063959,79.108597,-72.661345
52522,-9.379059,0.429391,-2.128084,0.536895,-0.151781,-0.201831,0.115759,0.103002,-0.010923,-0.093801,0.004311,-0.021230,1.000000,0.000579,0.000515,-0.000055,0.240501,-0.686029,0.340930,0.596062,156.249348,79.057996,-72.539490
52523,-9.478811,0.585200,-2.046529,0.352167,-0.169548,-0.105689,0.158477,0.094056,-0.001948,-0.094798,0.005869,-0.020416,1.000000,0.000792,0.000470,-0.000010,0.240869,-0.686087,0.341535,0.595500,156.422305,79.009881,-72.455557
52524,-9.547572,0.755861,-1.922503,0.130683,-0.171391,-0.046572,0.169578,0.080456,0.000123,-0.095483,0.007575,-0.019180,1.000000,0.000848,0.000402,0.000001,0.241294,-0.686086,0.342166,0.594967,156.579174,78.968478,-72.394949
52525,-9.553127,0.905900,-1.781316,-0.081949,-0.159049,-0.054411,0.146867,0.067142,-0.005826,-0.095537,0.009075,-0.017774,1.000000,0.000734,0.000336,-0.000029,0.241679,-0.686084,0.342690,0.594511,156.722640,78.935315,-72.334264
52526,-9.620187,0.951487,-1.825077,-0.097450,-0.205164,0.022588,0.084324,0.051882,-0.009826,-0.096206,0.009527,-0.018222,1.000000,0.000422,0.000259,-0.000049,0.241892,-0.686116,0.342999,0.594209,156.823735,78.911250,-72.280951
52527,-9.623795,0.977063,-1.850500,-0.104096,-0.237083,0.032585,0.006329,0.041866,-0.011928,-0.096241,0.009777,-0.018485,1.000000,0.000032,0.000209,-0.000060,0.241856,-0.686219,0.343054,0.594073,156.873181,78.892737,-72.234009
52528,-9.501762,0.862808,-2.031285,0.105078,-0.317143,-0.063717,-0.059894,0.033930,-0.023987,-0.095020,0.008633,-0.020299,1.000000,-0.000299,0.000170,-0.000120,0.241648,-0.686397,0.342864,0.594062,156.908739,78.881311,-72.163384
52529,-9.415864,0.751026,-2.142107,0.266393,-0.341255,-0.136752,-0.111708,0.016294,-0.027166,-0.094159,0.007511,-0.021418,1.000000,-0.000559,0.000081,-0.000136,0.241296,-0.686592,0.342485,0.594199,156.901990,78.879692,-72.104785
52530,-9.546591,0.806497,-2.360800,0.360199,-0.514348,0.034490,-0.136379,0.005272,-0.026450,-0.095465,0.008061,-0.023611,1.000000,-0.000682,0.000026,-0.000132,0.240881,-0.686780,0.342025,0.594414,156.866951,78.883842,-72.061397
52531,-9.489689,0.973101,-2.585407,0.387012,-0.799771,0.030892,-0.147793,-0.023819,-0.033866,-0.094892,0.009728,-0.025873,1.000000,-0.000739,-0.000119,-0.000169,0.240494,-0.686911,0.341467,0.594741,156.811540,78.904877,-72.031323
52532,-9.257679,0.758219,-2.453583,0.481091,-0.608396,-0.236781,-0.111288,-0.045293,-0.034125,-0.092570,0.007584,-0.024561,1.000000,-0.000556,-0.000226,-0.000171,0.240268,-0.686934,0.340990,0.595079,156.753245,78.937262,-72.025288
