// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
30809,2.043697,2.638529,8.995634,0.250779,0.082087,-0.221528,0.007342,0.022096,-0.009280,0.020448,0.026381,0.089955,1.000000,0.000037,0.000110,-0.000046,-0.024816,-0.124583,-0.141288,-0.981785,16.976178,-13.745830,175.043085
30810,2.250706,2.775019,9.030515,0.055904,-0.021460,-0.101198,0.015549,0.015065,-0.017101,0.022516,0.027741,0.090306,1.000000,0.000078,0.000075,-0.000086,-0.024825,-0.124520,-0.141334,-0.981786,16.981227,-13.738182,175.042504
30811,2.445840,2.859092,9.092469,-0.121397,-0.068366,0.026526,0.002470,0.047078,-0.030360,0.024484,0.028586,0.090919,1.000000,0.000012,0.000235,-0.000152,-0.024885,-0.124292,-0.141329,-0.981814,16.979212,-13.711213,175.039930
30812,2.497204,2.948262,9.291195,-0.128819,-0.095868,0.248565,-0.003699,0.081059,-0.026165,0.025014,0.029481,0.092901,1.000000,-0.000018,0.000405,-0.000131,-0.024905,-0.123895,-0.141295,-0.981868,16.971762,-13.665895,175.045595
30813,2.272471,2.980281,9.384767,0.103292,-0.121211,0.291504,-0.012214,0.093414,-0.013165,0.022770,0.029807,0.093835,1.000000,-0.000061,0.000467,-0.000066,-0.024857,-0.123450,-0.141212,-0.981938,16.957165,-13.616408,175.060682
30814,1.954027,2.953542,9.416762,0.412922,-0.115857,0.238835,-0.018884,0.061315,0.011713,0.019567,0.029545,0.094159,1.000000,-0.000094,0.000307,0.000059,-0.024714,-0.123176,-0.141077,-0.981995,16.936823,-13.588240,175.084282
30815,1.930930,2.803351,9.296976,0.405399,-0.009435,0.079562,-0.020590,0.003989,0.027962,0.019307,0.028046,0.092966,1.000000,-0.000103,0.000020,0.000140,-0.024532,-0.123197,-0.140917,-0.982020,16.915605,-13.594622,175.107178
30816,2.270366,2.671414,9.196298,0.055190,0.114710,0.028385,-0.016633,-0.020671,0.021291,0.022691,0.026724,0.091963,1.000000,-0.000083,-0.000103,0.000106,-0.024398,-0.123332,-0.140778,-0.982026,16.898597,-13.612906,175.122111
30817,2.474401,2.622139,9.092084,-0.165857,0.148067,-0.034404,-0.010170,-0.001374,0.004654,0.024743,0.026227,0.090920,1.000000,-0.000051,-0.000007,0.000023,-0.024328,-0.123365,-0.140682,-0.982038,16.886650,-13.618333,175.130946
30818,2.510690,2.654179,9.060920,-0.210896,0.110041,-0.045809,-0.012134,0.043371,-0.016015,0.025129,0.026545,0.090602,1.000000,-0.000061,0.000217,-0.000080,-0.024330,-0.123159,-0.140596,-0.982076,16.874564,-13.595309,175.135812
30819,2.316965,2.737706,9.110008,-0.017469,0.025665,-0.022150,-0.011040,0.069209,-0.022331,0.023204,0.027380,0.091091,1.000000,-0.000055,0.000346,-0.000112,-0.024343,-0.122827,-0.140521,-0.982128,16.862863,-13.557546,175.141499
30820,2.180709,2.816093,9.150378,0.116670,-0.051521,0.005613,-0.018206,0.070168,-0.026756,0.021843,0.028166,0.091494,1.000000,-0.000091,0.000351,-0.000134,-0.024382,-0.122482,-0.140414,-0.982185,16.847642,-13.518069,175.144874
30821,2.289462,2.905861,9.198928,0.015460,-0.117870,0.101535,-0.025036,0.063390,-0.028518,0.022928,0.029067,0.091978,1.000000,-0.000125,0.000317,-0.000143,-0.024439,-0.122171,-0.140274,-0.982242,16.828980,-13.482467,175.146057
30822,2.440589,2.933009,9.365937,-0.097361,-0.089046,0.299799,-0.024544,0.077976,-0.027012,0.024446,0.029338,0.093646,1.000000,-0.000123,0.000390,-0.000135,-0.024477,-0.121787,-0.140137,-0.982309,16.809876,-13.438655,175.150590
