// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13214,-2.694837,2.573039,9.427678,0.155951,-0.024614,0.323330,-0.034157,0.127057,0.160272,-0.026909,0.025725,0.094289,0.999999,-0.000171,0.000635,0.000801,-0.735449,-0.182417,-0.022340,0.652181,14.386425,15.711745,-81.136609
13215,-2.626375,2.467885,9.536318,0.043390,-0.141207,0.380831,-0.051091,0.180264,0.150730,-0.026196,0.024683,0.095381,0.999999,-0.000255,0.000901,0.000754,-0.735998,-0.182798,-0.023036,0.651430,14.385054,15.787487,-81.019143
13216,-2.481774,2.398223,9.573621,-0.006077,-0.311384,0.359228,-0.068512,0.240030,0.166141,-0.024723,0.023994,0.095758,0.999999,-0.000343,0.001200,0.000831,-0.736607,-0.183302,-0.023994,0.650565,14.377874,15.893361,-80.883969
13217,-2.325947,2.388202,9.714425,-0.014839,-0.524606,0.444413,-0.082569,0.314305,0.191502,-0.023130,0.023900,0.097171,0.999998,-0.000413,0.001572,0.000958,-0.737298,-0.184008,-0.025248,0.649535,14.370852,16.037723,-80.723024
13218,-2.423866,2.729714,9.693677,0.312996,-0.424895,0.532129,-0.115187,0.425793,0.225059,-0.024063,0.027326,0.096972,0.999997,-0.000576,0.002129,0.001125,-0.738112,-0.184948,-0.026988,0.648272,14.354740,16.238340,-80.526163
13219,-2.617967,2.908133,9.704697,0.466965,-0.266263,0.637336,-0.207461,0.527283,0.264652,-0.025962,0.029148,0.097085,0.999995,-0.001037,0.002636,0.001323,-0.739118,-0.185892,-0.029365,0.646750,14.298084,16.490692,-80.291226
13220,-2.530605,2.828668,9.716593,0.426533,-0.405930,0.602230,-0.320696,0.646514,0.309847,-0.025036,0.028404,0.097202,0.999992,-0.001603,0.003233,0.001549,-0.740352,-0.186796,-0.032505,0.644927,14.189328,16.802292,-80.012671
13221,-2.544943,2.777787,9.585188,0.436372,-0.408676,0.468889,-0.440341,0.739335,0.347504,-0.025143,0.027945,0.095884,0.999989,-0.002202,0.003697,0.001738,-0.741787,-0.187570,-0.036341,0.642845,14.024696,17.161769,-79.698887
13222,-2.417409,2.698616,9.506212,0.444618,-0.567558,0.334929,-0.564753,0.794096,0.362956,-0.023846,0.027211,0.095081,0.999986,-0.002824,0.003970,0.001815,-0.743362,-0.188046,-0.040762,0.640617,13.794753,17.549647,-79.368955
13223,-2.689582,2.542838,9.382956,0.323384,-0.348015,0.262702,-0.593709,0.836064,0.367485,-0.026550,0.025658,0.093865,0.999985,-0.002969,0.004180,0.001837,-0.744947,-0.188554,-0.045428,0.638308,13.553583,17.962525,-79.031265
13224,-2.912696,3.070554,9.539984,0.827508,-0.193663,0.589257,-0.691385,0.873305,0.392602,-0.028771,0.030979,0.095419,0.999983,-0.003457,0.004367,0.001963,-0.746675,-0.188807,-0.050518,0.635828,13.263846,18.393311,-78.674949
13225,-3.184792,2.931075,9.564606,0.709356,-0.028072,0.661613,-0.827620,0.923611,0.414836,-0.031467,0.029641,0.095670,0.999979,-0.004138,0.004618,0.002074,-0.748557,-0.188720,-0.056207,0.633157,12.905338,18.852193,-78.300209
13226,-3.844601,3.035060,9.448202,0.782201,0.574037,0.785369,-0.932809,0.953256,0.434552,-0.038062,0.030708,0.094521,0.999975,-0.004664,0.004766,0.002173,-0.750560,-0.188320,-0.062317,0.630327,12.493068,19.326527,-77.912199
13227,-3.814970,3.221452,9.241393,1.085543,0.587423,0.618549,-1.049072,0.928958,0.474427,-0.037797,0.032609,0.092420,0.999973,-0.005245,0.004645,0.002372,-0.752764,-0.187420,-0.068664,0.627300,12.023875,19.786225,-77.506304
13228,-3.331907,2.459788,9.052150,0.559965,0.053995,0.125937,-1.063187,0.856510,0.535938,-0.032998,0.024990,0.090531,0.999973,-0.005316,0.004283,0.002680,-0.755161,-0.186241,-0.074717,0.624071,11.557313,20.200227,-77.075725
13229,-3.155414,2.404762,9.000934,0.636080,-0.140212,0.002167,-1.006557,0.773272,0.551900,-0.031273,0.024414,0.090008,0.999976,-0.005033,0.003866,0.002759,-0.757544,-0.185021,-0.080265,0.620848,11.125645,20.569798,-76.647875
13230,-3.384961,1.903796,8.953768,0.183566,-0.031724,-0.054763,-0.914727,0.678814,0.532027,-0.033597,0.019358,0.089564,0.999980,-0.004574,0.003394,0.002660,-0.759788,-0.183831,-0.085181,0.617797,10.739600,20.890270,-76.244927
13231,-3.219867,2.810374,9.005011,1.162703,-0.079568,0.086675,-0.776846,0.599469,0.462301,-0.031994,0.028379,0.090036,0.999985,-0.003884,0.002997,0.002311,-0.761694,-0.182893,-0.089434,0.615121,10.416394,21.176687,-75.894208
13232,-3.664447,2.953400,8.674338,1.289686,0.454246,-0.039000,-0.749039,0.511697,0.403916,-0.036483,0.029785,0.086726,0.999988,-0.003745,0.002558,0.002020,-0.763416,-0.181751,-0.093315,0.612744,10.093332,21.420432,-75.589648
