// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08329,-4.133902,0.558985,8.971693,0.056131,0.042938,0.081143,0.011857,0.000472,-0.004535,-0.041339,0.005585,0.089717,1.000000,0.000059,0.000002,-0.000023,0.723819,-0.121642,0.181632,0.654446,3.899062,24.970659,85.100690
08330,-4.145786,0.607179,8.969056,0.007642,0.036334,0.086746,0.011983,0.002810,-0.005785,-0.041456,0.006068,0.089692,1.000000,0.000060,0.000014,-0.000029,0.723815,-0.121621,0.181645,0.654450,3.902234,24.970056,85.102105
08331,-4.152991,0.555553,8.956400,0.057742,0.018658,0.075153,0.016825,0.004562,-0.003814,-0.041528,0.005549,0.089565,1.000000,0.000084,0.000023,-0.000019,0.723805,-0.121586,0.181683,0.654457,3.908899,24.970601,85.104905
08332,-4.159135,0.580637,8.954919,0.033308,0.015159,0.077954,0.018574,0.001349,-0.004330,-0.041591,0.005799,0.089550,1.000000,0.000093,0.000007,-0.000022,0.723802,-0.121535,0.181714,0.654462,3.916208,24.969105,85.107175
08333,-4.174125,0.579606,8.973983,0.036419,0.009169,0.101455,0.019505,0.003723,-0.001264,-0.041740,0.005788,0.089741,1.000000,0.000098,0.000019,-0.000006,0.723786,-0.121486,0.181759,0.654475,3.925071,24.969070,85.111547
08334,-4.120526,0.568308,8.951360,0.050805,0.046732,0.057662,0.021380,0.002847,-0.003030,-0.041204,0.005674,0.089515,1.000000,0.000107,0.000014,-0.000015,0.723779,-0.121428,0.181805,0.654481,3.934360,24.968380,85.114700
08335,-4.162019,0.612311,8.987121,0.009272,0.028856,0.110254,0.023413,0.003103,-0.002354,-0.041619,0.006113,0.089873,1.000000,0.000117,0.000016,-0.000012,0.723770,-0.121364,0.181860,0.654488,3.945162,24.968032,85.118358
08336,-4.157101,0.637494,8.932166,-0.019725,0.013077,0.060049,0.017798,0.000108,-0.004945,-0.041571,0.006368,0.089322,1.000000,0.000089,0.000001,-0.000025,0.723769,-0.121312,0.181883,0.654492,3.951839,24.965850,85.120185
08337,-4.147513,0.617847,8.967529,0.005071,0.033754,0.086757,0.014503,0.000838,-0.005672,-0.041475,0.006173,0.089676,1.000000,0.000073,0.000004,-0.000028,0.723768,-0.121275,0.181899,0.654496,3.956610,24.964338,85.121652
08338,-4.123210,0.600654,8.983612,0.026370,0.060041,0.089970,0.014502,0.000839,-0.005671,-0.041232,0.006001,0.089837,1.000000,0.000073,0.000004,-0.000028,0.723767,-0.121238,0.181913,0.654500,3.961219,24.962602,85.123052
08339,-4.147749,0.619720,8.967290,0.004332,0.033010,0.086760,0.008559,0.001203,-0.005255,-0.041477,0.006194,0.089673,1.000000,0.000043,0.000006,-0.000026,0.723760,-0.121224,0.181912,0.654511,3.962702,24.961282,85.124798
08340,-4.129383,0.625508,8.982099,0.001575,0.056165,0.092766,0.005878,0.002041,-0.007803,-0.041293,0.006254,0.089822,1.000000,0.000029,0.000010,-0.000039,0.723760,-0.121224,0.181901,0.654514,3.961825,24.960318,85.124906
08341,-4.129695,0.625493,8.981957,0.001217,0.055810,0.092768,0.001322,0.003756,-0.008586,-0.041295,0.006256,0.089820,1.000000,0.000007,0.000019,-0.000043,0.723757,-0.121248,0.181882,0.654518,3.958322,24.960588,85.124663
08342,-4.128053,0.598620,8.948879,0.023799,0.040662,0.060478,-0.001973,0.004485,-0.009315,-0.041278,0.005989,0.089490,1.000000,-0.000010,0.000022,-0.000047,0.723754,-0.121285,0.181854,0.654522,3.952591,24.961080,85.123926
08343,-4.143271,0.595327,8.967989,0.026905,0.034665,0.083979,-0.002779,0.004445,-0.013629,-0.041430,0.005957,0.089681,1.000000,-0.000014,0.000022,-0.000068,0.723765,-0.121330,0.181822,0.654510,3.945409,24.961943,85.120533
08344,-4.135078,0.620984,8.947142,-0.000989,0.036777,0.063268,-0.000304,0.009306,-0.009322,-0.041346,0.006212,0.089473,1.000000,-0.000002,0.000047,-0.000047,0.723759,-0.121378,0.181816,0.654510,3.940720,24.965191,85.120000
08345,-4.132214,0.622988,8.980972,-0.000270,0.054320,0.092777,-0.006438,0.009738,-0.015041,-0.041317,0.006236,0.089812,1.000000,-0.000032,0.000049,-0.000075,0.723768,-0.121455,0.181790,0.654493,3.931162,24.969134,85.115947
08346,-4.121294,0.574508,8.983248,0.047443,0.060232,0.087212,-0.007792,0.007184,-0.010149,-0.041209,0.005751,0.089834,1.000000,-0.000039,0.000036,-0.000051,0.723762,-0.121523,0.181751,0.654498,3.921924,24.971201,85.114800
08347,-4.146528,0.591607,8.966729,0.025429,0.033188,0.083988,-0.007668,0.009522,-0.011399,-0.041461,0.005922,0.089669,1.000000,-0.000038,0.000048,-0.000057,0.723758,-0.121601,0.181723,0.654496,3.912626,24.974877,85.113031
08348,-4.128868,0.595812,8.981335,0.022651,0.056341,0.090001,-0.007826,0.008389,-0.013839,-0.041284,0.005964,0.089815,1.000000,-0.000039,0.000042,-0.000069,0.723763,-0.121677,0.181686,0.654486,3.902408,24.977776,85.109608
08349,-4.157110,0.562946,8.986653,0.052199,0.029960,0.104710,-0.006407,0.008537,-0.011344,-0.041567,0.005635,0.089868,1.000000,-0.000032,0.000043,-0.000057,0.723760,-0.121746,0.181658,0.654484,3.893828,24.980887,85.107831
08350,-4.176386,0.556588,8.971432,0.054215,0.006034,0.098701,-0.003884,0.006567,-0.011236,-0.041761,0.005570,0.089716,1.000000,-0.000019,0.000033,-0.000056,0.723761,-0.121799,0.181630,0.654481,3.886527,24.982641,85.105971
08351,-4.171111,0.532276,8.972472,0.077911,0.008850,0.095924,-0.000589,0.005840,-0.010506,-0.041708,0.005325,0.089726,1.000000,-0.000003,0.000029,-0.000053,0.723762,-0.121838,0.181612,0.654478,3.881456,24.984176,85.104605
08352,-4.138266,0.540133,8.967945,0.071667,0.037658,0.078444,0.004616,0.003033,-0.007850,-0.041381,0.005401,0.089680,1.000000,0.000023,0.000015,-0.000039,0.723760,-0.121846,0.181600,0.654482,3.879861,24.983780,85.104728
08353,-4.159330,0.561487,8.985716,0.050722,0.028492,0.104722,0.010684,0.005010,-0.009514,-0.041591,0.005612,0.089859,1.000000,0.000053,0.000025,-0.000048,0.723765,-0.121841,0.181616,0.654473,3.881497,24.984802,85.103952
08354,-4.145052,0.564815,8.966181,0.046881,0.033758,0.081227,0.010874,0.004940,-0.003382,-0.041448,0.005644,0.089663,1.000000,0.000054,0.000025,-0.000017,0.723750,-0.121828,0.181635,0.654486,3.884712,24.985323,85.106974
