// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
51927,-8.671132,4.108806,-1.411971,-0.082853,0.046145,-0.114467,0.006554,0.013871,-0.004616,-0.086711,0.041091,-0.014112,1.000000,0.000033,0.000069,-0.000023,0.408904,-0.336713,0.678837,0.508530,109.673045,63.846332,-174.627998
51928,-8.672729,4.072190,-1.345415,-0.035305,0.102101,-0.138111,0.018797,0.012078,-0.002175,-0.086728,0.040724,-0.013445,1.000000,0.000094,0.000060,-0.000011,0.408897,-0.336662,0.678910,0.508471,109.687309,63.841089,-174.624424
51929,-8.669398,4.159746,-1.369928,-0.117949,0.101543,-0.101126,0.010347,0.008332,-0.011131,-0.086692,0.041603,-0.013694,1.000000,0.000052,0.000042,-0.000056,0.408911,-0.336642,0.678941,0.508432,109.694842,63.840728,-174.622970
51930,-8.630912,4.146967,-1.359040,-0.121256,0.107906,-0.142598,0.006792,0.012295,-0.007674,-0.086308,0.041473,-0.013584,1.000000,0.000034,0.000061,-0.000038,0.408897,-0.336635,0.678975,0.508402,109.704623,63.838409,-174.616726
51931,-8.653332,4.147055,-1.386535,-0.116822,0.082784,-0.118349,-0.002177,0.011733,-0.006772,-0.086533,0.041473,-0.013861,1.000000,-0.000011,0.000059,-0.000034,0.408864,-0.336637,0.678988,0.508410,109.707304,63.834871,-174.612387
51932,-8.648605,4.130636,-1.369284,-0.100648,0.095204,-0.131971,-0.003981,0.008470,-0.009850,-0.086485,0.041310,-0.013690,1.000000,-0.000020,0.000042,-0.000049,0.408851,-0.336649,0.678984,0.508418,109.707567,63.834464,-174.609870
51933,-8.672906,4.094296,-1.328013,-0.049433,0.126748,-0.131382,0.000052,0.006619,-0.012740,-0.086727,0.040948,-0.013277,1.000000,0.000000,0.000033,-0.000064,0.408855,-0.336652,0.678982,0.508415,109.708205,63.835178,-174.609382
51934,-8.655191,4.118262,-1.411093,-0.096018,0.052097,-0.124980,-0.009008,0.012784,-0.013341,-0.086550,0.041188,-0.014107,1.000000,-0.000045,0.000064,-0.000067,0.408828,-0.336698,0.678968,0.508426,109.711698,63.835821,-174.600058
51935,-8.710823,4.140037,-1.409715,-0.090435,0.061483,-0.066218,-0.000800,0.007582,-0.014685,-0.087106,0.041407,-0.014094,1.000000,-0.000004,0.000038,-0.000073,0.408831,-0.336713,0.678963,0.508420,109.713878,63.837289,-174.597219
51936,-8.685878,4.070044,-1.411228,-0.041064,0.041324,-0.117436,0.004562,0.006882,-0.015062,-0.086856,0.040707,-0.014108,1.000000,0.000023,0.000034,-0.000075,0.408851,-0.336721,0.678968,0.508391,109.719344,63.840000,-174.594360
