// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
56242,0.678421,2.380794,9.213270,0.410541,0.098977,-0.281980,0.093337,-0.252631,0.083162,0.006658,0.023768,0.092152,0.999999,0.000467,-0.001263,0.000416,0.004256,-0.057683,-0.131178,-0.989670,15.123153,-6.620438,179.612973
56243,0.870846,2.397525,9.173257,0.239908,0.080596,-0.294755,0.074250,-0.225594,0.077089,0.008596,0.023945,0.091751,0.999999,0.000371,-0.001128,0.000385,0.004570,-0.058875,-0.131487,-0.989557,15.159616,-6.760623,179.628585
56244,0.546018,2.282689,9.412875,0.610548,0.257698,-0.134269,0.069195,-0.223748,0.066487,0.005347,0.022796,0.094143,0.999999,0.000346,-0.001119,0.000332,0.004832,-0.060050,-0.131776,-0.989447,15.193932,-6.898212,179.638477
56245,0.775228,2.278951,9.377904,0.402754,0.258981,-0.142613,0.060674,-0.243367,0.051889,0.007632,0.022763,0.093795,0.999999,0.000303,-0.001217,0.000259,0.005006,-0.061313,-0.132025,-0.989336,15.224589,-7.044454,179.637203
56246,0.984830,2.141954,9.222880,0.196202,0.357006,-0.301989,0.061433,-0.229635,0.031780,0.009739,0.021393,0.092247,0.999999,0.000307,-0.001148,0.000159,0.005090,-0.062493,-0.132285,-0.989227,15.256885,-7.179993,179.626713
56247,0.882169,2.191009,9.235665,0.321800,0.317073,-0.290496,0.051312,-0.197359,0.011558,0.008729,0.021887,0.092371,0.999999,0.000257,-0.000987,0.000058,0.005092,-0.063502,-0.132499,-0.989134,15.284154,-7.294718,179.609808
56248,0.992248,2.118507,9.077058,0.208847,0.349219,-0.447858,0.025436,-0.177007,-0.005241,0.009843,0.021173,0.090782,1.000000,0.000127,-0.000885,-0.000026,0.005016,-0.064398,-0.132591,-0.989064,15.297436,-7.395525,179.586583
56249,1.184919,2.180630,9.022495,0.026189,0.277474,-0.459244,0.006731,-0.115110,-0.022725,0.011800,0.021802,0.090232,1.000000,0.000034,-0.000576,-0.000114,0.004889,-0.064978,-0.132593,-0.989026,15.300075,-7.459603,179.563046
56250,0.839912,2.103290,9.243858,0.402560,0.408246,-0.312715,0.014063,-0.062855,-0.025690,0.008373,0.021025,0.092443,1.000000,0.000070,-0.000314,-0.000128,0.004783,-0.065297,-0.132631,-0.989001,15.306061,-7.494210,179.545809
56251,0.319303,2.432511,9.573043,0.976956,0.174348,0.019778,0.024471,-0.089859,-0.016229,0.003152,0.024313,0.095735,1.000000,0.000122,-0.000449,-0.000081,0.004711,-0.065756,-0.132719,-0.988959,15.317925,-7.545312,179.529727
56252,0.897142,2.402036,9.335581,0.383060,0.146755,-0.140075,0.003754,-0.123847,-0.014411,0.008915,0.024018,0.093362,1.000000,0.000019,-0.000619,-0.000072,0.004617,-0.066383,-0.132703,-0.988920,15.318385,-7.615210,179.509445
