// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
62742,-4.180609,2.271023,8.722954,0.034225,0.117168,0.122606,0.026511,0.027258,-0.046083,-0.041789,0.022708,0.087238,1.000000,0.000133,0.000136,-0.000230,0.893002,0.187426,0.153230,-0.379394,13.900431,24.575064,-42.994823
62743,-4.139726,2.282458,8.682660,0.066665,0.115135,0.072545,0.020401,0.022939,-0.048223,-0.041382,0.022826,0.086834,1.000000,0.000102,0.000115,-0.000241,0.892898,0.187493,0.153329,-0.379565,13.899284,24.591440,-43.016322
62744,-4.136801,2.358502,8.679931,0.126795,0.162182,0.085518,0.004759,0.016066,-0.049418,-0.041355,0.023593,0.086803,1.000000,0.000024,0.000080,-0.000247,0.892811,0.187478,0.153434,-0.379733,13.888450,24.604956,-43.039334
62745,-4.173463,2.288890,8.697959,0.057312,0.132727,0.101464,-0.021269,0.016827,-0.052795,-0.041721,0.022909,0.086981,1.000000,-0.000106,0.000084,-0.000264,0.892743,0.187344,0.153589,-0.379898,13.861862,24.618552,-43.064566
62746,-4.205207,2.193210,8.668039,-0.033697,0.106654,0.067410,-0.030196,0.004118,-0.046920,-0.042045,0.021955,0.086678,1.000000,-0.000151,0.000021,-0.000235,0.892703,0.187153,0.153706,-0.380039,13.830889,24.625060,-43.087812
62747,-4.215498,2.165849,8.666997,-0.056760,0.099143,0.064818,-0.035792,0.000762,-0.043548,-0.042150,0.021683,0.086666,1.000000,-0.000179,0.000004,-0.000218,0.892677,0.186931,0.153808,-0.380167,13.797317,24.628428,-43.109821
62748,-4.222630,2.161663,8.691529,-0.057468,0.093834,0.088523,-0.043442,-0.011094,-0.037614,-0.042227,0.021643,0.086908,1.000000,-0.000217,-0.000055,-0.000188,0.892679,0.186659,0.153873,-0.380271,13.760175,24.625181,-43.129648
62749,-4.231289,2.133369,8.691463,-0.080528,0.086318,0.085932,-0.049994,-0.017554,-0.039578,-0.042316,0.021364,0.086906,1.000000,-0.000250,-0.000088,-0.000198,0.892689,0.186341,0.153917,-0.380386,13.718338,24.617789,-43.151972
62750,-4.186897,2.108899,8.706576,-0.063648,0.042208,0.075497,-0.054390,-0.025600,-0.035531,-0.041876,0.021120,0.087055,1.000000,-0.000272,-0.000128,-0.000178,0.892715,0.185994,0.153936,-0.380486,13.674562,24.606165,-43.172672
62751,-4.169541,2.124297,8.687110,-0.040300,0.056672,0.054367,-0.056107,-0.028589,-0.035428,-0.041704,0.021275,0.086859,1.000000,-0.000281,-0.000143,-0.000177,0.892747,0.185632,0.153938,-0.380588,13.629611,24.592037,-43.194080
62752,-4.195679,2.019981,8.736149,-0.124684,-0.009124,0.086237,-0.059470,-0.029028,-0.035823,-0.041966,0.020233,0.087349,1.000000,-0.000297,-0.000145,-0.000179,0.892780,0.185255,0.153952,-0.380688,13.582658,24.578514,-43.215439
62753,-4.184720,2.036679,8.740155,-0.101962,-0.000446,0.088820,-0.045121,-0.029705,-0.028376,-0.041857,0.020392,0.087391,1.000000,-0.000226,-0.000149,-0.000142,0.892815,0.184945,0.153922,-0.380769,13.545751,24.562788,-43.232665
62754,-4.213506,2.017994,8.734066,-0.133393,0.014210,0.091445,-0.045435,-0.028493,-0.032274,-0.042144,0.020207,0.087330,1.000000,-0.000227,-0.000142,-0.000161,0.892841,0.184635,0.153908,-0.380863,13.507787,24.549063,-43.251770
62755,-4.193604,2.058335,8.739552,-0.087792,0.031003,0.096609,-0.036862,-0.027988,-0.029398,-0.041945,0.020606,0.087386,1.000000,-0.000184,-0.000140,-0.000147,0.892865,0.184364,0.153871,-0.380953,13.475475,24.534410,-43.269343
62756,-4.098944,2.124446,8.714453,0.021909,0.030909,0.049101,-0.033436,-0.029742,-0.032488,-0.040999,0.021266,0.087135,1.000000,-0.000167,-0.000149,-0.000162,0.892881,0.184105,0.153829,-0.381059,13.444267,24.520002,-43.288756
62757,-4.088098,2.142386,8.718199,0.044627,0.039608,0.051682,-0.044412,-0.027598,-0.030421,-0.040890,0.021449,0.087172,1.000000,-0.000222,-0.000138,-0.000152,0.892910,0.183800,0.153808,-0.381147,13.407410,24.505684,-43.306876
62758,-4.122967,2.016548,8.764963,-0.062594,-0.034337,0.080988,-0.049357,-0.026670,-0.025598,-0.041239,0.020192,0.087639,1.000000,-0.000247,-0.000133,-0.000128,0.892951,0.183481,0.153804,-0.381207,13.369040,24.492047,-43.321580
62759,-4.147731,1.974134,8.709889,-0.115750,-0.016162,0.033601,-0.033104,-0.023202,-0.025779,-0.041485,0.019761,0.087091,1.000000,-0.000166,-0.000116,-0.000129,0.892974,0.183239,0.153777,-0.381279,13.340123,24.479545,-43.336194
62760,-4.137935,1.963106,8.764738,-0.108560,-0.049528,0.075825,-0.026492,-0.017918,-0.018103,-0.041385,0.019646,0.087641,1.000000,-0.000132,-0.000090,-0.000091,0.893001,0.183044,0.153762,-0.381315,13.317286,24.469783,-43.345042
62761,-4.155649,2.023197,8.733012,-0.079336,0.017640,0.067679,-0.014373,-0.015815,-0.022363,-0.041561,0.020243,0.087325,1.000000,-0.000072,-0.000079,-0.000112,0.893009,0.182902,0.153729,-0.381379,13.300422,24.460939,-43.356480
62762,-4.102376,2.025202,8.748609,-0.039508,-0.018330,0.059860,-0.019890,-0.013649,-0.019594,-0.041028,0.020265,0.087481,1.000000,-0.000099,-0.000068,-0.000098,0.893024,0.182744,0.153721,-0.381423,13.281243,24.453749,-43.365637
62763,-4.053001,2.082065,8.761127,0.037470,-0.015650,0.062408,-0.003582,-0.012371,-0.023230,-0.040533,0.020827,0.087608,1.000000,-0.000018,-0.000062,-0.000116,0.893017,0.182656,0.153684,-0.381496,13.270553,24.446933,-43.377100
62764,-4.116533,2.030166,8.719914,-0.047601,0.010782,0.041344,-0.011444,-0.002023,-0.016083,-0.041165,0.020310,0.087198,1.000000,-0.000057,-0.000010,-0.000080,0.893022,0.182560,0.153709,-0.381520,13.257801,24.445754,-43.382428
62765,-4.111880,2.075515,8.770753,-0.003260,0.016090,0.093935,-0.004596,-0.005520,-0.022255,-0.041119,0.020762,0.087706,1.000000,-0.000023,-0.000028,-0.000111,0.893012,0.182481,0.153704,-0.381582,13.247188,24.442627,-43.392302
62766,-4.080885,2.117839,8.727570,0.043678,0.044382,0.051666,-0.005803,-0.000836,-0.022923,-0.040807,0.021186,0.087275,1.000000,-0.000029,-0.000004,-0.000115,0.892998,0.182408,0.153729,-0.381640,13.236004,24.443004,-43.401648
62767,-4.160582,2.043500,8.707915,-0.065002,0.056978,0.051726,-0.017990,-0.001761,-0.024375,-0.041604,0.020448,0.087077,1.000000,-0.000090,-0.000009,-0.000122,0.892994,0.182275,0.153768,-0.381698,13.217405,24.442248,-43.412279
62768,-4.117925,1.992934,8.772731,-0.063630,-0.029064,0.080998,-0.008089,-0.002584,-0.024884,-0.041178,0.019938,0.087726,1.000000,-0.000040,-0.000013,-0.000124,0.892979,0.182186,0.153792,-0.381764,13.204313,24.441901,-43.423068
62769,-4.125635,1.891069,8.748753,-0.146122,-0.077583,0.041769,-0.003133,-0.002492,-0.020551,-0.041255,0.018916,0.087487,1.000000,-0.000016,-0.000012,-0.000103,0.892969,0.182121,0.153796,-0.381817,13.195153,24.440233,-43.431459
62770,-4.161881,2.009351,8.760056,-0.080879,0.016555,0.091378,0.013687,-0.000252,-0.018654,-0.041617,0.020091,0.087602,1.000000,0.000068,-0.000001,-0.000093,0.892945,0.182139,0.153782,-0.381871,13.196244,24.440368,-43.438130
62771,-4.116142,2.045359,8.746174,-0.026150,0.016905,0.067632,0.016415,0.003635,-0.016876,-0.041158,0.020450,0.087464,1.000000,0.000082,0.000018,-0.000084,0.892920,0.182176,0.153773,-0.381916,13.199580,24.441636,-43.443389
62772,-4.151342,2.086709,8.734652,-0.020390,0.070101,0.080584,0.013555,0.003128,-0.020901,-0.041510,0.020866,0.087349,1.000000,0.000068,0.000016,-0.000105,0.892889,0.182198,0.153777,-0.381977,13.200224,24.443951,-43.450956
62773,-4.154222,2.063373,8.709106,-0.042797,0.068285,0.054283,0.008481,-0.000317,-0.021172,-0.041540,0.020634,0.087092,1.000000,0.000042,-0.000002,-0.000106,0.892865,0.182189,0.153769,-0.382039,13.197690,24.443577,-43.459416
