// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
62742,-9.407614,-0.639371,-2.060702,0.073406,0.146146,-0.162209,0.079201,-0.089868,0.012193,-0.094066,-0.006391,-0.020652,1.000000,0.000396,-0.000449,0.000061,0.393238,0.569977,0.523183,-0.496759,-160.064893,77.891771,101.266147
62743,-9.466567,-0.566907,-1.812947,0.110865,-0.106447,-0.158651,0.192359,-0.090953,0.012592,-0.094657,-0.005658,-0.018178,0.999999,0.000962,-0.000455,0.000063,0.392998,0.570174,0.522458,-0.497485,-159.924289,77.947449,101.298068
62744,-9.515541,-0.245810,-1.485342,0.381432,-0.470241,-0.197826,0.206410,-0.095919,0.004615,-0.095148,-0.002445,-0.014902,0.999999,0.001032,-0.000480,0.000023,0.392706,0.570369,0.521700,-0.498288,-159.748478,78.004749,101.356081
62745,-9.529887,-0.031017,-1.351804,0.575415,-0.624229,-0.224866,0.107118,-0.099821,-0.001920,-0.095292,-0.000302,-0.013566,1.000000,0.000536,-0.000499,-0.000010,0.392696,0.570337,0.521210,-0.498845,-159.609847,78.062267,101.435896
62746,-9.459495,-0.103379,-1.277983,0.491427,-0.660822,-0.302284,-0.014391,-0.099585,-0.015962,-0.094589,-0.001027,-0.012827,1.000000,-0.000072,-0.000498,-0.000080,0.392991,0.570035,0.521053,-0.499122,-159.502938,78.117407,101.552699
62747,-9.366744,-0.414792,-1.326687,0.189785,-0.539466,-0.360651,-0.094214,-0.096175,-0.021851,-0.093661,-0.004144,-0.013310,1.000000,-0.000471,-0.000481,-0.000109,0.393495,0.569564,0.521128,-0.499183,-159.430456,78.168902,101.682761
62748,-9.352806,-0.663888,-1.517585,-0.025179,-0.306909,-0.319324,-0.112585,-0.080086,-0.026134,-0.093523,-0.006635,-0.015210,1.000000,-0.000563,-0.000400,-0.000131,0.393994,0.569091,0.521282,-0.499168,-159.370860,78.211520,101.808575
62749,-9.354157,-0.687460,-1.461798,-0.056433,-0.351096,-0.326737,-0.109546,-0.069437,-0.023166,-0.093537,-0.006872,-0.014647,1.000000,-0.000548,-0.000347,-0.000116,0.394468,0.568653,0.521452,-0.499115,-159.328237,78.248358,101.917067
62750,-9.435233,-0.734526,-1.623117,-0.073755,-0.198219,-0.213056,-0.127404,-0.060998,-0.027916,-0.094348,-0.007342,-0.016255,1.000000,-0.000637,-0.000305,-0.000140,0.394955,0.568193,0.521685,-0.499011,-159.289942,78.280366,102.029695
62751,-9.429171,-0.788900,-1.667651,-0.120490,-0.140938,-0.206527,-0.113342,-0.055822,-0.024270,-0.094288,-0.007887,-0.016698,1.000000,-0.000567,-0.000279,-0.000121,0.395401,0.567778,0.521894,-0.498911,-159.259120,78.309656,102.128331
