// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
27116,-3.137218,0.296637,9.372870,-0.029397,0.007003,0.075685,0.006287,0.004087,-0.011626,-0.031370,0.002965,0.093729,1.000000,0.000031,0.000020,-0.000058,-0.276927,-0.159850,-0.029760,0.947034,1.945149,18.617538,-147.081758
27117,-3.167948,0.294099,9.389118,-0.011076,0.022585,0.100803,0.009197,0.005860,-0.011442,-0.031677,0.002938,0.093892,1.000000,0.000046,0.000029,-0.000057,-0.276912,-0.159863,-0.029752,0.947037,1.946233,18.618727,-147.083246
27118,-3.174217,0.275310,9.338265,-0.001523,0.049195,0.054036,0.006251,-0.001263,-0.009998,-0.031743,0.002752,0.093383,1.000000,0.000031,-0.000006,-0.000050,-0.276922,-0.159840,-0.029748,0.947038,1.946096,18.616049,-147.082245
27119,-3.160882,0.311338,9.405372,-0.011727,0.002348,0.114497,0.007431,-0.000057,-0.014737,-0.031609,0.003112,0.094054,1.000000,0.000037,-0.000000,-0.000074,-0.276906,-0.159823,-0.029743,0.947046,1.945645,18.614027,-147.084454
27120,-3.151048,0.322897,9.352906,0.002061,-0.004829,0.062038,0.002771,-0.000967,-0.008629,-0.031511,0.003229,0.093529,1.000000,0.000014,-0.000005,-0.000043,-0.276925,-0.159797,-0.029755,0.947044,1.943780,18.611492,-147.082620
27121,-3.166885,0.292243,9.354619,-0.001678,0.028890,0.067729,0.004971,0.000137,-0.015705,-0.031669,0.002923,0.093546,1.000000,0.000025,0.000001,-0.000079,-0.276908,-0.159777,-0.029765,0.947052,1.941550,18.609623,-147.085102
27122,-3.138014,0.297735,9.372569,-0.026463,0.006686,0.075694,0.004240,0.000899,-0.011749,-0.031380,0.002977,0.093726,1.000000,0.000021,0.000004,-0.000059,-0.276911,-0.159761,-0.029775,0.947053,1.939939,18.608217,-147.085114
27123,-3.130854,0.314373,9.388874,-0.027560,-0.013535,0.089387,0.004241,0.000898,-0.011750,-0.031308,0.003144,0.093889,1.000000,0.000021,0.000004,-0.000059,-0.276915,-0.159745,-0.029787,0.947055,1.938084,18.606720,-147.085051
27124,-3.168480,0.294872,9.388914,-0.007701,0.022222,0.100807,0.004241,0.000898,-0.011750,-0.031684,0.002949,0.093889,1.000000,0.000021,0.000004,-0.000059,-0.276918,-0.159729,-0.029797,0.947056,1.936473,18.605314,-147.085064
27125,-3.146919,0.283783,9.390508,-0.030844,0.020132,0.095083,0.003221,0.001000,-0.009413,-0.031469,0.002838,0.093905,1.000000,0.000016,0.000005,-0.000047,-0.276932,-0.159712,-0.029811,0.947054,1.934480,18.603824,-147.083754
27126,-3.109574,0.303271,9.390375,-0.049755,-0.015724,0.083668,0.004112,0.001546,-0.015773,-0.031095,0.003033,0.093904,1.000000,0.000021,0.000008,-0.000079,-0.276916,-0.159698,-0.029826,0.947061,1.932023,18.602867,-147.086184
