// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
24510,-3.131757,0.110582,9.354077,-0.215770,0.067745,0.049754,0.051970,-0.007757,0.005564,-0.031321,0.001081,0.093540,1.000000,0.000260,-0.000039,0.000028,0.418780,0.156472,0.055148,-0.892804,1.974803,19.001153,-129.410478
24511,-3.141110,0.264292,9.404912,-0.108403,-0.031700,0.105782,0.075601,0.001319,0.008469,-0.031411,0.002606,0.094050,1.000000,0.000378,0.000007,0.000042,0.418831,0.156606,0.054829,-0.892776,2.017278,18.999294,-129.396707
24512,-3.174804,0.266203,9.378964,-0.086140,0.001997,0.092250,0.074121,0.009414,0.015289,-0.031744,0.002625,0.093792,1.000000,0.000371,0.000047,0.000076,0.418883,0.156779,0.054524,-0.892740,2.060391,19.002176,-129.382178
24513,-3.265137,0.324791,9.390711,0.003978,0.032234,0.134724,0.086715,0.007507,0.016736,-0.032648,0.003204,0.093910,1.000000,0.000434,0.000038,0.000084,0.418964,0.156966,0.054162,-0.892691,2.110885,19.003615,-129.362735
24514,-3.232194,0.425538,9.349978,0.064768,-0.042616,0.089041,0.076338,0.005390,0.010953,-0.032320,0.004218,0.093502,1.000000,0.000382,0.000027,0.000055,0.418996,0.157124,0.053842,-0.892667,2.154387,19.004264,-129.350917
24515,-3.222671,0.442486,9.380986,0.059688,-0.063487,0.115893,0.062179,0.005234,0.012358,-0.032225,0.004394,0.093812,1.000000,0.000311,0.000026,0.000062,0.419021,0.157252,0.053578,-0.892649,2.189976,19.004507,-129.341458
24516,-3.213190,0.401414,9.354693,0.024465,-0.034505,0.086515,0.058325,0.003647,0.007622,-0.032130,0.003986,0.093549,1.000000,0.000292,0.000018,0.000038,0.419053,0.157364,0.053338,-0.892629,2.222487,19.004216,-129.331697
24517,-3.190171,0.401909,9.348498,0.009033,-0.047162,0.073203,0.046407,0.001677,0.002029,-0.031901,0.003997,0.093486,1.000000,0.000232,0.000008,0.000010,0.419052,0.157439,0.053146,-0.892628,2.246975,19.002637,-129.327664
24518,-3.210352,0.399745,9.375627,0.010068,-0.034501,0.105338,0.047634,0.002611,-0.002634,-0.032102,0.003976,0.093758,1.000000,0.000238,0.000013,-0.000013,0.419046,0.157522,0.052959,-0.892627,2.271331,19.001977,-129.324138
24519,-3.203789,0.468261,9.352293,0.061541,-0.075838,0.083745,0.036260,0.003246,-0.006089,-0.032036,0.004667,0.093524,1.000000,0.000181,0.000016,-0.000030,0.419100,0.157575,0.052838,-0.892599,2.288374,19.001426,-129.314273
24520,-3.270908,0.372440,9.367005,0.023496,0.032754,0.115893,0.019708,0.003923,-0.013769,-0.032707,0.003717,0.093671,1.000000,0.000099,0.000020,-0.000069,0.419066,0.157602,0.052787,-0.892613,2.294544,19.001770,-129.317458
24521,-3.234626,0.411793,9.380842,0.027844,-0.021564,0.118644,0.019490,0.002440,-0.014091,-0.032345,0.004111,0.093809,1.000000,0.000097,0.000012,-0.000070,0.418974,0.157623,0.052723,-0.892657,2.300463,19.000997,-129.328376
24522,-3.228486,0.333367,9.366459,-0.032841,0.028098,0.100079,0.011750,0.003180,-0.013135,-0.032283,0.003330,0.093665,1.000000,0.000059,0.000016,-0.000066,0.418950,0.157629,0.052705,-0.892668,2.302193,19.000901,-129.331196
24523,-3.198914,0.351081,9.370358,-0.038376,-0.005392,0.094805,0.018264,0.003711,-0.012085,-0.031987,0.003504,0.093704,1.000000,0.000091,0.000019,-0.000060,0.418889,0.157652,0.052652,-0.892696,2.307799,19.000781,-129.337949
