// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
57312,-6.319190,7.325533,-2.043454,-0.222715,-0.230513,0.070053,0.012939,-0.055864,-0.132967,-0.063137,0.073299,-0.020447,1.000000,0.000065,-0.000279,-0.000665,-0.131476,-0.637090,0.450616,0.611372,106.869008,41.338574,-101.809495
57313,-6.352929,7.377479,-1.980399,-0.297032,-0.223637,0.115587,-0.005926,-0.053217,-0.128109,-0.063477,0.073815,-0.019823,1.000000,-0.000030,-0.000266,-0.000641,-0.131002,-0.637166,0.450264,0.611654,106.853686,41.412787,-101.827471
57314,-6.424296,7.301909,-2.059954,-0.182881,-0.172513,0.125604,-0.044405,-0.045696,-0.125793,-0.064192,0.073055,-0.020630,1.000000,-0.000222,-0.000228,-0.000629,-0.130673,-0.637235,0.449796,0.611997,106.819624,41.484651,-101.840479
57315,-6.544291,7.171131,-2.171475,-0.008800,-0.066894,0.135357,-0.034194,-0.046204,-0.123644,-0.065394,0.071748,-0.021742,1.000000,-0.000171,-0.000231,-0.000618,-0.130318,-0.637303,0.449367,0.612317,106.790714,41.555225,-101.854454
57316,-6.530786,7.103640,-2.226445,0.067080,-0.072419,0.089846,-0.015747,-0.051229,-0.117563,-0.065260,0.071073,-0.022287,1.000000,-0.000079,-0.000256,-0.000588,-0.129910,-0.637355,0.449015,0.612607,106.769064,41.623480,-101.873464
57317,-6.446618,7.046653,-2.185979,0.041441,-0.097854,-0.015678,0.000146,-0.055630,-0.106405,-0.064423,0.070501,-0.021878,1.000000,0.000001,-0.000278,-0.000532,-0.129477,-0.637377,0.448752,0.612868,106.752607,41.686143,-101.898271
57318,-6.424290,7.047779,-2.168937,0.021709,-0.118497,-0.033502,0.010747,-0.049414,-0.095282,-0.064204,0.070510,-0.021701,1.000000,0.000054,-0.000247,-0.000476,-0.129058,-0.637402,0.448552,0.613078,106.743656,41.741865,-101.920963
57319,-6.437802,7.006177,-2.134218,0.008429,-0.080582,-0.061783,0.030792,-0.047547,-0.083771,-0.064344,0.070092,-0.021347,1.000000,0.000154,-0.000238,-0.000419,-0.128615,-0.637418,0.448449,0.613229,106.745307,41.790764,-101.944898
57320,-6.542546,7.052330,-2.203928,0.065938,-0.065127,0.055898,0.037815,-0.049869,-0.078849,-0.065392,0.070553,-0.022042,1.000000,0.000189,-0.000249,-0.000394,-0.128158,-0.637421,0.448384,0.613369,106.749161,41.837545,-101.971601
57321,-6.474285,7.170714,-2.309037,0.098176,-0.230053,0.117297,0.038762,-0.043128,-0.078238,-0.064710,0.071737,-0.023090,1.000000,0.000194,-0.000216,-0.000391,-0.127716,-0.637443,0.448321,0.613485,106.756691,41.882677,-101.993529
57322,-6.325211,7.327806,-2.142887,-0.141349,-0.370057,0.093880,0.032317,-0.041149,-0.066514,-0.063223,0.073303,-0.021430,1.000000,0.000162,-0.000206,-0.000333,-0.127334,-0.637441,0.448272,0.613601,106.759811,41.921254,-102.016568
57323,-6.237310,7.327032,-2.048848,-0.239431,-0.403281,0.014176,-0.001239,-0.041558,-0.056846,-0.062348,0.073288,-0.020502,1.000000,-0.000006,-0.000208,-0.000284,-0.127089,-0.637394,0.448153,0.613788,106.741985,41.954371,-102.042113
57324,-6.273056,7.172894,-2.104449,-0.117742,-0.317204,-0.059951,-0.053445,-0.015770,-0.049733,-0.062711,0.071739,-0.021069,1.000000,-0.000267,-0.000079,-0.000249,-0.127089,-0.637378,0.447879,0.614005,106.705948,41.979546,-102.050197
57325,-6.501557,6.939669,-2.244092,0.143341,-0.077462,-0.043417,-0.058420,-0.002241,-0.037666,-0.065002,0.069402,-0.022462,1.000000,-0.000292,-0.000011,-0.000188,-0.127174,-0.637372,0.447621,0.614182,106.671869,41.995621,-102.051031
57326,-6.640819,6.765429,-2.270329,0.263447,0.109174,-0.068737,-0.022201,-0.012237,-0.030439,-0.066396,0.067662,-0.022715,1.000000,-0.000111,-0.000061,-0.000152,-0.127141,-0.637344,0.447502,0.614305,106.652595,42.009618,-102.060813
57327,-6.667975,6.790885,-2.316162,0.298864,0.093922,-0.022668,0.013438,-0.014788,-0.034277,-0.066666,0.067922,-0.023162,1.000000,0.000067,-0.000074,-0.000171,-0.126979,-0.637338,0.447482,0.614359,106.652989,42.025897,-102.071669
57328,-6.566284,6.973318,-2.352048,0.238149,-0.100081,0.046757,0.036449,-0.014854,-0.035702,-0.065649,0.069749,-0.023513,1.000000,0.000182,-0.000074,-0.000179,-0.126737,-0.637350,0.447528,0.614362,106.666795,42.043213,-102.082226
57329,-6.441921,7.142579,-2.218720,0.026136,-0.237265,0.055470,0.055331,-0.021178,-0.037485,-0.064403,0.071444,-0.022174,1.000000,0.000277,-0.000106,-0.000187,-0.126417,-0.637358,0.447632,0.614345,106.688527,42.062312,-102.097075
57330,-6.359433,7.180477,-2.089915,-0.121143,-0.270999,-0.000385,0.054099,-0.025109,-0.030833,-0.063581,0.071820,-0.020888,1.000000,0.000270,-0.000126,-0.000154,-0.126111,-0.637339,0.447754,0.614338,106.706644,42.078649,-102.116284
57331,-6.263907,7.184454,-2.138860,-0.095585,-0.363674,-0.051220,0.013118,-0.011986,-0.027016,-0.062628,0.071854,-0.021388,1.000000,0.000066,-0.000060,-0.000135,-0.125978,-0.637325,0.447755,0.614379,106.707186,42.090477,-102.126653
57332,-6.195854,7.108870,-2.205551,-0.014452,-0.397431,-0.136379,-0.013525,-0.005275,-0.009410,-0.061955,0.071090,-0.022062,1.000000,-0.000068,-0.000026,-0.000047,-0.125998,-0.637276,0.447725,0.614447,106.693194,42.091792,-102.135953
57333,-6.258772,7.108095,-2.108532,-0.089248,-0.313282,-0.115418,-0.020279,0.003301,0.006448,-0.062590,0.071077,-0.021091,1.000000,-0.000101,0.000017,0.000032,-0.126109,-0.637213,0.447721,0.614493,106.677205,42.082712,-102.142439
57334,-6.286038,7.028633,-2.126519,-0.032874,-0.253668,-0.149737,-0.043102,0.018098,0.020433,-0.062869,0.070275,-0.021275,1.000000,-0.000216,0.000090,0.000102,-0.126367,-0.637151,0.447681,0.614534,106.653425,42.063802,-102.141060
57335,-6.387704,6.994336,-2.218990,0.083074,-0.193205,-0.086271,-0.032101,0.033866,0.026160,-0.063890,0.069931,-0.022190,1.000000,-0.000161,0.000169,0.000131,-0.126645,-0.637130,0.447684,0.614496,106.642889,42.038862,-102.129296
57336,-6.407183,7.152990,-2.344908,0.134785,-0.313312,0.066560,-0.019173,0.047558,0.035743,-0.064090,0.071516,-0.023441,1.000000,-0.000096,0.000238,0.000179,-0.126939,-0.637139,0.447747,0.614380,106.645132,42.006713,-102.109522
57337,-6.445673,7.331396,-2.311579,0.036928,-0.367042,0.212450,0.008212,0.055261,0.047334,-0.064480,0.073300,-0.023095,1.000000,0.000041,0.000276,0.000237,-0.127202,-0.637162,0.447928,0.614170,106.665128,41.966622,-102.086642
57338,-6.418287,7.432973,-2.206561,-0.104312,-0.395766,0.244394,0.000704,0.062282,0.058920,-0.064212,0.074311,-0.022045,1.000000,0.000004,0.000311,0.000295,-0.127537,-0.637176,0.448116,0.613948,106.682547,41.919324,-102.061172
57339,-6.469037,7.471812,-2.147351,-0.164970,-0.348740,0.293682,-0.018938,0.061931,0.073306,-0.064724,0.074692,-0.021461,1.000000,-0.000095,0.000310,0.000367,-0.127981,-0.637144,0.448292,0.613761,106.686373,41.863849,-102.039173
57340,-6.502572,7.383897,-2.220948,-0.055070,-0.293260,0.269423,-0.032596,0.063343,0.081237,-0.065063,0.073809,-0.022201,1.000000,-0.000163,0.000317,0.000406,-0.128493,-0.637090,0.448449,0.613595,106.681874,41.804124,-102.017903
57341,-6.521750,7.236512,-2.247376,0.036400,-0.195984,0.182876,-0.048886,0.056826,0.089241,-0.065256,0.072331,-0.022473,1.000000,-0.000244,0.000284,0.000446,-0.129069,-0.636987,0.448587,0.613481,106.663644,41.740724,-102.003201
