// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13434,-9.251035,-2.675154,0.013152,0.028172,0.073834,-0.182940,-0.028446,0.006117,0.001854,-0.092510,-0.026752,0.000138,1.000000,-0.000142,0.000031,0.000009,0.680639,-0.010041,0.706861,-0.192293,-89.901225,73.410185,-104.867392
13435,-9.282730,-2.666535,0.000849,0.021589,0.092433,-0.155024,-0.045579,0.006247,-0.000540,-0.092827,-0.026665,0.000017,1.000000,-0.000228,0.000031,-0.000003,0.680640,-0.010161,0.706912,-0.192098,-89.930887,73.415705,-104.870973
13436,-9.323727,-2.730362,0.013399,0.022365,0.040108,-0.097502,-0.058046,0.008633,-0.001133,-0.093237,-0.027303,0.000146,1.000000,-0.000290,0.000043,-0.000006,0.680630,-0.010324,0.706983,-0.191862,-89.972744,73.420817,-104.879815
13437,-9.350721,-2.798108,-0.074030,-0.075102,0.006084,-0.052298,-0.061667,0.007540,-0.004629,-0.093508,-0.027979,-0.000728,1.000000,-0.000308,0.000038,-0.000023,0.680621,-0.010512,0.707054,-0.191625,-90.014142,73.423993,-104.886024
13438,-9.377939,-2.804142,-0.056032,-0.055511,0.002136,-0.024480,-0.045558,0.010118,-0.000139,-0.093779,-0.028041,-0.000549,1.000000,-0.000228,0.000051,-0.000001,0.680607,-0.010628,0.707118,-0.191429,-90.051886,73.429595,-104.897900
13439,-9.391469,-2.809239,-0.077960,-0.075431,0.005310,-0.010041,-0.032386,0.014920,-0.000009,-0.093915,-0.028093,-0.000768,1.000000,-0.000162,0.000075,-0.000000,0.680578,-0.010693,0.707186,-0.191280,-90.090750,73.435410,-104.918967
13440,-9.396048,-2.790441,-0.051633,-0.043479,0.015840,-0.011014,-0.030259,0.014598,-0.000527,-0.093961,-0.027904,-0.000505,1.000000,-0.000151,0.000073,-0.000003,0.680549,-0.010753,0.707250,-0.191141,-90.128066,73.440781,-104.939751
13441,-9.355359,-2.889397,-0.086474,-0.102905,-0.079608,-0.021778,-0.023472,0.016522,0.000760,-0.093554,-0.028894,-0.000854,1.000000,-0.000117,0.000083,0.000004,0.680515,-0.010784,0.707315,-0.191021,-90.164953,73.447027,-104.964083
13442,-9.378126,-2.856787,-0.051094,-0.057601,-0.053681,-0.009275,0.002169,0.022781,0.001890,-0.093781,-0.028569,-0.000501,1.000000,0.000011,0.000114,0.000009,0.680461,-0.010720,0.707377,-0.190987,-90.200179,73.453718,-105.001671
13443,-9.392026,-2.800186,0.033040,0.039505,-0.020428,-0.012161,0.017850,0.018595,0.003145,-0.093920,-0.028003,0.000337,1.000000,0.000089,0.000093,0.000016,0.680424,-0.010599,0.707409,-0.191005,-90.217450,73.461318,-105.030236
