// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
23793,-9.508640,-0.448822,-0.614310,0.374319,0.254333,-0.284401,-0.225977,0.044907,-0.002461,-0.095088,-0.004494,-0.006117,0.999999,-0.001130,0.000225,-0.000012,0.395330,-0.597278,0.426447,0.552374,-179.163177,85.572180,-70.277892
23794,-9.834444,-0.402421,-0.570637,0.308178,0.310098,0.036816,-0.225370,0.059921,0.000220,-0.098346,-0.004031,-0.005672,0.999999,-0.001127,0.000300,0.000001,0.394508,-0.597851,0.425959,0.552716,-179.377019,85.541347,-70.362222
23795,-10.026942,-0.348448,-0.534826,0.240936,0.347132,0.225663,-0.201865,0.059280,0.009109,-0.100271,-0.003494,-0.005315,0.999999,-0.001009,0.000296,0.000046,0.393726,-0.598366,0.425555,0.553028,-179.636382,85.510282,-70.504281
23796,-10.219147,-0.195433,-0.730730,0.156265,0.132772,0.432364,-0.162174,0.050925,0.004234,-0.102193,-0.001962,-0.007280,1.000000,-0.000811,0.000255,0.000021,0.393101,-0.598781,0.425236,0.553270,-179.838611,85.484562,-70.613291
23797,-10.022353,0.424124,-0.519151,-0.492402,0.117862,0.219292,-0.138952,0.042692,-0.002321,-0.100225,0.004239,-0.005173,1.000000,-0.000695,0.000213,-0.000012,0.392576,-0.599146,0.424943,0.553473,-179.977044,85.462978,-70.670975
23798,-10.106254,0.379976,-0.555322,-0.440441,0.108372,0.305781,-0.173900,0.046802,-0.000572,-0.101064,0.003795,-0.005533,1.000000,-0.000870,0.000234,-0.000003,0.391937,-0.599581,0.424568,0.553742,179.851531,85.439575,-70.742350
23799,-10.440628,0.159823,-0.782862,-0.165688,-0.004549,0.657158,-0.138981,0.019687,-0.012366,-0.104407,0.001599,-0.007819,1.000000,-0.000695,0.000098,-0.000062,0.391490,-0.599902,0.424200,0.553993,179.786231,85.431225,-70.726842
23800,-10.284104,0.231523,-0.793189,-0.225404,-0.049473,0.501977,-0.136143,0.003826,-0.020966,-0.102841,0.002321,-0.007931,1.000000,-0.000681,0.000019,-0.000105,0.391111,-0.600186,0.423784,0.554270,179.782613,85.432473,-70.651580
23801,-10.260558,0.215708,-0.961181,-0.153205,-0.204709,0.491878,-0.105638,-0.010252,-0.015383,-0.102605,0.002160,-0.009618,1.000000,-0.000528,-0.000051,-0.000077,0.390834,-0.600367,0.423439,0.554534,179.758720,85.441184,-70.613409
23802,-9.903050,0.025543,-1.164501,0.105084,-0.360855,0.151541,-0.099499,-0.029464,-0.012197,-0.099029,0.000256,-0.011660,1.000000,-0.000497,-0.000147,-0.000061,0.390612,-0.600469,0.423085,0.554850,179.712145,85.461488,-70.602303
23803,-9.446395,-0.104699,-1.284968,0.281938,-0.466497,-0.294317,-0.063242,-0.019025,-0.011225,-0.094463,-0.001046,-0.012858,1.000000,-0.000316,-0.000095,-0.000056,0.390465,-0.600537,0.422849,0.555060,179.683300,85.475037,-70.592760
23804,-9.429988,-0.051588,-1.162090,0.192255,-0.372078,-0.320460,-0.035941,-0.013184,-0.011142,-0.094299,-0.000513,-0.011627,1.000000,-0.000180,-0.000066,-0.000056,0.390396,-0.600558,0.422707,0.555194,179.665965,85.486011,-70.588854
