// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
53628,-6.751721,6.956150,-1.856625,-0.108410,-0.036935,0.056846,-0.010689,0.013080,0.004566,-0.067520,0.069559,-0.018566,1.000000,-0.000053,0.000065,0.000023,-0.119780,-0.637331,0.438231,0.622427,105.716382,43.503687,-102.656499
53629,-6.756392,6.939271,-1.839957,-0.114104,-0.015915,0.045025,-0.022510,0.006134,0.005889,-0.067567,0.069389,-0.018405,1.000000,-0.000113,0.000031,0.000029,-0.119902,-0.637279,0.438214,0.622469,105.700613,43.494618,-102.660645
53630,-6.741254,6.794284,-1.844399,-0.050903,0.057492,-0.065754,-0.028255,0.006995,-0.001099,-0.067413,0.067941,-0.018451,1.000000,-0.000141,0.000035,-0.000005,-0.120022,-0.637241,0.438157,0.622525,105.683073,43.489364,-102.662616
53631,-6.734073,6.741900,-1.934462,0.053118,0.048002,-0.089623,-0.046277,0.008923,-0.004097,-0.067340,0.067416,-0.019357,1.000000,-0.000231,0.000045,-0.000020,-0.120195,-0.637205,0.438033,0.622616,105.656614,43.485371,-102.662505
53632,-6.687962,6.682179,-1.945429,0.083349,0.045871,-0.160952,-0.042063,0.001721,-0.006628,-0.066878,0.066820,-0.019468,1.000000,-0.000210,0.000009,-0.000033,-0.120330,-0.637155,0.437917,0.622722,105.629217,43.483981,-102.667302
53633,-6.616485,6.713469,-1.922814,0.041878,-0.014799,-0.192720,-0.032946,0.000169,-0.009330,-0.066162,0.067135,-0.019239,1.000000,-0.000165,0.000001,-0.000047,-0.120425,-0.637111,0.437823,0.622815,105.606586,43.484229,-102.672730
53634,-6.622552,6.695515,-1.905085,0.036158,0.006180,-0.204560,-0.019026,0.004270,-0.017405,-0.066220,0.066959,-0.019056,1.000000,-0.000095,0.000021,-0.000087,-0.120458,-0.637106,0.437744,0.622869,105.595299,43.488391,-102.673298
53635,-6.656752,6.696434,-2.023930,0.149481,-0.017515,-0.157211,-0.021191,0.002944,-0.012693,-0.066564,0.066966,-0.020245,1.000000,-0.000106,0.000015,-0.000063,-0.120511,-0.637085,0.437674,0.622929,105.581349,43.490066,-102.675900
53636,-6.724459,6.661954,-1.970318,0.127065,0.070649,-0.145164,-0.004735,-0.001140,-0.022374,-0.067237,0.066627,-0.019705,1.000000,-0.000024,-0.000006,-0.000112,-0.120472,-0.637083,0.437627,0.622972,105.576141,43.497803,-102.679532
53637,-6.720853,6.657868,-1.896586,0.062368,0.097508,-0.164853,0.004620,-0.020543,-0.026073,-0.067198,0.066588,-0.018971,1.000000,0.000023,-0.000103,-0.000130,-0.120349,-0.637034,0.437609,0.623059,105.566637,43.510478,-102.697166
