// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28325,-2.865000,3.806257,8.889426,-0.076891,0.039450,0.272462,-0.030924,-0.002654,-0.006392,-0.028650,0.038077,0.088888,1.000000,-0.000155,-0.000013,-0.000032,0.423197,0.219079,-0.114407,-0.871677,23.674707,16.564689,-124.711992
28326,-3.192058,3.623047,8.892275,-0.020731,0.410599,0.297666,-0.028897,-0.055375,0.006540,-0.031946,0.036242,0.088909,1.000000,-0.000144,-0.000277,0.000033,0.423268,0.218737,-0.114391,-0.871730,23.652378,16.530328,-124.717889
28327,-2.750686,3.966803,8.861836,-0.006137,-0.144260,0.277560,0.033246,-0.071314,0.000922,-0.027539,0.039653,0.088615,1.000000,0.000166,-0.000357,0.000005,0.423240,0.218460,-0.114673,-0.871776,23.663581,16.488807,-124.730419
28328,-3.235691,3.788139,8.976593,0.086598,0.357885,0.447104,0.000212,-0.119919,0.014797,-0.032414,0.037879,0.089747,1.000000,0.000001,-0.000600,0.000074,0.423278,0.217894,-0.114929,-0.871865,23.654838,16.418675,-124.747265
28329,-3.141805,3.690928,9.161646,-0.112167,0.360345,0.545266,0.067632,-0.179660,0.019764,-0.031504,0.036875,0.091601,1.000000,0.000338,-0.000898,0.000099,0.423239,0.217207,-0.115608,-0.871966,23.681340,16.315975,-124.774628
28330,-3.531638,3.531162,9.718181,-0.264063,0.800182,1.081096,0.105950,-0.299571,0.028617,-0.035467,0.035255,0.097147,0.999999,0.000530,-0.001498,0.000143,0.423118,0.216073,-0.116721,-0.872158,23.723298,16.148421,-124.827055
28331,-5.465070,3.391356,10.611370,0.294623,2.481584,2.341483,0.266336,-0.598053,0.114849,-0.054987,0.033741,0.105995,0.999994,0.001332,-0.002990,0.000574,0.423024,0.213924,-0.119255,-0.872391,23.850380,15.804463,-124.904204
28332,-4.354227,3.134894,10.444743,-0.384342,1.858103,1.775142,0.506208,-1.021647,0.199530,-0.044106,0.031041,0.104302,0.999983,0.002531,-0.005108,0.000998,0.422779,0.210380,-0.123821,-0.872735,24.100309,15.219336,-125.038878
28333,-3.312070,3.566841,8.707950,0.185788,0.835937,0.126406,0.719636,-1.305186,0.207225,-0.033725,0.035321,0.086988,0.999972,0.003598,-0.006526,0.001036,0.422143,0.206035,-0.129919,-0.873193,24.456477,14.485115,-125.242070
28334,-0.698552,5.063061,7.696135,0.242455,-2.074843,-0.813337,0.630563,-1.156415,0.105077,-0.007457,0.050384,0.077078,0.999978,0.003153,-0.005782,0.000525,0.421234,0.202209,-0.135203,-0.873724,24.758743,13.853786,-125.466470
28335,-2.156845,5.926806,8.315806,1.389104,-1.317736,0.447187,0.142621,-0.929562,0.057996,-0.021972,0.059202,0.083099,0.999989,0.000713,-0.004648,0.000290,0.420763,0.198373,-0.137821,-0.874421,24.790224,13.352611,-125.659873
28336,-2.441496,4.644202,8.126770,0.818442,-0.264780,-0.177680,-0.145440,-0.907404,0.074513,-0.024801,0.046492,0.081122,0.999989,-0.000727,-0.004537,0.000373,0.420645,0.194010,-0.139151,-0.875246,24.662033,12.858651,-125.839664
28337,-1.363469,4.280021,8.115104,0.019317,-0.848446,-0.576242,-0.149193,-0.788518,0.029479,-0.013961,0.042859,0.081064,0.999992,-0.000746,-0.003943,0.000147,0.420413,0.190190,-0.140164,-0.876034,24.534258,12.437370,-126.012416
28338,-1.503339,4.131397,8.186789,0.022592,-0.606820,-0.539991,-0.296407,-0.695954,-0.052091,-0.015307,0.041439,0.081754,0.999993,-0.001482,-0.003480,-0.000260,0.420017,0.186517,-0.140262,-0.876997,24.319380,12.082807,-126.205286
28339,-0.819030,3.858678,7.945930,-0.397891,-0.981981,-1.005009,-0.303734,-0.580142,-0.156295,-0.008390,0.038714,0.079376,0.999994,-0.001519,-0.002901,-0.000781,0.419249,0.183408,-0.139984,-0.878064,24.095787,11.812560,-126.424201
28340,-0.757497,3.969009,7.610352,-0.165208,-1.121952,-1.271138,-0.362516,-0.433129,-0.255776,-0.007689,0.039838,0.076015,0.999995,-0.001813,-0.002166,-0.001279,0.418194,0.180888,-0.139049,-0.879237,23.836018,11.641501,-126.660215
28341,-0.387449,4.047812,7.802397,-0.370668,-1.454946,-1.143324,-0.480938,-0.231420,-0.345241,-0.003895,0.040672,0.077922,0.999995,-0.002405,-0.001157,-0.001726,0.416992,0.179067,-0.137089,-0.880488,23.508847,11.595617,-126.895560
28342,-2.181367,4.426353,8.840028,0.540178,-0.217851,0.294612,-0.531911,-0.104918,-0.332412,-0.021786,0.044535,0.088271,0.999995,-0.002660,-0.000525,-0.001662,0.415972,0.177687,-0.134651,-0.881626,23.159946,11.612084,-127.094648
28343,-1.512706,4.221280,8.173559,0.333007,-0.710184,-0.522959,-0.555498,-0.104317,-0.247550,-0.015117,0.042458,0.081610,0.999995,-0.002777,-0.000522,-0.001238,0.415346,0.176201,-0.132182,-0.882592,22.806661,11.608590,-127.247748
28344,-0.977438,4.798933,7.989028,0.522782,-1.537165,-0.583744,-0.422324,0.174821,-0.083721,-0.009684,0.048162,0.079797,0.999997,-0.002112,0.000874,-0.000419,0.415504,0.176114,-0.129864,-0.882879,22.560199,11.715772,-127.249704
28345,-1.516330,4.340715,8.479869,0.350625,-0.840867,-0.209625,-0.716671,0.343538,0.026750,-0.015024,0.043709,0.084668,0.999992,-0.003583,0.001718,0.000134,0.416517,0.176087,-0.125993,-0.882968,22.164861,11.888136,-127.154643
28346,-1.544214,2.447979,9.160161,-1.196432,0.341069,-0.287064,-0.667532,0.527659,0.091951,-0.015212,0.024778,0.091560,0.999991,-0.003338,0.002638,0.000460,0.417881,0.176931,-0.122010,-0.882714,21.813594,12.145054,-126.985118
28347,-3.095536,1.912197,9.984558,-0.987493,1.875021,0.600722,-0.452256,0.452127,0.136863,-0.030743,0.019327,0.099872,0.999995,-0.002261,0.002261,0.000684,0.419203,0.177860,-0.119173,-0.882288,21.587791,12.352940,-126.808367
28348,-1.997160,0.971045,9.291030,-2.002447,1.510902,-0.595199,-0.205300,0.345150,0.106415,-0.019816,0.009795,0.092935,0.999998,-0.001026,0.001726,0.000532,0.420101,0.178853,-0.117621,-0.881868,21.495414,12.510837,-126.672059
28349,-1.734278,1.873064,9.108965,-1.469666,0.710782,-0.494743,0.151288,0.360225,0.030246,-0.017181,0.018659,0.091135,0.999998,0.000756,0.001801,0.000151,0.420355,0.180705,-0.117541,-0.881380,21.599292,12.692662,-126.573621
28350,-2.137597,3.257202,9.287094,-0.379818,0.164569,0.249980,0.230965,0.396175,-0.003680,-0.021191,0.032465,0.092951,0.999997,0.001155,0.001981,-0.000018,0.420404,0.182902,-0.117706,-0.880882,21.746987,12.900717,-126.485789
28351,-2.987606,3.463753,9.365891,0.186566,0.691853,0.585856,0.137009,0.330325,-0.011456,-0.029719,0.034575,0.093732,0.999998,0.000685,0.001652,-0.000057,0.420468,0.184615,-0.117587,-0.880510,21.836916,13.075088,-126.415645
28352,-2.076316,3.121383,8.768633,-0.355355,0.145934,-0.284025,0.168308,0.252449,-0.043989,-0.020646,0.031145,0.087739,0.999999,0.000842,0.001262,-0.000220,0.420309,0.186071,-0.117740,-0.880259,21.937267,13.215018,-126.380424
28353,-2.092441,4.080410,9.209021,0.103474,-0.424567,0.465593,0.181679,0.302796,-0.090953,-0.020766,0.040730,0.092159,0.999998,0.000908,0.001514,-0.000455,0.419963,0.187802,-0.117801,-0.880048,22.041932,13.391594,-126.359031
