// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
56806,-4.505813,1.366394,8.689210,0.011793,0.030736,0.070160,0.027485,0.005823,-0.011008,-0.045055,0.013654,0.086895,1.000000,0.000137,0.000029,-0.000055,-0.097213,0.226365,-0.096232,-0.964390,9.151250,27.085410,170.696374
56807,-4.506909,1.381868,8.728737,-0.007148,0.026542,0.107589,0.031101,0.000850,-0.013045,-0.045068,0.013808,0.087290,1.000000,0.000156,0.000004,-0.000065,-0.097275,0.226345,-0.096344,-0.964377,9.163491,27.084701,170.691882
56808,-4.545476,1.445366,8.692130,0.027765,-0.046850,0.101978,0.027860,0.000517,-0.011048,-0.045454,0.014444,0.086923,1.000000,0.000139,0.000003,-0.000055,-0.097325,0.226325,-0.096440,-0.964367,9.174152,27.083715,170.688419
56809,-4.465830,1.441493,8.679980,-0.035917,-0.033058,0.054491,0.018964,0.003165,-0.005702,-0.044657,0.014408,0.086802,1.000000,0.000095,0.000016,-0.000029,-0.097336,0.226318,-0.096502,-0.964362,9.181671,27.083645,170.688829
56810,-4.506907,1.373100,8.687585,0.013175,0.029275,0.070162,0.012657,-0.002367,-0.009634,-0.045069,0.013728,0.086876,1.000000,0.000063,-0.000012,-0.000048,-0.097363,0.226290,-0.096525,-0.964363,9.183897,27.080899,170.685969
56811,-4.526335,1.411237,8.689451,0.021184,-0.009497,0.086066,0.012658,-0.002366,-0.009633,-0.045264,0.014109,0.086895,1.000000,0.000063,-0.000012,-0.000048,-0.097389,0.226262,-0.096550,-0.964365,9.186408,27.078060,170.683313
56812,-4.486039,1.448451,8.692529,-0.023687,-0.038682,0.075718,0.008719,-0.001097,-0.009263,-0.044860,0.014483,0.086926,1.000000,0.000044,-0.000005,-0.000046,-0.097409,0.226242,-0.096555,-0.964367,9.186543,27.075999,170.680819
56813,-4.497482,1.362593,8.706419,0.000750,0.045480,0.080930,0.007515,0.000561,-0.008584,-0.044974,0.013625,0.087065,1.000000,0.000038,0.000003,-0.000043,-0.097423,0.226230,-0.096558,-0.964368,9.186548,27.074719,170.679130
56814,-4.487598,1.383724,8.714310,-0.015922,0.028441,0.086371,0.010251,0.000950,-0.008273,-0.044875,0.013835,0.087144,1.000000,0.000051,0.000005,-0.000041,-0.097439,0.226219,-0.096572,-0.964367,9.187943,27.073726,170.677475
56815,-4.498001,1.363596,8.705993,0.001440,0.044746,0.080933,0.013315,0.003939,-0.010241,-0.044978,0.013632,0.087062,1.000000,0.000067,0.000020,-0.000051,-0.097465,0.226221,-0.096602,-0.964361,9.190950,27.074509,170.675082
56816,-4.469628,1.361060,8.751794,-0.042183,0.062256,0.107913,0.012111,0.005597,-0.009561,-0.044693,0.013607,0.087520,1.000000,0.000061,0.000028,-0.000048,-0.097488,0.226232,-0.096627,-0.964354,9.193254,27.076261,170.673085
