// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
35468,-4.922782,1.739808,8.424837,0.068215,0.066065,0.098396,-0.021667,0.002644,-0.022550,-0.049225,0.017413,0.084247,1.000000,-0.000108,0.000013,-0.000113,-0.025380,0.252356,-0.101571,-0.961954,12.096846,29.384343,-179.839895
35469,-4.888994,1.703947,8.451340,0.029386,0.103829,0.097872,-0.016976,0.004246,-0.021331,-0.048886,0.017052,0.084513,1.000000,-0.000085,0.000021,-0.000107,-0.025393,0.252370,-0.101443,-0.961963,12.080184,29.386184,-179.845553
35470,-4.854688,1.701383,8.427555,0.010975,0.099324,0.060326,-0.008010,0.002998,-0.016499,-0.048544,0.017021,0.084276,1.000000,-0.000040,0.000015,-0.000082,-0.025394,0.252375,-0.101366,-0.961970,12.070269,29.386723,-179.848198
35471,-4.890138,1.700768,8.451318,0.030434,0.103713,0.097870,-0.001330,0.002607,-0.016382,-0.048899,0.017012,0.084514,1.000000,-0.000007,0.000013,-0.000082,-0.025402,0.252376,-0.101319,-0.961975,12.063991,29.387047,-179.850873
35472,-4.890691,1.700104,8.451132,0.030959,0.103670,0.097869,0.002543,0.004581,-0.012853,-0.048904,0.017003,0.084513,1.000000,0.000013,0.000023,-0.000064,-0.025398,0.252385,-0.101297,-0.961975,12.061379,29.388036,-179.850956
35473,-4.856715,1.700367,8.451418,0.001091,0.103254,0.081489,0.008421,0.003371,-0.011570,-0.048565,0.017003,0.084516,1.000000,0.000042,0.000017,-0.000058,-0.025397,0.252387,-0.101303,-0.961974,12.062276,29.388199,-179.850488
35474,-4.892067,1.768498,8.423312,0.038536,0.031376,0.087293,0.013438,0.004918,-0.005684,-0.048918,0.017681,0.084236,1.000000,0.000067,0.000025,-0.000028,-0.025371,0.252392,-0.101343,-0.961969,12.068191,29.388518,-179.845914
35475,-4.857953,1.769762,8.423472,0.008670,0.030954,0.070916,0.016264,0.001361,-0.010240,-0.048578,0.017693,0.084236,1.000000,0.000081,0.000007,-0.000051,-0.025375,0.252383,-0.101389,-0.961966,12.073873,29.387427,-179.844934
35476,-4.875650,1.787696,8.422162,0.023175,0.014072,0.081750,0.014639,0.000915,-0.006762,-0.048756,0.017872,0.084223,1.000000,0.000073,0.000005,-0.000034,-0.025358,0.252369,-0.101432,-0.961966,12.079865,29.385631,-179.841604
35477,-4.841452,1.788935,8.422377,-0.006691,0.013637,0.065377,0.014275,0.003355,-0.009139,-0.048412,0.017886,0.084226,1.000000,0.000071,0.000017,-0.000046,-0.025352,0.252369,-0.101470,-0.961962,12.084864,29.385531,-179.839586
35478,-4.876788,1.790149,8.445825,0.012792,0.018069,0.102914,0.011526,0.002144,-0.009165,-0.048766,0.017899,0.084460,1.000000,0.000058,0.000011,-0.000046,-0.025343,0.252363,-0.101495,-0.961961,12.088398,29.384712,-179.837632
35479,-4.859153,1.806217,8.396353,0.019804,-0.007435,0.055042,0.013510,0.000152,-0.010263,-0.048591,0.018059,0.083965,1.000000,0.000068,0.000001,-0.000051,-0.025342,0.252348,-0.101527,-0.961962,12.092378,29.382940,-179.836715
35480,-4.876852,1.790100,8.420955,0.025310,0.013835,0.081745,0.006831,0.000540,-0.010382,-0.048767,0.017901,0.084210,1.000000,0.000034,0.000003,-0.000052,-0.025334,0.252336,-0.101528,-0.961965,12.092730,29.381368,-179.835765
35481,-4.825395,1.808192,8.421004,-0.020971,-0.003819,0.059843,0.010781,-0.002252,-0.011433,-0.048254,0.018080,0.084210,1.000000,0.000054,-0.000011,-0.000057,-0.025338,0.252310,-0.101546,-0.961970,12.094636,29.378393,-179.836030
35482,-4.860126,1.774308,8.446104,0.000944,0.034653,0.092083,0.002898,0.002140,-0.010474,-0.048599,0.017744,0.084462,1.000000,0.000014,0.000011,-0.000052,-0.025324,0.252306,-0.101528,-0.961973,12.092813,29.377728,-179.834919
35483,-4.843007,1.790756,8.421096,-0.003490,0.013261,0.065379,0.011216,0.001008,-0.014975,-0.048428,0.017906,0.084212,1.000000,0.000056,0.000005,-0.000075,-0.025343,0.252298,-0.101543,-0.961973,12.094064,29.376998,-179.836971
35484,-4.843562,1.791922,8.445373,-0.014399,0.017319,0.086550,0.008032,-0.003463,-0.011458,-0.048436,0.017919,0.084454,1.000000,0.000040,-0.000017,-0.000057,-0.025343,0.252266,-0.101548,-0.961981,12.094494,29.373313,-179.837264
35485,-4.843252,1.790918,8.420920,-0.002420,0.013133,0.065379,0.005681,0.000968,-0.012737,-0.048431,0.017910,0.084210,1.000000,0.000028,0.000005,-0.000064,-0.025344,0.252257,-0.101539,-0.961984,12.093256,29.372283,-179.837795
35486,-4.843853,1.791740,8.445245,-0.013328,0.017187,0.086551,0.004099,-0.001864,-0.011550,-0.048438,0.017918,0.084452,1.000000,0.000020,-0.000009,-0.000058,-0.025339,0.252234,-0.101526,-0.961992,12.091512,29.369504,-179.837927
35487,-4.843943,1.791553,8.445233,-0.012794,0.017107,0.086552,0.004079,-0.000671,-0.010406,-0.048439,0.017916,0.084453,1.000000,0.000020,-0.000003,-0.000052,-0.025328,0.252217,-0.101512,-0.961998,12.089992,29.367272,-179.837313
35488,-4.826679,1.774293,8.446163,-0.026262,0.033873,0.075729,0.002913,0.000948,-0.011618,-0.048265,0.017745,0.084462,1.000000,0.000015,0.000005,-0.000058,-0.025320,0.252207,-0.101493,-0.962003,12.087737,29.366077,-179.837101
35489,-4.826756,1.774019,8.446177,-0.025731,0.033788,0.075731,0.002498,-0.003503,-0.009219,-0.048268,0.017741,0.084461,1.000000,0.000012,-0.000018,-0.000046,-0.025302,0.252176,-0.101472,-0.962014,12.085473,29.362117,-179.835937
35490,-4.861524,1.806755,8.419714,0.014268,-0.003980,0.076202,0.001706,0.004952,-0.010541,-0.048612,0.018069,0.084198,1.000000,0.000009,0.000025,-0.000053,-0.025286,0.252185,-0.101449,-0.962014,12.083136,29.363036,-179.834482
35491,-4.844910,1.823578,8.419186,-0.001590,-0.021289,0.070674,-0.003746,0.000139,-0.012881,-0.048448,0.018240,0.084192,1.000000,-0.000019,0.000001,-0.000064,-0.025275,0.252174,-0.101394,-0.962023,12.076367,29.361557,-179.835105
35492,-4.861100,1.735238,8.397985,0.031532,0.059872,0.044438,-0.001388,0.004985,-0.014088,-0.048608,0.017356,0.083981,1.000000,-0.000007,0.000025,-0.000070,-0.025271,0.252185,-0.101352,-0.962025,12.071140,29.362920,-179.835926
35493,-4.880365,1.754583,8.469995,0.011759,0.055264,0.118785,0.001763,0.001376,-0.013973,-0.048802,0.017548,0.084700,1.000000,0.000009,0.000007,-0.000070,-0.025274,0.252179,-0.101323,-0.962029,12.067322,29.362255,-179.837346
35494,-4.845875,1.820431,8.394461,0.011472,-0.025549,0.049497,-0.000204,0.002175,-0.014019,-0.048457,0.018208,0.083945,1.000000,-0.000001,0.000011,-0.000070,-0.025273,0.252178,-0.101286,-0.962034,12.062606,29.362034,-179.838509
35495,-4.846237,1.752657,8.446009,-0.006149,0.050622,0.081264,-0.002970,0.002153,-0.012901,-0.048460,0.017531,0.084460,1.000000,-0.000015,0.000011,-0.000065,-0.025264,0.252176,-0.101236,-0.962040,12.056459,29.361683,-179.839059
35496,-4.864553,1.770026,8.469298,-0.003027,0.037859,0.113260,0.005344,0.001029,-0.017399,-0.048644,0.017702,0.084694,1.000000,0.000027,0.000005,-0.000087,-0.025287,0.252169,-0.101221,-0.962042,12.053779,29.361225,-179.842552
35497,-4.881484,1.784553,8.419449,0.034413,0.012817,0.081719,0.000161,-0.000263,-0.011641,-0.048814,0.017848,0.084194,1.000000,0.000001,-0.000001,-0.000058,-0.025277,0.252154,-0.101187,-0.962050,12.049661,29.359361,-179.842618
35498,-4.812780,1.784744,8.420591,-0.025877,0.011883,0.049042,-0.004939,0.002951,-0.012947,-0.048125,0.017853,0.084206,1.000000,-0.000025,0.000015,-0.000065,-0.025265,0.252156,-0.101129,-0.962056,12.042623,29.359447,-179.842985
35499,-4.847976,1.784264,8.444462,-0.006374,0.016329,0.086560,-0.000928,-0.003413,-0.017429,-0.048480,0.017847,0.084444,1.000000,-0.000005,-0.000017,-0.000087,-0.025282,0.252130,-0.101082,-0.962067,12.035829,29.356559,-179.847161
35500,-4.866204,1.801256,8.467888,-0.003234,0.003567,0.118555,-0.003325,0.003401,-0.016420,-0.048659,0.018018,0.084679,1.000000,-0.000017,0.000017,-0.000082,-0.025288,0.252136,-0.101027,-0.962072,12.028651,29.357312,-179.849699
35501,-4.848317,1.747576,8.445867,-0.002977,0.050241,0.081268,-0.006071,0.002186,-0.016446,-0.048481,0.017482,0.084459,1.000000,-0.000030,0.000011,-0.000082,-0.025292,0.252136,-0.100957,-0.962079,12.019611,29.357419,-179.852519
35502,-4.848755,1.746350,8.445870,-0.002446,0.050193,0.081268,-0.004106,0.001389,-0.016398,-0.048486,0.017469,0.084459,1.000000,-0.000021,0.000007,-0.000082,-0.025298,0.252132,-0.100898,-0.962086,12.011857,29.357042,-179.855320
35503,-4.850170,1.814286,8.443016,-0.006563,-0.017963,0.091854,-0.001343,0.001414,-0.017516,-0.048500,0.018148,0.084430,1.000000,-0.000007,0.000007,-0.000088,-0.025314,0.252129,-0.100850,-0.962091,12.005141,29.356844,-179.858962
35504,-4.798677,1.830066,8.418805,-0.041374,-0.039807,0.048825,-0.007205,0.001421,-0.019944,-0.047984,0.018308,0.084188,1.000000,-0.000036,0.000007,-0.000100,-0.025333,0.252127,-0.100772,-0.962099,11.994496,29.356906,-179.864037
35505,-4.833232,1.759986,8.445409,-0.017225,0.032732,0.075753,-0.010052,0.006165,-0.014249,-0.048328,0.017608,0.084455,1.000000,-0.000050,0.000031,-0.000071,-0.025319,0.252146,-0.100686,-0.962104,11.984122,29.358946,-179.864838
35506,-4.867804,1.757235,8.420408,0.025160,0.029091,0.070893,0.000660,-0.001763,-0.019755,-0.048677,0.017577,0.084204,1.000000,0.000003,-0.000009,-0.000099,-0.025349,0.252128,-0.100645,-0.962112,11.977830,29.357200,-179.870227
35507,-4.869084,1.791520,8.443451,0.011957,-0.000955,0.097370,-0.008845,0.002163,-0.015324,-0.048689,0.017923,0.084434,1.000000,-0.000044,0.000011,-0.000077,-0.025345,0.252128,-0.100564,-0.962121,11.967570,29.357140,-179.872442
35508,-4.851458,1.738625,8.445911,0.000729,0.049819,0.081270,-0.006062,0.000998,-0.017586,-0.048513,0.017393,0.084459,1.000000,-0.000030,0.000005,-0.000088,-0.025354,0.252123,-0.100494,-0.962129,11.958295,29.356682,-179.876059
35509,-4.869288,1.720921,8.470715,0.006179,0.071070,0.107971,-0.001352,0.001420,-0.017512,-0.048691,0.017214,0.084707,1.000000,-0.000007,0.000007,-0.000088,-0.025370,0.252119,-0.100446,-0.962135,11.951570,29.356486,-179.879724
35510,-4.886894,1.736096,8.445198,0.032205,0.050187,0.097589,0.000554,0.004200,-0.014032,-0.048866,0.017364,0.084453,1.000000,0.000003,0.000021,-0.000070,-0.025369,0.252127,-0.100413,-0.962136,11.947420,29.357401,-179.880619
35511,-4.835850,1.720249,8.470938,-0.023190,0.070450,0.091655,0.004468,0.003800,-0.012794,-0.048356,0.017204,0.084711,1.000000,0.000022,0.000019,-0.000064,-0.025369,0.252132,-0.100399,-0.962136,11.945683,29.357954,-179.880954
35512,-4.887803,1.735424,8.444810,0.033264,0.050071,0.097586,0.004882,-0.001023,-0.012706,-0.048877,0.017355,0.084448,1.000000,0.000024,-0.000005,-0.000064,-0.025370,0.252113,-0.100388,-0.962142,11.944082,29.355784,-179.881707
35513,-4.836232,1.752633,8.420376,-0.001557,0.028157,0.054571,0.011124,0.004620,-0.011529,-0.048359,0.017524,0.084206,1.000000,0.000056,0.000023,-0.000058,-0.025369,0.252121,-0.100406,-0.962138,11.946570,29.356667,-179.880882
35514,-4.837082,1.787403,8.418737,-0.003294,-0.005934,0.059863,0.007999,-0.002244,-0.010303,-0.048371,0.017873,0.084188,1.000000,0.000040,-0.000011,-0.000052,-0.025363,0.252095,-0.100413,-0.962145,11.947431,29.353527,-179.880256
35515,-4.853663,1.735610,8.420420,0.015852,0.045308,0.060081,0.009549,0.001785,-0.010344,-0.048535,0.017355,0.084205,1.000000,0.000048,0.000009,-0.000052,-0.025357,0.252088,-0.100426,-0.962145,11.949218,29.352638,-179.879208
35516,-4.855355,1.772456,8.467558,-0.008730,0.019321,0.107754,0.011536,-0.000201,-0.011440,-0.048553,0.017722,0.084677,1.000000,0.000058,-0.000001,-0.000057,-0.025360,0.252072,-0.100448,-0.962147,11.951884,29.350778,-179.879035
35517,-4.837564,1.755060,8.443953,-0.010860,0.031948,0.075764,0.012666,0.000565,-0.007940,-0.048375,0.017547,0.084441,1.000000,0.000063,0.000003,-0.000040,-0.025346,0.252058,-0.100479,-0.962148,11.956109,29.348946,-179.876439
35518,-4.855346,1.772810,8.442639,0.003763,0.015139,0.086563,0.015407,0.001785,-0.007913,-0.048552,0.017724,0.084428,1.000000,0.000077,0.000009,-0.000040,-0.025336,0.252049,-0.100524,-0.962146,11.962236,29.347780,-179.873729
35519,-4.838047,1.756775,8.443320,-0.009799,0.031817,0.075766,0.014610,0.000963,-0.006748,-0.048379,0.017563,0.084435,1.000000,0.000073,0.000005,-0.000034,-0.025319,0.252036,-0.100566,-0.962145,11.968007,29.346029,-179.870397
35520,-4.854416,1.737925,8.394659,0.029916,0.040968,0.038884,0.011491,0.002183,-0.009151,-0.048542,0.017377,0.083948,1.000000,0.000057,0.000011,-0.000046,-0.025309,0.252030,-0.100591,-0.962144,11.971527,29.345234,-179.868428
35521,-4.872393,1.723450,8.443568,0.023929,0.066269,0.086776,0.022475,-0.002213,-0.006556,-0.048724,0.017227,0.084437,1.000000,0.000112,-0.000011,-0.000033,-0.025303,0.252001,-0.100671,-0.962144,11.981644,29.341678,-179.865457
35522,-4.855091,1.741248,8.418432,0.019549,0.044889,0.060076,0.014585,0.002157,-0.005604,-0.048550,0.017408,0.084186,1.000000,0.000073,0.000011,-0.000028,-0.025281,0.251993,-0.100715,-0.962142,11.988053,29.340445,-179.861212
35523,-4.839646,1.796574,8.465027,-0.021320,0.001546,0.102255,0.022491,-0.003403,-0.007697,-0.048397,0.017958,0.084651,1.000000,0.000112,-0.000017,-0.000038,-0.025281,0.251958,-0.100793,-0.962143,11.997720,29.336360,-179.859137
35524,-4.873381,1.762997,8.465688,0.011871,0.036090,0.113260,0.021694,-0.004224,-0.006532,-0.048735,0.017622,0.084658,1.000000,0.000108,-0.000021,-0.000033,-0.025275,0.251919,-0.100870,-0.962145,12.007481,29.331661,-179.856361
35525,-4.855694,1.780895,8.440738,0.007494,0.014675,0.086562,0.019766,-0.005814,-0.008864,-0.048559,0.017803,0.084408,1.000000,0.000099,-0.000029,-0.000044,-0.025279,0.251874,-0.100933,-0.962150,12.015083,29.326390,-179.855404
35526,-4.854370,1.780130,8.391947,0.030871,0.006559,0.044166,0.020140,-0.008251,-0.006486,-0.048547,0.017794,0.083919,1.000000,0.000101,-0.000041,-0.000032,-0.025273,0.251816,-0.101002,-0.962158,12.023697,29.319428,-179.853151
35527,-4.855201,1.784472,8.465123,-0.002861,0.018586,0.107759,0.017000,-0.005841,-0.007747,-0.048554,0.017839,0.084651,1.000000,0.000085,-0.000029,-0.000039,-0.025270,0.251770,-0.101054,-0.962165,12.030092,29.314007,-179.851702
35528,-4.855022,1.818934,8.439227,0.006896,-0.019543,0.091851,0.018627,-0.006581,-0.012360,-0.048552,0.018184,0.084392,1.000000,0.000093,-0.000033,-0.000062,-0.025289,0.251723,-0.101108,-0.962171,12.036102,29.308682,-179.852998
35529,-4.836587,1.768228,8.441766,-0.004497,0.031165,0.075772,0.011934,-0.005023,-0.011340,-0.048367,0.017680,0.084417,1.000000,0.000060,-0.000025,-0.000057,-0.025295,0.251684,-0.101131,-0.962179,12.038487,29.304141,-179.853550
35530,-4.853478,1.751102,8.442172,0.012351,0.048427,0.081270,0.010721,-0.001022,-0.010269,-0.048534,0.017509,0.084422,1.000000,0.000054,-0.000005,-0.000051,-0.025292,0.251663,-0.101151,-0.962182,12.040997,29.301681,-179.852741
35531,-4.836263,1.768308,8.417080,0.007984,0.027005,0.054572,0.018977,0.000260,-0.012475,-0.048361,0.017678,0.084173,1.000000,0.000095,0.000001,-0.000062,-0.025308,0.251649,-0.101206,-0.962180,12.047398,29.300226,-179.853214
35532,-4.836933,1.803659,8.415355,0.006337,-0.007092,0.059861,0.013855,-0.003428,-0.009005,-0.048370,0.018033,0.084154,1.000000,0.000069,-0.000017,-0.000045,-0.025304,0.251616,-0.101242,-0.962185,12.051940,29.296267,-179.851923
35533,-4.837142,1.772152,8.465480,-0.013786,0.034924,0.096975,0.017386,-0.001383,-0.010144,-0.048371,0.017717,0.084656,1.000000,0.000087,-0.000007,-0.000051,-0.025309,0.251593,-0.101293,-0.962185,12.058075,29.293607,-179.851199
35534,-4.836384,1.770911,8.416463,0.009580,0.026830,0.054571,0.015419,-0.000590,-0.010192,-0.048363,0.017705,0.084166,1.000000,0.000077,-0.000003,-0.000051,-0.025311,0.251574,-0.101335,-0.962186,12.063329,29.291380,-179.850282
35535,-4.836989,1.772926,8.440550,-0.001309,0.030768,0.075774,0.017342,0.001005,-0.007859,-0.048369,0.017724,0.084407,1.000000,0.000087,0.000005,-0.000039,-0.025303,0.251561,-0.101388,-0.962183,12.070297,29.289807,-179.847686
35536,-4.837066,1.740717,8.466061,-0.010029,0.068787,0.091689,0.020079,0.002229,-0.007833,-0.048369,0.017401,0.084663,1.000000,0.000100,0.000011,-0.000039,-0.025298,0.251554,-0.101457,-0.962178,12.079152,29.288876,-179.844867
