// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
61412,-9.424998,-1.748286,-1.000690,-0.005990,0.356303,-0.181411,-0.145709,-0.106942,-0.063254,-0.094250,-0.017460,-0.010045,1.000000,-0.000729,-0.000535,-0.000316,-0.299774,0.714881,-0.232121,-0.587537,-129.805267,78.295422,5.765487
61413,-9.129249,-1.880409,-1.147730,0.249150,0.343808,-0.430997,-0.125884,-0.117088,-0.079133,-0.091293,-0.018775,-0.011519,1.000000,-0.000629,-0.000585,-0.000396,-0.299715,0.714809,-0.231296,-0.587980,-129.479409,78.302926,6.169475
61414,-8.995566,-2.112592,-1.269460,0.521572,0.417369,-0.509541,-0.102412,-0.101299,-0.077173,-0.089957,-0.021098,-0.012729,1.000000,-0.000512,-0.000506,-0.000386,-0.299714,0.714745,-0.230572,-0.588342,-129.177726,78.305319,6.534946
61415,-9.136391,-2.152734,-1.015896,0.343878,0.610712,-0.397343,-0.006300,-0.090522,-0.058540,-0.091366,-0.021501,-0.010200,1.000000,-0.000031,-0.000453,-0.000293,-0.299991,0.714548,-0.230212,-0.588583,-128.875707,78.311524,6.844606
61416,-9.297978,-2.028670,-1.195861,0.355948,0.383012,-0.235392,0.012021,-0.086642,-0.039520,-0.092979,-0.020268,-0.012000,1.000000,0.000060,-0.000433,-0.000198,-0.300271,0.714312,-0.229980,-0.588817,-128.604741,78.324716,7.111783
61417,-9.531660,-1.902389,-1.176423,0.212645,0.291585,-0.028754,0.051326,-0.081963,-0.033941,-0.095315,-0.019005,-0.011808,1.000000,0.000257,-0.000410,-0.000170,-0.300671,0.714024,-0.229890,-0.588996,-128.329857,78.338292,7.359996
61418,-9.724358,-1.432126,-1.108465,-0.191254,-0.011230,0.077010,0.068655,-0.087510,-0.044606,-0.097242,-0.014296,-0.011132,1.000000,0.000343,-0.000438,-0.000223,-0.301169,0.713706,-0.229805,-0.589161,-128.014603,78.348919,7.639417
61419,-9.854278,-1.053097,-1.131037,-0.457514,-0.311491,0.146665,0.020928,-0.088579,-0.058594,-0.098541,-0.010501,-0.011355,1.000000,0.000105,-0.000443,-0.000293,-0.301540,0.713473,-0.229527,-0.589361,-127.699467,78.353134,7.946495
61420,-10.000170,-0.983588,-1.312481,-0.405009,-0.503504,0.300467,-0.008367,-0.087795,-0.075410,-0.100000,-0.009799,-0.013168,1.000000,-0.000042,-0.000439,-0.000377,-0.301854,0.713305,-0.229105,-0.589568,-127.374959,78.349237,8.280395
61421,-9.926463,-1.046700,-1.552781,-0.177541,-0.635979,0.267262,-0.048152,-0.081500,-0.079817,-0.099262,-0.010431,-0.015566,1.000000,-0.000241,-0.000407,-0.000399,-0.302033,0.713221,-0.228558,-0.589791,-127.079350,78.340635,8.607955
61422,-9.777011,-1.262167,-1.454219,-0.071269,-0.417629,0.143128,-0.081015,-0.036077,-0.082822,-0.097773,-0.012587,-0.014555,1.000000,-0.000405,-0.000180,-0.000414,-0.302051,0.713322,-0.227974,-0.589884,-126.899381,78.314937,8.836585
61423,-9.610226,-1.372469,-1.266556,-0.097686,-0.209077,-0.025399,-0.059540,-0.032981,-0.071650,-0.096105,-0.013694,-0.012677,1.000000,-0.000298,-0.000165,-0.000358,-0.302110,0.713389,-0.227497,-0.589959,-126.732806,78.292947,9.039086
61424,-9.549207,-1.512585,-1.609204,0.248095,-0.350366,-0.020829,-0.164460,-0.002861,-0.058497,-0.095496,-0.015111,-0.016081,1.000000,-0.000822,-0.000014,-0.000292,-0.301719,0.713687,-0.226800,-0.590066,-126.715775,78.266757,9.150686
61425,-9.980261,-1.845078,-1.162948,0.067453,0.183869,0.401225,-0.088072,0.023999,-0.065517,-0.099810,-0.018423,-0.011609,1.000000,-0.000440,0.000120,-0.000328,-0.301593,0.713957,-0.226345,-0.589979,-126.702622,78.227993,9.213218
61426,-9.887328,-1.905587,-1.088812,0.068088,0.279387,0.311211,-0.077080,0.010369,-0.078934,-0.098881,-0.019021,-0.010876,1.000000,-0.000385,0.000052,-0.000395,-0.301561,0.714184,-0.225857,-0.589908,-126.632101,78.187934,9.327849
61427,-9.601007,-2.013702,-1.298912,0.340538,0.216732,0.074605,-0.103830,0.016328,-0.082675,-0.096019,-0.020104,-0.012971,1.000000,-0.000519,0.000082,-0.000413,-0.301438,0.714474,-0.225283,-0.589839,-126.583923,78.143877,9.435411
61428,-9.775875,-2.252561,-1.087218,0.309746,0.527187,0.259549,-0.028782,0.035584,-0.068376,-0.097768,-0.022494,-0.010852,1.000000,-0.000144,0.000178,-0.000342,-0.301518,0.714690,-0.225013,-0.589639,-126.558982,78.100049,9.475154
61429,-9.586143,-2.017088,-1.183057,0.249564,0.296434,0.046940,-0.000192,0.041530,-0.052164,-0.095869,-0.020146,-0.011811,1.000000,-0.000001,0.000208,-0.000261,-0.301647,0.714863,-0.224891,-0.589409,-126.556657,78.061414,9.475198
61430,-9.731864,-1.480446,-0.811667,-0.412713,0.164622,0.054544,0.033964,0.053306,-0.044943,-0.097324,-0.014781,-0.008093,1.000000,0.000170,0.000267,-0.000225,-0.301862,0.715011,-0.224916,-0.589110,-126.572703,78.022245,9.436469
61431,-9.881948,-0.833147,-0.597065,-1.040149,-0.156172,0.066442,0.001842,0.034016,-0.060574,-0.098823,-0.008301,-0.005954,1.000000,0.000009,0.000170,-0.000303,-0.302031,0.715169,-0.224759,-0.588892,-126.539442,77.982304,9.466948
61432,-9.807614,-0.676656,-0.602985,-1.133224,-0.273609,-0.032520,-0.067122,0.008149,-0.086841,-0.098079,-0.006726,-0.006024,1.000000,-0.000336,0.000041,-0.000434,-0.302059,0.715383,-0.224267,-0.588805,-126.448818,77.939242,9.596560
61433,-9.836154,-0.761323,-0.668225,-1.042563,-0.265495,0.016790,-0.126532,-0.005439,-0.109123,-0.098365,-0.007564,-0.006680,1.000000,-0.000633,-0.000027,-0.000546,-0.301956,0.715672,-0.223499,-0.588799,-126.327812,77.890300,9.792003
61434,-10.035698,-0.897672,-0.680519,-0.990937,-0.191341,0.235475,-0.166132,-0.012986,-0.134118,-0.100363,-0.008915,-0.006804,0.999999,-0.000831,-0.000065,-0.000671,-0.301791,0.716026,-0.222514,-0.588826,-126.176022,77.832454,10.042260
61435,-9.634386,-1.215729,-0.835763,-0.592184,-0.065427,-0.084228,-0.207854,-0.029773,-0.158430,-0.096352,-0.012090,-0.008359,0.999999,-0.001039,-0.000149,-0.000792,-0.301569,0.716419,-0.221293,-0.588922,-125.975623,77.768666,10.366685
61436,-9.515719,-1.651216,-1.031135,-0.145307,0.107750,-0.101563,-0.210447,-0.027943,-0.156667,-0.095169,-0.016448,-0.010307,0.999999,-0.001052,-0.000140,-0.000783,-0.301328,0.716818,-0.220075,-0.589016,-125.786736,77.705076,10.680854
61437,-9.513473,-1.962498,-1.069851,0.082551,0.295781,-0.044994,-0.144110,-0.045519,-0.152046,-0.095147,-0.019560,-0.010706,0.999999,-0.000721,-0.000228,-0.000760,-0.301332,0.717060,-0.219040,-0.589106,-125.531427,77.649023,11.024250
61438,-9.345963,-1.852800,-1.172289,0.110132,0.142214,-0.214678,-0.140551,-0.052558,-0.139016,-0.093469,-0.018471,-0.011734,0.999999,-0.000703,-0.000263,-0.000695,-0.301316,0.717260,-0.218053,-0.589236,-125.281920,77.601307,11.359595
61439,-9.310356,-1.829682,-1.334529,0.211608,0.005656,-0.233198,-0.155905,-0.044852,-0.134436,-0.093113,-0.018245,-0.013352,0.999999,-0.000780,-0.000224,-0.000672,-0.301224,0.717501,-0.217047,-0.589362,-125.066128,77.552663,11.669579
61440,-9.415270,-1.830127,-1.353429,0.196312,-0.020322,-0.128190,-0.144838,-0.031758,-0.137870,-0.094163,-0.018246,-0.013536,0.999999,-0.000724,-0.000159,-0.000689,-0.301167,0.717766,-0.216083,-0.589423,-124.869276,77.498094,11.953681
61441,-9.510591,-1.836185,-1.426143,0.224405,-0.079369,-0.024933,-0.135540,-0.034004,-0.148551,-0.095117,-0.018301,-0.014265,0.999999,-0.000678,-0.000170,-0.000743,-0.301177,0.718021,-0.215102,-0.589465,-124.648346,77.438780,12.257106
61442,-9.561022,-1.433404,-1.169104,-0.246509,-0.208595,-0.079739,-0.126300,-0.034035,-0.166292,-0.095620,-0.014262,-0.011698,0.999999,-0.000631,-0.000170,-0.000831,-0.301272,0.718281,-0.214086,-0.589470,-124.399332,77.371072,12.583854
61443,-9.575588,-1.561948,-1.438873,0.020500,-0.312694,-0.009438,-0.130486,-0.041981,-0.168188,-0.095766,-0.015548,-0.014399,0.999999,-0.000652,-0.000210,-0.000841,-0.301366,0.718525,-0.213037,-0.589504,-124.135927,77.304472,12.928001
61444,-9.401272,-1.481758,-1.236423,-0.148455,-0.235252,-0.219415,-0.106754,-0.036729,-0.143760,-0.094021,-0.014757,-0.012374,1.000000,-0.000534,-0.000184,-0.000719,-0.301468,0.718721,-0.212157,-0.589531,-123.908104,77.247734,13.221562
61445,-9.316329,-1.658915,-1.408163,0.103401,-0.227715,-0.248883,-0.150380,-0.017397,-0.117173,-0.093172,-0.016545,-0.014077,1.000000,-0.000752,-0.000087,-0.000586,-0.301314,0.719012,-0.211269,-0.589574,-123.784769,77.197012,13.433924
61446,-9.127399,-2.038995,-1.580867,0.513375,-0.063217,-0.341758,-0.126419,-0.011041,-0.074966,-0.091281,-0.020366,-0.015801,1.000000,-0.000632,-0.000055,-0.000375,-0.301113,0.719240,-0.210615,-0.589632,-123.721554,77.164538,13.570533
61447,-9.266129,-2.229337,-1.637878,0.644901,0.027675,-0.164005,-0.075827,0.015952,-0.055021,-0.092669,-0.022274,-0.016363,1.000000,-0.000379,0.000080,-0.000275,-0.301008,0.719451,-0.210221,-0.589569,-123.713547,77.132724,13.620855
61448,-9.571642,-2.088348,-1.782298,0.586232,-0.191422,0.125814,-0.022906,0.003289,-0.041444,-0.095721,-0.020866,-0.017819,1.000000,-0.000115,0.000016,-0.000207,-0.301067,0.719529,-0.210014,-0.589518,-123.667952,77.111671,13.678471
61449,-9.600788,-1.671166,-1.353222,-0.007334,-0.208549,0.023755,0.053698,0.013422,-0.040680,-0.096012,-0.016688,-0.013530,1.000000,0.000268,0.000067,-0.000203,-0.301388,0.719522,-0.210050,-0.589349,-123.600728,77.087485,13.713418
