// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13977,4.262505,5.107901,6.209323,0.268361,0.144321,-0.717499,0.029839,-0.014095,0.006747,0.042619,0.051071,0.062104,1.000000,0.000149,-0.000070,0.000034,0.558668,-0.034435,-0.395731,-0.728080,38.157849,-29.492350,-115.403883
13978,4.239085,4.971394,6.265817,0.140397,0.206696,-0.763785,0.006566,0.032394,0.008053,0.042399,0.049714,0.062653,1.000000,0.000033,0.000162,0.000040,0.558799,-0.034370,-0.395645,-0.728029,38.146738,-29.486440,-115.381647
13979,4.533633,4.960141,6.530040,-0.081473,0.134557,-0.443936,-0.010518,0.068408,-0.005807,0.045360,0.049604,0.065282,1.000000,-0.000053,0.000342,-0.000029,0.558952,-0.034193,-0.395396,-0.728056,38.121635,-29.459177,-115.351287
13980,4.621052,5.279367,6.892802,0.013533,0.262524,0.019273,-0.013745,0.078183,-0.001161,0.046238,0.052798,0.068906,1.000000,-0.000069,0.000391,-0.000006,0.559136,-0.034000,-0.395110,-0.728079,38.092115,-29.429350,-115.315244
13981,5.293273,5.757576,7.061172,0.104514,-0.200418,0.721897,-0.068683,0.074374,0.031062,0.052950,0.057608,0.070572,1.000000,-0.000343,0.000372,0.000155,0.559425,-0.034037,-0.394625,-0.728119,38.023154,-29.412364,-115.263334
13982,5.513920,5.715151,7.094099,-0.013561,-0.359058,0.829839,-0.111292,0.088471,0.094236,0.055144,0.057217,0.070885,1.000000,-0.000556,0.000442,0.000471,0.559960,-0.034268,-0.393938,-0.728068,37.911471,-29.411441,-115.173757
13983,5.664410,6.035012,7.048799,0.238696,-0.533079,1.043246,-0.142893,0.106912,0.174586,0.056629,0.060450,0.070415,0.999999,-0.000714,0.000535,0.000873,0.560822,-0.034676,-0.393067,-0.727856,37.756978,-29.430028,-115.034135
13984,5.359732,5.842739,6.939666,0.262012,-0.356129,0.714787,-0.224624,0.144962,0.256483,0.053573,0.058574,0.069292,0.999998,-0.001123,0.000725,0.001282,0.562037,-0.035338,-0.391781,-0.727581,37.527594,-29.459806,-114.837309
13985,4.972634,5.259670,6.883005,-0.029724,-0.059872,0.175425,-0.252764,0.171738,0.307388,0.049704,0.052760,0.068721,0.999998,-0.001264,0.000859,0.001537,0.563484,-0.036080,-0.390303,-0.727219,37.263074,-29.494208,-114.602452
13986,4.449509,4.918568,6.871182,-0.085988,0.355736,-0.269653,-0.267299,0.188208,0.322909,0.044480,0.049349,0.068604,0.999997,-0.001336,0.000941,0.001615,0.565012,-0.036835,-0.388724,-0.726841,36.983193,-29.525645,-114.353143
13987,4.295028,4.514205,6.672687,-0.259780,0.367743,-0.694177,-0.293500,0.216175,0.302411,0.042954,0.045305,0.066614,0.999997,-0.001467,0.001081,0.001512,0.566515,-0.037521,-0.386968,-0.726573,36.687532,-29.535950,-114.102894
13988,4.110272,4.283458,6.707311,-0.368449,0.531059,-0.878906,-0.295639,0.255214,0.260297,0.041132,0.042987,0.066957,0.999997,-0.001478,0.001276,0.001301,0.567933,-0.037990,-0.385104,-0.726432,36.394543,-29.512976,-113.860050
