// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
48831,-9.632411,0.887294,-1.493961,0.397884,-0.090585,-0.033320,-0.061196,-0.022955,0.004521,-0.096323,0.008866,-0.014953,1.000000,-0.000306,-0.000115,0.000023,0.087421,0.745334,0.042369,-0.659575,147.007501,82.144398,-22.436123
48832,-9.434582,0.906832,-1.386044,0.323464,-0.138446,-0.240279,-0.012200,-0.023657,0.014826,-0.094345,0.009060,-0.013872,1.000000,-0.000061,-0.000118,0.000074,0.087502,0.745250,0.042336,-0.659661,146.898927,82.152295,-22.540841
48833,-9.286447,0.999970,-1.276057,0.253557,-0.255269,-0.392661,0.013442,-0.029229,0.041236,-0.092865,0.009981,-0.012773,1.000000,0.000067,-0.000146,0.000206,0.087573,0.745165,0.042119,-0.659763,146.702248,82.154791,-22.749392
48834,-9.243230,0.978667,-1.078127,0.064283,-0.268877,-0.459559,0.018532,-0.037973,0.055425,-0.092433,0.009762,-0.010798,1.000000,0.000093,-0.000190,0.000277,0.087677,0.745055,0.041827,-0.659891,146.437069,82.156610,-23.029930
48835,-9.375906,0.816125,-1.000393,-0.054969,-0.111588,-0.349127,-0.042149,-0.025338,0.047697,-0.093760,0.008137,-0.010018,1.000000,-0.000211,-0.000127,0.000238,0.087976,0.744959,0.041772,-0.659963,146.194950,82.154957,-23.252198
48836,-9.828805,0.362753,-1.019630,-0.172796,0.365937,0.067236,-0.041250,-0.007564,0.040683,-0.098288,0.003605,-0.010201,1.000000,-0.000206,-0.000038,0.000203,0.088247,0.744921,0.041746,-0.659972,146.016909,82.146715,-23.410170
48837,-10.125832,0.185763,-1.233131,-0.032412,0.598886,0.372001,-0.009372,-0.017567,0.022376,-0.101257,0.001846,-0.012340,1.000000,-0.000047,-0.000088,0.000112,0.088339,0.744859,0.041680,-0.660033,145.899113,82.149305,-23.525900
48838,-9.812181,0.129330,-1.392409,0.155801,0.669666,0.074764,0.015900,-0.060277,0.025191,-0.098118,0.001282,-0.013954,1.000000,0.000079,-0.000301,0.000126,0.088357,0.744669,0.041499,-0.660257,145.684055,82.170922,-23.754300
48839,-9.321525,0.192427,-1.201079,0.046329,0.549357,-0.428312,0.125827,-0.053155,0.067339,-0.093213,0.001900,-0.012034,1.000000,0.000629,-0.000266,0.000337,0.088101,0.744559,0.040804,-0.660458,145.404752,82.175635,-24.111241
48840,-9.383574,0.255160,-0.914447,-0.228722,0.445595,-0.394518,0.145773,-0.007979,0.117257,-0.093837,0.002503,-0.009146,1.000000,0.000729,-0.000040,0.000586,0.087929,0.744617,0.039875,-0.660473,145.072172,82.142262,-24.533405
48841,-9.828902,0.195825,-0.781439,-0.426140,0.515040,0.026492,0.156832,0.000491,0.132638,-0.098290,0.001899,-0.007813,0.999999,0.000784,0.000002,0.000663,0.087762,0.744709,0.038857,-0.660451,144.719195,82.099763,-24.982701
48842,-9.943332,0.676217,-0.738398,-0.400896,0.052913,0.172744,0.169359,-0.011961,0.114182,-0.099437,0.006712,-0.007384,0.999999,0.000847,-0.000060,0.000571,0.087493,0.744762,0.037861,-0.660485,144.407891,82.068613,-25.397092
48843,-9.772246,0.981632,-0.762462,-0.304416,-0.243821,0.030565,0.136663,-0.025856,0.094201,-0.097726,0.009776,-0.007631,1.000000,0.000683,-0.000129,0.000471,0.087279,0.744750,0.037041,-0.660574,144.115188,82.050551,-25.773929
